cause,age,year,dead,pop
C00-C97 (Malignant neoplasms),0,1999,68,3795762
C00-C97 (Malignant neoplasms),0,2000,92,3805648
C00-C97 (Malignant neoplasms),0,2001,66,4012658
C00-C97 (Malignant neoplasms),0,2002,74,3951461
C00-C97 (Malignant neoplasms),0,2003,75,3975871
C00-C97 (Malignant neoplasms),0,2004,74,4014258
C00-C97 (Malignant neoplasms),0,2005,75,4004393
C00-C97 (Malignant neoplasms),0,2006,76,4041738
C00-C97 (Malignant neoplasms),0,2007,72,4147997
C00-C97 (Malignant neoplasms),0,2008,70,4132735
C00-C97 (Malignant neoplasms),0,2009,74,4003587
C00-C97 (Malignant neoplasms),0,2010,62,3944153
C00-C97 (Malignant neoplasms),0,2011,70,3996537
C00-C97 (Malignant neoplasms),0,2012,63,3943077
C00-C97 (Malignant neoplasms),0,2013,64,3941783
C00-C97 (Malignant neoplasms),0,2014,52,3948350
C00-C97 (Malignant neoplasms),0,2015,53,3978038
C00-C97 (Malignant neoplasms),0,2016,67,3970145
C00-C97 (Malignant neoplasms),0,2017,57,3939295
C00-C97 (Malignant neoplasms),1,1999,418,15339782
C00-C97 (Malignant neoplasms),1,2000,420,15370150
C00-C97 (Malignant neoplasms),1,2001,420,15285559
C00-C97 (Malignant neoplasms),1,2002,402,15477731
C00-C97 (Malignant neoplasms),1,2003,392,15616575
C00-C97 (Malignant neoplasms),1,2004,399,15771627
C00-C97 (Malignant neoplasms),1,2005,377,15913007
C00-C97 (Malignant neoplasms),1,2006,377,15897145
C00-C97 (Malignant neoplasms),1,2007,364,15977965
C00-C97 (Malignant neoplasms),1,2008,394,16138392
C00-C97 (Malignant neoplasms),1,2009,350,16240931
C00-C97 (Malignant neoplasms),1,2010,346,16257209
C00-C97 (Malignant neoplasms),1,2011,353,16165521
C00-C97 (Malignant neoplasms),1,2012,392,16056267
C00-C97 (Malignant neoplasms),1,2013,328,15926305
C00-C97 (Malignant neoplasms),1,2014,321,15928533
C00-C97 (Malignant neoplasms),1,2015,354,15929243
C00-C97 (Malignant neoplasms),1,2016,377,15956892
C00-C97 (Malignant neoplasms),1,2017,325,15999565
C00-C97 (Malignant neoplasms),5,1999,1012,40819824
C00-C97 (Malignant neoplasms),5,2000,1014,41077577
C00-C97 (Malignant neoplasms),5,2001,1008,41152040
C00-C97 (Malignant neoplasms),5,2002,1072,41133838
C00-C97 (Malignant neoplasms),5,2003,1076,41036204
C00-C97 (Malignant neoplasms),5,2004,1019,40865917
C00-C97 (Malignant neoplasms),5,2005,1000,40601646
C00-C97 (Malignant neoplasms),5,2006,907,40577826
C00-C97 (Malignant neoplasms),5,2007,959,40555653
C00-C97 (Malignant neoplasms),5,2008,890,40636257
C00-C97 (Malignant neoplasms),5,2009,896,40843063
C00-C97 (Malignant neoplasms),5,2010,916,41025851
C00-C97 (Malignant neoplasms),5,2011,860,41039048
C00-C97 (Malignant neoplasms),5,2012,912,41144754
C00-C97 (Malignant neoplasms),5,2013,895,41221035
C00-C97 (Malignant neoplasms),5,2014,852,41191072
C00-C97 (Malignant neoplasms),5,2015,865,41109506
C00-C97 (Malignant neoplasms),5,2016,880,41048032
C00-C97 (Malignant neoplasms),5,2017,855,41082692
C00-C97 (Malignant neoplasms),15,1999,1724,38676031
C00-C97 (Malignant neoplasms),15,2000,1713,39183891
C00-C97 (Malignant neoplasms),15,2001,1704,40213570
C00-C97 (Malignant neoplasms),15,2002,1730,40854135
C00-C97 (Malignant neoplasms),15,2003,1651,41388854
C00-C97 (Malignant neoplasms),15,2004,1709,41948112
C00-C97 (Malignant neoplasms),15,2005,1717,42446169
C00-C97 (Malignant neoplasms),15,2006,1644,42843844
C00-C97 (Malignant neoplasms),15,2007,1653,43145815
C00-C97 (Malignant neoplasms),15,2008,1663,43391492
C00-C97 (Malignant neoplasms),15,2009,1636,43576932
C00-C97 (Malignant neoplasms),15,2010,1604,43626342
C00-C97 (Malignant neoplasms),15,2011,1611,43797875
C00-C97 (Malignant neoplasms),15,2012,1574,43943905
C00-C97 (Malignant neoplasms),15,2013,1496,43954402
C00-C97 (Malignant neoplasms),15,2014,1569,43979821
C00-C97 (Malignant neoplasms),15,2015,1469,43848216
C00-C97 (Malignant neoplasms),15,2016,1431,43511027
C00-C97 (Malignant neoplasms),15,2017,1374,43250295
C00-C97 (Malignant neoplasms),25,1999,4005,40178406
C00-C97 (Malignant neoplasms),25,2000,3916,39891724
C00-C97 (Malignant neoplasms),25,2001,3994,39471522
C00-C97 (Malignant neoplasms),25,2002,3872,39349646
C00-C97 (Malignant neoplasms),25,2003,3741,39243795
C00-C97 (Malignant neoplasms),25,2004,3633,39266556
C00-C97 (Malignant neoplasms),25,2005,3601,39258647
C00-C97 (Malignant neoplasms),25,2006,3656,39395179
C00-C97 (Malignant neoplasms),25,2007,3463,39713463
C00-C97 (Malignant neoplasms),25,2008,3521,40207473
C00-C97 (Malignant neoplasms),25,2009,3659,40723342
C00-C97 (Malignant neoplasms),25,2010,3619,41063948
C00-C97 (Malignant neoplasms),25,2011,3499,41790498
C00-C97 (Malignant neoplasms),25,2012,3674,42309321
C00-C97 (Malignant neoplasms),25,2013,3673,42844587
C00-C97 (Malignant neoplasms),25,2014,3624,43516504
C00-C97 (Malignant neoplasms),25,2015,3704,44137202
C00-C97 (Malignant neoplasms),25,2016,3791,44677243
C00-C97 (Malignant neoplasms),25,2017,3616,45342672
C00-C97 (Malignant neoplasms),35,1999,16732,45076677
C00-C97 (Malignant neoplasms),35,2000,16520,45148527
C00-C97 (Malignant neoplasms),35,2001,16569,45051752
C00-C97 (Malignant neoplasms),35,2002,16085,44640649
C00-C97 (Malignant neoplasms),35,2003,15509,44154206
C00-C97 (Malignant neoplasms),35,2004,14723,43800275
C00-C97 (Malignant neoplasms),35,2005,14566,43505538
C00-C97 (Malignant neoplasms),35,2006,13917,43243801
C00-C97 (Malignant neoplasms),35,2007,13288,42796230
C00-C97 (Malignant neoplasms),35,2008,12699,42192486
C00-C97 (Malignant neoplasms),35,2009,12519,41487811
C00-C97 (Malignant neoplasms),35,2010,11809,41070606
C00-C97 (Malignant neoplasms),35,2011,11717,40627954
C00-C97 (Malignant neoplasms),35,2012,11337,40516420
C00-C97 (Malignant neoplasms),35,2013,11349,40452690
C00-C97 (Malignant neoplasms),35,2014,11267,40513133
C00-C97 (Malignant neoplasms),35,2015,10909,40589783
C00-C97 (Malignant neoplasms),35,2016,10903,40470156
C00-C97 (Malignant neoplasms),35,2017,10900,40875370
C00-C97 (Malignant neoplasms),45,1999,46681,36577819
C00-C97 (Malignant neoplasms),45,2000,48034,37677952
C00-C97 (Malignant neoplasms),45,2001,49562,39386268
C00-C97 (Malignant neoplasms),45,2002,49637,39992194
C00-C97 (Malignant neoplasms),45,2003,49843,40819954
C00-C97 (Malignant neoplasms),45,2004,49520,41629930
C00-C97 (Malignant neoplasms),45,2005,50405,42495904
C00-C97 (Malignant neoplasms),45,2006,50334,43286159
C00-C97 (Malignant neoplasms),45,2007,50167,43939939
C00-C97 (Malignant neoplasms),45,2008,50403,44460447
C00-C97 (Malignant neoplasms),45,2009,50616,44867088
C00-C97 (Malignant neoplasms),45,2010,50211,45006716
C00-C97 (Malignant neoplasms),45,2011,48897,44718203
C00-C97 (Malignant neoplasms),45,2012,48028,44268738
C00-C97 (Malignant neoplasms),45,2013,46185,43767532
C00-C97 (Malignant neoplasms),45,2014,44834,43458851
C00-C97 (Malignant neoplasms),45,2015,43054,43188161
C00-C97 (Malignant neoplasms),45,2016,41291,42786679
C00-C97 (Malignant neoplasms),45,2017,39266,42374952
C00-C97 (Malignant neoplasms),55,1999,89067,23778026
C00-C97 (Malignant neoplasms),55,2000,89005,24274684
C00-C97 (Malignant neoplasms),55,2001,90223,25105295
C00-C97 (Malignant neoplasms),55,2002,93391,26703332
C00-C97 (Malignant neoplasms),55,2003,95692,28008945
C00-C97 (Malignant neoplasms),55,2004,96956,29305304
C00-C97 (Malignant neoplasms),55,2005,99240,30641497
C00-C97 (Malignant neoplasms),55,2006,101454,31930113
C00-C97 (Malignant neoplasms),55,2007,103171,33128434
C00-C97 (Malignant neoplasms),55,2008,104091,34157063
C00-C97 (Malignant neoplasms),55,2009,106829,35405600
C00-C97 (Malignant neoplasms),55,2010,109501,36482729
C00-C97 (Malignant neoplasms),55,2011,112572,38062140
C00-C97 (Malignant neoplasms),55,2012,113130,38586202
C00-C97 (Malignant neoplasms),55,2013,113324,39316431
C00-C97 (Malignant neoplasms),55,2014,115282,40077581
C00-C97 (Malignant neoplasms),55,2015,116122,40877819
C00-C97 (Malignant neoplasms),55,2016,116364,41463144
C00-C97 (Malignant neoplasms),55,2017,114810,41995658
C00-C97 (Malignant neoplasms),65,1999,152338,18418909
C00-C97 (Malignant neoplasms),65,2000,150131,18390986
C00-C97 (Malignant neoplasms),65,2001,147018,18384179
C00-C97 (Malignant neoplasms),65,2002,144757,18388535
C00-C97 (Malignant neoplasms),65,2003,141248,18500915
C00-C97 (Malignant neoplasms),65,2004,139417,18667533
C00-C97 (Malignant neoplasms),65,2005,138446,18881697
C00-C97 (Malignant neoplasms),65,2006,137554,19203027
C00-C97 (Malignant neoplasms),65,2007,138466,19698727
C00-C97 (Malignant neoplasms),65,2008,141159,20505679
C00-C97 (Malignant neoplasms),65,2009,141871,21233099
C00-C97 (Malignant neoplasms),65,2010,144635,21713429
C00-C97 (Malignant neoplasms),65,2011,145593,22481738
C00-C97 (Malignant neoplasms),65,2012,151639,23985392
C00-C97 (Malignant neoplasms),65,2013,155552,25216766
C00-C97 (Malignant neoplasms),65,2014,159209,26398290
C00-C97 (Malignant neoplasms),65,2015,163728,27550517
C00-C97 (Malignant neoplasms),65,2016,165583,28630330
C00-C97 (Malignant neoplasms),65,2017,168458,29683446
C00-C97 (Malignant neoplasms),75,1999,162770,12224914
C00-C97 (Malignant neoplasms),75,2000,165099,12361180
C00-C97 (Malignant neoplasms),75,2001,165445,12593618
C00-C97 (Malignant neoplasms),75,2002,167062,12764864
C00-C97 (Malignant neoplasms),75,2003,167617,12896438
C00-C97 (Malignant neoplasms),75,2004,166085,12989903
C00-C97 (Malignant neoplasms),75,2005,166421,13074802
C00-C97 (Malignant neoplasms),75,2006,164889,13095151
C00-C97 (Malignant neoplasms),75,2007,163608,13087439
C00-C97 (Malignant neoplasms),75,2008,160960,13076102
C00-C97 (Malignant neoplasms),75,2009,157960,13022775
C00-C97 (Malignant neoplasms),75,2010,157025,13061122
C00-C97 (Malignant neoplasms),75,2011,155348,13175230
C00-C97 (Malignant neoplasms),75,2012,154192,13272634
C00-C97 (Malignant neoplasms),75,2013,153214,13446519
C00-C97 (Malignant neoplasms),75,2014,154053,13682690
C00-C97 (Malignant neoplasms),75,2015,153268,13923174
C00-C97 (Malignant neoplasms),75,2016,153961,14233534
C00-C97 (Malignant neoplasms),75,2017,155917,14706551
C00-C97 (Malignant neoplasms),85,1999,75014,4154018
C00-C97 (Malignant neoplasms),85,2000,77136,4239587
C00-C97 (Malignant neoplasms),85,2001,77751,4312494
C00-C97 (Malignant neoplasms),85,2002,79182,4368808
C00-C97 (Malignant neoplasms),85,2003,80046,4466176
C00-C97 (Malignant neoplasms),85,2004,80345,4545883
C00-C97 (Malignant neoplasms),85,2005,83455,4693299
C00-C97 (Malignant neoplasms),85,2006,85072,4865929
C00-C97 (Malignant neoplasms),85,2007,87656,5039545
C00-C97 (Malignant neoplasms),85,2008,89610,5195840
C00-C97 (Malignant neoplasms),85,2009,91204,5367301
C00-C97 (Malignant neoplasms),85,2010,95010,5493433
C00-C97 (Malignant neoplasms),85,2011,96165,5737173
C00-C97 (Malignant neoplasms),85,2012,97666,5887330
C00-C97 (Malignant neoplasms),85,2013,98792,6040789
C00-C97 (Malignant neoplasms),85,2014,100624,6162231
C00-C97 (Malignant neoplasms),85,2015,102393,6287161
C00-C97 (Malignant neoplasms),85,2016,103383,6380331
C00-C97 (Malignant neoplasms),85,2017,103521,6468682
C00-C97 (Malignant neoplasms),0,2018,51,3848208
C00-C97 (Malignant neoplasms),0,2019,55,3783052
C00-C97 (Malignant neoplasms),0,2020,54,3735010
C00-C97 (Malignant neoplasms),0,2021,52,3564493
C00-C97 (Malignant neoplasms),0,2022,40,3683113
C00-C97 (Malignant neoplasms),0,2023,47,3683113
C00-C97 (Malignant neoplasms),0,2024,34,3683113
C00-C97 (Malignant neoplasms),1,2018,326,15962067
C00-C97 (Malignant neoplasms),1,2019,285,15793631
C00-C97 (Malignant neoplasms),1,2020,307,15566282
C00-C97 (Malignant neoplasms),1,2021,282,15262845
C00-C97 (Malignant neoplasms),1,2022,266,14855240
C00-C97 (Malignant neoplasms),1,2023,269,14855240
C00-C97 (Malignant neoplasms),1,2024,203,14855240
C00-C97 (Malignant neoplasms),5,2018,843,41075169
C00-C97 (Malignant neoplasms),5,2019,775,40994163
C00-C97 (Malignant neoplasms),5,2020,792,40992134
C00-C97 (Malignant neoplasms),5,2021,796,41739332
C00-C97 (Malignant neoplasms),5,2022,835,40899034
C00-C97 (Malignant neoplasms),5,2023,850,40899034
C00-C97 (Malignant neoplasms),5,2024,591,40899034
C00-C97 (Malignant neoplasms),15,2018,1371,42970800
C00-C97 (Malignant neoplasms),15,2019,1388,42687510
C00-C97 (Malignant neoplasms),15,2020,1306,42555684
C00-C97 (Malignant neoplasms),15,2021,1323,43088663
C00-C97 (Malignant neoplasms),15,2022,1421,44341571
C00-C97 (Malignant neoplasms),15,2023,1463,44341571
C00-C97 (Malignant neoplasms),15,2024,992,44341571
C00-C97 (Malignant neoplasms),25,2018,3684,45697774
C00-C97 (Malignant neoplasms),25,2019,3577,45940321
C00-C97 (Malignant neoplasms),25,2020,3573,46069646
C00-C97 (Malignant neoplasms),25,2021,3615,45495105
C00-C97 (Malignant neoplasms),25,2022,3641,45501300
C00-C97 (Malignant neoplasms),25,2023,3503,45501300
C00-C97 (Malignant neoplasms),25,2024,2595,45501300
C00-C97 (Malignant neoplasms),35,2018,10640,41277888
C00-C97 (Malignant neoplasms),35,2019,10695,41659144
C00-C97 (Malignant neoplasms),35,2020,10730,42136192
C00-C97 (Malignant neoplasms),35,2021,11194,43403854
C00-C97 (Malignant neoplasms),35,2022,11177,43695365
C00-C97 (Malignant neoplasms),35,2023,11291,43695365
C00-C97 (Malignant neoplasms),35,2024,8094,43695365
C00-C97 (Malignant neoplasms),45,2018,37301,41631699
C00-C97 (Malignant neoplasms),45,2019,35587,40874902
C00-C97 (Malignant neoplasms),45,2020,34589,40366133
C00-C97 (Malignant neoplasms),45,2021,33567,40688436
C00-C97 (Malignant neoplasms),45,2022,33363,40431645
C00-C97 (Malignant neoplasms),45,2023,32867,40431645
C00-C97 (Malignant neoplasms),45,2024,22874,40431645
C00-C97 (Malignant neoplasms),55,2018,113947,42272636
C00-C97 (Malignant neoplasms),55,2019,111765,42448537
C00-C97 (Malignant neoplasms),55,2020,110243,42403677
C00-C97 (Malignant neoplasms),55,2021,108023,42803064
C00-C97 (Malignant neoplasms),55,2022,105133,42085437
C00-C97 (Malignant neoplasms),55,2023,101714,42085437
C00-C97 (Malignant neoplasms),55,2024,69561,42085437
C00-C97 (Malignant neoplasms),65,2018,169056,30492316
C00-C97 (Malignant neoplasms),65,2019,171062,31483433
C00-C97 (Malignant neoplasms),65,2020,175464,32549398
C00-C97 (Malignant neoplasms),65,2021,179145,33666122
C00-C97 (Malignant neoplasms),65,2022,178860,33788439
C00-C97 (Malignant neoplasms),65,2023,180690,33788439
C00-C97 (Malignant neoplasms),65,2024,127384,33788439
C00-C97 (Malignant neoplasms),75,2018,158794,15394374
C00-C97 (Malignant neoplasms),75,2019,160639,15969872
C00-C97 (Malignant neoplasms),75,2020,162876,16451547
C00-C97 (Malignant neoplasms),75,2021,164850,16206075
C00-C97 (Malignant neoplasms),75,2022,171573,17520545
C00-C97 (Malignant neoplasms),75,2023,177816,17520545
C00-C97 (Malignant neoplasms),75,2024,128860,17520545
C00-C97 (Malignant neoplasms),85,2018,103252,6544503
C00-C97 (Malignant neoplasms),85,2019,103761,6604958
C00-C97 (Malignant neoplasms),85,2020,102413,6658420
C00-C97 (Malignant neoplasms),85,2021,102359,5975756
C00-C97 (Malignant neoplasms),85,2022,102057,6485868
C00-C97 (Malignant neoplasms),85,2023,102839,6485868
C00-C97 (Malignant neoplasms),85,2024,74762,6485868
C00-D48 (Neoplasms),0,1999,126,3795762
C00-D48 (Neoplasms),0,2000,152,3805648
C00-D48 (Neoplasms),0,2001,117,4012658
C00-D48 (Neoplasms),0,2002,143,3951461
C00-D48 (Neoplasms),0,2003,137,3975871
C00-D48 (Neoplasms),0,2004,145,4014258
C00-D48 (Neoplasms),0,2005,134,4004393
C00-D48 (Neoplasms),0,2006,141,4041738
C00-D48 (Neoplasms),0,2007,131,4147997
C00-D48 (Neoplasms),0,2008,131,4132735
C00-D48 (Neoplasms),0,2009,136,4003587
C00-D48 (Neoplasms),0,2010,110,3944153
C00-D48 (Neoplasms),0,2011,124,3996537
C00-D48 (Neoplasms),0,2012,117,3943077
C00-D48 (Neoplasms),0,2013,116,3941783
C00-D48 (Neoplasms),0,2014,103,3948350
C00-D48 (Neoplasms),0,2015,100,3978038
C00-D48 (Neoplasms),0,2016,120,3970145
C00-D48 (Neoplasms),0,2017,98,3939295
C00-D48 (Neoplasms),1,1999,481,15339782
C00-D48 (Neoplasms),1,2000,473,15370150
C00-D48 (Neoplasms),1,2001,478,15285559
C00-D48 (Neoplasms),1,2002,462,15477731
C00-D48 (Neoplasms),1,2003,443,15616575
C00-D48 (Neoplasms),1,2004,452,15771627
C00-D48 (Neoplasms),1,2005,429,15913007
C00-D48 (Neoplasms),1,2006,437,15897145
C00-D48 (Neoplasms),1,2007,423,15977965
C00-D48 (Neoplasms),1,2008,440,16138392
C00-D48 (Neoplasms),1,2009,403,16240931
C00-D48 (Neoplasms),1,2010,405,16257209
C00-D48 (Neoplasms),1,2011,398,16165521
