age,date,state,dead
all,2020-03,Alabama,43
all,2020-03,Arizona,58
all,2020-03,California,266
all,2020-03,Colorado,92
all,2020-03,Connecticut,113
all,2020-03,District of Columbia,12
all,2020-03,Florida,173
all,2020-03,Georgia,212
all,2020-03,Idaho,12
all,2020-03,Illinois,194
all,2020-03,Indiana,120
all,2020-03,Iowa,10
all,2020-03,Kansas,15
all,2020-03,Kentucky,30
all,2020-03,Louisiana,376
all,2020-03,Maryland,48
all,2020-03,Massachusetts,121
all,2020-03,Michigan,473
all,2020-03,Minnesota,19
all,2020-03,Mississippi,36
all,2020-03,Missouri,28
all,2020-03,Nevada,33
all,2020-03,New Jersey,662
all,2020-03,New York,2707
all,2020-03,North Carolina,19
all,2020-03,Ohio,91
all,2020-03,Oklahoma,33
all,2020-03,Oregon,26
all,2020-03,Pennsylvania,99
all,2020-03,South Carolina,32
all,2020-03,Tennessee,32
all,2020-03,Texas,95
all,2020-03,Vermont,17
all,2020-03,Virginia,66
all,2020-03,Washington,273
all,2020-03,Wisconsin,43
all,2020-04,Alabama,309
all,2020-04,Arizona,387
all,2020-04,Arkansas,58
all,2020-04,California,1958
all,2020-04,Colorado,813
all,2020-04,Connecticut,2308
all,2020-04,Delaware,194
all,2020-04,District of Columbia,234
all,2020-04,Florida,1209
all,2020-04,Georgia,1002
all,2020-04,Hawaii,14
all,2020-04,Idaho,49
all,2020-04,Illinois,2424
all,2020-04,Indiana,1040
all,2020-04,Iowa,163
all,2020-04,Kansas,125
all,2020-04,Kentucky,236
all,2020-04,Louisiana,1543
all,2020-04,Maine,54
all,2020-04,Maryland,1208
all,2020-04,Massachusetts,3726
all,2020-04,Michigan,3451
all,2020-04,Minnesota,378
all,2020-04,Mississippi,276
all,2020-04,Missouri,420
all,2020-04,Montana,14
all,2020-04,Nebraska,78
all,2020-04,Nevada,212
all,2020-04,New Hampshire,94
all,2020-04,New Jersey,8467
all,2020-04,New Mexico,138
all,2020-04,New York,20969
all,2020-04,North Carolina,419
all,2020-04,North Dakota,19
all,2020-04,Ohio,989
all,2020-04,Oklahoma,189
all,2020-04,Oregon,101
all,2020-04,Pennsylvania,3296
all,2020-04,Rhode Island,297
all,2020-04,South Carolina,243
all,2020-04,South Dakota,22
all,2020-04,Tennessee,173
all,2020-04,Texas,874
all,2020-04,Utah,39
all,2020-04,Vermont,41
all,2020-04,Virginia,715
all,2020-04,Washington,509
all,2020-04,West Virginia,41
all,2020-04,Wisconsin,295
all,2020-05,Alabama,422
all,2020-05,Arizona,483
all,2020-05,Arkansas,67
all,2020-05,California,2125
all,2020-05,Colorado,402
all,2020-05,Connecticut,1419
all,2020-05,Delaware,263
all,2020-05,District of Columbia,254
all,2020-05,Florida,985
all,2020-05,Georgia,717
all,2020-05,Idaho,21
all,2020-05,Illinois,2709
all,2020-05,Indiana,867
all,2020-05,Iowa,360
all,2020-05,Kansas,85
all,2020-05,Kentucky,208
all,2020-05,Louisiana,676
all,2020-05,Maine,43
all,2020-05,Maryland,1405
all,2020-05,Massachusetts,2820
all,2020-05,Michigan,1182
all,2020-05,Minnesota,656
all,2020-05,Mississippi,408
all,2020-05,Missouri,366
all,2020-05,Nebraska,130
all,2020-05,Nevada,142
all,2020-05,New Hampshire,194
all,2020-05,New Jersey,2970
all,2020-05,New Mexico,228
all,2020-05,New York,5111
all,2020-05,North Carolina,493
all,2020-05,North Dakota,42
all,2020-05,Ohio,1053
all,2020-05,Oklahoma,87
all,2020-05,Oregon,50
all,2020-05,Pennsylvania,2510
all,2020-05,Rhode Island,401
all,2020-05,South Carolina,272
all,2020-05,South Dakota,46
all,2020-05,Tennessee,181
all,2020-05,Texas,907
all,2020-05,Utah,68
all,2020-05,Virginia,793
all,2020-05,Washington,245
all,2020-05,West Virginia,35
all,2020-05,Wisconsin,269
all,2020-06,Alabama,393
all,2020-06,Arizona,821
all,2020-06,Arkansas,147
all,2020-06,California,1899
all,2020-06,Colorado,136
all,2020-06,Connecticut,230
all,2020-06,Delaware,58
all,2020-06,District of Columbia,91
all,2020-06,Florida,898
all,2020-06,Georgia,435
all,2020-06,Idaho,10
all,2020-06,Illinois,1083
all,2020-06,Indiana,391
all,2020-06,Iowa,137
all,2020-06,Kansas,59
