type,date,dead
ucd,2020-02,16
ucd,2020-03,6750
ucd,2020-04,61824
ucd,2020-05,35186
ucd,2020-06,15767
ucd,2020-07,28174
ucd,2020-08,26940
ucd,2020-09,16806
ucd,2020-10,22030
ucd,2020-11,47938
ucd,2020-12,89397
ucd,2021-01,96235
ucd,2021-02,42761
ucd,2021-03,19593
ucd,2021-04,15967
ucd,2021-05,12690
ucd,2021-06,6528
ucd,2021-07,9698
ucd,2021-08,45352
ucd,2021-09,59084
ucd,2021-10,38681
ucd,2021-11,28950
ucd,2021-12,41354
ucd,2022-01,72466
ucd,2022-02,40960
ucd,2022-03,10969
ucd,2022-04,3661
ucd,2022-05,4809
ucd,2022-06,6222
ucd,2022-07,8921
ucd,2022-08,9338
ucd,2022-09,7033
ucd,2022-10,6074
ucd,2022-11,6370
ucd,2022-12,9729
ucd,2023-01,10022
ucd,2023-02,5808
ucd,2023-03,4818
ucd,2023-04,3179
ucd,2023-05,2109
ucd,2023-06,1544
ucd,2023-07,1461
ucd,2023-08,2741
ucd,2023-09,4192
ucd,2023-10,3900
ucd,2023-11,4217
ucd,2023-12,5941
ucd,2024-01,7011
ucd,2024-02,3958
ucd,2024-03,2606
ucd,2024-04,1318
ucd,2024-05,914
ucd,2024-06,1088
ucd,2024-07,2205
ucd,2024-08,3585
ucd,2024-09,3276
ucd,2024-10,2210
ucd,2024-11,1420
ucd,2024-12,1824
ucd,2025-01,2991
ucd,2025-02,2037
ucd,2025-03,1500
ucd,2025-04,1027
ucd,2025-05,607
ucd,2025-06,146
mcd,2020-02,19
mcd,2020-03,7135
mcd,2020-04,65344
mcd,2020-05,38229
mcd,2020-06,17959
mcd,2020-07,31010
mcd,2020-08,29806
mcd,2020-09,19099
mcd,2020-10,24858
mcd,2020-11,53138
mcd,2020-12,97934
mcd,2021-01,105339
mcd,2021-02,48458
mcd,2021-03,23218
mcd,2021-04,18747
mcd,2021-05,14933
mcd,2021-06,7986
mcd,2021-07,11178
mcd,2021-08,48693
mcd,2021-09,63301
mcd,2021-10,42519
mcd,2021-11,32266
mcd,2021-12,45555
mcd,2022-01,83790
mcd,2022-02,50196
mcd,2022-03,15593
mcd,2022-04,6253
mcd,2022-05,7621
mcd,2022-06,9517
mcd,2022-07,13358
mcd,2022-08,14111
mcd,2022-09,11104
mcd,2022-10,9701
mcd,2022-11,10017
mcd,2022-12,14353
mcd,2023-01,14976
mcd,2023-02,9055
mcd,2023-03,7666
mcd,2023-04,5227
mcd,2023-05,3575
mcd,2023-06,2617
mcd,2023-07,2385
mcd,2023-08,4087
mcd,2023-09,5997
mcd,2023-10,5946
mcd,2023-11,6256
mcd,2023-12,8666
mcd,2024-01,10316
mcd,2024-02,6058
mcd,2024-03,4197
mcd,2024-04,2253
mcd,2024-05,1560
mcd,2024-06,1693
mcd,2024-07,3223
mcd,2024-08,5211
mcd,2024-09,4924
mcd,2024-10,3356
mcd,2024-11,2229
mcd,2024-12,2736
mcd,2025-01,4386
mcd,2025-02,3066
mcd,2025-03,2282
mcd,2025-04,1573
mcd,2025-05,946
mcd,2025-06,238
