date,age,covid,all
1999-01,0,,2351
1999-02,0,,2160
1999-03,0,,2399
1999-04,0,,2337
1999-05,0,,2347
1999-06,0,,2296
1999-07,0,,2321
1999-08,0,,2313
1999-09,0,,2344
1999-10,0,,2415
1999-11,0,,2248
1999-12,0,,2406
2000-01,0,,2395
2000-02,0,,2227
2000-03,0,,2429
2000-04,0,,2376
2000-05,0,,2336
2000-06,0,,2391
2000-07,0,,2281
2000-08,0,,2293
2000-09,0,,2287
2000-10,0,,2396
2000-11,0,,2243
2000-12,0,,2381
2001-01,0,,2424
2001-02,0,,2282
2001-03,0,,2387
2001-04,0,,2262
2001-05,0,,2382
2001-06,0,,2144
2001-07,0,,2239
2001-08,0,,2316
2001-09,0,,2206
2001-10,0,,2334
2001-11,0,,2236
2001-12,0,,2356
2002-01,0,,2451
2002-02,0,,2180
2002-03,0,,2460
2002-04,0,,2402
2002-05,0,,2378
2002-06,0,,2324
2002-07,0,,2276
2002-08,0,,2330
2002-09,0,,2292
2002-10,0,,2343
2002-11,0,,2260
2002-12,0,,2338
2003-01,0,,2393
2003-02,0,,2136
2003-03,0,,2353
2003-04,0,,2294
2003-05,0,,2381
2003-06,0,,2361
2003-07,0,,2427
2003-08,0,,2354
2003-09,0,,2273
2003-10,0,,2384
2003-11,0,,2225
2003-12,0,,2444
2004-01,0,,2452
2004-02,0,,2292
2004-03,0,,2340
2004-04,0,,2201
2004-05,0,,2348
2004-06,0,,2217
2004-07,0,,2463
2004-08,0,,2319
2004-09,0,,2316
2004-10,0,,2424
2004-11,0,,2257
2004-12,0,,2307
2005-01,0,,2355
2005-02,0,,2170
2005-03,0,,2529
2005-04,0,,2394
2005-05,0,,2514
2005-06,0,,2343
2005-07,0,,2475
2005-08,0,,2394
2005-09,0,,2226
2005-10,0,,2352
2005-11,0,,2266
2005-12,0,,2422
2006-01,0,,2317
2006-02,0,,2195
2006-03,0,,2493
2006-04,0,,2365
2006-05,0,,2365
2006-06,0,,2386
2006-07,0,,2438
2006-08,0,,2426
2006-09,0,,2354
2006-10,0,,2376
2006-11,0,,2332
2006-12,0,,2480
2007-01,0,,2475
2007-02,0,,2216
2007-03,0,,2538
2007-04,0,,2393
2007-05,0,,2583
2007-06,0,,2336
2007-07,0,,2377
2007-08,0,,2537
2007-09,0,,2353
2007-10,0,,2446
2007-11,0,,2431
2007-12,0,,2453
2008-01,0,,2498
2008-02,0,,2338
2008-03,0,,2453
2008-04,0,,2268
2008-05,0,,2424
2008-06,0,,2273
2008-07,0,,2323
2008-08,0,,2423
2008-09,0,,2210
2008-10,0,,2307
2008-11,0,,2255
2008-12,0,,2287
2009-01,0,,2283
2009-02,0,,2089
2009-03,0,,2328
2009-04,0,,2368
2009-05,0,,2277
2009-06,0,,2159
2009-07,0,,2188
2009-08,0,,2275
2009-09,0,,2098
2009-10,0,,2230
2009-11,0,,2042
2009-12,0,,2075
2010-01,0,,2178
2010-02,0,,1938
2010-03,0,,2057
2010-04,0,,2077
2010-05,0,,2128
2010-06,0,,1969
2010-07,0,,2044
2010-08,0,,2124
2010-09,0,,2032
2010-10,0,,2113
2010-11,0,,1973
2010-12,0,,1953
2011-01,0,,1979
2011-02,0,,1911
2011-03,0,,2106
2011-04,0,,1976
2011-05,0,,2005
2011-06,0,,1973
2011-07,0,,1975
2011-08,0,,2090
2011-09,0,,1968
2011-10,0,,2104
2011-11,0,,1967
2011-12,0,,1931
2012-01,0,,1914
2012-02,0,,1932
2012-03,0,,1955
2012-04,0,,1996
2012-05,0,,2053
2012-06,0,,1931
2012-07,0,,1982
2012-08,0,,2013
2012-09,0,,1992
