age,month,state,dead
0-54,2020-03,Arizona,13
0-54,2020-03,California,38
0-54,2020-03,Connecticut,10
0-54,2020-03,Florida,13
0-54,2020-03,Georgia,28
0-54,2020-03,Illinois,32
0-54,2020-03,Indiana,10
0-54,2020-03,Louisiana,55
0-54,2020-03,Michigan,89
0-54,2020-03,New Jersey,68
0-54,2020-03,New York,368
0-54,2020-03,Texas,13
0-54,2020-04,Alabama,23
0-54,2020-04,Arizona,33
0-54,2020-04,California,197
0-54,2020-04,Colorado,45
0-54,2020-04,Connecticut,77
0-54,2020-04,Delaware,16
0-54,2020-04,District of Columbia,18
0-54,2020-04,Florida,82
0-54,2020-04,Georgia,85
0-54,2020-04,Illinois,217
0-54,2020-04,Indiana,45
0-54,2020-04,Iowa,17
0-54,2020-04,Kentucky,11
0-54,2020-04,Louisiana,123
0-54,2020-04,Maryland,100
0-54,2020-04,Massachusetts,92
0-54,2020-04,Michigan,242
0-54,2020-04,Mississippi,23
0-54,2020-04,Missouri,18
0-54,2020-04,Nevada,21
0-54,2020-04,New Jersey,693
0-54,2020-04,New Mexico,20
0-54,2020-04,New York,1870
0-54,2020-04,North Carolina,29
0-54,2020-04,Ohio,45
0-54,2020-04,Oklahoma,11
0-54,2020-04,Pennsylvania,128
0-54,2020-04,South Carolina,14
0-54,2020-04,Tennessee,13
0-54,2020-04,Texas,105
0-54,2020-04,Virginia,45
0-54,2020-04,Washington,36
0-54,2020-04,Wisconsin,24
0-54,2020-05,Alabama,41
0-54,2020-05,Arizona,71
0-54,2020-05,California,188
0-54,2020-05,Colorado,30
0-54,2020-05,Connecticut,36
0-54,2020-05,Delaware,19
0-54,2020-05,District of Columbia,17
0-54,2020-05,Florida,51
0-54,2020-05,Georgia,61
0-54,2020-05,Illinois,250
0-54,2020-05,Indiana,38
0-54,2020-05,Iowa,20
0-54,2020-05,Kansas,14
0-54,2020-05,Louisiana,55
0-54,2020-05,Maryland,131
0-54,2020-05,Massachusetts,77
0-54,2020-05,Michigan,77
0-54,2020-05,Minnesota,29
0-54,2020-05,Mississippi,41
0-54,2020-05,Missouri,12
0-54,2020-05,Nevada,14
0-54,2020-05,New Jersey,223
0-54,2020-05,New Mexico,35
0-54,2020-05,New York,407
0-54,2020-05,North Carolina,48
0-54,2020-05,Ohio,37
0-54,2020-05,Pennsylvania,97
0-54,2020-05,Rhode Island,12
0-54,2020-05,South Carolina,10
0-54,2020-05,Tennessee,20
0-54,2020-05,Texas,103
0-54,2020-05,Virginia,38
0-54,2020-05,Washington,14
0-54,2020-05,Wisconsin,22
0-54,2020-06,Alabama,44
0-54,2020-06,Arizona,112
0-54,2020-06,Arkansas,30
0-54,2020-06,California,236
0-54,2020-06,Colorado,14
0-54,2020-06,Connecticut,11
0-54,2020-06,District of Columbia,14
0-54,2020-06,Florida,73
0-54,2020-06,Georgia,56
0-54,2020-06,Illinois,94
0-54,2020-06,Indiana,22
0-54,2020-06,Kentucky,17
0-54,2020-06,Louisiana,26
0-54,2020-06,Maryland,74
0-54,2020-06,Massachusetts,27
0-54,2020-06,Michigan,17
0-54,2020-06,Minnesota,21
0-54,2020-06,Mississippi,40
0-54,2020-06,Missouri,15
0-54,2020-06,Nebraska,20
0-54,2020-06,Nevada,10
0-54,2020-06,New Jersey,53
0-54,2020-06,New Mexico,19
0-54,2020-06,New York,85
0-54,2020-06,North Carolina,58
0-54,2020-06,Ohio,25
0-54,2020-06,Pennsylvania,36
0-54,2020-06,South Carolina,27
0-54,2020-06,Tennessee,18
0-54,2020-06,Texas,228
0-54,2020-06,Virginia,38
0-54,2020-06,Washington,11
0-54,2020-06,Wisconsin,10
0-54,2020-07,Alabama,71
0-54,2020-07,Arizona,249
0-54,2020-07,Arkansas,24
0-54,2020-07,California,499
0-54,2020-07,Colorado,14
0-54,2020-07,Florida,346
0-54,2020-07,Georgia,156
0-54,2020-07,Illinois,48
0-54,2020-07,Indiana,14
0-54,2020-07,Kansas,13
0-54,2020-07,Louisiana,73
0-54,2020-07,Maryland,28
0-54,2020-07,Michigan,19
0-54,2020-07,Minnesota,12
0-54,2020-07,Mississippi,67
0-54,2020-07,Missouri,16
0-54,2020-07,Nevada,46
0-54,2020-07,New Jersey,21
0-54,2020-07,New Mexico,22
0-54,2020-07,New York,30
0-54,2020-07,North Carolina,58
0-54,2020-07,Ohio,35
0-54,2020-07,Oklahoma,22
0-54,2020-07,Pennsylvania,25
0-54,2020-07,South Carolina,64
0-54,2020-07,Tennessee,57
0-54,2020-07,Texas,898
0-54,2020-07,Utah,15
0-54,2020-07,Virginia,33
0-54,2020-07,Washington,24
0-54,2020-07,Wisconsin,14
0-54,2020-08,Alabama,90
0-54,2020-08,Arizona,101
0-54,2020-08,Arkansas,32
0-54,2020-08,California,408
0-54,2020-08,Florida,246
0-54,2020-08,Georgia,161
0-54,2020-08,Illinois,41
0-54,2020-08,Indiana,21
0-54,2020-08,Iowa,11
0-54,2020-08,Kansas,12
0-54,2020-08,Kentucky,12
0-54,2020-08,Louisiana,51
0-54,2020-08,Maryland,31
0-54,2020-08,Minnesota,10
0-54,2020-08,Mississippi,77
0-54,2020-08,Missouri,24
0-54,2020-08,Nevada,59
0-54,2020-08,New Jersey,14
0-54,2020-08,New Mexico,17
0-54,2020-08,New York,23
0-54,2020-08,North Carolina,54
0-54,2020-08,Ohio,22
0-54,2020-08,Oklahoma,18
0-54,2020-08,Pennsylvania,18
0-54,2020-08,South Carolina,58
0-54,2020-08,Tennessee,53
0-54,2020-08,Texas,607
0-54,2020-08,Virginia,33
0-54,2020-08,Washington,22
0-54,2020-08,Wisconsin,11
0-54,2020-09,Alabama,44
0-54,2020-09,Arizona,38
0-54,2020-09,Arkansas,26
0-54,2020-09,California,202
0-54,2020-09,Florida,119
0-54,2020-09,Georgia,74
0-54,2020-09,Illinois,26
0-54,2020-09,Indiana,13
0-54,2020-09,Iowa,13
0-54,2020-09,Kansas,11
0-54,2020-09,Kentucky,12
