type,cause,year,month,dead
ucd,D80-D89,1999,1,115
ucd,D80-D89,1999,2,107
ucd,D80-D89,1999,3,119
ucd,D80-D89,1999,4,99
ucd,D80-D89,1999,5,95
ucd,D80-D89,1999,6,87
ucd,D80-D89,1999,7,94
ucd,D80-D89,1999,8,82
ucd,D80-D89,1999,9,93
ucd,D80-D89,1999,10,77
ucd,D80-D89,1999,11,91
ucd,D80-D89,1999,12,98
ucd,D80-D89,2000,1,156
ucd,D80-D89,2000,2,108
ucd,D80-D89,2000,3,112
ucd,D80-D89,2000,4,100
ucd,D80-D89,2000,5,109
ucd,D80-D89,2000,6,107
ucd,D80-D89,2000,7,99
ucd,D80-D89,2000,8,105
ucd,D80-D89,2000,9,101
ucd,D80-D89,2000,10,114
ucd,D80-D89,2000,11,121
ucd,D80-D89,2000,12,114
ucd,D80-D89,2001,1,131
ucd,D80-D89,2001,2,122
ucd,D80-D89,2001,3,114
ucd,D80-D89,2001,4,117
ucd,D80-D89,2001,5,128
ucd,D80-D89,2001,6,98
ucd,D80-D89,2001,7,113
ucd,D80-D89,2001,8,113
ucd,D80-D89,2001,9,110
ucd,D80-D89,2001,10,116
ucd,D80-D89,2001,11,126
ucd,D80-D89,2001,12,142
ucd,D80-D89,2002,1,145
ucd,D80-D89,2002,2,139
ucd,D80-D89,2002,3,117
ucd,D80-D89,2002,4,116
ucd,D80-D89,2002,5,122
ucd,D80-D89,2002,6,115
ucd,D80-D89,2002,7,118
ucd,D80-D89,2002,8,113
ucd,D80-D89,2002,9,125
ucd,D80-D89,2002,10,126
ucd,D80-D89,2002,11,122
ucd,D80-D89,2002,12,114
ucd,D80-D89,2003,1,133
ucd,D80-D89,2003,2,108
ucd,D80-D89,2003,3,125
ucd,D80-D89,2003,4,117
ucd,D80-D89,2003,5,128
ucd,D80-D89,2003,6,119
ucd,D80-D89,2003,7,131
ucd,D80-D89,2003,8,104
ucd,D80-D89,2003,9,128
ucd,D80-D89,2003,10,107
ucd,D80-D89,2003,11,131
ucd,D80-D89,2003,12,143
ucd,D80-D89,2004,1,123
ucd,D80-D89,2004,2,112
ucd,D80-D89,2004,3,127
ucd,D80-D89,2004,4,113
ucd,D80-D89,2004,5,103
ucd,D80-D89,2004,6,107
ucd,D80-D89,2004,7,126
ucd,D80-D89,2004,8,109
ucd,D80-D89,2004,9,121
ucd,D80-D89,2004,10,108
ucd,D80-D89,2004,11,114
ucd,D80-D89,2004,12,136
ucd,D80-D89,2005,1,146
ucd,D80-D89,2005,2,139
ucd,D80-D89,2005,3,144
ucd,D80-D89,2005,4,144
ucd,D80-D89,2005,5,124
ucd,D80-D89,2005,6,84
ucd,D80-D89,2005,7,93
ucd,D80-D89,2005,8,119
ucd,D80-D89,2005,9,97
ucd,D80-D89,2005,10,135
ucd,D80-D89,2005,11,120
ucd,D80-D89,2005,12,125
ucd,D80-D89,2006,1,148
ucd,D80-D89,2006,2,133
ucd,D80-D89,2006,3,126
ucd,D80-D89,2006,4,110
ucd,D80-D89,2006,5,137
ucd,D80-D89,2006,6,105
ucd,D80-D89,2006,7,109
ucd,D80-D89,2006,8,108
ucd,D80-D89,2006,9,128
ucd,D80-D89,2006,10,134
ucd,D80-D89,2006,11,117
ucd,D80-D89,2006,12,132
ucd,D80-D89,2007,1,115
ucd,D80-D89,2007,2,132
ucd,D80-D89,2007,3,147
ucd,D80-D89,2007,4,123
ucd,D80-D89,2007,5,123
ucd,D80-D89,2007,6,122
ucd,D80-D89,2007,7,140
ucd,D80-D89,2007,8,138
ucd,D80-D89,2007,9,131
ucd,D80-D89,2007,10,103
ucd,D80-D89,2007,11,119
ucd,D80-D89,2007,12,135
ucd,D80-D89,2008,1,130
ucd,D80-D89,2008,2,120
ucd,D80-D89,2008,3,136
ucd,D80-D89,2008,4,94
ucd,D80-D89,2008,5,102
ucd,D80-D89,2008,6,125
ucd,D80-D89,2008,7,113
ucd,D80-D89,2008,8,133
ucd,D80-D89,2008,9,105
ucd,D80-D89,2008,10,94
ucd,D80-D89,2008,11,109
ucd,D80-D89,2008,12,120
ucd,D80-D89,2009,1,133
ucd,D80-D89,2009,2,117
ucd,D80-D89,2009,3,153
ucd,D80-D89,2009,4,114
ucd,D80-D89,2009,5,123
ucd,D80-D89,2009,6,119
ucd,D80-D89,2009,7,120
ucd,D80-D89,2009,8,126
ucd,D80-D89,2009,9,105
ucd,D80-D89,2009,10,132
ucd,D80-D89,2009,11,109
ucd,D80-D89,2009,12,120
ucd,D80-D89,2010,1,133
ucd,D80-D89,2010,2,120
ucd,D80-D89,2010,3,135
ucd,D80-D89,2010,4,121
ucd,D80-D89,2010,5,129
ucd,D80-D89,2010,6,102
ucd,D80-D89,2010,7,102
ucd,D80-D89,2010,8,104
ucd,D80-D89,2010,9,120
ucd,D80-D89,2010,10,113
ucd,D80-D89,2010,11,122
ucd,D80-D89,2010,12,135
ucd,D80-D89,2011,1,132
ucd,D80-D89,2011,2,155
ucd,D80-D89,2011,3,134
ucd,D80-D89,2011,4,123
ucd,D80-D89,2011,5,126
ucd,D80-D89,2011,6,116
ucd,D80-D89,2011,7,116
