date,year,week,dead
2018-01-06,2018,1,57113
2018-01-13,2018,2,67495
2018-01-20,2018,3,64647
2018-01-27,2018,4,62780
2018-02-03,2018,5,60974
2018-02-10,2018,6,61110
2018-02-17,2018,7,59779
2018-02-24,2018,8,57793
2018-03-03,2018,9,56692
2018-03-10,2018,10,57093
2018-03-17,2018,11,56326
2018-03-24,2018,12,55766
2018-03-31,2018,13,54918
2018-04-07,2018,14,55294
2018-04-14,2018,15,55228
2018-04-21,2018,16,54038
2018-04-28,2018,17,53727
2018-05-05,2018,18,53741
2018-05-12,2018,19,52105
2018-05-19,2018,20,50618
2018-05-26,2018,21,50929
2018-06-02,2018,22,51045
2018-06-09,2018,23,52001
2018-06-16,2018,24,51387
2018-06-23,2018,25,51044
2018-06-30,2018,26,50855
2018-07-07,2018,27,51684
2018-07-14,2018,28,51191
2018-07-21,2018,29,50609
2018-07-28,2018,30,50274
2018-08-04,2018,31,50637
2018-08-11,2018,32,50967
2018-08-18,2018,33,50301
2018-08-25,2018,34,50459
2018-09-01,2018,35,50611
2018-09-08,2018,36,50299
2018-09-15,2018,37,51083
2018-09-22,2018,38,51583
2018-09-29,2018,39,50959
2018-10-06,2018,40,52357
2018-10-13,2018,41,51849
2018-10-20,2018,42,52979
2018-10-27,2018,43,53763
2018-11-03,2018,44,53638
2018-11-10,2018,45,53561
2018-11-17,2018,46,54698
2018-11-24,2018,47,54847
2018-12-01,2018,48,55060
2018-12-08,2018,49,55967
2018-12-15,2018,50,56387
2018-12-22,2018,51,56528
2018-12-29,2018,52,56026
NA,2018,99,164
2019-01-05,2019,1,58299
2019-01-12,2019,2,58362
2019-01-19,2019,3,58220
2019-01-26,2019,4,57908
2019-02-02,2019,5,58151
2019-02-09,2019,6,58524
2019-02-16,2019,7,58000
2019-02-23,2019,8,58005
2019-03-02,2019,9,57972
2019-03-09,2019,10,58546
2019-03-16,2019,11,57917
2019-03-23,2019,12,57096
2019-03-30,2019,13,56675
2019-04-06,2019,14,56598
2019-04-13,2019,15,55492
2019-04-20,2019,16,54470
2019-04-27,2019,17,53656
2019-05-04,2019,18,53987
2019-05-11,2019,19,53478
2019-05-18,2019,20,53578
2019-05-25,2019,21,53695
2019-06-01,2019,22,52727
2019-06-08,2019,23,53141
2019-06-15,2019,24,52647
2019-06-22,2019,25,52292
2019-06-29,2019,26,52209
2019-07-06,2019,27,52344
2019-07-13,2019,28,51931
2019-07-20,2019,29,51649
2019-07-27,2019,30,51662
2019-08-03,2019,31,51410
2019-08-10,2019,32,51747
2019-08-17,2019,33,51023
2019-08-24,2019,34,51022
2019-08-31,2019,35,51162
2019-09-07,2019,36,51836
2019-09-14,2019,37,51633
2019-09-21,2019,38,51758
2019-09-28,2019,39,52758
2019-10-05,2019,40,52564
2019-10-12,2019,41,53092
2019-10-19,2019,42,54341
2019-10-26,2019,43,54049
2019-11-02,2019,44,54087
2019-11-09,2019,45,55699
2019-11-16,2019,46,55889
2019-11-23,2019,47,56200
2019-11-30,2019,48,55468
2019-12-07,2019,49,57303
2019-12-14,2019,50,57660
2019-12-21,2019,51,57425
2019-12-28,2019,52,58462
NA,2019,99,139
2020-01-04,2020,1,60036
2020-01-11,2020,2,60586
2020-01-18,2020,3,59213
2020-01-25,2020,4,59020
2020-02-01,2020,5,58699
2020-02-08,2020,6,59353
2020-02-15,2020,7,58699
2020-02-22,2020,8,58773
2020-02-29,2020,9,59200
2020-03-07,2020,10,59567
2020-03-14,2020,11,58547
2020-03-21,2020,12,59093
2020-03-28,2020,13,62876
2020-04-04,2020,14,72144
2020-04-11,2020,15,78946
2020-04-18,2020,16,76698
2020-04-25,2020,17,73774
2020-05-02,2020,18,69187
2020-05-09,2020,19,66710
2020-05-16,2020,20,64398
2020-05-23,2020,21,61524
2020-05-30,2020,22,59594
2020-06-06,2020,23,58805
2020-06-13,2020,24,57921
2020-06-20,2020,25,57904
2020-06-27,2020,26,58393
2020-07-04,2020,27,59703
2020-07-11,2020,28,61799
2020-07-18,2020,29,62997
2020-07-25,2020,30,64120
2020-08-01,2020,31,64120
2020-08-08,2020,32,63577
2020-08-15,2020,33,63511
2020-08-22,2020,34,62439
2020-08-29,2020,35,60979
2020-09-05,2020,36,60122
2020-09-12,2020,37,59548
2020-09-19,2020,38,59637
2020-09-26,2020,39,60508
2020-10-03,2020,40,59708
2020-10-10,2020,41,61672
2020-10-17,2020,42,60509
2020-10-24,2020,43,62089
2020-10-31,2020,44,63322
2020-11-07,2020,45,67472
2020-11-14,2020,46,68727
2020-11-21,2020,47,71539
2020-11-28,2020,48,73186
2020-12-05,2020,49,77274
2020-12-12,2020,50,81861
2020-12-19,2020,51,82802
2020-12-26,2020,52,84227
2021-01-02,2020,53,86854
NA,2020,99,198
2021-01-09,2021,1,86888
2021-01-16,2021,2,87230
2021-01-23,2021,3,83538
2021-01-30,2021,4,79051
2021-02-06,2021,5,76349
2021-02-13,2021,6,71382
2021-02-20,2021,7,69371
2021-02-27,2021,8,66618
2021-03-06,2021,9,63572
2021-03-13,2021,10,61754
2021-03-20,2021,11,60241
2021-03-27,2021,12,60713
2021-04-03,2021,13,58566
2021-04-10,2021,14,60883
2021-04-17,2021,15,59019
2021-04-24,2021,16,60144
2021-05-01,2021,17,59683
2021-05-08,2021,18,58891
2021-05-15,2021,19,58331
2021-05-22,2021,20,58634
2021-05-29,2021,21,57218
2021-06-05,2021,22,57347
2021-06-12,2021,23,57002
2021-06-19,2021,24,57102
2021-06-26,2021,25,56762
2021-07-03,2021,26,57399
2021-07-10,2021,27,57050
2021-07-17,2021,28,57062
2021-07-24,2021,29,58318
2021-07-31,2021,30,60181
2021-08-07,2021,31,63599
2021-08-14,2021,32,66883
2021-08-21,2021,33,69804
2021-08-28,2021,34,71978
2021-09-04,2021,35,73349
2021-09-11,2021,36,73570
2021-09-18,2021,37,73145
2021-09-25,2021,38,72039
2021-10-02,2021,39,71203
2021-10-09,2021,40,68971
2021-10-16,2021,41,67417
2021-10-23,2021,42,66924
2021-10-30,2021,43,66322
2021-11-06,2021,44,66497
2021-11-13,2021,45,67317
2021-11-20,2021,46,66814
2021-11-27,2021,47,67824
2021-12-04,2021,48,70026
2021-12-11,2021,49,71992
2021-12-18,2021,50,71175
2021-12-25,2021,51,72140
2022-01-01,2021,52,74259
NA,2021,99,263
2022-01-08,2022,1,79679
2022-01-15,2022,2,84960
2022-01-22,2022,3,85545
2022-01-29,2022,4,84940
2022-02-05,2022,5,81207
2022-02-12,2022,6,77136
2022-02-19,2022,7,70911
2022-02-26,2022,8,66069
2022-03-05,2022,9,64415
2022-03-12,2022,10,61807
2022-03-19,2022,11,60527
2022-03-26,2022,12,58518
2022-04-02,2022,13,57993
2022-04-09,2022,14,57780
2022-04-16,2022,15,57774
2022-04-23,2022,16,56656
2022-04-30,2022,17,57275
2022-05-07,2022,18,57445
2022-05-14,2022,19,57854
2022-05-21,2022,20,57592
2022-05-28,2022,21,57032
2022-06-04,2022,22,57520
2022-06-11,2022,23,58004
2022-06-18,2022,24,57703
2022-06-25,2022,25,58240
2022-07-02,2022,26,58009
2022-07-09,2022,27,58114
2022-07-16,2022,28,58395
2022-07-23,2022,29,59725
2022-07-30,2022,30,58739
2022-08-06,2022,31,59155
2022-08-13,2022,32,58563
2022-08-20,2022,33,58407
2022-08-27,2022,34,58252
2022-09-03,2022,35,58049
2022-09-10,2022,36,58658
2022-09-17,2022,37,58223
2022-09-24,2022,38,58716
2022-10-01,2022,39,58520
2022-10-08,2022,40,59546
2022-10-15,2022,41,59715
2022-10-22,2022,42,60073
2022-10-29,2022,43,60011
2022-11-05,2022,44,61008
2022-11-12,2022,45,61031
2022-11-19,2022,46,61605
2022-11-26,2022,47,64605
2022-12-03,2022,48,65757
2022-12-10,2022,49,66997
2022-12-17,2022,50,66385
2022-12-24,2022,51,67944
2022-12-31,2022,52,70165
