year,week,ending,dead,type
2018,1,2018-01-06,1646,All
2018,2,2018-01-13,1911,All
2018,3,2018-01-20,1731,All
2018,4,2018-01-27,1701,All
2018,5,2018-02-03,1716,All
2018,6,2018-02-10,1770,All
2018,7,2018-02-17,1711,All
2018,8,2018-02-24,1636,All
2018,9,2018-03-03,1710,All
2018,10,2018-03-10,1731,All
2018,11,2018-03-17,1702,All
2018,12,2018-03-24,1606,All
2018,13,2018-03-31,1548,All
2018,14,2018-04-07,1674,All
2018,15,2018-04-14,1596,All
2018,16,2018-04-21,1575,All
2018,17,2018-04-28,1521,All
2018,18,2018-05-05,1620,All
2018,19,2018-05-12,1681,All
2018,20,2018-05-19,1520,All
2018,21,2018-05-26,1569,All
2018,22,2018-06-02,1590,All
2018,23,2018-06-09,1613,All
2018,24,2018-06-16,1564,All
2018,25,2018-06-23,1544,All
2018,26,2018-06-30,1607,All
2018,27,2018-07-07,1554,All
2018,28,2018-07-14,1581,All
2018,29,2018-07-21,1578,All
2018,30,2018-07-28,1561,All
2018,31,2018-08-04,1493,All
2018,32,2018-08-11,1666,All
2018,33,2018-08-18,1529,All
2018,34,2018-08-25,1548,All
2018,35,2018-09-01,1522,All
2018,36,2018-09-08,1610,All
2018,37,2018-09-15,1640,All
2018,38,2018-09-22,1587,All
2018,39,2018-09-29,1526,All
2018,40,2018-10-06,1586,All
2018,41,2018-10-13,1597,All
2018,42,2018-10-20,1549,All
2018,43,2018-10-27,1638,All
2018,44,2018-11-03,1666,All
2018,45,2018-11-10,1600,All
2018,46,2018-11-17,1588,All
2018,47,2018-11-24,1638,All
2018,48,2018-12-01,1576,All
2018,49,2018-12-08,1706,All
2018,50,2018-12-15,1727,All
2018,51,2018-12-22,1616,All
2018,52,2018-12-29,1672,All
2019,1,2019-01-05,1770,All
2019,2,2019-01-12,1595,All
2019,3,2019-01-19,1568,All
2019,4,2019-01-26,1630,All
2019,5,2019-02-02,1709,All
2019,6,2019-02-09,1641,All
2019,7,2019-02-16,1608,All
2019,8,2019-02-23,1598,All
2019,9,2019-03-02,1694,All
