type,year,week,dead
andcovid,2020,12,18
andcovid,2020,13,94
andcovid,2020,14,256
andcovid,2020,15,286
andcovid,2020,16,262
andcovid,2020,17,233
andcovid,2020,18,176
andcovid,2020,19,156
andcovid,2020,20,151
andcovid,2020,21,107
andcovid,2020,22,95
andcovid,2020,23,96
andcovid,2020,24,91
andcovid,2020,25,81
andcovid,2020,26,92
andcovid,2020,27,123
andcovid,2020,28,137
andcovid,2020,29,176
andcovid,2020,30,170
andcovid,2020,31,163
andcovid,2020,32,144
andcovid,2020,33,132
andcovid,2020,34,144
andcovid,2020,35,103
andcovid,2020,36,98
andcovid,2020,37,102
andcovid,2020,38,62
andcovid,2020,39,83
andcovid,2020,40,71
andcovid,2020,41,78
andcovid,2020,42,66
andcovid,2020,43,78
andcovid,2020,44,97
andcovid,2020,45,123
andcovid,2020,46,131
andcovid,2020,47,173
andcovid,2020,48,199
andcovid,2020,49,231
andcovid,2020,50,271
andcovid,2020,51,312
andcovid,2020,52,376
andcovid,2020,53,428
andcovid,2021,01,478
andcovid,2021,02,403
andcovid,2021,03,395
andcovid,2021,04,371
andcovid,2021,05,309
andcovid,2021,06,267
andcovid,2021,07,216
andcovid,2021,08,190
andcovid,2021,09,140
andcovid,2021,10,146
andcovid,2021,11,145
andcovid,2021,12,101
andcovid,2021,13,112
andcovid,2021,14,124
andcovid,2021,15,134
andcovid,2021,16,155
andcovid,2021,17,137
andcovid,2021,18,120
andcovid,2021,19,111
andcovid,2021,20,104
andcovid,2021,21,84
andcovid,2021,22,86
andcovid,2021,23,64
andcovid,2021,24,62
andcovid,2021,25,70
andcovid,2021,26,59
andcovid,2021,27,77
andcovid,2021,28,92
andcovid,2021,29,133
andcovid,2021,30,192
andcovid,2021,31,319
andcovid,2021,32,438
andcovid,2021,33,553
andcovid,2021,34,616
andcovid,2021,35,698
andcovid,2021,36,622
andcovid,2021,37,573
andcovid,2021,38,571
andcovid,2021,39,475
andcovid,2021,40,382
andcovid,2021,41,370
andcovid,2021,42,278
andcovid,2021,43,268
andcovid,2021,44,216
andcovid,2021,45,205
andcovid,2021,46,206
andcovid,2021,47,212
andcovid,2021,48,242
andcovid,2021,49,273
andcovid,2021,50,314
andcovid,2021,51,325
andcovid,2021,52,367
andcovid,2022,01,472
andcovid,2022,02,508
andcovid,2022,03,503
andcovid,2022,04,489
andcovid,2022,05,404
andcovid,2022,06,320
andcovid,2022,07,237
andcovid,2022,08,150
andcovid,2022,09,105
andcovid,2022,10,77
andcovid,2022,11,65
andcovid,2022,12,51
andcovid,2022,13,48
andcovid,2022,14,40
andcovid,2022,15,39
andcovid,2022,16,36
andcovid,2022,17,32
andcovid,2022,18,33
andcovid,2022,19,39
andcovid,2022,20,44
andcovid,2022,21,43
andcovid,2022,22,32
andcovid,2022,23,42
andcovid,2022,24,43
andcovid,2022,25,37
andcovid,2022,26,43
andcovid,2022,27,53
andcovid,2022,28,63
andcovid,2022,29,41
andcovid,2022,30,67
andcovid,2022,31,60
andcovid,2022,32,65
andcovid,2022,33,58
andcovid,2022,34,52
andcovid,2022,35,53
andcovid,2022,36,52
andcovid,2022,37,49
andcovid,2022,38,35
andcovid,2022,39,36
andcovid,2022,40,27
andcovid,2022,41,29
andcovid,2022,42,31
andcovid,2022,43,27
andcovid,2022,44,33
andcovid,2022,45,38
andcovid,2022,46,36
andcovid,2022,47,45
andcovid,2022,48,27
andcovid,2022,49,48
andcovid,2022,50,52
andcovid,2022,51,54
andcovid,2022,52,54
andcovid,2023,01,44
andcovid,2023,02,48
andcovid,2023,03,46
andcovid,2023,04,39
andcovid,2023,05,37
andcovid,2023,06,33
andcovid,2023,07,27
andcovid,2023,08,34
andcovid,2023,09,26
andcovid,2023,10,19
andcovid,2023,11,21
andcovid,2023,12,27
andcovid,2023,13,17
andcovid,2023,14,17
andcovid,2023,15,17
andcovid,2023,16,16
andcovid,2023,17,15
andcovid,2023,18,12
andcovid,2023,20,10
andcovid,2023,21,13
andcovid,2023,22,11
andcovid,2023,33,19
andcovid,2023,34,14
andcovid,2023,35,12
andcovid,2023,36,20
andcovid,2023,37,18
andcovid,2023,38,16
andcovid,2023,39,19
andcovid,2023,40,11
andcovid,2023,41,17
andcovid,2023,42,19
andcovid,2023,43,11
andcovid,2023,44,12
andcovid,2023,45,14
andcovid,2023,46,13
andcovid,2023,47,19
andcovid,2023,48,19
andcovid,2023,49,24
andcovid,2023,50,21
andcovid,2023,51,29
andcovid,2023,52,20
andcovid,2024,01,31
andcovid,2024,02,30
andcovid,2024,03,29
andcovid,2024,04,32
andcovid,2024,05,16
andcovid,2024,06,25
andcovid,2024,07,17
andcovid,2024,08,18
andcovid,2024,09,20
andcovid,2024,10,10
andcovid,2024,11,11
andcovid,2024,12,16
andcovid,2024,13,12
andcovid,2024,16,10
andcovid,2024,31,13
andcovid,2024,33,18
andcovid,2024,34,18
andcovid,2024,35,23
andcovid,2024,36,17
andcovid,2024,37,17
andcovid,2024,38,14
andcovid,2024,40,12
andcovid,2024,41,12
andcovid,2024,42,10
andcovid,2024,49,10
andcovid,2024,52,12
andcovid,2025,01,13
andcovid,2025,04,11
andcovid,2025,05,14
andcovid,2025,08,16
all,2018,01,1647
all,2018,02,1911
all,2018,03,1731
all,2018,04,1701
all,2018,05,1717
all,2018,06,1770
all,2018,07,1711
all,2018,08,1637
all,2018,09,1712
all,2018,10,1733
all,2018,11,1702
all,2018,12,1606
all,2018,13,1548
all,2018,14,1675
all,2018,15,1598
all,2018,16,1576
all,2018,17,1521
all,2018,18,1620
all,2018,19,1691
all,2018,20,1524
all,2018,21,1576
all,2018,22,1596
all,2018,23,1626
all,2018,24,1581
all,2018,25,1559
all,2018,26,1623
all,2018,27,1592
all,2018,28,1602
all,2018,29,1599
all,2018,30,1596
all,2018,31,1516
all,2018,32,1687
all,2018,33,1541
all,2018,34,1561
all,2018,35,1534
all,2018,36,1620
all,2018,37,1651
all,2018,38,1590
all,2018,39,1532
all,2018,40,1588
all,2018,41,1598
all,2018,42,1551
all,2018,43,1638
all,2018,44,1667
all,2018,45,1603
all,2018,46,1589
all,2018,47,1640
all,2018,48,1576
all,2018,49,1706
all,2018,50,1727
all,2018,51,1616
all,2018,52,1672
all,2019,01,1771
all,2019,02,1595
all,2019,03,1568
all,2019,04,1630
all,2019,05,1710
all,2019,06,1641
all,2019,07,1608
all,2019,08,1599
all,2019,09,1694
all,2019,10,1750
all,2019,11,1723
all,2019,12,1648
all,2019,13,1567
all,2019,14,1639
all,2019,15,1688
all,2019,16,1566
all,2019,17,1550
all,2019,18,1557
all,2019,19,1555
all,2019,20,1565
all,2019,21,1520
all,2019,22,1595
all,2019,23,1645
all,2019,24,1575
all,2019,25,1542
all,2019,26,1528
all,2019,27,1628
all,2019,28,1500
all,2019,29,1592
all,2019,30,1619
all,2019,31,1560
all,2019,32,1604
all,2019,33,1554
all,2019,34,1566
all,2019,35,1564
all,2019,36,1565
all,2019,37,1534
all,2019,38,1489
all,2019,39,1522
all,2019,40,1571
all,2019,41,1591
all,2019,42,1620
all,2019,43,1565
all,2019,44,1634
all,2019,45,1708
all,2019,46,1650
all,2019,47,1601
all,2019,48,1664
all,2019,49,1757
all,2019,50,1688
all,2019,51,1732
all,2019,52,1806
all,2020,01,1865
all,2020,02,1817
all,2020,03,1738
all,2020,04,1710
all,2020,05,1734
all,2020,06,1775
all,2020,07,1687
all,2020,08,1749
all,2020,09,1771
all,2020,10,1822
all,2020,11,1763
all,2020,12,1802
all,2020,13,1909
all,2020,14,2259
all,2020,15,2346
all,2020,16,2131
all,2020,17,2200
all,2020,18,2212
all,2020,19,2206
all,2020,20,2219
all,2020,21,2207
all,2020,22,2045
all,2020,23,2129
all,2020,24,2040
all,2020,25,2076
all,2020,26,2032
all,2020,27,2099
all,2020,28,2236
all,2020,29,2214
all,2020,30,2241
all,2020,31,2136
all,2020,32,2168
all,2020,33,2127
all,2020,34,2112
all,2020,35,2118
all,2020,36,2079
all,2020,37,1990
all,2020,38,1971
all,2020,39,2044
all,2020,40,1930
all,2020,41,2009
all,2020,42,1916
all,2020,43,1938
all,2020,44,1941
all,2020,45,2188
all,2020,46,2049
all,2020,47,2056
all,2020,48,2129
all,2020,49,2219
all,2020,50,2251
all,2020,51,2369
all,2020,52,2535
all,2020,53,2534
all,2020,99,13
all,2021,01,2667
all,2021,02,2562
all,2021,03,2413
all,2021,04,2402
all,2021,05,2419
all,2021,06,2373
all,2021,07,2237
all,2021,08,2227
all,2021,09,2184
all,2021,10,2131
all,2021,11,2292
all,2021,12,2316
all,2021,13,2293
all,2021,14,2221
all,2021,15,2312
all,2021,16,2283
all,2021,17,2223
all,2021,18,2181
all,2021,19,2148
all,2021,20,2171
all,2021,21,2130
all,2021,22,2213
all,2021,23,2141
all,2021,24,2162
all,2021,25,2169
all,2021,26,2198
all,2021,27,2170
all,2021,28,2151
all,2021,29,2167
all,2021,30,2319
all,2021,31,2513
all,2021,32,2601
all,2021,33,2643
all,2021,34,2835
all,2021,35,2887
all,2021,36,2838
all,2021,37,2676
all,2021,38,2702
all,2021,39,2645
all,2021,40,2606
all,2021,41,2445
all,2021,42,2361
all,2021,43,2342
all,2021,44,2392
all,2021,45,2305
all,2021,46,2250
all,2021,47,2454
all,2021,48,2356
all,2021,49,2493
all,2021,50,2496
all,2021,51,2543
all,2021,52,2650
all,2021,99,16
all,2022,01,2643
all,2022,02,2641
all,2022,03,2629
all,2022,04,2486
all,2022,05,2528
all,2022,06,2459
all,2022,07,2314
all,2022,08,2162
all,2022,09,2226
all,2022,10,2124
all,2022,11,2074
all,2022,12,2034
all,2022,13,2032
all,2022,14,2084
all,2022,15,2016
all,2022,16,1968
all,2022,17,1986
all,2022,18,2043
all,2022,19,1936
all,2022,20,1923
all,2022,21,1958
all,2022,22,1964
all,2022,23,2124
all,2022,24,2125
all,2022,25,2086
all,2022,26,2071
all,2022,27,2141
all,2022,28,2222
all,2022,29,2163
all,2022,30,2101
all,2022,31,2049
all,2022,32,2025
all,2022,33,1937
