age,year,month,all,covid
18,2021,1,920,53
18,2021,2,819,24
18,2021,3,901,31
18,2021,4,874,31
18,2021,5,983,30
18,2021,6,915,22
18,2021,7,1012,90
18,2021,8,1423,473
18,2021,9,1222,341
18,2021,10,995,111
18,2021,11,879,33
18,2021,12,879,31
18,2022,1,952,69
18,2022,2,792,42
18,2022,3,910,9
18,2022,4,753,2
18,2022,5,829,8
18,2022,6,812,9
18,2022,7,810,12
40,2021,1,748,87
40,2021,2,695,66
40,2021,3,748,55
40,2021,4,808,77
40,2021,5,779,67
40,2021,6,757,43
40,2021,7,881,142
40,2021,8,1637,823
40,2021,9,1345,619
40,2021,10,942,175
40,2021,11,732,41
40,2021,12,779,38
40,2022,1,813,98
40,2022,2,733,67
40,2022,3,762,11
40,2022,4,724,9
40,2022,5,724,10
40,2022,6,767,22
40,2022,7,702,8
50,2021,1,1839,261
50,2021,2,1600,197
50,2021,3,1646,133
50,2021,4,1618,139
50,2021,5,1685,148
50,2021,6,1609,109
50,2021,7,1898,296
50,2021,8,3300,1538
50,2021,9,2906,1272
50,2021,10,1934,386
50,2021,11,1580,117
50,2021,12,1647,74
50,2022,1,1849,252
50,2022,2,1614,209
50,2022,3,1560,54
50,2022,4,1417,26
50,2022,5,1577,28
50,2022,6,1549,34
50,2022,7,1514,43
60,2021,1,3755,658
60,2021,2,3263,465
60,2021,3,3145,307
60,2021,4,3140,292
60,2021,5,3204,268
60,2021,6,3060,165
60,2021,7,3500,395
60,2021,8,5472,2099
60,2021,9,5009,1790
60,2021,10,3590,524
60,2021,11,3181,167
60,2021,12,3292,135
60,2022,1,3893,608
60,2022,2,3377,455
60,2022,3,3187,141
60,2022,4,2792,32
60,2022,5,2988,44
60,2022,6,3043,73
60,2022,7,3053,113
70,2021,1,5927,1377
70,2021,2,4839,777
70,2021,3,4781,442
70,2021,4,4533,345
70,2021,5,4659,305
70,2021,6,4345,180
70,2021,7,4842,372
70,2021,8,6909,2233
70,2021,9,6221,1751
70,2021,10,4900,555
70,2021,11,4417,162
70,2021,12,4864,176
70,2022,1,5937,1023
70,2022,2,5009,782
70,2022,3,4696,221
70,2022,4,4319,68
70,2022,5,4426,80
70,2022,6,4466,163
70,2022,7,4601,223
80,2021,1,10981,1999
80,2021,2,8978,1182
80,2021,3,8671,546
80,2021,4,8159,385
80,2021,5,8287,333
80,2021,6,7936,176
80,2021,7,8644,477
80,2021,8,11156,2461
80,2021,9,10016,1869
80,2021,10,8789,551
80,2021,11,8195,190
80,2021,12,8536,230
80,2022,1,11241,1762
80,2022,2,9333,1130
80,2022,3,8502,295
80,2022,4,8001,95
80,2022,5,8232,160
80,2022,6,8237,397
80,2022,7,8888,569
