type,year,month,dead
all,1999,01,5396
all,1999,02,4877
all,1999,03,5298
all,1999,04,4967
all,1999,05,5166
all,1999,06,4945
all,1999,07,5157
all,1999,08,4965
all,1999,09,4850
all,1999,10,5059
all,1999,11,4904
all,1999,12,5482
all,2000,01,5468
all,2000,02,4954
all,2000,03,4911
all,2000,04,4726
all,2000,05,4936
all,2000,06,4898
all,2000,07,5149
all,2000,08,5151
all,2000,09,5083
all,2000,10,5209
all,2000,11,5316
all,2000,12,5654
all,2001,01,5692
all,2001,02,5108
all,2001,03,5586
all,2001,04,5279
all,2001,05,5250
all,2001,06,5047
all,2001,07,5014
all,2001,08,5066
all,2001,09,4981
all,2001,10,5414
all,2001,11,5235
all,2001,12,5665
all,2002,01,5606
all,2002,02,5070
all,2002,03,5461
all,2002,04,5100
all,2002,05,5292
all,2002,06,4938
all,2002,07,5323
all,2002,08,5163
all,2002,09,4977
all,2002,10,5209
all,2002,11,5378
all,2002,12,5891
all,2003,01,5463
all,2003,02,4983
all,2003,03,5429
all,2003,04,5191
all,2003,05,5216
all,2003,06,5093
all,2003,07,5323
all,2003,08,5288
all,2003,09,5107
all,2003,10,5281
all,2003,11,5473
all,2003,12,6162
all,2004,01,5983
all,2004,02,5334
all,2004,03,5508
all,2004,04,5211
all,2004,05,5316
all,2004,06,5050
all,2004,07,5390
all,2004,08,5365
all,2004,09,4975
all,2004,10,5482
all,2004,11,5297
all,2004,12,5846
all,2005,01,5905
all,2005,02,5505
all,2005,03,5869
all,2005,04,5471
all,2005,05,5513
all,2005,06,5339
all,2005,07,5795
all,2005,08,5487
all,2005,09,5134
all,2005,10,5723
all,2005,11,5630
all,2005,12,6171
all,2006,01,5907
all,2006,02,5459
all,2006,03,5739
all,2006,04,5570
all,2006,05,5474
all,2006,06,5643
all,2006,07,5727
all,2006,08,5535
all,2006,09,5278
all,2006,10,5516
all,2006,11,5643
all,2006,12,5966
all,2007,01,5818
all,2007,02,5517
all,2007,03,5731
all,2007,04,5618
all,2007,05,5490
all,2007,06,5398
all,2007,07,5419
all,2007,08,5474
all,2007,09,5398
all,2007,10,5510
all,2007,11,5564
all,2007,12,5950
all,2008,01,6000
all,2008,02,5994
all,2008,03,6074
all,2008,04,5700
all,2008,05,5633
all,2008,06,5431
all,2008,07,5523
all,2008,08,5419
all,2008,09,5303
all,2008,10,5615
all,2008,11,5623
all,2008,12,6183
all,2009,01,6507
all,2009,02,5781
all,2009,03,6138
all,2009,04,5872
all,2009,05,5795
all,2009,06,5634
all,2009,07,5862
all,2009,08,5650
all,2009,09,5447
all,2009,10,6037
all,2009,11,5927
all,2009,12,6078
all,2010,01,6180
all,2010,02,5334
all,2010,03,5848
all,2010,04,5521
all,2010,05,5619
all,2010,06,5307
all,2010,07,5562
all,2010,08,5390
all,2010,09,5389
all,2010,10,5642
all,2010,11,5573
all,2010,12,6016
all,2011,01,5998
all,2011,02,5782
all,2011,03,6213
all,2011,04,5675
all,2011,05,5852
all,2011,06,5362
all,2011,07,5695
all,2011,08,5467
all,2011,09,5579
all,2011,10,5724
all,2011,11,5574
all,2011,12,5879
all,2012,01,5823
all,2012,02,5467
all,2012,03,5733
all,2012,04,5517
all,2012,05,5615
all,2012,06,5418
all,2012,07,5553
all,2012,08,5452
all,2012,09,5411
all,2012,10,5639
all,2012,11,5674
all,2012,12,6312
all,2013,01,6356
all,2013,02,5654
all,2013,03,6083
all,2013,04,5638
all,2013,05,5754
all,2013,06,5373
all,2013,07,5758
all,2013,08,5642
all,2013,09,5335
all,2013,10,5657
all,2013,11,5736
all,2013,12,6319
all,2014,01,6722
all,2014,02,5784
all,2014,03,6117
all,2014,04,5608
all,2014,05,5443
all,2014,06,5521
all,2014,07,5665
all,2014,08,5520
all,2014,09,5431
all,2014,10,5700
all,2014,11,5942
all,2014,12,6354
all,2015,01,6514
all,2015,02,5749
all,2015,03,6232
all,2015,04,5865
all,2015,05,5887
all,2015,06,5776
all,2015,07,5857
all,2015,08,5849
all,2015,09,5752
all,2015,10,6003
all,2015,11,5837
all,2015,12,6342
all,2016,01,6127
all,2016,02,6051
all,2016,03,6535
all,2016,04,6050
all,2016,05,5937
all,2016,06,5971
all,2016,07,6206
all,2016,08,6171
all,2016,09,5947
all,2016,10,6463
all,2016,11,6252
all,2016,12,6967
all,2017,01,6819
all,2017,02,6124
all,2017,03,6666
all,2017,04,6273
all,2017,05,6404
all,2017,06,6064
all,2017,07,6155
all,2017,08,6186
all,2017,09,6246
all,2017,10,6237
all,2017,11,6235
all,2017,12,7033
all,2018,01,6819
all,2018,02,5980
all,2018,03,6352
all,2018,04,5909
all,2018,05,6119
all,2018,06,5914
all,2018,07,6005
all,2018,08,5948
all,2018,09,5969
all,2018,10,6143
all,2018,11,5984
all,2018,12,6431
all,2019,01,6336
all,2019,02,5564
all,2019,03,6412
all,2019,04,5845
all,2019,05,6009
all,2019,06,5819
all,2019,07,5992
all,2019,08,5977
all,2019,09,5633
all,2019,10,6116
all,2019,11,6171
all,2019,12,6704
all,2020,01,6672
all,2020,02,6276
all,2020,03,7176
all,2020,04,8474
all,2020,05,8573
all,2020,06,7762
all,2020,07,8491
all,2020,08,8234
all,2020,09,7493
all,2020,10,7593
all,2020,11,7912
all,2020,12,9285
all,2021,01,9881
all,2021,02,8113
all,2021,03,8761
all,2021,04,8667
all,2021,05,8387
all,2021,06,8116
all,2021,07,8462
all,2021,08,10435
all,2021,09,10448
all,2021,10,9611
all,2021,11,8798
all,2021,12,9804
all,2022,01,10111
all,2022,02,8185
all,2022,03,8182
all,2022,04,7591
all,2022,05,7603
all,2022,06,7805
all,2022,07,8167
all,2022,08,7824
all,2022,09,7694
all,2022,10,8001
all,2022,11,8098
all,2022,12,8852
all,2023,01,8226
all,2023,02,7181
all,2023,03,7929
all,2023,04,7618
all,2023,05,7855
all,2023,06,7368
all,2023,07,7675
all,2023,08,7705
all,2023,09,7186
all,2023,10,7390
all,2023,11,7337
all,2023,12,7832
all,2024,01,7604
all,2024,02,6932
all,2024,03,7083
all,2024,04,6739
all,2024,05,6840
all,2024,06,6614
all,2024,07,6469
all,2024,08,6258
all,2024,09,5797
all,2024,10,6203
all,2024,11,6142
all,2024,12,6746
all,2025,01,7262
all,2025,02,6543
all,2025,03,6582
all,2025,04,4953
all,2025,05,5326
all,2025,06,5899
all,2025,07,7493
all,2025,08,8883
all,2025,09,2588
notcovid,2020,03,6990
notcovid,2020,04,7477
notcovid,2020,05,8072
notcovid,2020,06,7414
notcovid,2020,07,7891
notcovid,2020,08,7728
notcovid,2020,09,7173
notcovid,2020,10,7291
notcovid,2020,11,7315
notcovid,2020,12,7994
notcovid,2021,01,8262
notcovid,2021,02,7275
notcovid,2021,03,8250
notcovid,2021,04,8144
notcovid,2021,05,7984
notcovid,2021,06,7861
notcovid,2021,07,7997
notcovid,2021,08,8413
notcovid,2021,09,8159
notcovid,2021,10,8317
notcovid,2021,11,7983
notcovid,2021,12,8564
notcovid,2022,01,8245
notcovid,2022,02,7311
notcovid,2022,03,7934
notcovid,2022,04,7467
notcovid,2022,05,7468
notcovid,2022,06,7660
notcovid,2022,07,7965
notcovid,2022,08,7609
notcovid,2022,09,7537
notcovid,2022,10,7901
notcovid,2022,11,7960
notcovid,2022,12,8673
notcovid,2023,01,8070
notcovid,2023,02,7080
notcovid,2023,03,7846
notcovid,2023,04,7559
notcovid,2023,05,7816
notcovid,2023,06,7345
notcovid,2023,07,7652
notcovid,2023,08,7662
notcovid,2023,09,7132
notcovid,2023,10,7340
notcovid,2023,11,7283
notcovid,2023,12,7758
notcovid,2024,01,7496
notcovid,2024,02,6868
notcovid,2024,03,7039
notcovid,2024,04,6714
notcovid,2024,05,6823
notcovid,2024,06,6595
notcovid,2024,07,6445
notcovid,2024,08,6201
notcovid,2024,09,5749
notcovid,2024,10,6172
notcovid,2024,11,6119
notcovid,2024,12,6720
notcovid,2025,01,7215
notcovid,2025,02,6511
notcovid,2025,03,6561
notcovid,2025,04,4931
notcovid,2025,05,5314
notcovid,2025,06,5884
notcovid,2025,07,7483
notcovid,2025,08,8872
notcovid,2025,09,2588
