type,code,month,dead
ucd,I82,1999-01,20
ucd,I82,1999-02,26
ucd,I82,1999-03,19
ucd,I82,1999-04,11
ucd,I82,1999-05,25
ucd,I82,1999-06,15
ucd,I82,1999-07,16
ucd,I82,1999-08,21
ucd,I82,1999-09,20
ucd,I82,1999-10,21
ucd,I82,1999-11,16
ucd,I82,1999-12,28
ucd,I82,2000-01,26
ucd,I82,2000-02,16
ucd,I82,2000-03,14
ucd,I82,2000-04,21
ucd,I82,2000-05,20
ucd,I82,2000-06,16
ucd,I82,2000-07,15
ucd,I82,2000-08,21
ucd,I82,2000-09,20
ucd,I82,2000-11,11
ucd,I82,2000-12,20
ucd,I82,2001-01,28
ucd,I82,2001-02,22
ucd,I82,2001-03,20
ucd,I82,2001-04,23
ucd,I82,2001-05,17
ucd,I82,2001-06,20
ucd,I82,2001-07,20
ucd,I82,2001-08,16
ucd,I82,2001-09,19
ucd,I82,2001-10,11
ucd,I82,2001-11,17
ucd,I82,2001-12,20
ucd,I82,2002-01,23
ucd,I82,2002-02,16
ucd,I82,2002-03,21
ucd,I82,2002-04,19
ucd,I82,2002-05,27
ucd,I82,2002-06,15
ucd,I82,2002-07,19
ucd,I82,2002-08,14
ucd,I82,2002-09,14
ucd,I82,2002-10,18
ucd,I82,2002-11,21
ucd,I82,2002-12,23
ucd,I82,2003-01,29
ucd,I82,2003-02,21
ucd,I82,2003-03,14
ucd,I82,2003-04,22
ucd,I82,2003-05,22
ucd,I82,2003-06,19
ucd,I82,2003-07,24
ucd,I82,2003-08,23
ucd,I82,2003-09,30
ucd,I82,2003-10,11
ucd,I82,2003-11,21
ucd,I82,2003-12,23
ucd,I82,2004-01,32
ucd,I82,2004-02,20
ucd,I82,2004-03,23
ucd,I82,2004-04,20
ucd,I82,2004-05,21
ucd,I82,2004-06,22
ucd,I82,2004-07,22
ucd,I82,2004-08,26
ucd,I82,2004-09,18
ucd,I82,2004-10,17
ucd,I82,2004-11,27
ucd,I82,2004-12,17
ucd,I82,2005-01,24
ucd,I82,2005-02,22
ucd,I82,2005-03,20
ucd,I82,2005-04,25
ucd,I82,2005-05,23
ucd,I82,2005-06,12
ucd,I82,2005-07,16
ucd,I82,2005-08,17
ucd,I82,2005-09,14
ucd,I82,2005-10,21
ucd,I82,2005-11,18
ucd,I82,2005-12,23
ucd,I82,2006-01,16
ucd,I82,2006-02,19
ucd,I82,2006-03,14
ucd,I82,2006-05,17
ucd,I82,2006-06,17
ucd,I82,2006-07,13
ucd,I82,2006-08,15
ucd,I82,2006-09,13
ucd,I82,2006-11,10
