age,year,month,dead
< 1 day,2018,01,766
< 1 day,2018,02,671
< 1 day,2018,03,750
< 1 day,2018,04,702
< 1 day,2018,05,702
< 1 day,2018,06,682
< 1 day,2018,07,752
< 1 day,2018,08,770
< 1 day,2018,09,731
< 1 day,2018,10,718
< 1 day,2018,11,671
< 1 day,2018,12,638
< 1 day,2019,01,615
< 1 day,2019,02,678
< 1 day,2019,03,712
< 1 day,2019,04,739
< 1 day,2019,05,695
< 1 day,2019,06,700
< 1 day,2019,07,700
< 1 day,2019,08,669
< 1 day,2019,09,635
< 1 day,2019,10,656
< 1 day,2019,11,600
< 1 day,2019,12,641
< 1 day,2020,01,691
< 1 day,2020,02,658
< 1 day,2020,03,691
< 1 day,2020,04,616
< 1 day,2020,05,662
< 1 day,2020,06,683
< 1 day,2020,07,621
< 1 day,2020,08,560
< 1 day,2020,09,572
< 1 day,2020,10,606
< 1 day,2020,11,582
< 1 day,2020,12,576
< 1 day,2021,01,613
< 1 day,2021,02,564
< 1 day,2021,03,575
< 1 day,2021,04,643
< 1 day,2021,05,580
< 1 day,2021,06,535
< 1 day,2021,07,602
< 1 day,2021,08,590
< 1 day,2021,09,589
< 1 day,2021,10,586
< 1 day,2021,11,542
< 1 day,2021,12,585
< 1 day,2022,01,579
< 1 day,2022,02,517
< 1 day,2022,03,595
< 1 day,2022,04,573
< 1 day,2022,05,624
< 1 day,2022,06,629
< 1 day,2022,07,645
< 1 day,2022,08,646
< 1 day,2022,09,572
< 1 day,2022,10,589
< 1 day,2022,11,586
< 1 day,2022,12,603
< 1 day,2023,01,608
< 1 day,2023,02,549
< 1 day,2023,03,650
< 1 day,2023,04,576
< 1 day,2023,05,607
< 1 day,2023,06,585
< 1 day,2023,07,617
< 1 day,2023,08,597
< 1 day,2023,09,558
< 1 day,2023,10,567
< 1 day,2023,11,552
< 1 day,2023,12,606
< 1 day,2024,01,590
< 1 day,2024,02,571
< 1 day,2024,03,622
< 1 day,2024,04,559
< 1 day,2024,05,622
< 1 day,2024,06,598
< 1 day,2024,07,631
< 1 day,2024,08,605
< 1 day,2024,09,577
< 1 day,2024,10,616
< 1 day,2024,11,619
< 1 day,2024,12,605
< 1 day,2025,01,624
< 1 day,2025,02,546
< 1 day,2025,03,569
< 1 day,2025,04,571
< 1 day,2025,05,578
< 1 day,2025,06,478
< 1 day,2025,07,449
< 1 day,2025,08,100
1-6 days,2018,01,257
1-6 days,2018,02,255
1-6 days,2018,03,251
1-6 days,2018,04,250
1-6 days,2018,05,241
1-6 days,2018,06,261
1-6 days,2018,07,253
1-6 days,2018,08,241
1-6 days,2018,09,285
1-6 days,2018,10,259
1-6 days,2018,11,226
1-6 days,2018,12,230
1-6 days,2019,01,247
1-6 days,2019,02,207
1-6 days,2019,03,244
1-6 days,2019,04,242
1-6 days,2019,05,270
1-6 days,2019,06,252
1-6 days,2019,07,259
1-6 days,2019,08,279
1-6 days,2019,09,298
1-6 days,2019,10,267
1-6 days,2019,11,266
1-6 days,2019,12,254
1-6 days,2020,01,236
1-6 days,2020,02,217
1-6 days,2020,03,196
1-6 days,2020,04,268
1-6 days,2020,05,255
1-6 days,2020,06,254
1-6 days,2020,07,271
1-6 days,2020,08,288
1-6 days,2020,09,221
1-6 days,2020,10,216
1-6 days,2020,11,194
1-6 days,2020,12,214
1-6 days,2021,01,275
1-6 days,2021,02,213
1-6 days,2021,03,260
1-6 days,2021,04,237
1-6 days,2021,05,279
1-6 days,2021,06,260
1-6 days,2021,07,277
1-6 days,2021,08,249
1-6 days,2021,09,258
1-6 days,2021,10,265
1-6 days,2021,11,236
1-6 days,2021,12,245
1-6 days,2022,01,254
1-6 days,2022,02,235
1-6 days,2022,03,232
1-6 days,2022,04,256
1-6 days,2022,05,240
1-6 days,2022,06,278
1-6 days,2022,07,265
1-6 days,2022,08,280
1-6 days,2022,09,287
1-6 days,2022,10,282
1-6 days,2022,11,233
1-6 days,2022,12,278
1-6 days,2023,01,249
1-6 days,2023,02,238
1-6 days,2023,03,287
1-6 days,2023,04,259
1-6 days,2023,05,256
1-6 days,2023,06,266
1-6 days,2023,07,259
1-6 days,2023,08,272
1-6 days,2023,09,265
1-6 days,2023,10,258
1-6 days,2023,11,257
1-6 days,2023,12,264
1-6 days,2024,01,272
1-6 days,2024,02,238
1-6 days,2024,03,291
1-6 days,2024,04,245
1-6 days,2024,05,266
1-6 days,2024,06,310
1-6 days,2024,07,252
1-6 days,2024,08,254
1-6 days,2024,09,279
1-6 days,2024,10,273
1-6 days,2024,11,275
1-6 days,2024,12,225
1-6 days,2025,01,238
1-6 days,2025,02,235
1-6 days,2025,03,238
1-6 days,2025,04,253
1-6 days,2025,05,226
1-6 days,2025,06,228
1-6 days,2025,07,234
1-6 days,2025,08,63
7-27 days,2018,01,239
7-27 days,2018,02,187
7-27 days,2018,03,237
7-27 days,2018,04,216
7-27 days,2018,05,203
7-27 days,2018,06,193
7-27 days,2018,07,234
7-27 days,2018,08,254
7-27 days,2018,09,230
7-27 days,2018,10,264
7-27 days,2018,11,233
7-27 days,2018,12,237
7-27 days,2019,01,225
7-27 days,2019,02,197
7-27 days,2019,03,236
7-27 days,2019,04,179
7-27 days,2019,05,251
7-27 days,2019,06,223
7-27 days,2019,07,227
7-27 days,2019,08,244
7-27 days,2019,09,213
7-27 days,2019,10,233
7-27 days,2019,11,239
7-27 days,2019,12,209
7-27 days,2020,01,225
7-27 days,2020,02,203
7-27 days,2020,03,177
7-27 days,2020,04,183
7-27 days,2020,05,196
7-27 days,2020,06,212
7-27 days,2020,07,234
7-27 days,2020,08,219
7-27 days,2020,09,241
7-27 days,2020,10,188
7-27 days,2020,11,217
7-27 days,2020,12,213
7-27 days,2021,01,213
7-27 days,2021,02,197
7-27 days,2021,03,228
7-27 days,2021,04,213
7-27 days,2021,05,239
7-27 days,2021,06,217
7-27 days,2021,07,219
7-27 days,2021,08,258
7-27 days,2021,09,241
7-27 days,2021,10,239
7-27 days,2021,11,231
7-27 days,2021,12,215
7-27 days,2022,01,214
7-27 days,2022,02,204
7-27 days,2022,03,216
7-27 days,2022,04,226
7-27 days,2022,05,238
7-27 days,2022,06,244
7-27 days,2022,07,236
7-27 days,2022,08,259
7-27 days,2022,09,228
7-27 days,2022,10,256
7-27 days,2022,11,275
7-27 days,2022,12,251
7-27 days,2023,01,254
7-27 days,2023,02,193
7-27 days,2023,03,228
7-27 days,2023,04,224
7-27 days,2023,05,214
7-27 days,2023,06,236
7-27 days,2023,07,257
7-27 days,2023,08,292
7-27 days,2023,09,221
7-27 days,2023,10,237
7-27 days,2023,11,253
7-27 days,2023,12,270
7-27 days,2024,01,238
7-27 days,2024,02,214
7-27 days,2024,03,227
7-27 days,2024,04,249
7-27 days,2024,05,243
7-27 days,2024,06,234
7-27 days,2024,07,272
7-27 days,2024,08,206
7-27 days,2024,09,227
7-27 days,2024,10,237
7-27 days,2024,11,249
7-27 days,2024,12,255
7-27 days,2025,01,233
7-27 days,2025,02,218
7-27 days,2025,03,226
7-27 days,2025,04,221
7-27 days,2025,05,239
7-27 days,2025,06,234
7-27 days,2025,07,205
7-27 days,2025,08,56
28-364 days,2018,01,638
28-364 days,2018,02,544
28-364 days,2018,03,634
28-364 days,2018,04,588
28-364 days,2018,05,639
28-364 days,2018,06,571
28-364 days,2018,07,587
28-364 days,2018,08,548
28-364 days,2018,09,584
28-364 days,2018,10,617
28-364 days,2018,11,594
28-364 days,2018,12,634
28-364 days,2019,01,619
28-364 days,2019,02,553
28-364 days,2019,03,646
28-364 days,2019,04,574
28-364 days,2019,05,584
28-364 days,2019,06,608
28-364 days,2019,07,582
28-364 days,2019,08,586
28-364 days,2019,09,574
28-364 days,2019,10,541
28-364 days,2019,11,595
28-364 days,2019,12,658
28-364 days,2020,01,625
28-364 days,2020,02,595
28-364 days,2020,03,582
28-364 days,2020,04,502
28-364 days,2020,05,579
28-364 days,2020,06,515
28-364 days,2020,07,523
28-364 days,2020,08,554
28-364 days,2020,09,568
28-364 days,2020,10,577
28-364 days,2020,11,566
28-364 days,2020,12,540
28-364 days,2021,01,569
28-364 days,2021,02,508
28-364 days,2021,03,597
28-364 days,2021,04,560
28-364 days,2021,05,611
28-364 days,2021,06,598
