cause,year,dead
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2018,877
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2019,906
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2020,814
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2021,1035
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2022,1152
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2023,1078
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2024,1037
"Certain infectious and parasitic diseases (A00-B99,U07.1,U09.9)",2025,534
Certain intestinal infectious diseases (A00-A08),2018,13
Certain intestinal infectious diseases (A00-A08),2019,12
Certain intestinal infectious diseases (A00-A08),2020,14
Certain intestinal infectious diseases (A00-A08),2021,16
Certain intestinal infectious diseases (A00-A08),2022,16
Certain intestinal infectious diseases (A00-A08),2023,10
Certain intestinal infectious diseases (A00-A08),2024,13
Certain intestinal infectious diseases (A00-A08),2025,11
Diarrhea and gastroenteritis of infectious origin (A09),2018,205
Diarrhea and gastroenteritis of infectious origin (A09),2019,240
Diarrhea and gastroenteritis of infectious origin (A09),2020,187
Diarrhea and gastroenteritis of infectious origin (A09),2021,219
Diarrhea and gastroenteritis of infectious origin (A09),2022,185
Diarrhea and gastroenteritis of infectious origin (A09),2023,197
Diarrhea and gastroenteritis of infectious origin (A09),2024,214
Diarrhea and gastroenteritis of infectious origin (A09),2025,103
Septicemia (A40-A41),2018,394
Septicemia (A40-A41),2019,361
Septicemia (A40-A41),2020,365
Septicemia (A40-A41),2021,352
Septicemia (A40-A41),2022,386
Septicemia (A40-A41),2023,363
Septicemia (A40-A41),2024,331
Septicemia (A40-A41),2025,187
Congenital syphilis (A50),2019,14
Congenital syphilis (A50),2021,12
Congenital syphilis (A50),2022,31
Congenital syphilis (A50),2024,23
Congenital syphilis (A50),2025,13
Viral diseases (A80-B34),2018,252
Viral diseases (A80-B34),2019,241
Viral diseases (A80-B34),2020,207
Viral diseases (A80-B34),2021,392
Viral diseases (A80-B34),2022,512
Viral diseases (A80-B34),2023,463
Viral diseases (A80-B34),2024,408
Viral diseases (A80-B34),2025,178
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2018,252
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2019,240
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2020,205
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2021,390
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2022,511
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2023,463
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2024,408
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)",2025,178
Candidiasis (B37),2019,14
Candidiasis (B37),2023,17
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2018,82
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2019,119
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2020,122
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2021,143
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2022,109
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2023,136
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2024,145
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2025,95
Neoplasms (C00-D48),2018,119
Neoplasms (C00-D48),2019,128
Neoplasms (C00-D48),2020,134
Neoplasms (C00-D48),2021,108
Neoplasms (C00-D48),2022,123
Neoplasms (C00-D48),2023,142
Neoplasms (C00-D48),2024,128
Neoplasms (C00-D48),2025,64
Malignant neoplasms (C00-C97),2018,55
Malignant neoplasms (C00-C97),2019,59
Malignant neoplasms (C00-C97),2020,62
Malignant neoplasms (C00-C97),2021,59
Malignant neoplasms (C00-C97),2022,54
Malignant neoplasms (C00-C97),2023,73
Malignant neoplasms (C00-C97),2024,67
Malignant neoplasms (C00-C97),2025,37
Leukemia (C91-C95),2018,16
Leukemia (C91-C95),2019,13
Leukemia (C91-C95),2020,21
Leukemia (C91-C95),2021,16
Leukemia (C91-C95),2022,20
Leukemia (C91-C95),2023,21
Leukemia (C91-C95),2024,19
Leukemia (C91-C95),2025,11
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2018,38
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2019,46
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2020,42
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2021,43
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2022,34
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2023,52
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2024,48
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2025,24
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2018,64
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2019,69
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2020,73
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2021,51
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2022,70
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2023,71
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2024,63
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",2025,27
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2018,346
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2019,367
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2020,351
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2021,381
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2022,396
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2023,458
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2024,474
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),2025,291
Anemias (D50-D64),2018,44
Anemias (D50-D64),2019,55
Anemias (D50-D64),2020,47
Anemias (D50-D64),2021,59
Anemias (D50-D64),2022,51
Anemias (D50-D64),2023,54
Anemias (D50-D64),2024,53
Anemias (D50-D64),2025,35
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2018,279
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2019,294
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2020,275
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2021,316
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2022,321
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2023,372
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2024,404
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2025,246
Certain disorders involving the immune mechanism (D80-D89),2018,41
Certain disorders involving the immune mechanism (D80-D89),2019,33
Certain disorders involving the immune mechanism (D80-D89),2020,39
Certain disorders involving the immune mechanism (D80-D89),2021,25
Certain disorders involving the immune mechanism (D80-D89),2022,46
Certain disorders involving the immune mechanism (D80-D89),2023,46
Certain disorders involving the immune mechanism (D80-D89),2024,39
Certain disorders involving the immune mechanism (D80-D89),2025,21
"Endocrine, nutritional and metabolic diseases (E00-E88)",2018,473
"Endocrine, nutritional and metabolic diseases (E00-E88)",2019,506
"Endocrine, nutritional and metabolic diseases (E00-E88)",2020,437
"Endocrine, nutritional and metabolic diseases (E00-E88)",2021,542
"Endocrine, nutritional and metabolic diseases (E00-E88)",2022,494
"Endocrine, nutritional and metabolic diseases (E00-E88)",2023,549
"Endocrine, nutritional and metabolic diseases (E00-E88)",2024,558
"Endocrine, nutritional and metabolic diseases (E00-E88)",2025,287
Nutritional deficiencies (E40-E64),2018,23
Nutritional deficiencies (E40-E64),2019,33
Nutritional deficiencies (E40-E64),2020,27
Nutritional deficiencies (E40-E64),2021,27
Nutritional deficiencies (E40-E64),2022,27
Nutritional deficiencies (E40-E64),2023,33
Nutritional deficiencies (E40-E64),2024,37
Nutritional deficiencies (E40-E64),2025,13
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2018,258
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2019,274
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2020,208
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2021,297
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2022,257
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2023,296
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2024,272
"Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)",2025,155
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2018,199
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2019,206
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2020,210
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2021,232
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2022,220
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2023,239
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2024,267
"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)",2025,121
Diseases of the nervous system (G00-G98),2018,594
Diseases of the nervous system (G00-G98),2019,626
Diseases of the nervous system (G00-G98),2020,603
Diseases of the nervous system (G00-G98),2021,632
Diseases of the nervous system (G00-G98),2022,650
Diseases of the nervous system (G00-G98),2023,649
Diseases of the nervous system (G00-G98),2024,667
Diseases of the nervous system (G00-G98),2025,359
"Meningitis (G00,G03)",2018,125
"Meningitis (G00,G03)",2019,98
"Meningitis (G00,G03)",2020,97
"Meningitis (G00,G03)",2021,119
"Meningitis (G00,G03)",2022,106
"Meningitis (G00,G03)",2023,104
"Meningitis (G00,G03)",2024,106
"Meningitis (G00,G03)",2025,65
Infantile cerebral palsy (G80),2020,10
"Anoxic brain damage, not elsewhere classified (G93.1)",2018,67
"Anoxic brain damage, not elsewhere classified (G93.1)",2019,102
"Anoxic brain damage, not elsewhere classified (G93.1)",2020,108
"Anoxic brain damage, not elsewhere classified (G93.1)",2021,101
"Anoxic brain damage, not elsewhere classified (G93.1)",2022,132
"Anoxic brain damage, not elsewhere classified (G93.1)",2023,104
"Anoxic brain damage, not elsewhere classified (G93.1)",2024,102
"Anoxic brain damage, not elsewhere classified (G93.1)",2025,44
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2018,427
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2019,464
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2020,418
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2021,447
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2022,452
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2023,472
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2024,488
"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)",2025,270
Diseases of the ear and mastoid process (H60-H93),2019,14
Diseases of the ear and mastoid process (H60-H93),2020,11
Diseases of the ear and mastoid process (H60-H93),2022,10
Diseases of the ear and mastoid process (H60-H93),2023,16
Diseases of the circulatory system (I00-I99),2018,1921
Diseases of the circulatory system (I00-I99),2019,2016
Diseases of the circulatory system (I00-I99),2020,1825
Diseases of the circulatory system (I00-I99),2021,1867
Diseases of the circulatory system (I00-I99),2022,1942
Diseases of the circulatory system (I00-I99),2023,1894
Diseases of the circulatory system (I00-I99),2024,1918
Diseases of the circulatory system (I00-I99),2025,1050
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2018,347
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2019,319
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2020,288
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2021,275
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2022,299
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2023,277
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2024,277
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),2025,181
"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",2018,24
"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",2020,20
"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",2021,12
"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",2022,13
"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",2023,14
"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",2024,15
"Pericarditis, endocarditis and myocarditis (I30,I33,I40)",2025,11
Cardiomyopathy (I42),2018,128
Cardiomyopathy (I42),2019,123
Cardiomyopathy (I42),2020,108
Cardiomyopathy (I42),2021,118
Cardiomyopathy (I42),2022,123
Cardiomyopathy (I42),2023,120
Cardiomyopathy (I42),2024,134
Cardiomyopathy (I42),2025,52
Cardiac arrest (I46),2018,415
Cardiac arrest (I46),2019,452
Cardiac arrest (I46),2020,406
Cardiac arrest (I46),2021,414
Cardiac arrest (I46),2022,441
Cardiac arrest (I46),2023,414
Cardiac arrest (I46),2024,389
Cardiac arrest (I46),2025,202
Cerebrovascular diseases (I60-I69),2018,296
Cerebrovascular diseases (I60-I69),2019,298
Cerebrovascular diseases (I60-I69),2020,263
Cerebrovascular diseases (I60-I69),2021,265
Cerebrovascular diseases (I60-I69),2022,284
Cerebrovascular diseases (I60-I69),2023,260
Cerebrovascular diseases (I60-I69),2024,251
Cerebrovascular diseases (I60-I69),2025,154
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2018,1001
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2019,1120
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2020,988
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2021,1042
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2022,1083
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2023,1083
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2024,1141
"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)",2025,611
"Diseases of the respiratory system (J00-J98,U04)",2018,1442
"Diseases of the respiratory system (J00-J98,U04)",2019,1449
"Diseases of the respiratory system (J00-J98,U04)",2020,1288
"Diseases of the respiratory system (J00-J98,U04)",2021,1346
"Diseases of the respiratory system (J00-J98,U04)",2022,1482
"Diseases of the respiratory system (J00-J98,U04)",2023,1431
"Diseases of the respiratory system (J00-J98,U04)",2024,1369
"Diseases of the respiratory system (J00-J98,U04)",2025,705
Acute upper respiratory infections (J00-J06),2018,49
Acute upper respiratory infections (J00-J06),2019,48
Acute upper respiratory infections (J00-J06),2020,29
Acute upper respiratory infections (J00-J06),2021,34
Acute upper respiratory infections (J00-J06),2022,37
Acute upper respiratory infections (J00-J06),2023,69
Acute upper respiratory infections (J00-J06),2024,47
Acute upper respiratory infections (J00-J06),2025,24
Influenza and pneumonia (J09-J18),2018,319
Influenza and pneumonia (J09-J18),2019,328
Influenza and pneumonia (J09-J18),2020,262
Influenza and pneumonia (J09-J18),2021,284
Influenza and pneumonia (J09-J18),2022,395
Influenza and pneumonia (J09-J18),2023,326
Influenza and pneumonia (J09-J18),2024,257
Influenza and pneumonia (J09-J18),2025,144
Influenza (J09-J11),2018,25
Influenza (J09-J11),2019,38
Influenza (J09-J11),2020,21
Influenza (J09-J11),2022,23
Influenza (J09-J11),2023,24
Influenza (J09-J11),2024,23
Influenza (J09-J11),2025,34
Pneumonia (J12-J18),2018,295
Pneumonia (J12-J18),2019,295
Pneumonia (J12-J18),2020,242
Pneumonia (J12-J18),2021,279
Pneumonia (J12-J18),2022,374
Pneumonia (J12-J18),2023,303
Pneumonia (J12-J18),2024,239
Pneumonia (J12-J18),2025,114
Acute bronchitis and acute bronchiolitis (J20-J21),2018,71
Acute bronchitis and acute bronchiolitis (J20-J21),2019,80
Acute bronchitis and acute bronchiolitis (J20-J21),2020,30
Acute bronchitis and acute bronchiolitis (J20-J21),2021,57
Acute bronchitis and acute bronchiolitis (J20-J21),2022,69
Acute bronchitis and acute bronchiolitis (J20-J21),2023,51
Acute bronchitis and acute bronchiolitis (J20-J21),2024,55
Acute bronchitis and acute bronchiolitis (J20-J21),2025,23
"Bronchitis, chronic and unspecified (J40-J42)",2018,21
"Bronchitis, chronic and unspecified (J40-J42)",2019,30
"Bronchitis, chronic and unspecified (J40-J42)",2020,11
"Bronchitis, chronic and unspecified (J40-J42)",2021,16
"Bronchitis, chronic and unspecified (J40-J42)",2022,10
"Bronchitis, chronic and unspecified (J40-J42)",2023,11
"Bronchitis, chronic and unspecified (J40-J42)",2024,19
Pneumonitis due to solids and liquids (J69),2018,18
Pneumonitis due to solids and liquids (J69),2019,22
Pneumonitis due to solids and liquids (J69),2020,27
Pneumonitis due to solids and liquids (J69),2021,22
Pneumonitis due to solids and liquids (J69),2022,22
Pneumonitis due to solids and liquids (J69),2023,26
Pneumonitis due to solids and liquids (J69),2024,23
Pneumonitis due to solids and liquids (J69),2025,10
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2018,1074
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2019,1085
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",2020,1011
