cause,year,sex,dead,pop
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2018,Female,215,1879703
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2018,Male,289,1968505
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2019,Female,235,1847935
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2019,Male,284,1935117
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2020,Female,174,1826869
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2020,Male,256,1908141
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2021,Female,241,1742991
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2021,Male,296,1821502
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2022,Female,244,1800246
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2022,Male,332,1882867
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2023,Female,257,1784146
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2023,Male,292,1864508
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2024,Female,220,1784146
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2024,Male,307,1864508
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2025,Female,134,1784146
"Certain infectious and parasitic diseases (A00-B99,U07.1)",2025,Male,134,1864508
"Viral diseases (A80-B34,U07.1)",2018,Female,66,1879703
"Viral diseases (A80-B34,U07.1)",2018,Male,90,1968505
"Viral diseases (A80-B34,U07.1)",2019,Female,53,1847935
"Viral diseases (A80-B34,U07.1)",2019,Male,82,1935117
"Viral diseases (A80-B34,U07.1)",2020,Female,50,1826869
"Viral diseases (A80-B34,U07.1)",2020,Male,64,1908141
"Viral diseases (A80-B34,U07.1)",2021,Female,104,1742991
"Viral diseases (A80-B34,U07.1)",2021,Male,101,1821502
"Viral diseases (A80-B34,U07.1)",2022,Female,105,1800246
"Viral diseases (A80-B34,U07.1)",2022,Male,164,1882867
"Viral diseases (A80-B34,U07.1)",2023,Female,97,1784146
"Viral diseases (A80-B34,U07.1)",2023,Male,126,1864508
"Viral diseases (A80-B34,U07.1)",2024,Female,78,1784146
"Viral diseases (A80-B34,U07.1)",2024,Male,113,1864508
"Viral diseases (A80-B34,U07.1)",2025,Female,45,1784146
"Viral diseases (A80-B34,U07.1)",2025,Male,48,1864508
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2018,Female,66,1879703
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2018,Male,90,1968505
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2019,Female,53,1847935
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2019,Male,81,1935117
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2020,Female,50,1826869
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2020,Male,62,1908141
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2021,Female,103,1742991
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2021,Male,101,1821502
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2022,Female,104,1800246
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2022,Male,164,1882867
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2023,Female,97,1784146
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2023,Male,126,1864508
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2024,Female,78,1784146
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2024,Male,112,1864508
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2025,Female,45,1784146
"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",2025,Male,48,1864508
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2018,Female,11,1879703
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2018,Male,12,1968505
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2019,Female,16,1847935
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2019,Male,21,1935117
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2020,Female,10,1826869
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2020,Male,26,1908141
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2021,Female,17,1742991
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2021,Male,18,1821502
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2022,Male,10,1882867
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2023,Female,14,1784146
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2023,Male,17,1864508
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2024,Female,12,1784146
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2024,Male,29,1864508
"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)",2025,Male,16,1864508
Neoplasms (C00-D48),2018,Female,49,1879703
Neoplasms (C00-D48),2018,Male,43,1968505
Neoplasms (C00-D48),2019,Female,48,1847935
Neoplasms (C00-D48),2019,Male,49,1935117
Neoplasms (C00-D48),2020,Female,47,1826869
Neoplasms (C00-D48),2020,Male,46,1908141
Neoplasms (C00-D48),2021,Female,37,1742991
Neoplasms (C00-D48),2021,Male,41,1821502
Neoplasms (C00-D48),2022,Female,42,1800246
Neoplasms (C00-D48),2022,Male,30,1882867
Neoplasms (C00-D48),2023,Female,33,1784146
Neoplasms (C00-D48),2023,Male,43,1864508
Neoplasms (C00-D48),2024,Female,33,1784146
Neoplasms (C00-D48),2024,Male,38,1864508
Neoplasms (C00-D48),2025,Female,25,1784146
Neoplasms (C00-D48),2025,Male,21,1864508
Leukemia (C91-C95),2020,Female,14,1826869
Leukemia (C91-C95),2022,Female,10,1800246
Leukemia (C91-C95),2023,Male,14,1864508
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2018,Female,15,1879703
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2018,Male,20,1968505
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2019,Female,16,1847935
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2019,Male,26,1935117
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2020,Female,18,1826869
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2020,Male,16,1908141
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2021,Female,14,1742991
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2021,Male,24,1821502
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2022,Female,17,1800246
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2023,Female,13,1784146
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2023,Male,15,1864508
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2024,Female,12,1784146
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2024,Male,17,1864508
"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)",2025,Female,11,1784146
Anemias (D50-D64),2024,Male,11,1864508
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2018,Female,24,1879703
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2018,Male,34,1968505
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2019,Female,28,1847935
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2019,Male,39,1935117
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2020,Female,30,1826869
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2020,Male,24,1908141
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2021,Female,22,1742991
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2021,Male,31,1821502
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2022,Female,38,1800246
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2022,Male,30,1882867
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2023,Female,35,1784146
Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76),2023,Male,23,1864508
