year,dead,pop
1968,76263,3501564
1969,75073,3600206
1970,74667,3731386
1971,67981,3555970
1972,60182,3258411
1973,55581,3136965
1974,52776,3159958
1975,50525,3144198
1976,48265,3167788
1977,46975,3326632
1978,45945,3333279
1979,45665,3494398
1980,45526,3612258
1981,43305,3629238
1982,42401,3680537
1983,40627,3638933
1984,39580,3669141
1985,40030,3760561
1986,38891,3756547
1987,38408,3809394
1988,38910,3909510
1989,39655,4040958
1990,38351,4158212
1991,36766,4110907
1992,34628,4065014
1993,33466,4000240
1994,31710,3952767
1995,29583,3899589
1996,28487,3891494
1997,28045,3880894
1998,28371,3941553
1999,27937,3795762
2000,28035,3805648
2001,27568,4012658
2002,28034,3951461
2003,28025,3975871
2004,27936,4014258
2005,28440,4004393
2006,28527,4041738
2007,29138,4147997
2008,28059,4132735
2009,26412,4003587
2010,24586,3944153
2011,23985,3996537
2012,23629,3943077
2013,23440,3941783
2014,23215,3948350
2015,23455,3978038
2016,23161,3970145
2017,22335,3939295
2018,21467,3848208
2019,20921,3783052
2020,19582,3735010
2021,19920,3564493
2022,20553,3683113
2023,20145,3648654
2024,20050,3648654
