year,month,sex,dead,born
2003,1,F,1057,160953
2003,1,M,1336,168850
2003,2,F,953,150092
2003,2,M,1183,157156
2003,3,F,984,164068
2003,3,M,1369,172852
2003,4,F,967,161200
2003,4,M,1327,168906
2003,5,F,1030,169218
2003,5,M,1351,177536
2003,6,F,1027,164081
2003,6,M,1334,173344
2003,7,F,1047,177467
2003,7,M,1380,186759
2003,8,F,1016,175416
2003,8,M,1338,184687
2003,9,F,971,176006
2003,9,M,1302,183638
2003,10,F,1062,173401
2003,10,M,1322,180647
2003,11,F,973,156616
2003,11,M,1252,163478
2003,12,F,1036,167897
2003,12,M,1408,175682
2004,1,F,1071,162394
2004,1,M,1381,170513
2004,2,F,1016,154476
2004,2,M,1276,161345
2004,3,F,1002,168716
2004,3,M,1338,177632
2004,4,F,966,162650
2004,4,M,1235,170685
2004,5,F,1032,164023
2004,5,M,1316,173628
2004,6,F,985,168755
2004,6,M,1232,176126
2004,7,F,1089,175143
2004,7,M,1374,184283
2004,8,F,1020,173660
2004,8,M,1299,181748
2004,9,F,988,173669
2004,9,M,1328,182364
2004,10,F,1087,170507
2004,10,M,1337,177959
2004,11,F,962,164081
2004,11,M,1295,171623
2004,12,F,1000,169317
2004,12,M,1307,176755
2005,1,F,1040,162094
2005,1,M,1315,169384
2005,2,F,939,151092
2005,2,M,1231,158528
2005,3,F,1120,169729
2005,3,M,1409,179592
2005,4,F,1045,161725
2005,4,M,1349,170752
2005,5,F,1109,168696
2005,5,M,1405,177580
2005,6,F,1035,171182
2005,6,M,1308,179697
2005,7,F,1092,174326
2005,7,M,1383,182727
2005,8,F,1000,180067
2005,8,M,1394,189249
2005,9,F,953,177609
2005,9,M,1273,185760
2005,10,F,988,168486
2005,10,M,1364,176153
2005,11,F,987,164303
2005,11,M,1279,171364
2005,12,F,1114,170058
2005,12,M,1308,178196
2006,1,F,1027,166426
2006,1,M,1290,173871
2006,2,F,949,155980
2006,2,M,1246,163255
2006,3,F,1076,173643
2006,3,M,1417,183143
2006,4,F,1054,160779
2006,4,M,1311,169030
