year,sex,dead
1999,F,12291
1999,M,15646
2000,F,12317
2000,M,15718
2001,F,12091
2001,M,15477
2002,F,12317
2002,M,15717
2003,F,12123
2003,M,15902
2004,F,12218
2004,M,15718
2005,F,12422
2005,M,16018
2006,F,12547
2006,M,15980
2007,F,12845
2007,M,16293
2008,F,12390
2008,M,15669
2009,F,11589
2009,M,14823
2010,F,10884
2010,M,13702
2011,F,10658
2011,M,13327
2012,F,10490
2012,M,13139
2013,F,10321
2013,M,13119
2014,F,10329
2014,M,12886
2015,F,10447
2015,M,13008
2016,F,10294
2016,M,12867
2017,F,9867
2017,M,12468
2018,F,9399
2018,M,12068
2019,F,9247
2019,M,11674
2020,F,8723
2020,M,10859
1979,F,19685
1979,M,25980
1980,F,19722
1980,M,25804
1981,F,18853
1981,M,24452
1982,F,18328
1982,M,24073
1983,F,17658
1983,M,22969
1984,F,17221
1984,M,22359
1985,F,17072
1985,M,22958
1986,F,16667
1986,M,22224
1987,F,16610
1987,M,21798
1988,F,16903
1988,M,22007
1989,F,17294
1989,M,22361
1990,F,16495
1990,M,21856
1991,F,15758
1991,M,21008
1992,F,15083
1992,M,19545
1993,F,14507
1993,M,18959
1994,F,13896
1994,M,17814
1995,F,12961
1995,M,16622
1996,F,12522
1996,M,15965
1997,F,12257
1997,M,15788
1998,F,12585
1998,M,15786
1968,F,32237
1968,M,44026
1969,F,31793
1969,M,43280
1970,F,31820
1970,M,42847
1971,F,28883
1971,M,39098
1972,F,25472
1972,M,34710
1973,F,23595
1973,M,31986
1974,F,22471
1974,M,30305
1975,F,21713
1975,M,28812
1976,F,20945
1976,M,27320
1977,F,20100
1977,M,26875
1978,F,19857
1978,M,26088
2021,F,9011
2021,M,10909
2022,F,9182
2022,M,11371
2023,F,9038
2023,M,11107
2024,F,9149
2024,M,10901
2025,F,5025
2025,M,5916
