year,sex,race,dead,pop,type
1999,Female,American Indian or Alaska Native,163,23878,pop
1999,Female,Asian or Pacific Islander,333,78302,pop
1999,Female,Black or African American,3925,297942,pop
1999,Female,White,7870,1452001,pop
1999,Male,American Indian or Alaska Native,180,24937,pop
1999,Male,Asian or Pacific Islander,372,82483,pop
1999,Male,Black or African American,4897,307443,pop
1999,Male,White,10197,1528776,pop
2000,Female,American Indian or Alaska Native,130,26410,pop
2000,Female,Asian or Pacific Islander,350,80588,pop
2000,Female,Black or African American,3870,302401,pop
2000,Female,White,7967,1447232,pop
2000,Male,American Indian or Alaska Native,193,27564,pop
2000,Male,Asian or Pacific Islander,447,84431,pop
2000,Male,Black or African American,4901,312650,pop
2000,Male,White,10177,1524372,pop
2001,Female,American Indian or Alaska Native,162,28400,pop
2001,Female,Asian or Pacific Islander,339,93860,pop
2001,Female,Black or African American,3734,316708,pop
2001,Female,White,7856,1523937,pop
2001,Male,American Indian or Alaska Native,211,29088,pop
2001,Male,Asian or Pacific Islander,403,98825,pop
2001,Male,Black or African American,4764,326628,pop
2001,Male,White,10099,1595212,pop
2002,Female,American Indian or Alaska Native,152,28652,pop
2002,Female,Asian or Pacific Islander,357,93896,pop
2002,Female,Black or African American,3872,308227,pop
2002,Female,White,7936,1502164,pop
2002,Male,American Indian or Alaska Native,191,29200,pop
2002,Male,Asian or Pacific Islander,441,98614,pop
2002,Male,Black or African American,4652,317650,pop
2002,Male,White,10433,1573058,pop
2003,Female,American Indian or Alaska Native,140,29744,pop
2003,Female,Asian or Pacific Islander,381,98859,pop
2003,Female,Black or African American,3662,304284,pop
2003,Female,White,7940,1509747,pop
2003,Male,American Indian or Alaska Native,195,30240,pop
2003,Male,Asian or Pacific Islander,467,104880,pop
2003,Male,Black or African American,4740,315118,pop
2003,Male,White,10500,1582999,pop
2004,Female,American Indian or Alaska Native,152,30480,pop
2004,Female,Asian or Pacific Islander,375,102119,pop
2004,Female,Black or African American,3725,310300,pop
2004,Female,White,7966,1519317,pop
2004,Male,American Indian or Alaska Native,237,31268,pop
2004,Male,Asian or Pacific Islander,447,107621,pop
2004,Male,Black or African American,4769,320836,pop
2004,Male,White,10265,1592317,pop
2005,Female,American Indian or Alaska Native,161,32194,pop
2005,Female,Asian or Pacific Islander,390,104342,pop
2005,Female,Black or African American,3828,318126,pop
2005,Female,White,8043,1502020,pop
2005,Male,American Indian or Alaska Native,196,32637,pop
2005,Male,Asian or Pacific Islander,484,110171,pop
2005,Male,Black or African American,4867,329152,pop
2005,Male,White,10471,1575751,pop
2006,Female,American Indian or Alaska Native,151,33299,pop
2006,Female,Asian or Pacific Islander,366,104986,pop
2006,Female,Black or African American,3972,326678,pop
2006,Female,White,8058,1510956,pop
2006,Male,American Indian or Alaska Native,242,34270,pop
2006,Male,Asian or Pacific Islander,507,110738,pop
2006,Male,Black or African American,4886,337086,pop
2006,Male,White,10345,1583725,pop
2007,Female,American Indian or Alaska Native,191,36155,pop
2007,Female,Asian or Pacific Islander,418,109998,pop
2007,Female,Black or African American,3969,341912,pop
2007,Female,White,8267,1539116,pop
2007,Male,American Indian or Alaska Native,241,37284,pop
2007,Male,Asian or Pacific Islander,537,116110,pop
2007,Male,Black or African American,4975,353833,pop
2007,Male,White,10540,1613589,pop
2008,Female,American Indian or Alaska Native,169,38643,pop
2008,Female,Asian or Pacific Islander,413,114493,pop
2008,Female,Black or African American,3795,343420,pop
2008,Female,White,8013,1526333,pop
2008,Male,American Indian or Alaska Native,234,38993,pop
2008,Male,Asian or Pacific Islander,536,120781,pop
2008,Male,Black or African American,4748,353526,pop
2008,Male,White,10151,1596546,pop
2009,Female,American Indian or Alaska Native,171,38499,pop
2009,Female,Asian or Pacific Islander,414,110795,pop
2009,Female,Black or African American,3606,337020,pop
2009,Female,White,7398,1472855,pop
2009,Male,American Indian or Alaska Native,214,39004,pop
2009,Male,Asian or Pacific Islander,484,117476,pop
2009,Male,Black or African American,4706,346752,pop
2009,Male,White,9419,1541186,pop
2010,Female,American Indian or Alaska Native,141,38480,pop
2010,Female,Asian or Pacific Islander,375,109711,pop
2010,Female,Black or African American,3285,330352,pop
2010,Female,White,7083,1451334,pop
2010,Male,American Indian or Alaska Native,213,39263,pop
2010,Male,Asian or Pacific Islander,502,115570,pop
2010,Male,Black or African American,4116,341156,pop
2010,Male,White,8871,1518287,pop
2011,Female,American Indian or Alaska Native,162,39361,pop
2011,Female,Asian or Pacific Islander,392,114463,pop
2011,Female,Black or African American,3227,335326,pop
2011,Female,White,6877,1463677,pop
2011,Male,American Indian or Alaska Native,199,40902,pop
2011,Male,Asian or Pacific Islander,488,119037,pop
2011,Male,Black or African American,4057,352800,pop
2011,Male,White,8583,1530971,pop
2012,Female,American Indian or Alaska Native,162,38034,pop
2012,Female,Asian or Pacific Islander,395,113169,pop
2012,Female,Black or African American,3123,330701,pop
2012,Female,White,6810,1444435,pop
2012,Male,American Indian or Alaska Native,207,39172,pop
2012,Male,Asian or Pacific Islander,512,118822,pop
2012,Male,Black or African American,3972,346206,pop
2012,Male,White,8448,1512538,pop
2013,Female,American Indian or Alaska Native,118,38574,pop
2013,Female,Asian or Pacific Islander,381,115688,pop
2013,Female,Black or African American,3245,330884,pop
2013,Female,White,6577,1439910,pop
2013,Male,American Indian or Alaska Native,197,39928,pop
2013,Male,Asian or Pacific Islander,496,121308,pop
2013,Male,Black or African American,3878,346221,pop
2013,Male,White,8548,1509270,pop
2014,Female,American Indian or Alaska Native,158,38303,pop
2014,Female,Asian or Pacific Islander,409,120793,pop
2014,Female,Black or African American,3176,332113,pop
2014,Female,White,6586,1439284,pop
2014,Male,American Indian or Alaska Native,202,39631,pop
2014,Male,Asian or Pacific Islander,487,126730,pop
2014,Male,Black or African American,3900,346533,pop
2014,Male,White,8297,1504963,pop
2015,Female,American Indian or Alaska Native,167,38745,pop
2015,Female,Asian or Pacific Islander,424,118402,pop
2015,Female,Black or African American,3256,335670,pop
2015,Female,White,6600,1450087,pop
2015,Male,American Indian or Alaska Native,196,40300,pop
2015,Male,Asian or Pacific Islander,545,124482,pop
2015,Male,Black or African American,4033,350636,pop
2015,Male,White,8234,1519716,pop
2016,Female,American Indian or Alaska Native,141,38168,pop
2016,Female,Asian or Pacific Islander,441,122126,pop
2016,Female,Black or African American,3287,333403,pop
2016,Female,White,6425,1445970,pop
2016,Male,American Indian or Alaska Native,206,39291,pop
2016,Male,Asian or Pacific Islander,576,128228,pop
2016,Male,Black or African American,3942,347670,pop
2016,Male,White,8143,1515289,pop
2017,Female,American Indian or Alaska Native,150,37522,pop
2017,Female,Asian or Pacific Islander,466,119599,pop
2017,Female,Black or African American,3128,330757,pop
2017,Female,White,6123,1436267,pop
2017,Male,American Indian or Alaska Native,186,38829,pop
2017,Male,Asian or Pacific Islander,567,125811,pop
2017,Male,Black or African American,3971,345325,pop
2017,Male,White,7744,1505185,pop
2018,Female,American Indian or Alaska Native,121,30226,pop
2018,Female,Asian,348,94923,pop
2018,Female,Black or African American,2814,287359,pop
2018,Female,More than one race,381,115824,pop
2018,Female,Native Hawaiian or Other Pacific Islander,39,5930,pop
2018,Female,White,5696,1345441,pop
2018,Male,American Indian or Alaska Native,142,31493,pop
2018,Male,Asian,392,99970,pop
2018,Male,Black or African American,3645,298273,pop
2018,Male,More than one race,548,120862,pop
2018,Male,Native Hawaiian or Other Pacific Islander,49,6199,pop
2018,Male,White,7292,1411708,pop
2019,Female,American Indian or Alaska Native,121,29867,pop
2019,Female,Asian,281,90537,pop
2019,Female,Black or African American,2880,280549,pop
2019,Female,More than one race,414,113068,pop
2019,Female,Native Hawaiian or Other Pacific Islander,35,5444,pop
2019,Female,White,5516,1328470,pop
2019,Male,American Indian or Alaska Native,145,31183,pop
2019,Male,Asian,378,95541,pop
2019,Male,Black or African American,3533,290934,pop
2019,Male,More than one race,494,117972,pop
2019,Male,Native Hawaiian or Other Pacific Islander,54,5698,pop
2019,Male,White,7070,1393789,pop
2020,Female,American Indian or Alaska Native,105,34336,pop
2020,Female,Asian,245,105516,pop
2020,Female,Black or African American,2711,290531,pop
2020,Female,More than one race,365,120227,pop
2020,Female,Native Hawaiian or Other Pacific Islander,39,6711,pop
2020,Female,White,5258,1269548,pop
2020,Male,American Indian or Alaska Native,133,35782,pop
2020,Male,Asian,309,111314,pop
2020,Male,Black or African American,3340,300515,pop
2020,Male,More than one race,517,125570,pop
2020,Male,Native Hawaiian or Other Pacific Islander,45,7080,pop
2020,Male,White,6515,1327880,pop
2021,Female,American Indian or Alaska Native,107,34011,pop
2021,Female,Asian,295,100438,pop
2021,Female,Black or African American,2687,281768,pop
2021,Female,More than one race,445,116866,pop
2021,Female,Native Hawaiian or Other Pacific Islander,26,6596,pop
2021,Female,White,5451,1203312,pop
2021,Male,American Indian or Alaska Native,131,35189,pop
2021,Male,Asian,375,106562,pop
2021,Male,Black or African American,3319,291911,pop
2021,Male,More than one race,500,121630,pop
2021,Male,Native Hawaiian or Other Pacific Islander,54,6972,pop
2021,Male,White,6530,1259238,pop
2022,Female,American Indian or Alaska Native,107,32994,pop
2022,Female,Asian,292,106138,pop
2022,Female,Black or African American,2743,304466,pop
2022,Female,More than one race,463,121157,pop
2022,Female,Native Hawaiian or Other Pacific Islander,43,6564,pop
2022,Female,White,5534,1228927,pop
2022,Male,American Indian or Alaska Native,147,34276,pop
2022,Male,Asian,377,113027,pop
2022,Male,Black or African American,3431,313852,pop
2022,Male,More than one race,514,125866,pop
2022,Male,Native Hawaiian or Other Pacific Islander,57,7058,pop
2022,Male,White,6845,1288788,pop
2023,Female,American Indian or Alaska Native,123,32589,pop
2023,Female,Asian,281,101237,pop
2023,Female,Black or African American,2700,294247,pop
2023,Female,More than one race,464,121556,pop
2023,Female,Native Hawaiian or Other Pacific Islander,46,6925,pop
2023,Female,White,5424,1227592,pop
2023,Male,American Indian or Alaska Native,137,33988,pop
2023,Male,Asian,357,107131,pop
2023,Male,Black or African American,3194,302357,pop
2023,Male,More than one race,573,126722,pop
2023,Male,Native Hawaiian or Other Pacific Islander,54,7349,pop
2023,Male,White,6792,1286961,pop
2024,Female,American Indian or Alaska Native,101,32589,pop
2024,Female,Asian,353,101237,pop
2024,Female,Black or African American,2615,294247,pop
2024,Female,More than one race,425,121556,pop
2024,Female,Native Hawaiian or Other Pacific Islander,39,6925,pop
2024,Female,White,5616,1227592,pop
2024,Male,American Indian or Alaska Native,155,33988,pop
2024,Male,Asian,381,107131,pop
2024,Male,Black or African American,3154,302357,pop
2024,Male,More than one race,576,126722,pop
2024,Male,Native Hawaiian or Other Pacific Islander,52,7349,pop
2024,Male,White,6583,1286961,pop
2025,Female,American Indian or Alaska Native,60,32589,pop
2025,Female,Asian,179,101237,pop
2025,Female,Black or African American,1430,294247,pop
2025,Female,More than one race,255,121556,pop
2025,Female,Native Hawaiian or Other Pacific Islander,28,6925,pop
2025,Female,White,3073,1227592,pop
2025,Male,American Indian or Alaska Native,60,33988,pop
2025,Male,Asian,220,107131,pop
2025,Male,Black or African American,1596,302357,pop
2025,Male,More than one race,331,126722,pop
2025,Male,Native Hawaiian or Other Pacific Islander,34,7349,pop
2025,Male,White,3675,1286961,pop
1999,Female,American Indian or Alaska Native,163,19800,born
1999,Female,Black or African American,3925,298300,born
1999,Female,White,7870,1526898,born
1999,Male,American Indian or Alaska Native,180,20370,born
1999,Male,Black or African American,4897,307670,born
1999,Male,White,10197,1605603,born
2000,Female,American Indian or Alaska Native,130,20475,born
2000,Female,Black or African American,3870,306483,born
2000,Female,White,7967,1557924,born
2000,Male,American Indian or Alaska Native,193,21193,born
2000,Male,Black or African American,4901,316115,born
2000,Male,White,10177,1636081,born
2001,Female,American Indian or Alaska Native,162,20689,born
2001,Female,Black or African American,3734,298322,born
2001,Female,White,7856,1552115,born
2001,Male,American Indian or Alaska Native,211,21183,born
2001,Male,Black or African American,4764,307834,born
2001,Male,White,10099,1625511,born
2002,Female,American Indian or Alaska Native,152,20945,born
2002,Female,Black or African American,3872,292193,born
2002,Female,White,7936,1548457,born
2002,Male,American Indian or Alaska Native,191,21423,born
2002,Male,Black or African American,4652,301498,born
2002,Male,White,10433,1626303,born
2003,Female,American Indian or Alaska Native,140,21034,born
2003,Female,Asian or Pacific Islander,381,107039,born
2003,Female,Black or African American,3662,294640,born
2003,Female,White,7940,1573702,born
2003,Male,American Indian or Alaska Native,195,22018,born
2003,Male,Asian or Pacific Islander,467,114164,born
2003,Male,Black or African American,4740,305207,born
2003,Male,White,10500,1652146,born
2004,Female,American Indian or Alaska Native,152,21634,born
2004,Female,Asian or Pacific Islander,375,111348,born
2004,Female,Black or African American,3725,302178,born
2004,Female,White,7966,1572231,born
2004,Male,American Indian or Alaska Native,237,22293,born
2004,Male,Asian or Pacific Islander,447,117775,born
2004,Male,Black or African American,4769,313896,born
2004,Male,White,10265,1650697,born
2005,Female,American Indian or Alaska Native,161,22140,born
2005,Female,Asian or Pacific Islander,390,111870,born
2005,Female,Black or African American,3828,311875,born
2005,Female,White,8043,1573482,born
2005,Male,American Indian or Alaska Native,196,22673,born
2005,Male,Asian or Pacific Islander,484,119238,born
2005,Male,Black or African American,4867,321259,born
2005,Male,White,10471,1655812,born
2006,Female,American Indian or Alaska Native,151,23412,born
2006,Female,Asian or Pacific Islander,366,116825,born
2006,Female,Black or African American,3972,326643,born
2006,Female,White,8058,1614438,born
2006,Male,American Indian or Alaska Native,242,24309,born
2006,Male,Asian or Pacific Islander,507,124220,born
2006,Male,Black or African American,4886,339838,born
2006,Male,White,10345,1695870,born
2007,Female,American Indian or Alaska Native,191,24266,born
2007,Female,Asian or Pacific Islander,418,123188,born
2007,Female,Black or African American,3969,332397,born
2007,Female,White,8267,1628311,born
2007,Male,American Indian or Alaska Native,241,25177,born
2007,Male,Asian or Pacific Islander,537,131300,born
2007,Male,Black or African American,4975,343279,born
2007,Male,White,10540,1708315,born
2008,Female,American Indian or Alaska Native,169,24341,born
2008,Female,Asian or Pacific Islander,413,122595,born
2008,Female,Black or African American,3795,329924,born
2008,Female,White,8013,1597445,born
2008,Male,American Indian or Alaska Native,234,25196,born
2008,Male,Asian or Pacific Islander,536,130590,born
2008,Male,Black or African American,4748,340885,born
2008,Male,White,10151,1676718,born
2009,Female,American Indian or Alaska Native,171,23913,born
2009,Female,Asian or Pacific Islander,414,121563,born
2009,Female,Black or African American,3606,323476,born
2009,Female,White,7398,1547857,born
2009,Male,American Indian or Alaska Native,214,24752,born
2009,Male,Asian or Pacific Islander,484,129526,born
2009,Male,Black or African American,4706,334142,born
2009,Male,White,9419,1625436,born
2010,Female,American Indian or Alaska Native,141,23088,born
2010,Female,Asian or Pacific Islander,375,119049,born
2010,Female,Black or African American,3285,312469,born
2010,Female,White,7083,1497845,born
2010,Male,American Indian or Alaska Native,213,23672,born
2010,Male,Asian or Pacific Islander,502,127837,born
2010,Male,Black or African American,4116,323956,born
2010,Male,White,8871,1571470,born
2011,Female,American Indian or Alaska Native,162,22689,born
2011,Female,Asian or Pacific Islander,392,123186,born
2011,Female,Black or African American,3227,311235,born
2011,Female,White,6877,1472428,born
2011,Male,American Indian or Alaska Native,199,23730,born
2011,Male,Asian or Pacific Islander,488,130729,born
2011,Male,Black or African American,4057,321666,born
2011,Male,White,8583,1547927,born
2012,Female,American Indian or Alaska Native,162,22590,born
2012,Female,Asian or Pacific Islander,395,132212,born
2012,Female,Black or African American,3123,311962,born
2012,Female,White,6810,1464643,born
2012,Male,American Indian or Alaska Native,207,23503,born
2012,Male,Asian or Pacific Islander,512,140590,born
2012,Male,Black or African American,3972,322164,born
2012,Male,White,8448,1535177,born
2013,Female,American Indian or Alaska Native,118,22382,born
2013,Female,Asian or Pacific Islander,381,128665,born
2013,Female,Black or African American,3245,312395,born
2013,Female,White,6577,1455785,born
2013,Male,American Indian or Alaska Native,197,23609,born
2013,Male,Asian or Pacific Islander,496,137008,born
2013,Male,Black or African American,3878,322365,born
2013,Male,White,8548,1529972,born
2014,Female,American Indian or Alaska Native,158,22120,born
2014,Female,Asian or Pacific Islander,409,137076,born
2014,Female,Black or African American,3176,315741,born
2014,Female,White,6586,1472438,born
2014,Male,American Indian or Alaska Native,202,22808,born
2014,Male,Asian or Pacific Islander,487,145647,born
2014,Male,Black or African American,3900,324821,born
2014,Male,White,8297,1547425,born
2015,Female,American Indian or Alaska Native,167,21593,born
2015,Female,Asian or Pacific Islander,424,136397,born
2015,Female,Black or African American,3256,314817,born
2015,Female,White,6600,1469529,born
2015,Male,American Indian or Alaska Native,196,22706,born
2015,Male,Asian or Pacific Islander,545,144867,born
2015,Male,Black or African American,4033,325262,born
2015,Male,White,8234,1543326,born
2016,Female,American Indian or Alaska Native,141,18672,born
2016,Female,Black or African American,3287,307745,born
2016,Female,White,6425,1415488,born
2016,Male,American Indian or Alaska Native,206,19070,born
