cause,date,year,week,dead
MCD J18,2018-01-06,2018,1,266
MCD J18,2018-01-13,2018,2,302
MCD J18,2018-01-20,2018,3,273
MCD J18,2018-01-27,2018,4,271
MCD J18,2018-02-03,2018,5,240
MCD J18,2018-02-10,2018,6,276
MCD J18,2018-02-17,2018,7,261
MCD J18,2018-02-24,2018,8,261
MCD J18,2018-03-03,2018,9,239
MCD J18,2018-03-10,2018,10,231
MCD J18,2018-03-17,2018,11,239
MCD J18,2018-03-24,2018,12,213
MCD J18,2018-03-31,2018,13,203
MCD J18,2018-04-07,2018,14,210
MCD J18,2018-04-14,2018,15,174
MCD J18,2018-04-21,2018,16,181
MCD J18,2018-04-28,2018,17,183
MCD J18,2018-05-05,2018,18,171
MCD J18,2018-05-12,2018,19,190
MCD J18,2018-05-19,2018,20,172
MCD J18,2018-05-26,2018,21,185
MCD J18,2018-06-02,2018,22,193
MCD J18,2018-06-09,2018,23,166
MCD J18,2018-06-16,2018,24,176
MCD J18,2018-06-23,2018,25,160
MCD J18,2018-06-30,2018,26,159
MCD J18,2018-07-07,2018,27,154
MCD J18,2018-07-14,2018,28,172
MCD J18,2018-07-21,2018,29,161
MCD J18,2018-07-28,2018,30,154
MCD J18,2018-08-04,2018,31,184
MCD J18,2018-08-11,2018,32,193
MCD J18,2018-08-18,2018,33,156
MCD J18,2018-08-25,2018,34,180
MCD J18,2018-09-01,2018,35,144
MCD J18,2018-09-08,2018,36,163
MCD J18,2018-09-15,2018,37,180
MCD J18,2018-09-22,2018,38,155
MCD J18,2018-09-29,2018,39,152
MCD J18,2018-10-06,2018,40,174
MCD J18,2018-10-13,2018,41,168
MCD J18,2018-10-20,2018,42,172
MCD J18,2018-10-27,2018,43,182
MCD J18,2018-11-03,2018,44,173
MCD J18,2018-11-10,2018,45,171
MCD J18,2018-11-17,2018,46,170
MCD J18,2018-11-24,2018,47,194
MCD J18,2018-12-01,2018,48,186
MCD J18,2018-12-08,2018,49,187
MCD J18,2018-12-15,2018,50,245
MCD J18,2018-12-22,2018,51,203
MCD J18,2018-12-29,2018,52,203
MCD J18,2019-01-05,2019,1,225
MCD J18,2019-01-12,2019,2,239
MCD J18,2019-01-19,2019,3,225
MCD J18,2019-01-26,2019,4,227
MCD J18,2019-02-02,2019,5,220
MCD J18,2019-02-09,2019,6,219
MCD J18,2019-02-16,2019,7,239
MCD J18,2019-02-23,2019,8,224
MCD J18,2019-03-02,2019,9,243
MCD J18,2019-03-09,2019,10,224
MCD J18,2019-03-16,2019,11,242
MCD J18,2019-03-23,2019,12,212
MCD J18,2019-03-30,2019,13,235
MCD J18,2019-04-06,2019,14,201
MCD J18,2019-04-13,2019,15,187
MCD J18,2019-04-20,2019,16,196
MCD J18,2019-04-27,2019,17,191
MCD J18,2019-05-04,2019,18,161
MCD J18,2019-05-11,2019,19,177
MCD J18,2019-05-18,2019,20,153
MCD J18,2019-05-25,2019,21,192
MCD J18,2019-06-01,2019,22,204
MCD J18,2019-06-08,2019,23,187
MCD J18,2019-06-15,2019,24,179
MCD J18,2019-06-22,2019,25,166
MCD J18,2019-06-29,2019,26,190
MCD J18,2019-07-06,2019,27,152
MCD J18,2019-07-13,2019,28,176
MCD J18,2019-07-20,2019,29,151
MCD J18,2019-07-27,2019,30,175
MCD J18,2019-08-03,2019,31,176
MCD J18,2019-08-10,2019,32,161
MCD J18,2019-08-17,2019,33,163
MCD J18,2019-08-24,2019,34,170
MCD J18,2019-08-31,2019,35,160
MCD J18,2019-09-07,2019,36,130
MCD J18,2019-09-14,2019,37,138
MCD J18,2019-09-21,2019,38,160
MCD J18,2019-09-28,2019,39,159
MCD J18,2019-10-05,2019,40,148
MCD J18,2019-10-12,2019,41,159
MCD J18,2019-10-19,2019,42,206
MCD J18,2019-10-26,2019,43,152
MCD J18,2019-11-02,2019,44,186
MCD J18,2019-11-09,2019,45,176
MCD J18,2019-11-16,2019,46,184
MCD J18,2019-11-23,2019,47,175
MCD J18,2019-11-30,2019,48,197
MCD J18,2019-12-07,2019,49,216
MCD J18,2019-12-14,2019,50,218
MCD J18,2019-12-21,2019,51,200
MCD J18,2019-12-28,2019,52,220
MCD J18,2020-01-04,2020,1,242
MCD J18,2020-01-11,2020,2,268
MCD J18,2020-01-18,2020,3,260
MCD J18,2020-01-25,2020,4,238
MCD J18,2020-02-01,2020,5,241
MCD J18,2020-02-08,2020,6,242
MCD J18,2020-02-15,2020,7,214
MCD J18,2020-02-22,2020,8,227
MCD J18,2020-02-29,2020,9,223
MCD J18,2020-03-07,2020,10,209
MCD J18,2020-03-14,2020,11,184
MCD J18,2020-03-21,2020,12,276
MCD J18,2020-03-28,2020,13,395
MCD J18,2020-04-04,2020,14,675
MCD J18,2020-04-11,2020,15,721
MCD J18,2020-04-18,2020,16,700
MCD J18,2020-04-25,2020,17,564
MCD J18,2020-05-02,2020,18,498
MCD J18,2020-05-09,2020,19,463
MCD J18,2020-05-16,2020,20,437
MCD J18,2020-05-23,2020,21,393
MCD J18,2020-05-30,2020,22,356
MCD J18,2020-06-06,2020,23,380
MCD J18,2020-06-13,2020,24,370
MCD J18,2020-06-20,2020,25,363
MCD J18,2020-06-27,2020,26,344
MCD J18,2020-07-04,2020,27,387
MCD J18,2020-07-11,2020,28,463
MCD J18,2020-07-18,2020,29,549
MCD J18,2020-07-25,2020,30,540
MCD J18,2020-08-01,2020,31,513
MCD J18,2020-08-08,2020,32,491
MCD J18,2020-08-15,2020,33,504
MCD J18,2020-08-22,2020,34,473
MCD J18,2020-08-29,2020,35,409
MCD J18,2020-09-05,2020,36,355
MCD J18,2020-09-12,2020,37,344
MCD J18,2020-09-19,2020,38,311
MCD J18,2020-09-26,2020,39,342
MCD J18,2020-10-03,2020,40,340
MCD J18,2020-10-10,2020,41,324
MCD J18,2020-10-17,2020,42,316
MCD J18,2020-10-24,2020,43,324
MCD J18,2020-10-31,2020,44,360
MCD J18,2020-11-07,2020,45,405
MCD J18,2020-11-14,2020,46,439
MCD J18,2020-11-21,2020,47,517
MCD J18,2020-11-28,2020,48,647
MCD J18,2020-12-05,2020,49,671
MCD J18,2020-12-12,2020,50,729
MCD J18,2020-12-19,2020,51,832
MCD J18,2020-12-26,2020,52,916
MCD J18,2021-01-02,2020,53,1012
MCD J18,2021-01-09,2021,1,1057
MCD J18,2021-01-16,2021,2,1013
MCD J18,2021-01-23,2021,3,1026
MCD J18,2021-01-30,2021,4,938
MCD J18,2021-02-06,2021,5,785
MCD J18,2021-02-13,2021,6,712
MCD J18,2021-02-20,2021,7,605
MCD J18,2021-02-27,2021,8,514
MCD J18,2021-03-06,2021,9,472
MCD J18,2021-03-13,2021,10,439
MCD J18,2021-03-20,2021,11,412
MCD J18,2021-03-27,2021,12,409
MCD J18,2021-04-03,2021,13,376
MCD J18,2021-04-10,2021,14,434
MCD J18,2021-04-17,2021,15,473
MCD J18,2021-04-24,2021,16,489
MCD J18,2021-05-01,2021,17,448
MCD J18,2021-05-08,2021,18,436
MCD J18,2021-05-15,2021,19,440
MCD J18,2021-05-22,2021,20,444
MCD J18,2021-05-29,2021,21,371
MCD J18,2021-06-05,2021,22,369
MCD J18,2021-06-12,2021,23,325
MCD J18,2021-06-19,2021,24,315
MCD J18,2021-06-26,2021,25,342
MCD J18,2021-07-03,2021,26,327
MCD J18,2021-07-10,2021,27,344
MCD J18,2021-07-17,2021,28,355
MCD J18,2021-07-24,2021,29,479
MCD J18,2021-07-31,2021,30,597
MCD J18,2021-08-07,2021,31,943
MCD J18,2021-08-14,2021,32,1311
MCD J18,2021-08-21,2021,33,1613
MCD J18,2021-08-28,2021,34,1871
MCD J18,2021-09-04,2021,35,2186
MCD J18,2021-09-11,2021,36,2000
MCD J18,2021-09-18,2021,37,1959
MCD J18,2021-09-25,2021,38,1985
MCD J18,2021-10-02,2021,39,1648
MCD J18,2021-10-09,2021,40,1427
MCD J18,2021-10-16,2021,41,1318
MCD J18,2021-10-23,2021,42,1109
MCD J18,2021-10-30,2021,43,990
MCD J18,2021-11-06,2021,44,845
MCD J18,2021-11-13,2021,45,776
MCD J18,2021-11-20,2021,46,802
MCD J18,2021-11-27,2021,47,798
MCD J18,2021-12-04,2021,48,844
MCD J18,2021-12-11,2021,49,922
MCD J18,2021-12-18,2021,50,993
MCD J18,2021-12-25,2021,51,1015
MCD J18,2022-01-01,2021,52,1102
MCD J18,2022-01-08,2022,1,1196
MCD J18,2022-01-15,2022,2,1254
MCD J18,2022-01-22,2022,3,1151
MCD J18,2022-01-29,2022,4,1124
MCD J18,2022-02-05,2022,5,897
MCD J18,2022-02-12,2022,6,782
MCD J18,2022-02-19,2022,7,608
MCD J18,2022-02-26,2022,8,481
MCD J18,2022-03-05,2022,9,404
MCD J18,2022-03-12,2022,10,285
MCD J18,2022-03-19,2022,11,260
MCD J18,2022-03-26,2022,12,274
MCD J18,2022-04-02,2022,13,251
MCD J18,2022-04-09,2022,14,201
MCD J18,2022-04-16,2022,15,222
MCD J18,2022-04-23,2022,16,225
MCD J18,2022-04-30,2022,17,175
MCD J18,2022-05-07,2022,18,208
MCD J18,2022-05-14,2022,19,216
MCD J18,2022-05-21,2022,20,230
MCD J18,2022-05-28,2022,21,216
MCD J18,2022-06-04,2022,22,230
MCD J18,2022-06-11,2022,23,233
MCD J18,2022-06-18,2022,24,238
MCD J18,2022-06-25,2022,25,196
MCD J18,2022-07-02,2022,26,216
MCD J18,2022-07-09,2022,27,227
MCD J18,2022-07-16,2022,28,235
MCD J18,2022-07-23,2022,29,223
MCD J18,2022-07-30,2022,30,231
MCD J18,2022-08-06,2022,31,214
MCD J18,2022-08-13,2022,32,204
MCD J18,2022-08-20,2022,33,210
MCD J18,2022-08-27,2022,34,229
MCD J18,2022-09-03,2022,35,194
MCD J18,2022-09-10,2022,36,232
MCD J18,2022-09-17,2022,37,233
MCD J18,2022-09-24,2022,38,223
MCD J18,2022-10-01,2022,39,193
MCD J18,2022-10-08,2022,40,198
MCD J18,2022-10-15,2022,41,220
