cause,date,dead
MCD,1999-01,3283
MCD,1999-02,2889
MCD,1999-03,3241
MCD,1999-04,3065
MCD,1999-05,2950
MCD,1999-06,2727
MCD,1999-07,2882
MCD,1999-08,2849
MCD,1999-09,2826
MCD,1999-10,3031
MCD,1999-11,2988
MCD,1999-12,3442
MCD,2000-01,3727
MCD,2000-02,3193
MCD,2000-03,3108
MCD,2000-04,2880
MCD,2000-05,2925
MCD,2000-06,2967
MCD,2000-07,2902
MCD,2000-08,2867
MCD,2000-09,2846
MCD,2000-10,3037
MCD,2000-11,3132
MCD,2000-12,3421
MCD,2001-01,3617
MCD,2001-02,3121
MCD,2001-03,3382
MCD,2001-04,3237
MCD,2001-05,3157
MCD,2001-06,3009
MCD,2001-07,3160
MCD,2001-08,3133
MCD,2001-09,3056
MCD,2001-10,3266
MCD,2001-11,3169
MCD,2001-12,3280
MCD,2002-01,3720
MCD,2002-02,3340
MCD,2002-03,3522
MCD,2002-04,3272
MCD,2002-05,3271
MCD,2002-06,3015
MCD,2002-07,3205
MCD,2002-08,3054
MCD,2002-09,3077
MCD,2002-10,3298
MCD,2002-11,3308
MCD,2002-12,3463
MCD,2003-01,3756
MCD,2003-02,3341
MCD,2003-03,3463
MCD,2003-04,3340
MCD,2003-05,3271
MCD,2003-06,3172
MCD,2003-07,3268
MCD,2003-08,3241
MCD,2003-09,3275
MCD,2003-10,3518
MCD,2003-11,3263
MCD,2003-12,3988
MCD,2004-01,3871
MCD,2004-02,3489
MCD,2004-03,3519
MCD,2004-04,3357
MCD,2004-05,3413
MCD,2004-06,3301
MCD,2004-07,3304
MCD,2004-08,3322
MCD,2004-09,3135
MCD,2004-10,3457
MCD,2004-11,3362
MCD,2004-12,3588
MCD,2005-01,3836
MCD,2005-02,3576
MCD,2005-03,3745
MCD,2005-04,3578
MCD,2005-05,3500
MCD,2005-06,3233
MCD,2005-07,3230
MCD,2005-08,3351
MCD,2005-09,3284
MCD,2005-10,3409
MCD,2005-11,3524
MCD,2005-12,3737
MCD,2006-01,3923
MCD,2006-02,3604
MCD,2006-03,3868
MCD,2006-04,3456
MCD,2006-05,3516
MCD,2006-06,3402
MCD,2006-07,3457
MCD,2006-08,3382
MCD,2006-09,3375
MCD,2006-10,3603
MCD,2006-11,3461
MCD,2006-12,3754
MCD,2007-01,3887
MCD,2007-02,3519
MCD,2007-03,3768
MCD,2007-04,3655
MCD,2007-05,3449
MCD,2007-06,3340
MCD,2007-07,3354
MCD,2007-08,3499
MCD,2007-09,3265
MCD,2007-10,3498
MCD,2007-11,3598
MCD,2007-12,3628
MCD,2008-01,3982
MCD,2008-02,3801
MCD,2008-03,3912
MCD,2008-04,3491
MCD,2008-05,3483
MCD,2008-06,3327
MCD,2008-07,3379
MCD,2008-08,3457
MCD,2008-09,3358
MCD,2008-10,3611
MCD,2008-11,3465
