code,dead,year
N00.9,688,2020
N00.9,794,2021
N00.9,531,2022
N00.9,165,2023
N00.9,114,2024
N04.9,16,2020
N04.9,29,2021
N04.9,13,2022
N05.9,16,2020
N05.9,35,2021
N05.9,20,2022
N17.0,604,2020
N17.0,874,2021
N17.0,343,2022
N17.0,80,2023
N17.0,43,2024
N17.9,17397,2020
N17.9,32977,2021
N17.9,19547,2022
N17.9,5048,2023
N17.9,2925,2024
N18.3,1326,2020
N18.3,1537,2021
N18.3,1050,2022
N18.3,370,2023
N18.3,248,2024
N18.4,705,2020
N18.4,804,2021
N18.4,562,2022
N18.4,239,2023
N18.4,162,2024
N18.5,5404,2020
N18.5,6464,2021
N18.5,4176,2022
N18.5,1320,2023
N18.5,789,2024
N18.9,7397,2020
N18.9,9160,2021
N18.9,5317,2022
N18.9,1992,2023
N18.9,1201,2024
N19,4183,2020
N19,6282,2021
N19,3040,2022
N19,743,2023
N19,403,2024
N10,31,2020
N10,23,2021
N10,31,2022
N12,109,2020
N12,114,2021
N12,115,2022
N12,52,2023
N12,41,2024
N13.3,47,2020
N13.3,73,2021
N13.3,91,2022
N13.3,44,2023
N13.3,41,2024
N13.5,13,2020
N13.5,10,2021
N13.5,14,2022
N13.9,92,2020
N13.9,74,2021
N13.9,108,2022
N13.9,56,2023
N13.9,36,2024
N20.0,74,2020
N20.0,112,2021
N20.0,98,2022
N20.0,64,2023
N20.0,26,2024
N28.0,25,2020
N28.0,56,2021
N28.0,22,2022
N28.8,11365,2020
N28.8,10986,2021
N28.8,358,2022
N28.8,95,2023
N28.8,73,2024
N28.9,764,2020
N28.9,1606,2021
N28.9,1042,2022
N28.9,264,2023
N28.9,121,2024
