type,cause,year,month,dead
ucd,N00-N28 (kidney-related causes),1999,1,3552
ucd,N00-N28 (kidney-related causes),1999,2,3287
ucd,N00-N28 (kidney-related causes),1999,3,3647
ucd,N00-N28 (kidney-related causes),1999,4,3130
ucd,N00-N28 (kidney-related causes),1999,5,2927
ucd,N00-N28 (kidney-related causes),1999,6,2835
ucd,N00-N28 (kidney-related causes),1999,7,2933
ucd,N00-N28 (kidney-related causes),1999,8,2854
ucd,N00-N28 (kidney-related causes),1999,9,2846
ucd,N00-N28 (kidney-related causes),1999,10,3092
ucd,N00-N28 (kidney-related causes),1999,11,3022
ucd,N00-N28 (kidney-related causes),1999,12,3517
ucd,N00-N28 (kidney-related causes),2000,1,4037
ucd,N00-N28 (kidney-related causes),2000,2,3357
ucd,N00-N28 (kidney-related causes),2000,3,3288
ucd,N00-N28 (kidney-related causes),2000,4,2985
ucd,N00-N28 (kidney-related causes),2000,5,3122
ucd,N00-N28 (kidney-related causes),2000,6,3012
ucd,N00-N28 (kidney-related causes),2000,7,3114
ucd,N00-N28 (kidney-related causes),2000,8,3034
ucd,N00-N28 (kidney-related causes),2000,9,3080
ucd,N00-N28 (kidney-related causes),2000,10,3237
ucd,N00-N28 (kidney-related causes),2000,11,3320
ucd,N00-N28 (kidney-related causes),2000,12,3784
ucd,N00-N28 (kidney-related causes),2001,1,4049
ucd,N00-N28 (kidney-related causes),2001,2,3381
ucd,N00-N28 (kidney-related causes),2001,3,3663
ucd,N00-N28 (kidney-related causes),2001,4,3354
ucd,N00-N28 (kidney-related causes),2001,5,3393
ucd,N00-N28 (kidney-related causes),2001,6,3285
ucd,N00-N28 (kidney-related causes),2001,7,3291
ucd,N00-N28 (kidney-related causes),2001,8,3316
ucd,N00-N28 (kidney-related causes),2001,9,3199
ucd,N00-N28 (kidney-related causes),2001,10,3607
ucd,N00-N28 (kidney-related causes),2001,11,3381
ucd,N00-N28 (kidney-related causes),2001,12,3654
ucd,N00-N28 (kidney-related causes),2002,1,4197
ucd,N00-N28 (kidney-related causes),2002,2,3800
ucd,N00-N28 (kidney-related causes),2002,3,3916
ucd,N00-N28 (kidney-related causes),2002,4,3468
ucd,N00-N28 (kidney-related causes),2002,5,3522
ucd,N00-N28 (kidney-related causes),2002,6,3268
ucd,N00-N28 (kidney-related causes),2002,7,3287
ucd,N00-N28 (kidney-related causes),2002,8,3319
ucd,N00-N28 (kidney-related causes),2002,9,3308
ucd,N00-N28 (kidney-related causes),2002,10,3464
ucd,N00-N28 (kidney-related causes),2002,11,3504
ucd,N00-N28 (kidney-related causes),2002,12,4065
ucd,N00-N28 (kidney-related causes),2003,1,4211
ucd,N00-N28 (kidney-related causes),2003,2,3683
ucd,N00-N28 (kidney-related causes),2003,3,3834
ucd,N00-N28 (kidney-related causes),2003,4,3583
ucd,N00-N28 (kidney-related causes),2003,5,3531
ucd,N00-N28 (kidney-related causes),2003,6,3478
ucd,N00-N28 (kidney-related causes),2003,7,3573
ucd,N00-N28 (kidney-related causes),2003,8,3518
ucd,N00-N28 (kidney-related causes),2003,9,3484
ucd,N00-N28 (kidney-related causes),2003,10,3661
ucd,N00-N28 (kidney-related causes),2003,11,3620
ucd,N00-N28 (kidney-related causes),2003,12,4537
ucd,N00-N28 (kidney-related causes),2004,1,4505
ucd,N00-N28 (kidney-related causes),2004,2,3881
ucd,N00-N28 (kidney-related causes),2004,3,3908
ucd,N00-N28 (kidney-related causes),2004,4,3679
ucd,N00-N28 (kidney-related causes),2004,5,3632
ucd,N00-N28 (kidney-related causes),2004,6,3418
ucd,N00-N28 (kidney-related causes),2004,7,3493
ucd,N00-N28 (kidney-related causes),2004,8,3462
ucd,N00-N28 (kidney-related causes),2004,9,3437
ucd,N00-N28 (kidney-related causes),2004,10,3775
ucd,N00-N28 (kidney-related causes),2004,11,3638
ucd,N00-N28 (kidney-related causes),2004,12,3922
ucd,N00-N28 (kidney-related causes),2005,1,4227
ucd,N00-N28 (kidney-related causes),2005,2,4077
ucd,N00-N28 (kidney-related causes),2005,3,4390
ucd,N00-N28 (kidney-related causes),2005,4,3901
ucd,N00-N28 (kidney-related causes),2005,5,3673
ucd,N00-N28 (kidney-related causes),2005,6,3519
ucd,N00-N28 (kidney-related causes),2005,7,3452
ucd,N00-N28 (kidney-related causes),2005,8,3569
ucd,N00-N28 (kidney-related causes),2005,9,3419
ucd,N00-N28 (kidney-related causes),2005,10,3718
ucd,N00-N28 (kidney-related causes),2005,11,3894
ucd,N00-N28 (kidney-related causes),2005,12,4296
ucd,N00-N28 (kidney-related causes),2006,1,4251
ucd,N00-N28 (kidney-related causes),2006,2,3977
ucd,N00-N28 (kidney-related causes),2006,3,4474
ucd,N00-N28 (kidney-related causes),2006,4,3785
ucd,N00-N28 (kidney-related causes),2006,5,3946
ucd,N00-N28 (kidney-related causes),2006,6,3619
ucd,N00-N28 (kidney-related causes),2006,7,3693
ucd,N00-N28 (kidney-related causes),2006,8,3819
ucd,N00-N28 (kidney-related causes),2006,9,3611
ucd,N00-N28 (kidney-related causes),2006,10,4026
ucd,N00-N28 (kidney-related causes),2006,11,3889
ucd,N00-N28 (kidney-related causes),2006,12,4418
ucd,N00-N28 (kidney-related causes),2007,1,4582
ucd,N00-N28 (kidney-related causes),2007,2,4231
ucd,N00-N28 (kidney-related causes),2007,3,4353
ucd,N00-N28 (kidney-related causes),2007,4,4162
ucd,N00-N28 (kidney-related causes),2007,5,4013
ucd,N00-N28 (kidney-related causes),2007,6,3705
ucd,N00-N28 (kidney-related causes),2007,7,3833
ucd,N00-N28 (kidney-related causes),2007,8,3798
ucd,N00-N28 (kidney-related causes),2007,9,3770
ucd,N00-N28 (kidney-related causes),2007,10,3836
ucd,N00-N28 (kidney-related causes),2007,11,3976
ucd,N00-N28 (kidney-related causes),2007,12,4389
ucd,N00-N28 (kidney-related causes),2008,1,4681
ucd,N00-N28 (kidney-related causes),2008,2,4596
ucd,N00-N28 (kidney-related causes),2008,3,4783
ucd,N00-N28 (kidney-related causes),2008,4,4317
ucd,N00-N28 (kidney-related causes),2008,5,3937
ucd,N00-N28 (kidney-related causes),2008,6,3884
ucd,N00-N28 (kidney-related causes),2008,7,3911
ucd,N00-N28 (kidney-related causes),2008,8,3875
ucd,N00-N28 (kidney-related causes),2008,9,3744
ucd,N00-N28 (kidney-related causes),2008,10,4032
ucd,N00-N28 (kidney-related causes),2008,11,4194
ucd,N00-N28 (kidney-related causes),2008,12,4552
ucd,N00-N28 (kidney-related causes),2009,1,4812
ucd,N00-N28 (kidney-related causes),2009,2,4295
ucd,N00-N28 (kidney-related causes),2009,3,4545
ucd,N00-N28 (kidney-related causes),2009,4,4239
ucd,N00-N28 (kidney-related causes),2009,5,4103
ucd,N00-N28 (kidney-related causes),2009,6,3943
ucd,N00-N28 (kidney-related causes),2009,7,4038
ucd,N00-N28 (kidney-related causes),2009,8,3970
ucd,N00-N28 (kidney-related causes),2009,9,3892
ucd,N00-N28 (kidney-related causes),2009,10,4440
ucd,N00-N28 (kidney-related causes),2009,11,4272
ucd,N00-N28 (kidney-related causes),2009,12,4726
ucd,N00-N28 (kidney-related causes),2010,1,4894
ucd,N00-N28 (kidney-related causes),2010,2,4371
ucd,N00-N28 (kidney-related causes),2010,3,4777
ucd,N00-N28 (kidney-related causes),2010,4,4394
ucd,N00-N28 (kidney-related causes),2010,5,4381
ucd,N00-N28 (kidney-related causes),2010,6,4104
ucd,N00-N28 (kidney-related causes),2010,7,4121
ucd,N00-N28 (kidney-related causes),2010,8,4221
ucd,N00-N28 (kidney-related causes),2010,9,4039
ucd,N00-N28 (kidney-related causes),2010,10,4346
ucd,N00-N28 (kidney-related causes),2010,11,4590
ucd,N00-N28 (kidney-related causes),2010,12,4879
ucd,N00-N28 (kidney-related causes),2011,1,4716
ucd,N00-N28 (kidney-related causes),2011,2,4226
ucd,N00-N28 (kidney-related causes),2011,3,4503
ucd,N00-N28 (kidney-related causes),2011,4,3977
ucd,N00-N28 (kidney-related causes),2011,5,3965
ucd,N00-N28 (kidney-related causes),2011,6,3781
ucd,N00-N28 (kidney-related causes),2011,7,3826
ucd,N00-N28 (kidney-related causes),2011,8,3777
ucd,N00-N28 (kidney-related causes),2011,9,3717
ucd,N00-N28 (kidney-related causes),2011,10,3975
ucd,N00-N28 (kidney-related causes),2011,11,4013
ucd,N00-N28 (kidney-related causes),2011,12,4220
ucd,N00-N28 (kidney-related causes),2012,1,4494
ucd,N00-N28 (kidney-related causes),2012,2,4112
ucd,N00-N28 (kidney-related causes),2012,3,4342
ucd,N00-N28 (kidney-related causes),2012,4,4010
ucd,N00-N28 (kidney-related causes),2012,5,4004
ucd,N00-N28 (kidney-related causes),2012,6,3701
ucd,N00-N28 (kidney-related causes),2012,7,3875
ucd,N00-N28 (kidney-related causes),2012,8,3840
ucd,N00-N28 (kidney-related causes),2012,9,3890
ucd,N00-N28 (kidney-related causes),2012,10,4122
ucd,N00-N28 (kidney-related causes),2012,11,4119
ucd,N00-N28 (kidney-related causes),2012,12,4653
ucd,N00-N28 (kidney-related causes),2013,1,5107
ucd,N00-N28 (kidney-related causes),2013,2,4334
ucd,N00-N28 (kidney-related causes),2013,3,4648
ucd,N00-N28 (kidney-related causes),2013,4,4270
ucd,N00-N28 (kidney-related causes),2013,5,4114
ucd,N00-N28 (kidney-related causes),2013,6,3869
ucd,N00-N28 (kidney-related causes),2013,7,4022
ucd,N00-N28 (kidney-related causes),2013,8,3895
ucd,N00-N28 (kidney-related causes),2013,9,3953
ucd,N00-N28 (kidney-related causes),2013,10,4121
ucd,N00-N28 (kidney-related causes),2013,11,4097
ucd,N00-N28 (kidney-related causes),2013,12,4628
ucd,N00-N28 (kidney-related causes),2014,1,5068
ucd,N00-N28 (kidney-related causes),2014,2,4438
ucd,N00-N28 (kidney-related causes),2014,3,4681
ucd,N00-N28 (kidney-related causes),2014,4,4257
ucd,N00-N28 (kidney-related causes),2014,5,4310
ucd,N00-N28 (kidney-related causes),2014,6,3978
ucd,N00-N28 (kidney-related causes),2014,7,4068
ucd,N00-N28 (kidney-related causes),2014,8,4104
ucd,N00-N28 (kidney-related causes),2014,9,4153
ucd,N00-N28 (kidney-related causes),2014,10,4256
ucd,N00-N28 (kidney-related causes),2014,11,4362
ucd,N00-N28 (kidney-related causes),2014,12,4971
ucd,N00-N28 (kidney-related causes),2015,1,5499
ucd,N00-N28 (kidney-related causes),2015,2,4738
ucd,N00-N28 (kidney-related causes),2015,3,5059
ucd,N00-N28 (kidney-related causes),2015,4,4676
ucd,N00-N28 (kidney-related causes),2015,5,4461
ucd,N00-N28 (kidney-related causes),2015,6,4283
ucd,N00-N28 (kidney-related causes),2015,7,4345
ucd,N00-N28 (kidney-related causes),2015,8,4205
ucd,N00-N28 (kidney-related causes),2015,9,4202
ucd,N00-N28 (kidney-related causes),2015,10,4340
