year,age,dead,pop
1999,0,131,105572
1999,5,23,220802
1999,15,155,222909
1999,25,218,294965
1999,35,491,312232
1999,45,786,253439
1999,55,1105,138222
1999,65,1924,89255
1999,75,3586,67612
1999,85,3521,24050
2000,0,131,105321
2000,5,38,221154
2000,15,140,224858
2000,25,209,294443
2000,35,420,308823
2000,45,799,259136
2000,55,1068,141527
2000,65,1802,88884
2000,75,3489,68348
2000,85,3467,24540
2001,0,124,105740
2001,5,28,219219
2001,15,144,231868
2001,25,168,293912
2001,35,417,305860
2001,45,786,267790
2001,55,1075,147786
2001,65,1787,87854
2001,75,3493,68836
2001,85,3522,25225
2002,0,112,105348
2002,5,31,217306
2002,15,118,233171
2002,25,215,292363
2002,35,431,300357
2002,45,918,269354
2002,55,1085,158751
2002,65,1743,87536
2002,75,3295,68852
2002,85,3650,25647
2003,0,129,105873
2003,5,27,215281
2003,15,131,234579
2003,25,198,289455
2003,35,405,296166
2003,45,899,272072
2003,55,1169,167214
2003,65,1661,88179
2003,75,3357,68272
2003,85,3658,26349
2004,0,112,108233
2004,5,20,214863
2004,15,141,233526
2004,25,183,287363
2004,35,401,295523
2004,45,808,275645
2004,55,1187,176548
2004,65,1585,88873
2004,75,3181,67739
2004,85,3595,26984
2005,0,112,109964
2005,5,24,214083
2005,15,128,236103
2005,25,210,286757
2005,35,348,297417
2005,45,877,279183
2005,55,1207,185437
2005,65,1630,90866
2005,75,3207,67212
2005,85,3739,28246
2006,0,119,112246
2006,5,23,215050
2006,15,150,238973
2006,25,196,292084
2006,35,383,299271
2006,45,857,282846
2006,55,1318,194557
2006,65,1579,92562
2006,75,3067,65894
2006,85,3917,29484
2007,0,123,114680
2007,5,17,215326
2007,15,138,240952
2007,25,204,296537
2007,35,387,299519
2007,45,921,286395
2007,55,1294,203306
2007,65,1617,95602
2007,75,2946,65085
2007,85,4063,30584
2008,0,143,116864
2008,5,21,216653
2008,15,138,244970
2008,25,185,303796
2008,35,335,297405
2008,45,880,288533
2008,55,1393,210648
2008,65,1645,100754
2008,75,2918,63969
2008,85,4342,31428
2009,0,78,25054
2009,5,21,221064
2009,15,110,248229
2009,25,198,310968
2009,35,321,296804
2009,45,911,290781
2009,55,1404,220289
2009,65,1640,107731
2009,75,2732,64100
2009,85,4170,32980
2010,0,119,120294
2010,5,24,224084
2010,15,124,247336
2010,25,191,312717
2010,35,325,296790
2010,45,853,291132
2010,55,1434,228217
2010,65,1633,112747
2010,75,2588,64148
2010,85,4467,33784
2011,0,114,122730
2011,5,18,226570
2011,15,107,246002
2011,25,186,324105
2011,35,318,299581
2011,45,772,290338
2011,55,1598,239495
2011,65,1701,120296
2011,75,2732,65126
2011,85,4548,35479
2012,0,119,124265
2012,5,27,230819
2012,15,130,248073
2012,25,210,331973
2012,35,316,303936
2012,45,840,290366
2012,55,1562,245574
2012,65,1849,130431
2012,75,2735,65713
2012,85,4508,36290
2013,0,127,126611
2013,5,13,235941
2013,15,128,249238
2013,25,202,341745
2013,35,312,306890
2013,45,805,290457
2013,55,1529,250342
2013,65,1922,139629
2013,75,2725,67090
2013,85,4708,36506
2014,0,124,128308
2014,5,17,237965
2014,15,135,250590
2014,25,252,353550
2014,35,346,309343
2014,45,782,291878
2014,55,1617,255102
2014,65,2006,147686
2014,75,2717,68423
2014,85,4645,37122
2015,0,111,128743
2015,5,23,240544
2015,15,123,249623
2015,25,231,366452
2015,35,349,313079
2015,45,778,294992
2015,55,1614,260306
2015,65,2061,155813
2015,75,2635,69915
2015,85,4792,37658
2016,0,112,129311
2016,5,18,244154
2016,15,133,250228
2016,25,233,377564
2016,35,358,316509
2016,45,793,296328
2016,55,1603,262868
2016,65,2220,163565
2016,75,2747,71683
2016,85,4828,37760
2017,0,98,128908
2017,5,11,247607
2017,15,158,248388
2017,25,274,391777
2017,35,348,326466
2017,45,808,296611
2017,55,1605,264983
2017,65,2318,171514
2017,75,2758,74607
2017,85,4999,37788
2018,0,115,130129
2018,5,28,251042
2018,15,148,252726
2018,25,296,408870
2018,35,385,335424
2018,45,704,294350
2018,55,1648,265512
2018,65,2312,177417
2018,75,2850,79327
2018,85,4770,38366
2019,0,114,127399
2019,5,21,252346
2019,15,157,253314
2019,25,313,416064
2019,35,411,342551
2019,45,737,292838
2019,55,1578,263955
2019,65,2483,182715
2019,75,2994,83093
2019,85,4751,38507
2020,0,111,125728
2020,5,28,252199
2020,15,178,253898
2020,25,319,424223
2020,35,476,352340
2020,45,799,292689
2020,55,1719,261998
2020,65,2619,186186
2020,75,3171,86496
2020,85,5085,38558
2021,0,109,119451
2021,5,28,252638
2021,15,201,249716
2021,25,410,408181
2021,35,583,359593
2021,45,929,293367
2021,55,1890,260024
2021,65,2783,189413
2021,75,3314,87039
2021,85,4870,32883
2022,0,121,116238
2022,5,29,246240
2022,15,176,260197
2022,25,470,413638
2022,35,625,360809
2022,45,972,292485
2022,55,1850,254060
2022,65,2783,190349
2022,75,3676,93629
2022,85,5085,39144
2023,0,113,114439
2023,5,24,244508
2023,15,191,259159
2023,25,502,412211
2023,35,738,367850
2023,45,994,291277
2023,55,1831,252485
2023,65,2764,194215
2023,75,3531,96861
2023,85,4702,38375
