cause,year,month,dead
covid,2020,03,172
covid,2020,04,267
covid,2020,05,105
covid,2020,06,31
covid,2020,07,45
covid,2020,08,59
covid,2020,09,25
covid,2020,10,45
covid,2020,11,82
covid,2020,12,261
covid,2021,01,161
covid,2021,02,93
covid,2021,03,39
covid,2021,04,56
covid,2021,05,64
covid,2021,06,35
covid,2021,07,17
covid,2021,08,87
covid,2021,09,121
covid,2021,10,91
covid,2021,11,77
covid,2021,12,49
covid,2022,01,202
covid,2022,02,122
covid,2022,03,49
covid,2022,04,24
covid,2022,05,37
covid,2022,06,53
covid,2022,07,74
covid,2022,08,59
covid,2022,09,41
covid,2022,10,39
covid,2022,11,33
covid,2022,12,55
covid,2023,01,40
covid,2023,02,33
covid,2023,03,38
covid,2023,04,30
covid,2023,05,14
covid,2023,06,18
covid,2023,07,13
covid,2023,08,19
covid,2023,09,23
covid,2023,10,33
covid,2023,11,25
covid,2023,12,21
covid,2024,01,46
covid,2024,02,31
covid,2024,03,15
covid,2024,04,11
covid,2024,06,15
covid,2024,07,23
covid,2024,08,15
covid,2024,09,19
covid,2024,10,16
drug,2018,01,36
drug,2018,02,40
drug,2018,03,36
drug,2018,04,24
drug,2018,05,42
drug,2018,06,35
drug,2018,07,36
drug,2018,08,27
drug,2018,09,36
drug,2018,10,20
drug,2018,11,28
drug,2018,12,27
drug,2019,01,39
drug,2019,02,40
drug,2019,03,32
drug,2019,04,29
drug,2019,05,26
drug,2019,06,30
drug,2019,07,36
drug,2019,08,47
drug,2019,09,35
drug,2019,10,39
drug,2019,11,36
drug,2019,12,41
drug,2020,01,35
drug,2020,02,45
drug,2020,03,50
drug,2020,04,55
drug,2020,05,49
drug,2020,06,45
drug,2020,07,50
drug,2020,08,44
drug,2020,09,26
drug,2020,10,34
drug,2020,11,44
drug,2020,12,42
drug,2021,01,60
drug,2021,02,46
drug,2021,03,55
drug,2021,04,58
drug,2021,05,72
drug,2021,06,68
drug,2021,07,66
drug,2021,08,53
drug,2021,09,56
drug,2021,10,55
drug,2021,11,58
drug,2021,12,57
drug,2022,01,70
drug,2022,02,54
drug,2022,03,68
drug,2022,04,56
drug,2022,05,66
drug,2022,06,69
drug,2022,07,77
drug,2022,08,113
drug,2022,09,83
drug,2022,10,85
drug,2022,11,111
drug,2022,12,124
drug,2023,01,122
drug,2023,02,77
drug,2023,03,124
drug,2023,04,124
drug,2023,05,103
drug,2023,06,112
drug,2023,07,122
drug,2023,08,103
drug,2023,09,123
drug,2023,10,102
drug,2023,11,107
drug,2023,12,87
drug,2024,01,99
drug,2024,02,97
drug,2024,03,100
drug,2024,04,107
drug,2024,05,83
drug,2024,06,75
drug,2024,07,83
drug,2024,08,65
drug,2024,09,51
drug,2024,10,50
all,2018,01,1292
all,2018,02,1072
all,2018,03,1200
all,2018,04,1085
all,2018,05,1073
all,2018,06,1073
all,2018,07,1055
all,2018,08,1040
all,2018,09,974
all,2018,10,1119
all,2018,11,1132
all,2018,12,1141
all,2019,01,1263
all,2019,02,1173
all,2019,03,1204
all,2019,04,1152
all,2019,05,1111
all,2019,06,1069
all,2019,07,1114
all,2019,08,1040
all,2019,09,1019
all,2019,10,1109
all,2019,11,1133
all,2019,12,1172
all,2020,01,1242
all,2020,02,1128
all,2020,03,1303
all,2020,04,1376
all,2020,05,1160
all,2020,06,1036
all,2020,07,1158
all,2020,08,1171
all,2020,09,1110
all,2020,10,1166
all,2020,11,1222
all,2020,12,1434
all,2021,01,1386
all,2021,02,1156
all,2021,03,1214
all,2021,04,1264
all,2021,05,1224
all,2021,06,1274
all,2021,07,1224
all,2021,08,1217
all,2021,09,1245
all,2021,10,1323
all,2021,11,1263
all,2021,12,1327
all,2022,01,1606
all,2022,02,1223
all,2022,03,1229
all,2022,04,1246
all,2022,05,1258
all,2022,06,1192
all,2022,07,1302
all,2022,08,1331
all,2022,09,1274
all,2022,10,1219
all,2022,11,1369
all,2022,12,1540
all,2023,01,1420
all,2023,02,1201
all,2023,03,1334
all,2023,04,1312
all,2023,05,1222
all,2023,06,1212
all,2023,07,1141
all,2023,08,1262
all,2023,09,1255
all,2023,10,1365
all,2023,11,1303
all,2023,12,1363
all,2024,01,1473
all,2024,02,1265
all,2024,03,1315
all,2024,04,1294
all,2024,05,1234
all,2024,06,1217
all,2024,07,1200
all,2024,08,1202
all,2024,09,1157
all,2024,10,1208
all,2024,11,1279
all,2024,12,1335
all,2025,01,1344
all,2025,02,1326
all,2025,03,1315
all,2025,04,740
all,1999,01,1035
all,1999,02,1098
all,1999,03,1042
all,1999,04,1045
all,1999,05,952
all,1999,06,942
all,1999,07,943
all,1999,08,927
all,1999,09,891
all,1999,10,1010
all,1999,11,995
all,1999,12,1062
all,2000,01,1153
all,2000,02,931
all,2000,03,1034
all,2000,04,882
all,2000,05,940
all,2000,06,948
all,2000,07,929
all,2000,08,891
all,2000,09,905
all,2000,10,971
all,2000,11,917
all,2000,12,1062
all,2001,01,1110
all,2001,02,944
all,2001,03,1063
all,2001,04,964
all,2001,05,974
all,2001,06,908
all,2001,07,925
all,2001,08,912
all,2001,09,863
all,2001,10,939
all,2001,11,947
all,2001,12,995
all,2002,01,1094
all,2002,02,967
all,2002,03,1055
all,2002,04,1003
all,2002,05,915
all,2002,06,890
all,2002,07,951
all,2002,08,891
all,2002,09,922
all,2002,10,968
all,2002,11,952
all,2002,12,990
all,2003,01,1009
all,2003,02,890
all,2003,03,1039
all,2003,04,976
all,2003,05,968
all,2003,06,923
all,2003,07,946
all,2003,08,881
all,2003,09,884
all,2003,10,980
all,2003,11,999
all,2003,12,1140
all,2004,01,1023
all,2004,02,959
all,2004,03,993
all,2004,04,895
all,2004,05,917
all,2004,06,948
all,2004,07,914
all,2004,08,854
all,2004,09,870
all,2004,10,946
all,2004,11,949
all,2004,12,945
all,2005,01,1083
all,2005,02,1023
all,2005,03,1058
all,2005,04,980
all,2005,05,935
all,2005,06,926
all,2005,07,923
all,2005,08,817
all,2005,09,860
all,2005,10,925
all,2005,11,860
all,2005,12,1092
all,2006,01,1120
all,2006,02,913
all,2006,03,1050
all,2006,04,970
all,2006,05,945
all,2006,06,865
all,2006,07,942
all,2006,08,892
all,2006,09,856
all,2006,10,935
all,2006,11,1039
all,2006,12,1083
all,2007,01,1043
all,2007,02,990
all,2007,03,1019
all,2007,04,962
all,2007,05,976
all,2007,06,924
all,2007,07,958
all,2007,08,890
all,2007,09,939
all,2007,10,1013
all,2007,11,917
all,2007,12,1079
all,2008,01,1161
all,2008,02,1119
all,2008,03,1091
all,2008,04,1009
all,2008,05,1054
all,2008,06,933
all,2008,07,934
all,2008,08,918
all,2008,09,887
all,2008,10,950
all,2008,11,896
all,2008,12,1049
all,2009,01,1081
all,2009,02,901
all,2009,03,1070
all,2009,04,945
all,2009,05,965
all,2009,06,874
all,2009,07,971
all,2009,08,960
all,2009,09,841
all,2009,10,985
all,2009,11,958
all,2009,12,1041
all,2010,01,1007
all,2010,02,911
all,2010,03,1011
all,2010,04,988
all,2010,05,942
all,2010,06,901
all,2010,07,1002
all,2010,08,954
all,2010,09,976
all,2010,10,1031
all,2010,11,969
all,2010,12,1066
all,2011,01,1099
all,2011,02,959
all,2011,03,1107
all,2011,04,1083
all,2011,05,1029
all,2011,06,898
all,2011,07,986
all,2011,08,932
all,2011,09,989
all,2011,10,992
all,2011,11,1005
all,2011,12,1015
all,2012,01,1061
all,2012,02,931
all,2012,03,1102
all,2012,04,1016
all,2012,05,1021
all,2012,06,958
all,2012,07,1055
all,2012,08,987
all,2012,09,972
all,2012,10,1083
all,2012,11,1030
all,2012,12,1080
all,2013,01,1226
all,2013,02,1040
all,2013,03,1089
all,2013,04,989
all,2013,05,1013
all,2013,06,974
all,2013,07,980
all,2013,08,956
all,2013,09,994
all,2013,10,1055
all,2013,11,1044
all,2013,12,1111
all,2014,01,1177
all,2014,02,1046
all,2014,03,1037
all,2014,04,1048
all,2014,05,960
all,2014,06,973
all,2014,07,1036
all,2014,08,1026
all,2014,09,975
all,2014,10,1090
all,2014,11,1069
all,2014,12,1204
all,2015,01,1198
all,2015,02,989
all,2015,03,1165
all,2015,04,1002
all,2015,05,1097
all,2015,06,1016
all,2015,07,995
all,2015,08,999
all,2015,09,1002
all,2015,10,1046
all,2015,11,1054
all,2015,12,1154
all,2016,01,1190
all,2016,02,1077
all,2016,03,1207
all,2016,04,1067
all,2016,05,1172
all,2016,06,1070
all,2016,07,1024
all,2016,08,1026
all,2016,09,1017
all,2016,10,1039
all,2016,11,969
all,2016,12,1187
all,2017,01,1460
all,2017,02,1202
all,2017,03,1202
all,2017,04,1033
all,2017,05,1093
all,2017,06,965
all,2017,07,1013
all,2017,08,1047
all,2017,09,983
all,2017,10,1077
all,2017,11,1123
all,2017,12,1179
drug,1999,01,15
drug,1999,02,14
drug,1999,04,25
drug,1999,05,16
drug,1999,06,23
drug,1999,07,17
drug,1999,08,18
drug,1999,09,20
drug,1999,10,15
drug,1999,11,19
drug,1999,12,11
drug,2000,01,19
drug,2000,02,17
drug,2000,03,18
drug,2000,04,28
drug,2000,05,19
drug,2000,06,19
drug,2000,07,17
drug,2000,08,15
drug,2000,09,16
drug,2000,10,11
drug,2000,11,15
drug,2000,12,17
drug,2001,01,20
drug,2001,02,13
drug,2001,03,12
drug,2001,04,19
drug,2001,05,11
drug,2001,06,14
drug,2001,07,12
drug,2001,08,10
drug,2001,09,12
drug,2001,10,12
drug,2001,11,12
drug,2001,12,10
drug,2002,01,16
drug,2002,02,20
drug,2002,03,18
drug,2002,04,18
drug,2002,05,15
drug,2002,06,17
drug,2002,07,20
drug,2002,08,16
drug,2002,09,14
drug,2002,10,18
drug,2002,11,14
drug,2002,12,18
drug,2003,01,14
drug,2003,02,13
drug,2003,03,15
drug,2003,04,13
drug,2003,05,20
drug,2003,06,18
drug,2003,07,23
drug,2003,08,14
drug,2003,09,17
drug,2003,10,21
drug,2003,11,20
drug,2003,12,25
drug,2004,01,25
drug,2004,02,23
drug,2004,03,22
drug,2004,04,16
drug,2004,05,16
drug,2004,06,23
drug,2004,07,28
