year,race,hispanic,dead,born
2007,American Indian or Alaska Native,Mexican,28,3858
2007,American Indian or Alaska Native,Non-Hispanic other races,402,42890
2007,Asian or Pacific Islander,Mexican,21,3662
2007,Asian or Pacific Islander,Puerto Rican,11,1299
2007,Asian or Pacific Islander,Other and Unknown Hispanic,12,2697
2007,Asian or Pacific Islander,Non-Hispanic other races,1114,242046
2007,Asian or Pacific Islander,Origin unknown or not stated,51,3254
2007,Black or African American,Mexican,56,10066
2007,Black or African American,Puerto Rican,85,8599
2007,Black or African American,Central or South American,92,19578
2007,Black or African American,Other and Unknown Hispanic,43,4490
2007,Black or African American,Non-Hispanic Black,8351,627191
2007,Black or African American,Origin unknown or not stated,101,4854
2007,White,Mexican,3809,704469
2007,White,Puerto Rican,424,58208
2007,White,Cuban,83,15971
2007,White,Central or South American,673,148329
2007,White,Other and Unknown Hispanic,489,77164
2007,White,Non-Hispanic White,13005,2310333
2007,White,Origin unknown or not stated,265,22152
2008,American Indian or Alaska Native,Mexican,28,3947
2008,American Indian or Alaska Native,Other and Unknown Hispanic,10,1207
2008,American Indian or Alaska Native,Non-Hispanic other races,368,42466
2008,Asian or Pacific Islander,Mexican,18,3500
2008,Asian or Pacific Islander,Other and Unknown Hispanic,22,2867
2008,Asian or Pacific Islander,Non-Hispanic other races,1055,240316
2008,Asian or Pacific Islander,Origin unknown or not stated,36,3544
2008,Black or African American,Mexican,83,11617
2008,Black or African American,Puerto Rican,81,8838
2008,Black or African American,Central or South American,71,11168
2008,Black or African American,Other and Unknown Hispanic,58,8207
2008,Black or African American,Non-Hispanic Black,7894,623031
2008,Black or African American,Origin unknown or not stated,108,7034
2008,White,Mexican,3692,665819
2008,White,Puerto Rican,415,58323
2008,White,Cuban,76,15651
2008,White,Central or South American,659,142411
2008,White,Other and Unknown Hispanic,585,102764
2008,White,Non-Hispanic White,12509,2267817
2008,White,Non-Hispanic other races,29,29
2008,White,Origin unknown or not stated,250,21380
2009,American Indian or Alaska Native,Mexican,18,3958
2009,American Indian or Alaska Native,Non-Hispanic other races,381,41531
2009,Asian or Pacific Islander,Mexican,13,3422
2009,Asian or Pacific Islander,Other and Unknown Hispanic,18,3057
2009,Asian or Pacific Islander,Non-Hispanic other races,1016,237663
2009,Asian or Pacific Islander,Origin unknown or not stated,39,3755
2009,Black or African American,Mexican,82,12032
2009,Black or African American,Puerto Rican,79,8851
2009,Black or African American,Central or South American,60,11141
2009,Black or African American,Other and Unknown Hispanic,73,9203
2009,Black or African American,Non-Hispanic Black,7560,609584
2009,Black or African American,Origin unknown or not stated,106,5867
2009,White,Mexican,3188,625885
2009,White,Puerto Rican,403,57754
2009,White,Cuban,87,15561
2009,White,Central or South American,594,135297
2009,White,Other and Unknown Hispanic,633,106867
2009,White,Non-Hispanic White,11785,2212552
2009,White,Origin unknown or not stated,233,19377
2010,American Indian or Alaska Native,Mexican,25,3781
2010,American Indian or Alaska Native,Non-Hispanic other races,345,39928
2010,Asian or Pacific Islander,Mexican,13,3337
2010,Asian or Pacific Islander,Puerto Rican,10,1382
2010,Asian or Pacific Islander,Other and Unknown Hispanic,17,2661
2010,Asian or Pacific Islander,Non-Hispanic other races,979,234472
2010,Asian or Pacific Islander,Origin unknown or not stated,30,3365
2010,Black or African American,Mexican,70,11192
2010,Black or African American,Puerto Rican,85,8915
2010,Black or African American,Central or South American,58,11053
2010,Black or African American,Other and Unknown Hispanic,52,8640
2010,Black or African American,Non-Hispanic Black,6758,589808
2010,Black or African American,Origin unknown or not stated,102,5832
2010,White,Mexican,2953,580007
2010,White,Puerto Rican,373,55691
2010,White,Cuban,54,15751
2010,White,Central or South American,567,129484
2010,White,Other and Unknown Hispanic,662,108248
2010,White,Non-Hispanic White,11192,2162406
2010,White,Origin unknown or not stated,197,17728
2011,American Indian or Alaska Native,Mexican,21,3790
2011,American Indian or Alaska Native,Non-Hispanic other races,334,39187
2011,Asian or Pacific Islander,Mexican,25,3816
2011,Asian or Pacific Islander,Puerto Rican,10,1450
2011,Asian or Pacific Islander,Other and Unknown Hispanic,14,2905
2011,Asian or Pacific Islander,Non-Hispanic other races,1004,240102
2011,Asian or Pacific Islander,Origin unknown or not stated,43,3595
2011,Black or African American,Mexican,75,12496
