type,cause,year,month,dead
ucd,C34,1999,1,13421
ucd,C34,1999,2,12171
ucd,C34,1999,3,13134
ucd,C34,1999,4,12002
ucd,C34,1999,5,12628
ucd,C34,1999,6,12044
ucd,C34,1999,7,12519
ucd,C34,1999,8,12658
ucd,C34,1999,9,12467
ucd,C34,1999,10,13063
ucd,C34,1999,11,12594
ucd,C34,1999,12,13362
ucd,C34,2000,1,13641
ucd,C34,2000,2,12283
ucd,C34,2000,3,13008
ucd,C34,2000,4,12401
ucd,C34,2000,5,12788
ucd,C34,2000,6,12559
ucd,C34,2000,7,12819
ucd,C34,2000,8,13118
ucd,C34,2000,9,12811
ucd,C34,2000,10,13539
ucd,C34,2000,11,12955
ucd,C34,2000,12,13509
ucd,C34,2001,1,13549
ucd,C34,2001,2,12277
ucd,C34,2001,3,13094
ucd,C34,2001,4,13147
ucd,C34,2001,5,13013
ucd,C34,2001,6,12704
ucd,C34,2001,7,12783
ucd,C34,2001,8,13083
ucd,C34,2001,9,12794
ucd,C34,2001,10,13226
ucd,C34,2001,11,12851
ucd,C34,2001,12,13452
ucd,C34,2002,1,13596
ucd,C34,2002,2,12585
ucd,C34,2002,3,13727
ucd,C34,2002,4,12747
ucd,C34,2002,5,13248
ucd,C34,2002,6,12594
ucd,C34,2002,7,13137
ucd,C34,2002,8,13112
ucd,C34,2002,9,12777
ucd,C34,2002,10,13486
ucd,C34,2002,11,13103
ucd,C34,2002,12,13518
ucd,C34,2003,1,13516
ucd,C34,2003,2,12228
ucd,C34,2003,3,13626
ucd,C34,2003,4,12833
ucd,C34,2003,5,13090
ucd,C34,2003,6,12829
ucd,C34,2003,7,12938
ucd,C34,2003,8,13224
ucd,C34,2003,9,12853
ucd,C34,2003,10,13708
ucd,C34,2003,11,13108
ucd,C34,2003,12,14039
ucd,C34,2004,1,13810
ucd,C34,2004,2,12579
ucd,C34,2004,3,13682
ucd,C34,2004,4,12723
ucd,C34,2004,5,13304
ucd,C34,2004,6,12792
ucd,C34,2004,7,13166
ucd,C34,2004,8,13034
ucd,C34,2004,9,12833
ucd,C34,2004,10,13502
ucd,C34,2004,11,12987
ucd,C34,2004,12,13597
ucd,C34,2005,1,13923
ucd,C34,2005,2,12752
ucd,C34,2005,3,13960
ucd,C34,2005,4,13164
ucd,C34,2005,5,13331
ucd,C34,2005,6,12472
ucd,C34,2005,7,13053
ucd,C34,2005,8,13079
ucd,C34,2005,9,13101
ucd,C34,2005,10,13484
ucd,C34,2005,11,13119
ucd,C34,2005,12,13782
ucd,C34,2006,1,13764
ucd,C34,2006,2,12452
ucd,C34,2006,3,13992
ucd,C34,2006,4,12863
ucd,C34,2006,5,13424
ucd,C34,2006,6,12790
ucd,C34,2006,7,13163
ucd,C34,2006,8,13084
ucd,C34,2006,9,12922
ucd,C34,2006,10,13376
ucd,C34,2006,11,13188
ucd,C34,2006,12,13582
ucd,C34,2007,1,13608
ucd,C34,2007,2,12616
ucd,C34,2007,3,13503
ucd,C34,2007,4,13145
ucd,C34,2007,5,13207
ucd,C34,2007,6,12849
ucd,C34,2007,7,13297
ucd,C34,2007,8,13411
ucd,C34,2007,9,12932
ucd,C34,2007,10,13430
ucd,C34,2007,11,13066
ucd,C34,2007,12,13622
ucd,C34,2008,1,13794
ucd,C34,2008,2,12991
ucd,C34,2008,3,13495
ucd,C34,2008,4,13023
ucd,C34,2008,5,13228
ucd,C34,2008,6,12708
ucd,C34,2008,7,13213
ucd,C34,2008,8,13030
ucd,C34,2008,9,13053
ucd,C34,2008,10,13356
ucd,C34,2008,11,13105
ucd,C34,2008,12,13596
ucd,C34,2009,1,13767
ucd,C34,2009,2,12333
ucd,C34,2009,3,13621
ucd,C34,2009,4,12972
ucd,C34,2009,5,13190
ucd,C34,2009,6,12809
ucd,C34,2009,7,13164
ucd,C34,2009,8,13314
ucd,C34,2009,9,12995
ucd,C34,2009,10,13429
ucd,C34,2009,11,12934
ucd,C34,2009,12,13558
ucd,C34,2010,1,13790
ucd,C34,2010,2,12348
ucd,C34,2010,3,13627
ucd,C34,2010,4,12837
ucd,C34,2010,5,13400
ucd,C34,2010,6,12796
ucd,C34,2010,7,13285
ucd,C34,2010,8,13218
ucd,C34,2010,9,12752
ucd,C34,2010,10,13472
ucd,C34,2010,11,12968
ucd,C34,2010,12,13756
ucd,C34,2011,1,13654
ucd,C34,2011,2,12400
ucd,C34,2011,3,13497
ucd,C34,2011,4,12641
ucd,C34,2011,5,13194
ucd,C34,2011,6,12747
ucd,C34,2011,7,12955
ucd,C34,2011,8,13204
ucd,C34,2011,9,12884
ucd,C34,2011,10,13494
ucd,C34,2011,11,12818
ucd,C34,2011,12,13469
ucd,C34,2012,1,13468
ucd,C34,2012,2,12551
ucd,C34,2012,3,13443
ucd,C34,2012,4,12848
ucd,C34,2012,5,13317
ucd,C34,2012,6,12754
ucd,C34,2012,7,12931
ucd,C34,2012,8,13198
ucd,C34,2012,9,12821
ucd,C34,2012,10,13261
ucd,C34,2012,11,13067
ucd,C34,2012,12,13767
ucd,C34,2013,1,13911
ucd,C34,2013,2,12138
ucd,C34,2013,3,13463
ucd,C34,2013,4,12795
ucd,C34,2013,5,13039
ucd,C34,2013,6,12451
ucd,C34,2013,7,13043
ucd,C34,2013,8,13315
ucd,C34,2013,9,12696
ucd,C34,2013,10,13185
ucd,C34,2013,11,12863
ucd,C34,2013,12,13279
ucd,C34,2014,1,13699
ucd,C34,2014,2,11920
ucd,C34,2014,3,13309
ucd,C34,2014,4,12715
ucd,C34,2014,5,13010
ucd,C34,2014,6,12730
ucd,C34,2014,7,13148
ucd,C34,2014,8,13075
ucd,C34,2014,9,12443
ucd,C34,2014,10,13190
ucd,C34,2014,11,12794
ucd,C34,2014,12,13496
ucd,C34,2015,1,13763
ucd,C34,2015,2,12224
ucd,C34,2015,3,13360
ucd,C34,2015,4,12713
ucd,C34,2015,5,13183
ucd,C34,2015,6,12264
ucd,C34,2015,7,12886
ucd,C34,2015,8,12884
ucd,C34,2015,9,12471
ucd,C34,2015,10,12817
ucd,C34,2015,11,12467
ucd,C34,2015,12,12690
ucd,C34,2016,1,12996
ucd,C34,2016,2,12200
ucd,C34,2016,3,12892
ucd,C34,2016,4,12124
ucd,C34,2016,5,12395
ucd,C34,2016,6,11953
ucd,C34,2016,7,12203
ucd,C34,2016,8,12418
ucd,C34,2016,9,12055
ucd,C34,2016,10,12615
ucd,C34,2016,11,12167
ucd,C34,2016,12,12852
ucd,C34,2017,1,12925
ucd,C34,2017,2,11382
ucd,C34,2017,3,12626
ucd,C34,2017,4,11936
ucd,C34,2017,5,12201
ucd,C34,2017,6,11890
ucd,C34,2017,7,12188
ucd,C34,2017,8,12130
ucd,C34,2017,9,11773
ucd,C34,2017,10,12389
ucd,C34,2017,11,11970
ucd,C34,2017,12,12439
ucd,C34,2018,1,12772
ucd,C34,2018,2,11130
ucd,C34,2018,3,12042
ucd,C34,2018,4,11805
ucd,C34,2018,5,11829
ucd,C34,2018,6,11512
ucd,C34,2018,7,11749
ucd,C34,2018,8,11785
ucd,C34,2018,9,11552
ucd,C34,2018,10,12120
ucd,C34,2018,11,11629
ucd,C34,2018,12,12156
ucd,C34,2019,1,12418
ucd,C34,2019,2,10840
ucd,C34,2019,3,11899
ucd,C34,2019,4,11464
ucd,C34,2019,5,11902
ucd,C34,2019,6,11404
ucd,C34,2019,7,11647
ucd,C34,2019,8,11791
ucd,C34,2019,9,11345
ucd,C34,2019,10,11832
ucd,C34,2019,11,11416
ucd,C34,2019,12,11645
ucd,C34,2020,1,12221
ucd,C34,2020,2,11128
ucd,C34,2020,3,11782
ucd,C34,2020,4,11055
ucd,C34,2020,5,11144
ucd,C34,2020,6,10749
ucd,C34,2020,7,11178
ucd,C34,2020,8,11532
ucd,C34,2020,9,11139
ucd,C34,2020,10,11601
ucd,C34,2020,11,10899
ucd,C34,2020,12,11656
ucd,C34,2021,1,11428
ucd,C34,2021,2,10133
ucd,C34,2021,3,11020
ucd,C34,2021,4,11101
ucd,C34,2021,5,11342
ucd,C34,2021,6,11164
ucd,C34,2021,7,11306
ucd,C34,2021,8,11752
ucd,C34,2021,9,11124
ucd,C34,2021,10,11354
ucd,C34,2021,11,11114
ucd,C34,2021,12,11666
ucd,C34,2022,1,11757
ucd,C34,2022,2,10032
ucd,C34,2022,3,11166
ucd,C34,2022,4,10582
ucd,C34,2022,5,10851
ucd,C34,2022,6,10773
ucd,C34,2022,7,10930
ucd,C34,2022,8,11236
ucd,C34,2022,9,10889
ucd,C34,2022,10,11092
ucd,C34,2022,11,11078
ucd,C34,2022,12,11503
ucd,C34,2023,1,11406
ucd,C34,2023,2,10159
ucd,C34,2023,3,11196
ucd,C34,2023,4,10587
ucd,C34,2023,5,11064
ucd,C34,2023,6,10817
ucd,C34,2023,7,11038
ucd,C34,2023,8,11046
ucd,C34,2023,9,10796
ucd,C34,2023,10,11252
ucd,C34,2023,11,10896
ucd,C34,2023,12,11338
ucd,C34,2024,1,11162
ucd,C34,2024,2,10348
ucd,C34,2024,3,10768
ucd,C34,2024,4,10412
ucd,C34,2024,5,10662
ucd,C34,2024,6,10439
ucd,C34,2024,7,10758
ucd,C34,2024,8,10914
ucd,C34,2024,9,10355
ucd,C34,2024,10,10681
ucd,C34,2024,11,6270
mcd,C34,1999,1,14202
mcd,C34,1999,2,13061
mcd,C34,1999,3,14094
mcd,C34,1999,4,12860
mcd,C34,1999,5,13473
mcd,C34,1999,6,12848
mcd,C34,1999,7,13305
mcd,C34,1999,8,13425
mcd,C34,1999,9,13199
mcd,C34,1999,10,13945
mcd,C34,1999,11,13429
mcd,C34,1999,12,14349
mcd,C34,2000,1,14650
mcd,C34,2000,2,13125
mcd,C34,2000,3,13875
mcd,C34,2000,4,13207
mcd,C34,2000,5,13623
mcd,C34,2000,6,13413
mcd,C34,2000,7,13652
mcd,C34,2000,8,13920
mcd,C34,2000,9,13565
mcd,C34,2000,10,14294
mcd,C34,2000,11,13750
mcd,C34,2000,12,14362
mcd,C34,2001,1,14471
mcd,C34,2001,2,13079
mcd,C34,2001,3,13988
mcd,C34,2001,4,14023
mcd,C34,2001,5,13837
mcd,C34,2001,6,13537
mcd,C34,2001,7,13511
mcd,C34,2001,8,13894
mcd,C34,2001,9,13550
mcd,C34,2001,10,14029
mcd,C34,2001,11,13694
mcd,C34,2001,12,14327
mcd,C34,2002,1,14527
mcd,C34,2002,2,13439
mcd,C34,2002,3,14655
mcd,C34,2002,4,13564
mcd,C34,2002,5,14085
mcd,C34,2002,6,13342
mcd,C34,2002,7,13957
mcd,C34,2002,8,13852
mcd,C34,2002,9,13544
mcd,C34,2002,10,14347
mcd,C34,2002,11,13896
mcd,C34,2002,12,14345
mcd,C34,2003,1,14365
mcd,C34,2003,2,13010
mcd,C34,2003,3,14462
mcd,C34,2003,4,13675
mcd,C34,2003,5,13899
mcd,C34,2003,6,13588
mcd,C34,2003,7,13701
mcd,C34,2003,8,14007
mcd,C34,2003,9,13582
mcd,C34,2003,10,14473
mcd,C34,2003,11,13942
mcd,C34,2003,12,14986
mcd,C34,2004,1,14789
mcd,C34,2004,2,13411
mcd,C34,2004,3,14504
mcd,C34,2004,4,13516
mcd,C34,2004,5,14094
mcd,C34,2004,6,13569
mcd,C34,2004,7,13947
mcd,C34,2004,8,13763
mcd,C34,2004,9,13555
mcd,C34,2004,10,14307
mcd,C34,2004,11,13714
mcd,C34,2004,12,14421
mcd,C34,2005,1,14846
mcd,C34,2005,2,13564
mcd,C34,2005,3,14835
mcd,C34,2005,4,14021
mcd,C34,2005,5,14134
mcd,C34,2005,6,13204
mcd,C34,2005,7,13799
mcd,C34,2005,8,13820
mcd,C34,2005,9,13853
mcd,C34,2005,10,14242
mcd,C34,2005,11,13903
mcd,C34,2005,12,14619
mcd,C34,2006,1,14650
mcd,C34,2006,2,13211
mcd,C34,2006,3,14850
mcd,C34,2006,4,13691
mcd,C34,2006,5,14250
mcd,C34,2006,6,13497
mcd,C34,2006,7,13953
mcd,C34,2006,8,13808
mcd,C34,2006,9,13671
mcd,C34,2006,10,14198
mcd,C34,2006,11,13985
mcd,C34,2006,12,14410
mcd,C34,2007,1,14478
mcd,C34,2007,2,13389
mcd,C34,2007,3,14352
mcd,C34,2007,4,13953
mcd,C34,2007,5,13983
mcd,C34,2007,6,13602
mcd,C34,2007,7,14036
mcd,C34,2007,8,14084
mcd,C34,2007,9,13647
mcd,C34,2007,10,14159
mcd,C34,2007,11,13838
mcd,C34,2007,12,14446
mcd,C34,2008,1,14615
mcd,C34,2008,2,13828
mcd,C34,2008,3,14359
mcd,C34,2008,4,13840
mcd,C34,2008,5,13981
mcd,C34,2008,6,13505
mcd,C34,2008,7,13913
mcd,C34,2008,8,13805
mcd,C34,2008,9,13756
mcd,C34,2008,10,14134
mcd,C34,2008,11,13844
mcd,C34,2008,12,14441
mcd,C34,2009,1,14614
mcd,C34,2009,2,13074
mcd,C34,2009,3,14388
mcd,C34,2009,4,13729
mcd,C34,2009,5,14004
mcd,C34,2009,6,13565
mcd,C34,2009,7,13957
mcd,C34,2009,8,14022
mcd,C34,2009,9,13667
mcd,C34,2009,10,14213
mcd,C34,2009,11,13680
mcd,C34,2009,12,14381
