cause,year,week,dead,date
ucd,2018,1,884,2018-01-03
ucd,2018,2,1185,2018-01-10
ucd,2018,3,1050,2018-01-17
ucd,2018,4,1072,2018-01-24
ucd,2018,5,1066,2018-01-31
ucd,2018,6,1081,2018-02-07
ucd,2018,7,1073,2018-02-14
ucd,2018,8,1005,2018-02-21
ucd,2018,9,1024,2018-02-28
ucd,2018,10,1038,2018-03-07
ucd,2018,11,1005,2018-03-14
ucd,2018,12,1010,2018-03-21
ucd,2018,13,942,2018-03-28
ucd,2018,14,1042,2018-04-04
ucd,2018,15,1026,2018-04-11
ucd,2018,16,1013,2018-04-18
ucd,2018,17,1027,2018-04-25
ucd,2018,18,1029,2018-05-02
ucd,2018,19,1030,2018-05-09
ucd,2018,20,960,2018-05-16
ucd,2018,21,1051,2018-05-23
ucd,2018,22,1037,2018-05-30
ucd,2018,23,1007,2018-06-06
ucd,2018,24,981,2018-06-13
ucd,2018,25,1047,2018-06-20
ucd,2018,26,1073,2018-06-27
ucd,2018,27,1029,2018-07-04
ucd,2018,28,1047,2018-07-11
ucd,2018,29,1040,2018-07-18
ucd,2018,30,1073,2018-07-25
ucd,2018,31,1015,2018-08-01
ucd,2018,32,1083,2018-08-08
ucd,2018,33,1051,2018-08-15
ucd,2018,34,1014,2018-08-22
ucd,2018,35,1017,2018-08-29
ucd,2018,36,988,2018-09-05
ucd,2018,37,1067,2018-09-12
ucd,2018,38,1089,2018-09-19
ucd,2018,39,1013,2018-09-26
ucd,2018,40,998,2018-10-03
ucd,2018,41,1090,2018-10-10
ucd,2018,42,1025,2018-10-17
ucd,2018,43,1077,2018-10-24
ucd,2018,44,1040,2018-10-31
ucd,2018,45,1026,2018-11-07
ucd,2018,46,1054,2018-11-14
ucd,2018,47,1058,2018-11-21
ucd,2018,48,1063,2018-11-28
ucd,2018,49,1073,2018-12-05
ucd,2018,50,1113,2018-12-12
ucd,2018,51,1016,2018-12-19
ucd,2018,52,993,2018-12-26
ucd,2019,1,1000,2019-01-02
ucd,2019,2,1117,2019-01-09
ucd,2019,3,1011,2019-01-16
ucd,2019,4,1008,2019-01-23
ucd,2019,5,1045,2019-01-30
ucd,2019,6,1009,2019-02-06
ucd,2019,7,1018,2019-02-13
