cause,age,month,dead
Multiple cause of death C00-C97,0,1999-05,10
Multiple cause of death C00-C97,0,1999-08,11
Multiple cause of death C00-C97,0,2000-01,11
Multiple cause of death C00-C97,0,2000-02,16
Multiple cause of death C00-C97,0,2000-03,11
Multiple cause of death C00-C97,0,2000-04,15
Multiple cause of death C00-C97,0,2000-07,12
Multiple cause of death C00-C97,0,2001-10,10
Multiple cause of death C00-C97,0,2002-05,10
Multiple cause of death C00-C97,0,2002-08,11
Multiple cause of death C00-C97,0,2002-10,11
Multiple cause of death C00-C97,0,2003-03,10
Multiple cause of death C00-C97,0,2003-04,11
Multiple cause of death C00-C97,0,2004-05,15
Multiple cause of death C00-C97,0,2004-07,11
Multiple cause of death C00-C97,0,2004-09,11
Multiple cause of death C00-C97,0,2005-02,10
Multiple cause of death C00-C97,0,2005-05,12
Multiple cause of death C00-C97,0,2005-08,11
Multiple cause of death C00-C97,0,2006-03,10
Multiple cause of death C00-C97,0,2006-07,10
Multiple cause of death C00-C97,0,2009-02,10
Multiple cause of death C00-C97,0,2009-04,11
Multiple cause of death C00-C97,0,2010-06,11
Multiple cause of death C00-C97,0,2012-11,13
Multiple cause of death C00-C97,0,2013-01,10
Multiple cause of death C00-C97,0,2016-10,10
Multiple cause of death C00-C97,0,2017-11,10
Multiple cause of death C00-C97,0,2021-02,11
Multiple cause of death C00-C97,0,2021-12,10
Multiple cause of death C00-C97,0,2023-02,11
Multiple cause of death C00-C97,0,2023-08,12
Multiple cause of death C00-C97,0,2023-10,10
Multiple cause of death C00-C97,0,2024-04,10
Multiple cause of death C00-C97,1,1999-01,29
Multiple cause of death C00-C97,1,1999-02,43
Multiple cause of death C00-C97,1,1999-03,42
Multiple cause of death C00-C97,1,1999-04,30
Multiple cause of death C00-C97,1,1999-05,39
Multiple cause of death C00-C97,1,1999-06,31
Multiple cause of death C00-C97,1,1999-07,37
Multiple cause of death C00-C97,1,1999-08,33
Multiple cause of death C00-C97,1,1999-09,41
Multiple cause of death C00-C97,1,1999-10,46
Multiple cause of death C00-C97,1,1999-11,35
Multiple cause of death C00-C97,1,1999-12,34
Multiple cause of death C00-C97,1,2000-01,48
Multiple cause of death C00-C97,1,2000-02,34
Multiple cause of death C00-C97,1,2000-03,34
Multiple cause of death C00-C97,1,2000-04,32
Multiple cause of death C00-C97,1,2000-05,49
Multiple cause of death C00-C97,1,2000-06,30
Multiple cause of death C00-C97,1,2000-07,45
Multiple cause of death C00-C97,1,2000-08,34
Multiple cause of death C00-C97,1,2000-09,33
Multiple cause of death C00-C97,1,2000-10,32
Multiple cause of death C00-C97,1,2000-11,36
Multiple cause of death C00-C97,1,2000-12,38
Multiple cause of death C00-C97,1,2001-01,31
Multiple cause of death C00-C97,1,2001-02,28
Multiple cause of death C00-C97,1,2001-03,34
Multiple cause of death C00-C97,1,2001-04,27
Multiple cause of death C00-C97,1,2001-05,39
Multiple cause of death C00-C97,1,2001-06,36
Multiple cause of death C00-C97,1,2001-07,40
Multiple cause of death C00-C97,1,2001-08,37
Multiple cause of death C00-C97,1,2001-09,41
Multiple cause of death C00-C97,1,2001-10,33
Multiple cause of death C00-C97,1,2001-11,47
Multiple cause of death C00-C97,1,2001-12,46
Multiple cause of death C00-C97,1,2002-01,35
Multiple cause of death C00-C97,1,2002-02,40
Multiple cause of death C00-C97,1,2002-03,36
Multiple cause of death C00-C97,1,2002-04,34
Multiple cause of death C00-C97,1,2002-05,25
Multiple cause of death C00-C97,1,2002-06,29
Multiple cause of death C00-C97,1,2002-07,32
Multiple cause of death C00-C97,1,2002-08,27
Multiple cause of death C00-C97,1,2002-09,51
Multiple cause of death C00-C97,1,2002-10,38
Multiple cause of death C00-C97,1,2002-11,41
Multiple cause of death C00-C97,1,2002-12,30
Multiple cause of death C00-C97,1,2003-01,41
Multiple cause of death C00-C97,1,2003-02,37
Multiple cause of death C00-C97,1,2003-03,25
Multiple cause of death C00-C97,1,2003-04,39
Multiple cause of death C00-C97,1,2003-05,31
Multiple cause of death C00-C97,1,2003-06,39
Multiple cause of death C00-C97,1,2003-07,24
