type,cause,year,month,dead
ucd,C00-C97,1999,01,48105
ucd,C00-C97,1999,02,43816
ucd,C00-C97,1999,03,47822
ucd,C00-C97,1999,04,44081
ucd,C00-C97,1999,05,45776
ucd,C00-C97,1999,06,43803
ucd,C00-C97,1999,07,45763
ucd,C00-C97,1999,08,45582
ucd,C00-C97,1999,09,44781
ucd,C00-C97,1999,10,47200
ucd,C00-C97,1999,11,45083
ucd,C00-C97,1999,12,48026
ucd,C00-C97,2000,01,48901
ucd,C00-C97,2000,02,43642
ucd,C00-C97,2000,03,46085
ucd,C00-C97,2000,04,44540
ucd,C00-C97,2000,05,46008
ucd,C00-C97,2000,06,44434
ucd,C00-C97,2000,07,45931
ucd,C00-C97,2000,08,46712
ucd,C00-C97,2000,09,45854
ucd,C00-C97,2000,10,47742
ucd,C00-C97,2000,11,45928
ucd,C00-C97,2000,12,47314
ucd,C00-C97,2001,01,47875
ucd,C00-C97,2001,02,43057
ucd,C00-C97,2001,03,47321
ucd,C00-C97,2001,04,45751
ucd,C00-C97,2001,05,46248
ucd,C00-C97,2001,06,44989
ucd,C00-C97,2001,07,45603
ucd,C00-C97,2001,08,47010
ucd,C00-C97,2001,09,45503
ucd,C00-C97,2001,10,47510
ucd,C00-C97,2001,11,45657
ucd,C00-C97,2001,12,47244
ucd,C00-C97,2002,01,48076
ucd,C00-C97,2002,02,44188
ucd,C00-C97,2002,03,48420
ucd,C00-C97,2002,04,45061
ucd,C00-C97,2002,05,46870
ucd,C00-C97,2002,06,44427
ucd,C00-C97,2002,07,46572
ucd,C00-C97,2002,08,46681
ucd,C00-C97,2002,09,45475
ucd,C00-C97,2002,10,47437
ucd,C00-C97,2002,11,46112
ucd,C00-C97,2002,12,47952
ucd,C00-C97,2003,01,48109
ucd,C00-C97,2003,02,42996
ucd,C00-C97,2003,03,47184
ucd,C00-C97,2003,04,45289
ucd,C00-C97,2003,05,46447
ucd,C00-C97,2003,06,45023
ucd,C00-C97,2003,07,46207
ucd,C00-C97,2003,08,47051
ucd,C00-C97,2003,09,45399
ucd,C00-C97,2003,10,47999
ucd,C00-C97,2003,11,46141
ucd,C00-C97,2003,12,49057
ucd,C00-C97,2004,01,48569
ucd,C00-C97,2004,02,44490
ucd,C00-C97,2004,03,47512
ucd,C00-C97,2004,04,44967
ucd,C00-C97,2004,05,46134
ucd,C00-C97,2004,06,44499
ucd,C00-C97,2004,07,46312
ucd,C00-C97,2004,08,46402
ucd,C00-C97,2004,09,45056
ucd,C00-C97,2004,10,47314
ucd,C00-C97,2004,11,45129
ucd,C00-C97,2004,12,47504
ucd,C00-C97,2005,01,48425
ucd,C00-C97,2005,02,44448
ucd,C00-C97,2005,03,48439
ucd,C00-C97,2005,04,45603
ucd,C00-C97,2005,05,46539
ucd,C00-C97,2005,06,44997
ucd,C00-C97,2005,07,46314
ucd,C00-C97,2005,08,47078
ucd,C00-C97,2005,09,45772
ucd,C00-C97,2005,10,47292
ucd,C00-C97,2005,11,45967
ucd,C00-C97,2005,12,48438
ucd,C00-C97,2006,01,48252
ucd,C00-C97,2006,02,44002
ucd,C00-C97,2006,03,48507
ucd,C00-C97,2006,04,45274
ucd,C00-C97,2006,05,47020
ucd,C00-C97,2006,06,45173
ucd,C00-C97,2006,07,46582
ucd,C00-C97,2006,08,46740
ucd,C00-C97,2006,09,46079
ucd,C00-C97,2006,10,47909
ucd,C00-C97,2006,11,46401
ucd,C00-C97,2006,12,47949
ucd,C00-C97,2007,01,48570
ucd,C00-C97,2007,02,44383
ucd,C00-C97,2007,03,47672
ucd,C00-C97,2007,04,45944
ucd,C00-C97,2007,05,46705
ucd,C00-C97,2007,06,45517
ucd,C00-C97,2007,07,47241
ucd,C00-C97,2007,08,47579
ucd,C00-C97,2007,09,46362
ucd,C00-C97,2007,10,48102
ucd,C00-C97,2007,11,46457
ucd,C00-C97,2007,12,48343
ucd,C00-C97,2008,01,48632
ucd,C00-C97,2008,02,46412
ucd,C00-C97,2008,03,48265
ucd,C00-C97,2008,04,45968
ucd,C00-C97,2008,05,47065
ucd,C00-C97,2008,06,45467
ucd,C00-C97,2008,07,46917
ucd,C00-C97,2008,08,47403
ucd,C00-C97,2008,09,46134
ucd,C00-C97,2008,10,47899
ucd,C00-C97,2008,11,46860
ucd,C00-C97,2008,12,48447
ucd,C00-C97,2009,01,48962
ucd,C00-C97,2009,02,44252
ucd,C00-C97,2009,03,48357
ucd,C00-C97,2009,04,46315
ucd,C00-C97,2009,05,46883
ucd,C00-C97,2009,06,45895
ucd,C00-C97,2009,07,47523
ucd,C00-C97,2009,08,47713
ucd,C00-C97,2009,09,46597
ucd,C00-C97,2009,10,49049
ucd,C00-C97,2009,11,47016
ucd,C00-C97,2009,12,49066
ucd,C00-C97,2010,01,49461
ucd,C00-C97,2010,02,44690
ucd,C00-C97,2010,03,48924
ucd,C00-C97,2010,04,46722
ucd,C00-C97,2010,05,48110
ucd,C00-C97,2010,06,46486
ucd,C00-C97,2010,07,48463
ucd,C00-C97,2010,08,48613
ucd,C00-C97,2010,09,46757
ucd,C00-C97,2010,10,48898
ucd,C00-C97,2010,11,47585
ucd,C00-C97,2010,12,50034
ucd,C00-C97,2011,01,50165
ucd,C00-C97,2011,02,45213
ucd,C00-C97,2011,03,49428
ucd,C00-C97,2011,04,46578
ucd,C00-C97,2011,05,48126
ucd,C00-C97,2011,06,46630
ucd,C00-C97,2011,07,48187
ucd,C00-C97,2011,08,48882
ucd,C00-C97,2011,09,47543
ucd,C00-C97,2011,10,49205
ucd,C00-C97,2011,11,47215
ucd,C00-C97,2011,12,49519
ucd,C00-C97,2012,01,49863
ucd,C00-C97,2012,02,46443
ucd,C00-C97,2012,03,49127
ucd,C00-C97,2012,04,46980
ucd,C00-C97,2012,05,48631
ucd,C00-C97,2012,06,47192
ucd,C00-C97,2012,07,48417
ucd,C00-C97,2012,08,49405
ucd,C00-C97,2012,09,47801
ucd,C00-C97,2012,10,49733
ucd,C00-C97,2012,11,48267
ucd,C00-C97,2012,12,50764
ucd,C00-C97,2013,01,51718
ucd,C00-C97,2013,02,45425
ucd,C00-C97,2013,03,49977
ucd,C00-C97,2013,04,47626
ucd,C00-C97,2013,05,48513
ucd,C00-C97,2013,06,47190
ucd,C00-C97,2013,07,49073
ucd,C00-C97,2013,08,49402
ucd,C00-C97,2013,09,47680
ucd,C00-C97,2013,10,49931
ucd,C00-C97,2013,11,48308
ucd,C00-C97,2013,12,50038
ucd,C00-C97,2014,01,51101
ucd,C00-C97,2014,02,45558
ucd,C00-C97,2014,03,50646
