age,date,dead
all,2020-03,313
all,2020-04,2411
all,2020-05,1612
all,2020-06,864
all,2020-07,1366
all,2020-08,1277
all,2020-09,912
all,2020-10,1180
all,2020-11,2716
all,2020-12,4740
all,2021-01,5031
all,2021-02,2669
all,2021-03,1416
all,2021-04,1214
all,2021-05,982
all,2021-06,560
all,2021-07,628
all,2021-08,1989
all,2021-09,2649
all,2021-10,2021
all,2021-11,1746
all,2021-12,2405
all,2022-01,5995
all,2022-02,4546
all,2022-03,1744
all,2022-04,834
all,2022-05,993
all,2022-06,1202
all,2022-07,1660
all,2022-08,1789
all,2022-09,1437
all,2022-10,1261
all,2022-11,1260
all,2022-12,1655
all,2023-01,1768
all,2023-02,1151
all,2023-03,977
all,2023-04,686
all,2023-05,514
all,2023-06,369
all,2023-07,327
all,2023-08,456
all,2023-09,750
all,2023-10,698
all,2023-11,757
all,2023-12,987
all,2024-01,1229
all,2024-02,773
all,2024-03,514
all,2024-04,285
all,2024-05,219
all,2024-06,223
all,2024-07,408
all,2024-08,593
all,2024-09,378
under55,2020-03,13
under55,2020-04,114
under55,2020-05,90
under55,2020-06,63
under55,2020-07,82
under55,2020-08,87
under55,2020-09,62
under55,2020-10,55
under55,2020-11,109
under55,2020-12,235
under55,2021-01,253
under55,2021-02,165
under55,2021-03,107
under55,2021-04,83
under55,2021-05,90
under55,2021-06,53
under55,2021-07,52
under55,2021-08,136
under55,2021-09,198
under55,2021-10,153
under55,2021-11,114
under55,2021-12,161
under55,2022-01,402
under55,2022-02,299
under55,2022-03,116
under55,2022-04,49
under55,2022-05,65
under55,2022-06,61
under55,2022-07,87
under55,2022-08,106
under55,2022-09,80
under55,2022-10,69
under55,2022-11,50
under55,2022-12,83
under55,2023-01,80
under55,2023-02,44
under55,2023-03,49
under55,2023-04,24
under55,2023-05,24
under55,2023-06,16
under55,2023-07,14
under55,2023-08,19
under55,2023-09,35
under55,2023-10,25
under55,2023-11,26
under55,2023-12,42
under55,2024-01,39
under55,2024-02,37
under55,2024-03,18
under55,2024-04,17
under55,2024-06,12
under55,2024-07,13
under55,2024-08,32
under55,2024-09,23
