cause,date,dead
UCD malignant neoplasms,1999-01,48105
UCD malignant neoplasms,1999-02,43816
UCD malignant neoplasms,1999-03,47822
UCD malignant neoplasms,1999-04,44081
UCD malignant neoplasms,1999-05,45776
UCD malignant neoplasms,1999-06,43803
UCD malignant neoplasms,1999-07,45763
UCD malignant neoplasms,1999-08,45582
UCD malignant neoplasms,1999-09,44781
UCD malignant neoplasms,1999-10,47200
UCD malignant neoplasms,1999-11,45083
UCD malignant neoplasms,1999-12,48026
UCD malignant neoplasms,2000-01,48901
UCD malignant neoplasms,2000-02,43642
UCD malignant neoplasms,2000-03,46085
UCD malignant neoplasms,2000-04,44540
UCD malignant neoplasms,2000-05,46008
UCD malignant neoplasms,2000-06,44434
UCD malignant neoplasms,2000-07,45931
UCD malignant neoplasms,2000-08,46712
UCD malignant neoplasms,2000-09,45854
UCD malignant neoplasms,2000-10,47742
UCD malignant neoplasms,2000-11,45928
UCD malignant neoplasms,2000-12,47314
UCD malignant neoplasms,2001-01,47875
UCD malignant neoplasms,2001-02,43057
UCD malignant neoplasms,2001-03,47321
UCD malignant neoplasms,2001-04,45751
UCD malignant neoplasms,2001-05,46248
UCD malignant neoplasms,2001-06,44989
UCD malignant neoplasms,2001-07,45603
UCD malignant neoplasms,2001-08,47010
UCD malignant neoplasms,2001-09,45503
UCD malignant neoplasms,2001-10,47510
UCD malignant neoplasms,2001-11,45657
UCD malignant neoplasms,2001-12,47244
UCD malignant neoplasms,2002-01,48076
UCD malignant neoplasms,2002-02,44188
UCD malignant neoplasms,2002-03,48420
UCD malignant neoplasms,2002-04,45061
UCD malignant neoplasms,2002-05,46870
UCD malignant neoplasms,2002-06,44427
UCD malignant neoplasms,2002-07,46572
UCD malignant neoplasms,2002-08,46681
UCD malignant neoplasms,2002-09,45475
UCD malignant neoplasms,2002-10,47437
UCD malignant neoplasms,2002-11,46112
UCD malignant neoplasms,2002-12,47952
UCD malignant neoplasms,2003-01,48109
UCD malignant neoplasms,2003-02,42996
UCD malignant neoplasms,2003-03,47184
UCD malignant neoplasms,2003-04,45289
UCD malignant neoplasms,2003-05,46447
UCD malignant neoplasms,2003-06,45023
UCD malignant neoplasms,2003-07,46207
UCD malignant neoplasms,2003-08,47051
UCD malignant neoplasms,2003-09,45399
UCD malignant neoplasms,2003-10,47999
UCD malignant neoplasms,2003-11,46141
UCD malignant neoplasms,2003-12,49057
UCD malignant neoplasms,2004-01,48569
UCD malignant neoplasms,2004-02,44490
UCD malignant neoplasms,2004-03,47512
UCD malignant neoplasms,2004-04,44967
UCD malignant neoplasms,2004-05,46134
UCD malignant neoplasms,2004-06,44499
UCD malignant neoplasms,2004-07,46312
UCD malignant neoplasms,2004-08,46402
UCD malignant neoplasms,2004-09,45056
UCD malignant neoplasms,2004-10,47314
UCD malignant neoplasms,2004-11,45129
UCD malignant neoplasms,2004-12,47504
UCD malignant neoplasms,2005-01,48425
UCD malignant neoplasms,2005-02,44448
UCD malignant neoplasms,2005-03,48439
UCD malignant neoplasms,2005-04,45603
UCD malignant neoplasms,2005-05,46539
UCD malignant neoplasms,2005-06,44997
UCD malignant neoplasms,2005-07,46314
UCD malignant neoplasms,2005-08,47078
UCD malignant neoplasms,2005-09,45772
UCD malignant neoplasms,2005-10,47292
UCD malignant neoplasms,2005-11,45967
UCD malignant neoplasms,2005-12,48438
UCD malignant neoplasms,2006-01,48252
UCD malignant neoplasms,2006-02,44002
UCD malignant neoplasms,2006-03,48507
UCD malignant neoplasms,2006-04,45274
UCD malignant neoplasms,2006-05,47020
UCD malignant neoplasms,2006-06,45173
UCD malignant neoplasms,2006-07,46582
UCD malignant neoplasms,2006-08,46740
UCD malignant neoplasms,2006-09,46079
UCD malignant neoplasms,2006-10,47909
UCD malignant neoplasms,2006-11,46401
UCD malignant neoplasms,2006-12,47949
UCD malignant neoplasms,2007-01,48570
UCD malignant neoplasms,2007-02,44383
UCD malignant neoplasms,2007-03,47672
UCD malignant neoplasms,2007-04,45944
UCD malignant neoplasms,2007-05,46705
UCD malignant neoplasms,2007-06,45517
UCD malignant neoplasms,2007-07,47241
UCD malignant neoplasms,2007-08,47579
UCD malignant neoplasms,2007-09,46362
UCD malignant neoplasms,2007-10,48102
UCD malignant neoplasms,2007-11,46457
UCD malignant neoplasms,2007-12,48343
UCD malignant neoplasms,2008-01,48632
UCD malignant neoplasms,2008-02,46412
UCD malignant neoplasms,2008-03,48265
UCD malignant neoplasms,2008-04,45968
UCD malignant neoplasms,2008-05,47065
UCD malignant neoplasms,2008-06,45467
UCD malignant neoplasms,2008-07,46917
UCD malignant neoplasms,2008-08,47403
UCD malignant neoplasms,2008-09,46134
UCD malignant neoplasms,2008-10,47899
UCD malignant neoplasms,2008-11,46860
UCD malignant neoplasms,2008-12,48447
UCD malignant neoplasms,2009-01,48962
UCD malignant neoplasms,2009-02,44252
UCD malignant neoplasms,2009-03,48357
UCD malignant neoplasms,2009-04,46315
UCD malignant neoplasms,2009-05,46883
UCD malignant neoplasms,2009-06,45895
UCD malignant neoplasms,2009-07,47523
UCD malignant neoplasms,2009-08,47713
UCD malignant neoplasms,2009-09,46597
UCD malignant neoplasms,2009-10,49049
UCD malignant neoplasms,2009-11,47016
UCD malignant neoplasms,2009-12,49066
UCD malignant neoplasms,2010-01,49461
UCD malignant neoplasms,2010-02,44690
UCD malignant neoplasms,2010-03,48924
UCD malignant neoplasms,2010-04,46722
UCD malignant neoplasms,2010-05,48110
UCD malignant neoplasms,2010-06,46486
UCD malignant neoplasms,2010-07,48463
UCD malignant neoplasms,2010-08,48613
UCD malignant neoplasms,2010-09,46757
UCD malignant neoplasms,2010-10,48898
UCD malignant neoplasms,2010-11,47585
UCD malignant neoplasms,2010-12,50034
UCD malignant neoplasms,2011-01,50165
UCD malignant neoplasms,2011-02,45213
UCD malignant neoplasms,2011-03,49428
UCD malignant neoplasms,2011-04,46578
UCD malignant neoplasms,2011-05,48126
UCD malignant neoplasms,2011-06,46630
UCD malignant neoplasms,2011-07,48187
UCD malignant neoplasms,2011-08,48882
UCD malignant neoplasms,2011-09,47543
UCD malignant neoplasms,2011-10,49205
UCD malignant neoplasms,2011-11,47215
UCD malignant neoplasms,2011-12,49519
UCD malignant neoplasms,2012-01,49863
UCD malignant neoplasms,2012-02,46443
UCD malignant neoplasms,2012-03,49127
UCD malignant neoplasms,2012-04,46980
UCD malignant neoplasms,2012-05,48631
UCD malignant neoplasms,2012-06,47192
UCD malignant neoplasms,2012-07,48417
UCD malignant neoplasms,2012-08,49405
UCD malignant neoplasms,2012-09,47801
UCD malignant neoplasms,2012-10,49733
UCD malignant neoplasms,2012-11,48267
UCD malignant neoplasms,2012-12,50764
UCD malignant neoplasms,2013-01,51718
UCD malignant neoplasms,2013-02,45425
UCD malignant neoplasms,2013-03,49977
UCD malignant neoplasms,2013-04,47626
UCD malignant neoplasms,2013-05,48513
UCD malignant neoplasms,2013-06,47190
UCD malignant neoplasms,2013-07,49073
UCD malignant neoplasms,2013-08,49402
UCD malignant neoplasms,2013-09,47680
UCD malignant neoplasms,2013-10,49931
UCD malignant neoplasms,2013-11,48308
UCD malignant neoplasms,2013-12,50038
UCD malignant neoplasms,2014-01,51101
UCD malignant neoplasms,2014-02,45558
UCD malignant neoplasms,2014-03,50646
UCD malignant neoplasms,2014-04,48304
UCD malignant neoplasms,2014-05,49497
UCD malignant neoplasms,2014-06,48103
UCD malignant neoplasms,2014-07,49259
UCD malignant neoplasms,2014-08,49519
UCD malignant neoplasms,2014-09,48331
UCD malignant neoplasms,2014-10,50900
UCD malignant neoplasms,2014-11,49377
UCD malignant neoplasms,2014-12,51105
UCD malignant neoplasms,2015-01,52346
UCD malignant neoplasms,2015-02,46226
UCD malignant neoplasms,2015-03,51192
UCD malignant neoplasms,2015-04,48745
UCD malignant neoplasms,2015-05,50072
UCD malignant neoplasms,2015-06,48055
UCD malignant neoplasms,2015-07,50112
UCD malignant neoplasms,2015-08,50196
UCD malignant neoplasms,2015-09,48835
