year,month,age,dead
1999,01,1,30
1999,01,5,54
1999,01,10,38
1999,01,15,66
1999,01,20,75
1999,01,25,114
1999,01,30,203
1999,01,35,499
1999,01,40,949
1999,01,45,1604
1999,01,50,2390
1999,01,55,3277
1999,01,60,4451
1999,01,65,5829
1999,01,70,7578
1999,01,75,7786
1999,01,80,6404
1999,01,85,4235
1999,01,90,1959
1999,01,95,499
1999,01,100,58
1999,02,1,40
1999,02,5,46
1999,02,10,41
1999,02,15,57
1999,02,20,73
1999,02,25,95
1999,02,30,219
1999,02,35,458
1999,02,40,834
1999,02,45,1420
1999,02,50,2190
1999,02,55,3002
1999,02,60,3996
1999,02,65,5392
1999,02,70,6889
1999,02,75,7131
1999,02,80,5951
1999,02,85,3777
1999,02,90,1661
1999,02,95,454
1999,02,100,82
1999,03,1,38
1999,03,5,40
1999,03,10,52
1999,03,15,70
1999,03,20,89
1999,03,25,140
1999,03,30,229
1999,03,35,464
1999,03,40,968
1999,03,45,1595
1999,03,50,2434
1999,03,55,3281
1999,03,60,4382
1999,03,65,5778
1999,03,70,7386
1999,03,75,7878
1999,03,80,6285
1999,03,85,4325
1999,03,90,1798
1999,03,95,513
1999,03,100,73
1999,04,1,26
1999,04,5,38
1999,04,10,43
1999,04,15,45
1999,04,20,64
1999,04,25,115
1999,04,30,212
1999,04,35,455
1999,04,40,922
1999,04,45,1551
1999,04,50,2224
1999,04,55,3116
1999,04,60,4033
1999,04,65,5323
1999,04,70,6856
1999,04,75,7199
1999,04,80,5872
1999,04,85,3856
1999,04,90,1640
1999,04,95,422
1999,04,100,63
1999,05,1,38
1999,05,5,44
1999,05,10,44
1999,05,15,49
1999,05,20,84
1999,05,25,115
1999,05,30,195
1999,05,35,503
1999,05,40,953
1999,05,45,1544
1999,05,50,2379
1999,05,55,3308
1999,05,60,4250
1999,05,65,5484
1999,05,70,7381
1999,05,75,7471
1999,05,80,5947
1999,05,85,3852
1999,05,90,1641
1999,05,95,435
1999,05,100,49
1999,06,1,31
1999,06,5,43
1999,06,10,38
1999,06,15,69
1999,06,20,66
1999,06,25,120
1999,06,30,213
1999,06,35,510
1999,06,40,838
1999,06,45,1446
1999,06,50,2258
1999,06,55,3156
