date,year,week,dead
2018-01-03,2018,1,10263
2018-01-10,2018,2,12408
2018-01-17,2018,3,11871
2018-01-24,2018,4,11812
2018-01-31,2018,5,11499
2018-02-07,2018,6,11912
2018-02-14,2018,7,11717
2018-02-21,2018,8,11515
2018-02-28,2018,9,11358
2018-03-07,2018,10,11640
2018-03-14,2018,11,11371
2018-03-21,2018,12,11489
2018-03-28,2018,13,11157
2018-04-04,2018,14,11385
2018-04-11,2018,15,11505
2018-04-18,2018,16,11260
2018-04-25,2018,17,11439
2018-05-02,2018,18,11548
2018-05-09,2018,19,11071
2018-05-16,2018,20,10995
2018-05-23,2018,21,11268
2018-05-30,2018,22,11130
2018-06-06,2018,23,11300
2018-06-13,2018,24,11215
2018-06-20,2018,25,11320
2018-06-27,2018,26,11276
2018-07-04,2018,27,11397
2018-07-11,2018,28,11142
2018-07-18,2018,29,11175
2018-07-25,2018,30,11384
2018-08-01,2018,31,11361
2018-08-08,2018,32,11444
2018-08-15,2018,33,11289
2018-08-22,2018,34,11550
2018-08-29,2018,35,11341
2018-09-05,2018,36,11220
2018-09-12,2018,37,11462
2018-09-19,2018,38,11635
2018-09-26,2018,39,11403
2018-10-03,2018,40,11637
2018-10-10,2018,41,11592
2018-10-17,2018,42,11622
2018-10-24,2018,43,11769
2018-10-31,2018,44,11685
2018-11-07,2018,45,11657
2018-11-14,2018,46,11694
2018-11-21,2018,47,11717
2018-11-28,2018,48,11388
2018-12-05,2018,49,11694
2018-12-12,2018,50,11895
2018-12-19,2018,51,11729
2018-12-26,2018,52,11423
2019-01-02,2019,1,11634
2019-01-09,2019,2,11864
2019-01-16,2019,3,11853
2019-01-23,2019,4,11709
2019-01-30,2019,5,11731
2019-02-06,2019,6,11693
2019-02-13,2019,7,11671
2019-02-20,2019,8,11748
2019-02-27,2019,9,11531
2019-03-06,2019,10,11828
2019-03-13,2019,11,11736
2019-03-20,2019,12,11510
2019-03-27,2019,13,11437
2019-04-03,2019,14,11458
2019-04-10,2019,15,11306
2019-04-17,2019,16,11237
2019-04-24,2019,17,11187
2019-05-01,2019,18,11334
2019-05-08,2019,19,11347
2019-05-15,2019,20,11513
2019-05-22,2019,21,11634
2019-05-29,2019,22,11283
2019-06-05,2019,23,11205
2019-06-12,2019,24,11471
2019-06-19,2019,25,11329
2019-06-26,2019,26,11420
2019-07-03,2019,27,11183
2019-07-10,2019,28,11360
2019-07-17,2019,29,11290
2019-07-24,2019,30,11377
2019-07-31,2019,31,11422
2019-08-07,2019,32,11336
2019-08-14,2019,33,11345
2019-08-21,2019,34,11429
2019-08-28,2019,35,11413
2019-09-04,2019,36,11384
2019-09-11,2019,37,11409
2019-09-18,2019,38,11276
2019-09-25,2019,39,11676
2019-10-02,2019,40,11446
2019-10-09,2019,41,11631
2019-10-16,2019,42,11686
2019-10-23,2019,43,11644
2019-10-30,2019,44,11591
2019-11-06,2019,45,11807
2019-11-13,2019,46,11636
2019-11-20,2019,47,11641
2019-11-27,2019,48,11316
2019-12-04,2019,49,11448
2019-12-11,2019,50,11571
2019-12-18,2019,51,11633
2019-12-25,2019,52,11472
2020-01-01,2020,1,11560
2020-01-08,2020,2,11939
2020-01-15,2020,3,11684
2020-01-22,2020,4,11855
2020-01-29,2020,5,11937
2020-02-05,2020,6,11694
2020-02-12,2020,7,11789
2020-02-19,2020,8,11768
2020-02-26,2020,9,11770
2020-03-04,2020,10,11688
2020-03-11,2020,11,11552
2020-03-18,2020,12,11718
2020-03-25,2020,13,11758
2020-04-01,2020,14,11574
2020-04-08,2020,15,11532
2020-04-15,2020,16,11199
2020-04-22,2020,17,11348
2020-04-29,2020,18,11082
2020-05-06,2020,19,11000
2020-05-13,2020,20,11260
2020-05-20,2020,21,11101
2020-05-27,2020,22,10891
2020-06-03,2020,23,11069
2020-06-10,2020,24,11117
2020-06-17,2020,25,11147
2020-06-24,2020,26,11344
2020-07-01,2020,27,11283
2020-07-08,2020,28,11319
2020-07-15,2020,29,11354
2020-07-22,2020,30,11547
2020-07-29,2020,31,11499
2020-08-05,2020,32,11513
2020-08-12,2020,33,11694
2020-08-19,2020,34,11508
2020-08-26,2020,35,11561
2020-09-02,2020,36,11363
2020-09-09,2020,37,11460
2020-09-16,2020,38,11609
2020-09-23,2020,39,11858
2020-09-30,2020,40,11412
2020-10-07,2020,41,11814
2020-10-14,2020,42,11304
2020-10-21,2020,43,11666
2020-10-28,2020,44,11513
2020-11-04,2020,45,11795
2020-11-11,2020,46,11739
2020-11-18,2020,47,11608
2020-11-25,2020,48,11380
2020-12-02,2020,49,11341
2020-12-09,2020,50,11888
2020-12-16,2020,51,11774
2020-12-23,2020,52,11683
2020-12-30,2020,53,11680
2021-01-06,2021,1,11322
2021-01-13,2021,2,11837
2021-01-20,2021,3,11566
2021-01-27,2021,4,11681
2021-02-03,2021,5,11595
2021-02-10,2021,6,11470
2021-02-17,2021,7,11404
2021-02-24,2021,8,11599
2021-03-03,2021,9,11430
2021-03-10,2021,10,11403
2021-03-17,2021,11,11288
2021-03-24,2021,12,11411
2021-03-31,2021,13,11083
2021-04-07,2021,14,11561
2021-04-14,2021,15,11381
2021-04-21,2021,16,11568
2021-04-28,2021,17,11599
2021-05-05,2021,18,11346
2021-05-12,2021,19,11525
2021-05-19,2021,20,11578
2021-05-26,2021,21,11263
2021-06-02,2021,22,11484
2021-06-09,2021,23,11343
2021-06-16,2021,24,11506
2021-06-23,2021,25,11488
2021-06-30,2021,26,11566
2021-07-07,2021,27,11490
2021-07-14,2021,28,11566
2021-07-21,2021,29,11526
2021-07-28,2021,30,11640
2021-08-04,2021,31,11777
2021-08-11,2021,32,11980
2021-08-18,2021,33,11866
2021-08-25,2021,34,11765
2021-09-01,2021,35,11714
2021-09-08,2021,36,11511
2021-09-15,2021,37,11821
2021-09-22,2021,38,11727
2021-09-29,2021,39,11884
2021-10-06,2021,40,11726
2021-10-13,2021,41,11686
2021-10-20,2021,42,11735
2021-10-27,2021,43,11735
2021-11-03,2021,44,11699
2021-11-10,2021,45,11904
2021-11-17,2021,46,11639
2021-11-24,2021,47,11701
2021-12-01,2021,48,11845
2021-12-08,2021,49,12084
2021-12-15,2021,50,11652
2021-12-22,2021,51,11836
2021-12-29,2021,52,11655
2022-01-05,2022,1,11954
2022-01-12,2022,2,12272
2022-01-19,2022,3,11963
2022-01-26,2022,4,11901
2022-02-02,2022,5,11755
2022-02-09,2022,6,11837
2022-02-16,2022,7,11651
2022-02-23,2022,8,11250
2022-03-02,2022,9,11538
2022-03-09,2022,10,11505
2022-03-16,2022,11,11559
2022-03-23,2022,12,11412
2022-03-30,2022,13,11488
2022-04-06,2022,14,11439
2022-04-13,2022,15,11468
2022-04-20,2022,16,11301
2022-04-27,2022,17,11396
2022-05-04,2022,18,11244
2022-05-11,2022,19,11596
2022-05-18,2022,20,11650
2022-05-25,2022,21,11343
2022-06-01,2022,22,11312
2022-06-08,2022,23,11620
2022-06-15,2022,24,11173
2022-06-22,2022,25,11549
2022-06-29,2022,26,11632
2022-07-06,2022,27,11393
2022-07-13,2022,28,11434
2022-07-20,2022,29,11681
2022-07-27,2022,30,11617
2022-08-03,2022,31,11556
2022-08-10,2022,32,11647
2022-08-17,2022,33,11674
2022-08-24,2022,34,11546
2022-08-31,2022,35,11855
2022-09-07,2022,36,11537
2022-09-14,2022,37,11785
2022-09-21,2022,38,11822
2022-09-28,2022,39,11694
2022-10-05,2022,40,11874
2022-10-12,2022,41,11801
2022-10-19,2022,42,11686
2022-10-26,2022,43,11674
2022-11-02,2022,44,11918
2022-11-09,2022,45,11847
2022-11-16,2022,46,11949
2022-11-23,2022,47,12022
2022-11-30,2022,48,11861
2022-12-07,2022,49,11996
2022-12-14,2022,50,12014
2022-12-21,2022,51,12026
2022-12-28,2022,52,11961
2023-01-04,2023,1,11919
2023-01-11,2023,2,11820
2023-01-18,2023,3,11991
2023-01-25,2023,4,11674
2023-02-01,2023,5,11844
2023-02-08,2023,6,11970
2023-02-15,2023,7,11736
2023-02-22,2023,8,12021
2023-03-01,2023,9,11675
2023-03-08,2023,10,11700
2023-03-15,2023,11,11870
2023-03-22,2023,12,11777
2023-03-29,2023,13,11463
2023-04-05,2023,14,11587
2023-04-12,2023,15,11587
2023-04-19,2023,16,11338
2023-04-26,2023,17,11664
2023-05-03,2023,18,11701
2023-05-10,2023,19,11693
2023-05-17,2023,20,11426
2023-05-24,2023,21,11531
2023-05-31,2023,22,11491
2023-06-07,2023,23,11617
2023-06-14,2023,24,11845
2023-06-21,2023,25,11505
2023-06-28,2023,26,11517
2023-07-05,2023,27,11603
2023-07-12,2023,28,11596
2023-07-19,2023,29,11627
2023-07-26,2023,30,11743
2023-08-02,2023,31,11639
2023-08-09,2023,32,11881
2023-08-16,2023,33,11719
2023-08-23,2023,34,11996
2023-08-30,2023,35,11632
2023-09-06,2023,36,11673
2023-09-13,2023,37,11641
2023-09-20,2023,38,11808
2023-09-27,2023,39,11821
2023-10-04,2023,40,12013
2023-10-11,2023,41,11840
2023-10-18,2023,42,11993
2023-10-25,2023,43,11997
2023-11-01,2023,44,11828
2023-11-08,2023,45,11990
2023-11-15,2023,46,11847
2023-11-22,2023,47,11469
2023-11-29,2023,48,11972
2023-12-06,2023,49,12108
2023-12-13,2023,50,12092
2023-12-20,2023,51,12193
2023-12-27,2023,52,11967
2024-01-03,2024,1,11971
2024-01-10,2024,2,12136
2024-01-17,2024,3,11959
2024-01-24,2024,4,12142
2024-01-31,2024,5,11916
2024-02-07,2024,6,12100
2024-02-14,2024,7,11783
2024-02-21,2024,8,11968
2024-02-28,2024,9,11989
2024-03-06,2024,10,11699
2024-03-13,2024,11,11751
2024-03-20,2024,12,11768
2024-03-27,2024,13,11837
2024-04-03,2024,14,11741
2024-04-10,2024,15,11838
2024-04-17,2024,16,11582
2024-04-24,2024,17,11680
2024-05-01,2024,18,11731
2024-05-08,2024,19,11641
2024-05-15,2024,20,11663
2024-05-22,2024,21,11568
2024-05-29,2024,22,11440
2024-06-05,2024,23,11699
2024-06-12,2024,24,11745
2024-06-19,2024,25,11570
2024-06-26,2024,26,11694
2024-07-03,2024,27,11783
2024-07-10,2024,28,11673
2024-07-17,2024,29,11805
2024-07-24,2024,30,11835
2024-07-31,2024,31,12035
2024-08-07,2024,32,11954
2024-08-14,2024,33,11896
2024-08-21,2024,34,11700
2024-08-28,2024,35,11905
2024-09-04,2024,36,11699
2024-09-11,2024,37,11841
2024-09-18,2024,38,12014
2024-09-25,2024,39,12061
2024-10-02,2024,40,11872
2024-10-09,2024,41,11832
2024-10-16,2024,42,11862
2024-10-23,2024,43,11823
2024-10-30,2024,44,11840
2024-11-06,2024,45,11776
2024-11-13,2024,46,12028
2024-11-20,2024,47,12082
2024-11-27,2024,48,11863
2024-12-04,2024,49,12010
2024-12-11,2024,50,12476
2024-12-18,2024,51,12065
2024-12-25,2024,52,12149
2025-01-01,2025,1,11893
2025-01-08,2025,2,12318
2025-01-15,2025,3,12351
2025-01-22,2025,4,12402
2025-01-29,2025,5,12782
2025-02-05,2025,6,12329
2025-02-12,2025,7,12114
2025-02-19,2025,8,12416
2025-02-26,2025,9,12171
2025-03-05,2025,10,12229
2025-03-12,2025,11,11928
2025-03-19,2025,12,11831
2025-03-26,2025,13,11979
2025-04-02,2025,14,11663
2025-04-09,2025,15,11955
2025-04-16,2025,16,11631
2025-04-23,2025,17,11654
2025-04-30,2025,18,11667
2025-05-07,2025,19,11569
2025-05-14,2025,20,11761
2025-05-21,2025,21,11746
2025-05-28,2025,22,11468
2025-06-04,2025,23,11829
2025-06-11,2025,24,11788
2025-06-18,2025,25,11715
2025-06-25,2025,26,11623
2025-07-02,2025,27,11530
2025-07-09,2025,28,11408
2025-07-16,2025,29,11598
2025-07-23,2025,30,11624
2025-07-30,2025,31,11681
2025-08-06,2025,32,11487
2025-08-13,2025,33,11665
2025-08-20,2025,34,11612
2025-08-27,2025,35,11131
2025-09-03,2025,36,9796
2025-09-10,2025,37,7924
