type,date,dead
mcd_cancer_and_ucd_covid,2020-03-21,29
mcd_cancer_and_ucd_covid,2020-03-28,145
mcd_cancer_and_ucd_covid,2020-04-04,360
mcd_cancer_and_ucd_covid,2020-04-11,556
mcd_cancer_and_ucd_covid,2020-04-18,560
mcd_cancer_and_ucd_covid,2020-04-25,489
mcd_cancer_and_ucd_covid,2020-05-02,445
mcd_cancer_and_ucd_covid,2020-05-09,408
mcd_cancer_and_ucd_covid,2020-05-16,321
mcd_cancer_and_ucd_covid,2020-05-23,255
mcd_cancer_and_ucd_covid,2020-05-30,215
mcd_cancer_and_ucd_covid,2020-06-06,171
mcd_cancer_and_ucd_covid,2020-06-13,153
mcd_cancer_and_ucd_covid,2020-06-20,125
mcd_cancer_and_ucd_covid,2020-06-27,135
mcd_cancer_and_ucd_covid,2020-07-04,170
mcd_cancer_and_ucd_covid,2020-07-11,205
mcd_cancer_and_ucd_covid,2020-07-18,260
mcd_cancer_and_ucd_covid,2020-07-25,326
mcd_cancer_and_ucd_covid,2020-08-01,300
mcd_cancer_and_ucd_covid,2020-08-08,282
mcd_cancer_and_ucd_covid,2020-08-15,248
mcd_cancer_and_ucd_covid,2020-08-22,182
mcd_cancer_and_ucd_covid,2020-08-29,184
mcd_cancer_and_ucd_covid,2020-09-05,170
mcd_cancer_and_ucd_covid,2020-09-12,169
mcd_cancer_and_ucd_covid,2020-09-19,165
mcd_cancer_and_ucd_covid,2020-09-26,135
mcd_cancer_and_ucd_covid,2020-10-03,145
mcd_cancer_and_ucd_covid,2020-10-10,160
mcd_cancer_and_ucd_covid,2020-10-17,196
mcd_cancer_and_ucd_covid,2020-10-24,233
mcd_cancer_and_ucd_covid,2020-10-31,266
mcd_cancer_and_ucd_covid,2020-11-07,352
mcd_cancer_and_ucd_covid,2020-11-14,425
mcd_cancer_and_ucd_covid,2020-11-21,547
mcd_cancer_and_ucd_covid,2020-11-28,681
mcd_cancer_and_ucd_covid,2020-12-05,761
mcd_cancer_and_ucd_covid,2020-12-12,862
mcd_cancer_and_ucd_covid,2020-12-19,830
mcd_cancer_and_ucd_covid,2020-12-26,958
