year,state,dead
2020,Alabama,2939
2020,Alaska,104
2020,Arizona,3657
2020,Arkansas,1788
2020,California,19046
2020,Colorado,2244
2020,Connecticut,2603
2020,Delaware,516
2020,District of Columbia,601
2020,Florida,13345
2020,Georgia,4269
2020,Hawaii,155
2020,Idaho,649
2020,Illinois,9705
2020,Indiana,4430
2020,Iowa,2106
2020,Kansas,1434
2020,Kentucky,2172
2020,Louisiana,3023
2020,Maine,186
2020,Maryland,3501
2020,Massachusetts,3721
2020,Michigan,4930
2020,Minnesota,3248
2020,Mississippi,2575
2020,Missouri,2706
2020,Montana,621
2020,Nebraska,1110
2020,Nevada,1647
2020,New Hampshire,320
2020,New Jersey,8191
2020,New Mexico,1129
2020,New York,17998
2020,North Carolina,3595
2020,North Dakota,553
2020,Ohio,5964
2020,Oklahoma,3322
2020,Oregon,756
2020,Pennsylvania,7625
2020,Rhode Island,843
2020,South Carolina,2748
2020,South Dakota,835
2020,Tennessee,3033
2020,Texas,15056
2020,Utah,700
2020,Vermont,85
2020,Virginia,2134
2020,Washington,1654
2020,West Virginia,617
2020,Wisconsin,3580
2020,Wyoming,248
2021,Alabama,4153
2021,Alaska,330
2021,Arizona,5388
2021,Arkansas,2354
2021,California,26930
2021,Colorado,2935
2021,Connecticut,1318
2021,Delaware,555
2021,District of Columbia,388
2021,Florida,15689
2021,Georgia,7076
2021,Hawaii,303
2021,Idaho,1194
2021,Illinois,6386
2021,Indiana,4190
2021,Iowa,1597
2021,Kansas,1598
2021,Kentucky,3884
2021,Louisiana,2713
2021,Maine,458
2021,Maryland,3356
2021,Massachusetts,2424
2021,Michigan,6070
2021,Minnesota,2779
2021,Mississippi,3050
2021,Missouri,2969
2021,Montana,778
2021,Nebraska,988
2021,Nevada,2434
2021,New Hampshire,583
2021,New Jersey,4842
2021,New Mexico,1380
2021,New York,11561
2021,North Carolina,5851
2021,North Dakota,308
2021,Ohio,8462
2021,Oklahoma,4841
2021,Oregon,1954
2021,Pennsylvania,8485
2021,Rhode Island,579
2021,South Carolina,3828
2021,South Dakota,507
2021,Tennessee,5024
2021,Texas,20556
2021,Utah,1009
2021,Vermont,170
2021,Virginia,3440
2021,Washington,2893
2021,West Virginia,1805
2021,Wisconsin,3429
2021,Wyoming,483
2022,Alabama,2154
2022,Alaska,138
2022,Arizona,2570
2022,Arkansas,1503
2022,California,13555
2022,Colorado,1866
2022,Connecticut,1154
2022,Delaware,449
2022,District of Columbia,190
2022,Florida,8667
2022,Georgia,3407
2022,Hawaii,320
2022,Idaho,545
2022,Illinois,4758
2022,Indiana,2837
2022,Iowa,1092
2022,Kansas,1079
2022,Kentucky,3013
2022,Louisiana,1574
2022,Maine,414
2022,Maryland,2556
2022,Massachusetts,2158
2022,Michigan,4011
2022,Minnesota,2046
2022,Mississippi,2005
2022,Missouri,2200
2022,Montana,377
2022,Nebraska,725
2022,Nevada,1376
2022,New Hampshire,414
2022,New Jersey,3654
2022,New Mexico,965
2022,New York,8463
2022,North Carolina,3825
2022,North Dakota,235
2022,Ohio,5509
2022,Oklahoma,3163
2022,Oregon,1584
2022,Pennsylvania,5642
2022,Rhode Island,422
2022,South Carolina,2790
2022,South Dakota,366
2022,Tennessee,3268
2022,Texas,9305
2022,Utah,562
2022,Vermont,250
2022,Virginia,2717
2022,Washington,2192
2022,West Virginia,1199
2022,Wisconsin,2332
2022,Wyoming,188
2023,Alabama,700
2023,Alaska,56
2023,Arizona,772
2023,Arkansas,432
2023,California,4524
2023,Colorado,674
2023,Connecticut,377
2023,Delaware,205
2023,District of Columbia,61
2023,Florida,3150
2023,Georgia,1143
2023,Hawaii,151
2023,Idaho,176
2023,Illinois,1190
2023,Indiana,969
2023,Iowa,445
2023,Kansas,319
2023,Kentucky,1068
2023,Louisiana,486
2023,Maine,207
2023,Maryland,956
2023,Massachusetts,890
2023,Michigan,1385
2023,Minnesota,908
2023,Mississippi,675
2023,Missouri,747
2023,Montana,130
2023,Nebraska,300
2023,Nevada,355
2023,New Hampshire,175
2023,New Jersey,1161
2023,New Mexico,293
2023,New York,2732
2023,North Carolina,1457
2023,North Dakota,99
2023,Ohio,1717
2023,Oklahoma,929
2023,Oregon,548
2023,Pennsylvania,1991
2023,Rhode Island,143
2023,South Carolina,973
2023,South Dakota,151
2023,Tennessee,1103
2023,Texas,2729
2023,Utah,152
2023,Vermont,124
2023,Virginia,1092
2023,Washington,860
2023,West Virginia,355
2023,Wisconsin,733
2023,Wyoming,86
2024,Alabama,423
2024,Alaska,35
2024,Arizona,390
2024,Arkansas,247
2024,California,2363
2024,Colorado,328
2024,Connecticut,223
2024,Delaware,136
2024,District of Columbia,32
2024,Florida,1935
2024,Georgia,738
2024,Hawaii,116
2024,Idaho,115
2024,Illinois,618
2024,Indiana,505
2024,Iowa,240
2024,Kansas,181
2024,Kentucky,557
2024,Louisiana,314
2024,Maine,106
2024,Maryland,601
2024,Massachusetts,483
2024,Michigan,741
2024,Minnesota,468
2024,Mississippi,460
2024,Missouri,394
2024,Montana,65
2024,Nebraska,185
2024,Nevada,179
2024,New Hampshire,96
2024,New Jersey,676
2024,New Mexico,144
2024,New York,1506
2024,North Carolina,843
2024,North Dakota,32
2024,Ohio,886
2024,Oklahoma,517
2024,Oregon,298
2024,Pennsylvania,1004
2024,Rhode Island,82
2024,South Carolina,545
2024,South Dakota,87
2024,Tennessee,603
2024,Texas,1534
2024,Utah,88
2024,Vermont,82
2024,Virginia,627
2024,Washington,486
2024,West Virginia,195
2024,Wisconsin,404
2024,Wyoming,54
