type,cause,week,dead
mcd,N17,2018-01-06,1376
mcd,N17,2018-01-13,1601
mcd,N17,2018-01-20,1630
mcd,N17,2018-01-27,1479
mcd,N17,2018-02-03,1483
mcd,N17,2018-02-10,1490
mcd,N17,2018-02-17,1417
mcd,N17,2018-02-24,1378
mcd,N17,2018-03-03,1362
mcd,N17,2018-03-10,1345
mcd,N17,2018-03-17,1354
mcd,N17,2018-03-24,1279
mcd,N17,2018-03-31,1281
mcd,N17,2018-04-07,1213
mcd,N17,2018-04-14,1263
mcd,N17,2018-04-21,1240
mcd,N17,2018-04-28,1197
mcd,N17,2018-05-05,1161
mcd,N17,2018-05-12,1119
mcd,N17,2018-05-19,1170
mcd,N17,2018-05-26,1100
mcd,N17,2018-06-02,1173
mcd,N17,2018-06-09,1150
mcd,N17,2018-06-16,1123
mcd,N17,2018-06-23,1122
mcd,N17,2018-06-30,1124
mcd,N17,2018-07-07,1089
mcd,N17,2018-07-14,1075
mcd,N17,2018-07-21,1091
mcd,N17,2018-07-28,1083
mcd,N17,2018-08-04,1130
mcd,N17,2018-08-11,1032
mcd,N17,2018-08-18,1076
mcd,N17,2018-08-25,1070
mcd,N17,2018-09-01,1095
mcd,N17,2018-09-08,1078
mcd,N17,2018-09-15,1096
mcd,N17,2018-09-22,1090
mcd,N17,2018-09-29,1093
mcd,N17,2018-10-06,1085
mcd,N17,2018-10-13,1069
mcd,N17,2018-10-20,1105
mcd,N17,2018-10-27,1152
mcd,N17,2018-11-03,1146
mcd,N17,2018-11-10,1205
mcd,N17,2018-11-17,1095
mcd,N17,2018-11-24,1178
mcd,N17,2018-12-01,1185
mcd,N17,2018-12-08,1264
mcd,N17,2018-12-15,1303
mcd,N17,2018-12-22,1211
mcd,N17,2018-12-29,1222
mcd,N17,2019-01-05,1282
mcd,N17,2019-01-12,1386
mcd,N17,2019-01-19,1350
mcd,N17,2019-01-26,1402
mcd,N17,2019-02-02,1334
mcd,N17,2019-02-09,1336
mcd,N17,2019-02-16,1306
mcd,N17,2019-02-23,1420
mcd,N17,2019-03-02,1324
mcd,N17,2019-03-09,1313
mcd,N17,2019-03-16,1306
mcd,N17,2019-03-23,1269
mcd,N17,2019-03-30,1258
mcd,N17,2019-04-06,1226
mcd,N17,2019-04-13,1190
mcd,N17,2019-04-20,1227
mcd,N17,2019-04-27,1175
mcd,N17,2019-05-04,1198
mcd,N17,2019-05-11,1147
mcd,N17,2019-05-18,1133
mcd,N17,2019-05-25,1182
mcd,N17,2019-06-01,1105
mcd,N17,2019-06-08,1136
mcd,N17,2019-06-15,1160
mcd,N17,2019-06-22,1142
mcd,N17,2019-06-29,1116
mcd,N17,2019-07-06,1034
mcd,N17,2019-07-13,1065
mcd,N17,2019-07-20,1131
mcd,N17,2019-07-27,1105
mcd,N17,2019-08-03,1080
mcd,N17,2019-08-10,1061
mcd,N17,2019-08-17,1036
mcd,N17,2019-08-24,1096
mcd,N17,2019-08-31,1065
mcd,N17,2019-09-07,1127
mcd,N17,2019-09-14,1010
mcd,N17,2019-09-21,1086
mcd,N17,2019-09-28,1077
mcd,N17,2019-10-05,1104
mcd,N17,2019-10-12,1086
mcd,N17,2019-10-19,1112
mcd,N17,2019-10-26,1113
mcd,N17,2019-11-02,1178
mcd,N17,2019-11-09,1243
mcd,N17,2019-11-16,1166
mcd,N17,2019-11-23,1164
mcd,N17,2019-11-30,1144
mcd,N17,2019-12-07,1253
mcd,N17,2019-12-14,1314
mcd,N17,2019-12-21,1195
mcd,N17,2019-12-28,1292
mcd,N17,2020-01-04,1349
mcd,N17,2020-01-11,1421
mcd,N17,2020-01-18,1364
mcd,N17,2020-01-25,1302
mcd,N17,2020-02-01,1291
mcd,N17,2020-02-08,1319
mcd,N17,2020-02-15,1310
mcd,N17,2020-02-22,1287
mcd,N17,2020-02-29,1254
mcd,N17,2020-03-07,1295
mcd,N17,2020-03-14,1285
mcd,N17,2020-03-21,1212
mcd,N17,2020-03-28,1306
mcd,N17,2020-04-04,1655
mcd,N17,2020-04-11,1867
mcd,N17,2020-04-18,1890
mcd,N17,2020-04-25,1766
mcd,N17,2020-05-02,1727
mcd,N17,2020-05-09,1610
mcd,N17,2020-05-16,1488
mcd,N17,2020-05-23,1459
mcd,N17,2020-05-30,1352
mcd,N17,2020-06-06,1379
mcd,N17,2020-06-13,1290
mcd,N17,2020-06-20,1314
mcd,N17,2020-06-27,1303
mcd,N17,2020-07-04,1399
mcd,N17,2020-07-11,1475
mcd,N17,2020-07-18,1567
mcd,N17,2020-07-25,1665
mcd,N17,2020-08-01,1646
mcd,N17,2020-08-08,1627
mcd,N17,2020-08-15,1698
mcd,N17,2020-08-22,1569
mcd,N17,2020-08-29,1483
mcd,N17,2020-09-05,1468
mcd,N17,2020-09-12,1497
mcd,N17,2020-09-19,1411
mcd,N17,2020-09-26,1453
mcd,N17,2020-10-03,1409
mcd,N17,2020-10-10,1564
mcd,N17,2020-10-17,1454
mcd,N17,2020-10-24,1523
mcd,N17,2020-10-31,1604
mcd,N17,2020-11-07,1647
mcd,N17,2020-11-14,1720
mcd,N17,2020-11-21,1838
mcd,N17,2020-11-28,2051
mcd,N17,2020-12-05,2137
mcd,N17,2020-12-12,2272
mcd,N17,2020-12-19,2366
mcd,N17,2020-12-26,2449
mcd,N17,2021-01-02,2840
mcd,N17,2021-01-09,3244
mcd,N17,2021-01-16,3256
mcd,N17,2021-01-23,3237
mcd,N17,2021-01-30,2928
mcd,N17,2021-02-06,2875
mcd,N17,2021-02-13,2581
mcd,N17,2021-02-20,2511
mcd,N17,2021-02-27,2330
mcd,N17,2021-03-06,2062
mcd,N17,2021-03-13,1915
mcd,N17,2021-03-20,1905
mcd,N17,2021-03-27,1879
mcd,N17,2021-04-03,1756
mcd,N17,2021-04-10,1924
mcd,N17,2021-04-17,1762
mcd,N17,2021-04-24,1818
mcd,N17,2021-05-01,1842
mcd,N17,2021-05-08,1798
mcd,N17,2021-05-15,1861
mcd,N17,2021-05-22,1841
mcd,N17,2021-05-29,1736
mcd,N17,2021-06-05,1704
mcd,N17,2021-06-12,1687
mcd,N17,2021-06-19,1693
mcd,N17,2021-06-26,1690
mcd,N17,2021-07-03,1717
mcd,N17,2021-07-10,1677
mcd,N17,2021-07-17,1653
mcd,N17,2021-07-24,1710
mcd,N17,2021-07-31,1759
mcd,N17,2021-08-07,1941
mcd,N17,2021-08-14,2203
mcd,N17,2021-08-21,2466
mcd,N17,2021-08-28,2640
mcd,N17,2021-09-04,2742
mcd,N17,2021-09-11,2856
mcd,N17,2021-09-18,2882
mcd,N17,2021-09-25,2758
mcd,N17,2021-10-02,2763
mcd,N17,2021-10-09,2640
mcd,N17,2021-10-16,2510
mcd,N17,2021-10-23,2555
mcd,N17,2021-10-30,2343
mcd,N17,2021-11-06,2335
mcd,N17,2021-11-13,2349
mcd,N17,2021-11-20,2247
mcd,N17,2021-11-27,2385
mcd,N17,2021-12-04,2606
mcd,N17,2021-12-11,2519
mcd,N17,2021-12-18,2573
mcd,N17,2021-12-25,2574
mcd,N17,2022-01-01,2829
mcd,N17,2022-01-08,3779
mcd,N17,2022-01-15,3952
mcd,N17,2022-01-22,4252
mcd,N17,2022-01-29,4214
mcd,N17,2022-02-05,3930
mcd,N17,2022-02-12,3795
mcd,N17,2022-02-19,3256
mcd,N17,2022-02-26,2955
mcd,N17,2022-03-05,2737
mcd,N17,2022-03-12,2446
mcd,N17,2022-03-19,2378
mcd,N17,2022-03-26,2223
mcd,N17,2022-04-02,2164
mcd,N17,2022-04-09,2279
mcd,N17,2022-04-16,2227
mcd,N17,2022-04-23,2066
mcd,N17,2022-04-30,2163
mcd,N17,2022-05-07,2058
mcd,N17,2022-05-14,2216
mcd,N17,2022-05-21,2190
mcd,N17,2022-05-28,2151
mcd,N17,2022-06-04,2214
mcd,N17,2022-06-11,2110
mcd,N17,2022-06-18,2097
mcd,N17,2022-06-25,2168
mcd,N17,2022-07-02,2129
mcd,N17,2022-07-09,2232
mcd,N17,2022-07-16,2102
mcd,N17,2022-07-23,2252
mcd,N17,2022-07-30,2129
mcd,N17,2022-08-06,2125
mcd,N17,2022-08-13,2185
mcd,N17,2022-08-20,2116
mcd,N17,2022-08-27,2158
mcd,N17,2022-09-03,2076
mcd,N17,2022-09-10,2187
mcd,N17,2022-09-17,2169
mcd,N17,2022-09-24,2183
mcd,N17,2022-10-01,2142
mcd,N17,2022-10-08,2178
mcd,N17,2022-10-15,2200
mcd,N17,2022-10-22,2176
mcd,N17,2022-10-29,2200
mcd,N17,2022-11-05,2248
mcd,N17,2022-11-12,2281
mcd,N17,2022-11-19,2278
mcd,N17,2022-11-26,2361
mcd,N17,2022-12-03,2510
mcd,N17,2022-12-10,2588
mcd,N17,2022-12-17,2667
mcd,N17,2022-12-24,2554
mcd,N17,2022-12-31,2667
mcd,N17,2023-01-07,2829
mcd,N17,2023-01-14,2709
mcd,N17,2023-01-21,2552
mcd,N17,2023-01-28,2464
mcd,N17,2023-02-04,2454
mcd,N17,2023-02-11,2479
mcd,N17,2023-02-18,2343
mcd,N17,2023-02-25,2341
mcd,N17,2023-03-04,2245
mcd,N17,2023-03-11,2294
mcd,N17,2023-03-18,2331
mcd,N17,2023-03-25,2300
mcd,N17,2023-04-01,2219
mcd,N17,2023-04-08,2173
mcd,N17,2023-04-15,2156
mcd,N17,2023-04-22,2118
mcd,N17,2023-04-29,2064
mcd,N17,2023-05-06,2045
mcd,N17,2023-05-13,2072
mcd,N17,2023-05-20,2029
mcd,N17,2023-05-27,2043
mcd,N17,2023-06-03,2166
mcd,N17,2023-06-10,2101
mcd,N17,2023-06-17,2035
mcd,N17,2023-06-24,1970
mcd,N17,2023-07-01,2019
mcd,N17,2023-07-08,1946
mcd,N17,2023-07-15,2045
mcd,N17,2023-07-22,1914
mcd,N17,2023-07-29,2046
mcd,N17,2023-08-05,2004
mcd,N17,2023-08-12,2031
mcd,N17,2023-08-19,2012
mcd,N17,2023-08-26,1989
mcd,N17,2023-09-02,2073
mcd,N17,2023-09-09,2076
mcd,N17,2023-09-16,2097
mcd,N17,2023-09-23,2072
mcd,N17,2023-09-30,2016
mcd,N17,2023-10-07,2084
mcd,N17,2023-10-14,2051
mcd,N17,2023-10-21,2155
mcd,N17,2023-10-28,2111
mcd,N17,2023-11-04,2050
mcd,N17,2023-11-11,2150
