year,month,born
2016,1,316707
2016,2,306015
2016,3,328526
2016,4,313485
2016,5,327631
2016,6,332324
2016,7,342728
2016,8,357830
2016,9,345552
2016,10,330958
2016,11,319389
2016,12,324730
2017,1,313786
2017,2,289054
2017,3,319625
2017,4,300116
2017,5,322456
2017,6,323920
2017,7,334924
2017,8,352151
2017,9,337175
2017,10,329869
2017,11,316511
2017,12,315913
2018,1,314808
2018,2,284250
2018,3,316044
2018,4,298394
2018,5,320622
2018,6,314816
2018,7,329009
2018,8,344750
2018,9,322772
2018,10,326778
2018,11,308703
2018,12,310766
2019,1,310872
2019,2,279963
2019,3,304237
2019,4,298947
2019,5,316386
2019,6,304092
2019,7,333646
2019,8,341685
2019,9,325781
2019,10,325043
2019,11,298086
2019,12,308802
2020,1,304722
2020,2,282654
2020,3,301625
2020,4,290478
2020,5,301481
2020,6,302164
2020,7,321637
2020,8,319621
2020,9,311705
2020,10,305085
2020,11,282597
2020,12,289878
2021,1,277172
2021,2,266355
2021,3,302692
2021,4,293208
2021,5,300912
2021,6,313597
2021,7,326117
2021,8,330271
2021,9,325738
2021,10,315414
2021,11,301730
2021,12,311086
2022,1,294843
2022,2,275727
2022,3,307459
2022,4,288660
2022,5,297576
2022,6,305759
2022,7,320822
2022,8,335912
2022,9,312233
2022,10,306805
2022,11,307148
2022,12,314814
2023,1,299468
2023,2,270840
2023,3,299341
2023,4,278591
2023,5,299502
2023,6,303280
2023,7,311537
2023,8,322298
2023,9,305453
2023,10,309046
2023,11,298093
2023,12,297849
2024,1,295860
2024,2,279412
