year,month,region,dead,born
2003,1,Midwest,580,70689
2003,1,Northeast,370,55282
2003,1,South,982,122504
2003,1,West,461,81328
2003,2,Midwest,491,66768
2003,2,Northeast,305,51622
2003,2,South,887,113035
2003,2,West,453,75823
2003,3,Midwest,559,73940
2003,3,Northeast,362,57313
2003,3,South,964,122242
2003,3,West,468,83425
2003,4,Midwest,539,72205
2003,4,Northeast,336,56263
2003,4,South,951,120023
2003,4,West,468,81615
2003,5,Midwest,555,76902
2003,5,Northeast,349,59238
2003,5,South,1024,124080
2003,5,West,453,86534
2003,6,Midwest,533,74837
2003,6,Northeast,365,57937
2003,6,South,989,121541
2003,6,West,474,83110
2003,7,Midwest,529,80584
2003,7,Northeast,374,61806
2003,7,South,1037,132184
2003,7,West,487,89652
2003,8,Midwest,559,78299
2003,8,Northeast,330,60347
2003,8,South,989,132923
2003,8,West,476,88534
2003,9,Midwest,520,77103
2003,9,Northeast,353,60023
2003,9,South,955,134293
2003,9,West,445,88225
2003,10,Midwest,559,76052
2003,10,Northeast,355,58519
2003,10,South,1012,132719
2003,10,West,458,86758
2003,11,Midwest,500,68535
2003,11,Northeast,316,53279
2003,11,South,956,119970
2003,11,West,453,78310
2003,12,Midwest,567,73489
2003,12,Northeast,313,56130
2003,12,South,1057,130093
2003,12,West,507,83867
2004,1,Midwest,548,71780
2004,1,Northeast,369,54861
2004,1,South,1031,124411
2004,1,West,504,81855
2004,2,Midwest,522,69730
2004,2,Northeast,304,52420
2004,2,South,1014,116152
2004,2,West,452,77519
2004,3,Midwest,555,76745
2004,3,Northeast,334,58048
2004,3,South,992,126627
2004,3,West,459,84928
2004,4,Midwest,502,73413
2004,4,Northeast,296,56139
2004,4,South,943,121475
2004,4,West,460,82308
2004,5,Midwest,509,75010
2004,5,Northeast,391,57410
2004,5,South,981,121812
2004,5,West,467,83419
2004,6,Midwest,505,75517
2004,6,Northeast,324,58175
2004,6,South,929,126373
2004,6,West,459,84816
2004,7,Midwest,554,78480
2004,7,Northeast,381,60068
2004,7,South,1027,132242
2004,7,West,501,88636
2004,8,Midwest,536,75833
2004,8,Northeast,340,59047
2004,8,South,1008,132076
2004,8,West,435,88452
2004,9,Midwest,496,74581
2004,9,Northeast,356,57353
2004,9,South,982,134530
2004,9,West,482,89569
2004,10,Midwest,536,73775
2004,10,Northeast,375,56099
2004,10,South,1005,130685
2004,10,West,508,87907
2004,11,Midwest,516,71150
2004,11,Northeast,303,53916
2004,11,South,975,127074
2004,11,West,463,83564
2004,12,Midwest,524,73137
2004,12,Northeast,316,54878
2004,12,South,988,132865
2004,12,West,479,85192
2005,1,Midwest,528,69878
2005,1,Northeast,316,53362
2005,1,South,1011,125956
2005,1,West,500,82282
2005,2,Midwest,513,67087
