cause,date,age,dead
A-Q,1999-01,0,1906
A-Q,1999-01,1,256
A-Q,1999-01,5,321
A-Q,1999-01,15,641
A-Q,1999-01,25,1634
A-Q,1999-01,35,5425
A-Q,1999-01,45,11862
A-Q,1999-01,55,21056
A-Q,1999-01,65,41423
A-Q,1999-01,75,65423
A-Q,1999-01,85,62855
A-Q,1999-02,0,1775
A-Q,1999-02,1,260
A-Q,1999-02,5,356
A-Q,1999-02,15,581
A-Q,1999-02,25,1496
A-Q,1999-02,35,4955
A-Q,1999-02,45,10683
A-Q,1999-02,55,18732
A-Q,1999-02,65,38161
A-Q,1999-02,75,60667
A-Q,1999-02,85,57283
A-Q,1999-03,0,1995
A-Q,1999-03,1,293
A-Q,1999-03,5,342
A-Q,1999-03,15,685
A-Q,1999-03,25,1625
A-Q,1999-03,35,5393
A-Q,1999-03,45,11649
A-Q,1999-03,55,20707
A-Q,1999-03,65,41313
A-Q,1999-03,75,65666
A-Q,1999-03,85,62595
A-Q,1999-04,0,1924
A-Q,1999-04,1,217
A-Q,1999-04,5,293
A-Q,1999-04,15,546
A-Q,1999-04,25,1521
A-Q,1999-04,35,4933
A-Q,1999-04,45,10678
A-Q,1999-04,55,18582
A-Q,1999-04,65,36372
A-Q,1999-04,75,56333
A-Q,1999-04,85,51197
A-Q,1999-05,0,1930
A-Q,1999-05,1,201
A-Q,1999-05,5,283
A-Q,1999-05,15,545
A-Q,1999-05,25,1438
A-Q,1999-05,35,5156
A-Q,1999-05,45,10741
A-Q,1999-05,55,18698
A-Q,1999-05,65,35540
A-Q,1999-05,75,54087
A-Q,1999-05,85,48272
A-Q,1999-06,0,1942
A-Q,1999-06,1,199
A-Q,1999-06,5,283
A-Q,1999-06,15,559
A-Q,1999-06,25,1410
A-Q,1999-06,35,4924
A-Q,1999-06,45,10383
A-Q,1999-06,55,17440
A-Q,1999-06,65,33374
A-Q,1999-06,75,50388
A-Q,1999-06,85,44491
A-Q,1999-07,0,1942
A-Q,1999-07,1,191
A-Q,1999-07,5,254
A-Q,1999-07,15,579
A-Q,1999-07,25,1402
A-Q,1999-07,35,5092
A-Q,1999-07,45,10801
A-Q,1999-07,55,18005
A-Q,1999-07,65,34558
A-Q,1999-07,75,51846
A-Q,1999-07,85,45963
A-Q,1999-08,0,1959
A-Q,1999-08,1,181
A-Q,1999-08,5,297
A-Q,1999-08,15,533
A-Q,1999-08,25,1409
A-Q,1999-08,35,4865
A-Q,1999-08,45,10297
A-Q,1999-08,55,17681
A-Q,1999-08,65,33441
A-Q,1999-08,75,50847
A-Q,1999-08,85,45266
A-Q,1999-09,0,1965
A-Q,1999-09,1,187
A-Q,1999-09,5,294
A-Q,1999-09,15,541
A-Q,1999-09,25,1422
A-Q,1999-09,35,4749
A-Q,1999-09,45,10560
A-Q,1999-09,55,17088
A-Q,1999-09,65,33053
A-Q,1999-09,75,50496
A-Q,1999-09,85,45476
A-Q,1999-10,0,1977
A-Q,1999-10,1,215
A-Q,1999-10,5,289
A-Q,1999-10,15,547
A-Q,1999-10,25,1507
A-Q,1999-10,35,4942
A-Q,1999-10,45,10984
A-Q,1999-10,55,18673
A-Q,1999-10,65,35775
A-Q,1999-10,75,54719
A-Q,1999-10,85,50838
A-Q,1999-11,0,1853
A-Q,1999-11,1,205
A-Q,1999-11,5,293
A-Q,1999-11,15,580
A-Q,1999-11,25,1354
A-Q,1999-11,35,4857
A-Q,1999-11,45,10678
A-Q,1999-11,55,18178
A-Q,1999-11,65,34908
A-Q,1999-11,75,54112
A-Q,1999-11,85,50676
A-Q,1999-12,0,1946
A-Q,1999-12,1,261
A-Q,1999-12,5,318
A-Q,1999-12,15,622
A-Q,1999-12,25,1569
A-Q,1999-12,35,5431
A-Q,1999-12,45,12060
A-Q,1999-12,55,20818
A-Q,1999-12,65,40122
A-Q,1999-12,75,63874
A-Q,1999-12,85,60212
A-Q,2000-01,0,1965
A-Q,2000-01,1,280
A-Q,2000-01,5,357
A-Q,2000-01,15,695
A-Q,2000-01,25,1747
A-Q,2000-01,35,5723
A-Q,2000-01,45,12852
A-Q,2000-01,55,22176
A-Q,2000-01,65,43426
A-Q,2000-01,75,71300
A-Q,2000-01,85,71493
A-Q,2000-02,0,1844
A-Q,2000-02,1,237
A-Q,2000-02,5,309
A-Q,2000-02,15,561
A-Q,2000-02,25,1459
A-Q,2000-02,35,5072
A-Q,2000-02,45,11163
A-Q,2000-02,55,18708
A-Q,2000-02,65,36151
A-Q,2000-02,75,58269
A-Q,2000-02,85,55728
A-Q,2000-03,0,2000
A-Q,2000-03,1,223
A-Q,2000-03,5,309
A-Q,2000-03,15,566
A-Q,2000-03,25,1511
A-Q,2000-03,35,5059
A-Q,2000-03,45,11195
A-Q,2000-03,55,19008
A-Q,2000-03,65,36609
A-Q,2000-03,75,57833
A-Q,2000-03,85,53110
A-Q,2000-04,0,1959
A-Q,2000-04,1,176
A-Q,2000-04,5,278
A-Q,2000-04,15,538
A-Q,2000-04,25,1358
A-Q,2000-04,35,4943
A-Q,2000-04,45,10794
A-Q,2000-04,55,18173
A-Q,2000-04,65,34525
A-Q,2000-04,75,53901
A-Q,2000-04,85,49264
A-Q,2000-05,0,1907
A-Q,2000-05,1,201
A-Q,2000-05,5,296
A-Q,2000-05,15,583
A-Q,2000-05,25,1483
A-Q,2000-05,35,4986
A-Q,2000-05,45,11081
A-Q,2000-05,55,18772
A-Q,2000-05,65,35142
A-Q,2000-05,75,54045
A-Q,2000-05,85,49170
A-Q,2000-06,0,2004
A-Q,2000-06,1,179
A-Q,2000-06,5,251
A-Q,2000-06,15,555
A-Q,2000-06,25,1374
A-Q,2000-06,35,4718
A-Q,2000-06,45,10938
A-Q,2000-06,55,17747
A-Q,2000-06,65,33075
A-Q,2000-06,75,51238
A-Q,2000-06,85,46028
A-Q,2000-07,0,1896
A-Q,2000-07,1,194
A-Q,2000-07,5,267
A-Q,2000-07,15,577
A-Q,2000-07,25,1404
A-Q,2000-07,35,4842
A-Q,2000-07,45,11153
