date,age,dead
1999-01,0,1906
1999-01,1,93
1999-01,2,74
1999-01,3,51
1999-01,4,38
1999-01,5,49
1999-01,6,29
1999-01,7,27
1999-01,8,23
1999-01,9,34
1999-01,10,30
1999-01,11,33
1999-01,12,28
1999-01,13,36
1999-01,14,32
1999-01,15,52
1999-01,16,50
1999-01,17,55
1999-01,18,53
1999-01,19,53
1999-01,20,69
1999-01,21,82
1999-01,22,77
1999-01,23,71
1999-01,24,79
1999-01,25,79
1999-01,26,83
1999-01,27,117
1999-01,28,122
1999-01,29,149
1999-01,30,171
1999-01,31,154
1999-01,32,232
1999-01,33,264
1999-01,34,263
1999-01,35,300
1999-01,36,379
1999-01,37,403
1999-01,38,457
1999-01,39,510
1999-01,40,555
1999-01,41,597
1999-01,42,658
1999-01,43,765
1999-01,44,801
1999-01,45,890
1999-01,46,982
1999-01,47,979
1999-01,48,1075
1999-01,49,1117
1999-01,50,1276
1999-01,51,1342
1999-01,52,1379
1999-01,53,1324
1999-01,54,1498
1999-01,55,1633
1999-01,56,1724
1999-01,57,1787
1999-01,58,1837
1999-01,59,2003
1999-01,60,2042
1999-01,61,2252
1999-01,62,2357
1999-01,63,2594
1999-01,64,2827
1999-01,65,2846
1999-01,66,3194
1999-01,67,3239
1999-01,68,3673
1999-01,69,3949
1999-01,70,4241
1999-01,71,4652
1999-01,72,4898
1999-01,73,5265
1999-01,74,5466
1999-01,75,5846
1999-01,76,6001
1999-01,77,6430
1999-01,78,6549
1999-01,79,6418
1999-01,80,6953
1999-01,81,6622
1999-01,82,6771
1999-01,83,6909
1999-01,84,6924
1999-01,85,6758
1999-01,86,6955
1999-01,87,6414
1999-01,88,6011
1999-01,89,5651
1999-01,90,5361
1999-01,91,4856
1999-01,92,4086
1999-01,93,3689
1999-01,94,3029
1999-01,95,2583
1999-01,96,2080
1999-01,97,1488
1999-01,98,1284
1999-01,99,822
1999-01,100,1788
1999-02,0,1775
1999-02,1,92
1999-02,2,80
1999-02,3,54
1999-02,4,34
1999-02,5,45
1999-02,6,35
1999-02,7,20
1999-02,8,39
1999-02,9,33
1999-02,10,38
1999-02,11,33
1999-02,12,36
1999-02,13,33
1999-02,14,44
1999-02,15,53
1999-02,16,43
1999-02,17,52
1999-02,18,63
