year,month,dead
1999,01,44
1999,02,37
1999,03,24
1999,04,32
1999,05,30
1999,06,30
1999,07,32
1999,08,38
1999,09,33
1999,10,36
1999,11,39
1999,12,31
2000,01,50
2000,02,30
2000,03,34
2000,04,26
2000,05,34
2000,06,33
2000,07,43
2000,08,29
2000,09,31
2000,10,36
2000,11,30
2000,12,28
2001,01,37
2001,02,44
2001,03,33
2001,04,32
2001,05,31
2001,06,23
2001,07,45
2001,08,37
2001,09,39
2001,10,32
2001,11,29
2001,12,34
2002,01,40
2002,02,27
2002,03,24
2002,04,32
2002,05,31
2002,06,25
2002,07,38
2002,08,30
2002,09,32
2002,10,39
2002,11,34
2002,12,27
2003,01,33
2003,02,48
2003,03,50
2003,04,49
2003,05,41
2003,06,57
2003,07,41
2003,08,46
2003,09,39
2003,10,37
2003,11,45
2003,12,59
2004,01,61
2004,02,42
2004,03,76
2004,04,46
2004,05,52
2004,06,64
2004,07,54
2004,08,67
2004,09,49
2004,10,58
2004,11,55
2004,12,73
2005,01,74
2005,02,61
2005,03,54
2005,04,55
2005,05,53
2005,06,61
2005,07,61
2005,08,62
2005,09,67
2005,10,61
2005,11,73
2005,12,78
2006,01,55
2006,02,65
2006,03,66
2006,04,67
2006,05,48
2006,06,60
2006,07,74
2006,08,74
2006,09,64
2006,10,62
2006,11,60
2006,12,65
2007,01,62
2007,02,53
2007,03,78
2007,04,66
2007,05,58
2007,06,69
2007,07,71
2007,08,57
2007,09,63
2007,10,63
2007,11,58
2007,12,71
2008,01,74
2008,02,86
2008,03,69
2008,04,61
2008,05,76
2008,06,55
2008,07,61
2008,08,62
2008,09,55
2008,10,63
2008,11,58
2008,12,75
2009,01,71
2009,02,68
2009,03,59
2009,04,79
2009,05,87
2009,06,93
2009,07,96
2009,08,63
2009,09,106
2009,10,98
2009,11,76
2009,12,64
2010,01,76
2010,02,78
2010,03,72
2010,04,59
2010,05,74
2010,06,56
2010,07,72
2010,08,61
2010,09,67
2010,10,68
2010,11,76
2010,12,66
2011,01,87
2011,02,85
2011,03,86
2011,04,72
2011,05,61
2011,06,69
2011,07,81
2011,08,75
2011,09,73
2011,10,89
2011,11,89
2011,12,64
2012,01,75
2012,02,72
2012,03,87
2012,04,76
2012,05,70
2012,06,86
2012,07,87
2012,08,83
2012,09,74
2012,10,97
2012,11,87
2012,12,96
2013,01,106
2013,02,84
2013,03,90
2013,04,91
2013,05,82
2013,06,91
2013,07,86
2013,08,99
2013,09,94
2013,10,97
2013,11,96
2013,12,122
2014,01,128
2014,02,93
2014,03,90
2014,04,104
2014,05,92
2014,06,95
2014,07,106
2014,08,80
2014,09,79
2014,10,81
2014,11,92
2014,12,83
2015,01,95
2015,02,79
2015,03,96
2015,04,93
2015,05,90
2015,06,99
2015,07,96
2015,08,85
2015,09,99
2015,10,109
2015,11,98
2015,12,101
2016,01,99
2016,02,84
2016,03,104
2016,04,104
2016,05,102
2016,06,105
2016,07,105
2016,08,106
2016,09,118
2016,10,105
2016,11,96
2016,12,103
2017,01,95
2017,02,93
2017,03,93
2017,04,93
2017,05,94
2017,06,99
2017,07,101
2017,08,113
2017,09,114
2017,10,106
2017,11,101
2017,12,106
2018,01,89
2018,02,85
2018,03,92
2018,04,74
2018,05,70
2018,06,64
2018,07,96
2018,08,97
2018,09,81
2018,10,70
2018,11,76
2018,12,79
2019,01,106
2019,02,83
2019,03,88
2019,04,88
2019,05,107
2019,06,90
2019,07,89
2019,08,105
2019,09,76
2019,10,88
2019,11,105
2019,12,78
2020,01,71
2020,02,80
2020,03,120
2020,04,115
2020,05,123
2020,06,113
2020,07,114
2020,08,121
2020,09,115
2020,10,99
2020,11,103
2020,12,114
2021,01,132
2021,02,94
2021,03,107
2021,04,113
2021,05,122
2021,06,92
2021,07,122
2021,08,207
2021,09,235
2021,10,159
2021,11,133
2021,12,171
2022,01,171
2022,02,109
2022,03,97
2022,04,85
2022,05,86
2022,06,111
2022,07,110
2022,08,95
2022,09,91
2022,10,96
2022,11,112
2022,12,101
2023,01,95
2023,02,79
2023,03,88
2023,04,82
2023,05,68
2023,06,83
2023,07,92
2023,08,60
2023,09,93
2023,10,80
2023,11,74
2023,12,109
2024,01,99
2024,02,86
2024,03,76
