type,cause,month,dead
ucd,O00-O99,1999-01,44
ucd,O00-O99,1999-02,37
ucd,O00-O99,1999-03,24
ucd,O00-O99,1999-04,32
ucd,O00-O99,1999-05,30
ucd,O00-O99,1999-06,30
ucd,O00-O99,1999-07,32
ucd,O00-O99,1999-08,38
ucd,O00-O99,1999-09,33
ucd,O00-O99,1999-10,36
ucd,O00-O99,1999-11,39
ucd,O00-O99,1999-12,31
ucd,O00-O99,2000-01,50
ucd,O00-O99,2000-02,30
ucd,O00-O99,2000-03,34
ucd,O00-O99,2000-04,26
ucd,O00-O99,2000-05,34
ucd,O00-O99,2000-06,33
ucd,O00-O99,2000-07,43
ucd,O00-O99,2000-08,29
ucd,O00-O99,2000-09,31
ucd,O00-O99,2000-10,36
ucd,O00-O99,2000-11,30
ucd,O00-O99,2000-12,28
ucd,O00-O99,2001-01,37
ucd,O00-O99,2001-02,44
ucd,O00-O99,2001-03,33
ucd,O00-O99,2001-04,32
ucd,O00-O99,2001-05,31
ucd,O00-O99,2001-06,23
ucd,O00-O99,2001-07,45
ucd,O00-O99,2001-08,37
ucd,O00-O99,2001-09,39
ucd,O00-O99,2001-10,32
ucd,O00-O99,2001-11,29
ucd,O00-O99,2001-12,34
ucd,O00-O99,2002-01,40
ucd,O00-O99,2002-02,27
ucd,O00-O99,2002-03,24
ucd,O00-O99,2002-04,32
ucd,O00-O99,2002-05,31
ucd,O00-O99,2002-06,25
ucd,O00-O99,2002-07,38
ucd,O00-O99,2002-08,30
ucd,O00-O99,2002-09,32
ucd,O00-O99,2002-10,39
ucd,O00-O99,2002-11,34
ucd,O00-O99,2002-12,27
ucd,O00-O99,2003-01,33
ucd,O00-O99,2003-02,48
ucd,O00-O99,2003-03,50
ucd,O00-O99,2003-04,49
ucd,O00-O99,2003-05,41
ucd,O00-O99,2003-06,57
ucd,O00-O99,2003-07,41
ucd,O00-O99,2003-08,46
ucd,O00-O99,2003-09,39
ucd,O00-O99,2003-10,37
ucd,O00-O99,2003-11,45
ucd,O00-O99,2003-12,59
ucd,O00-O99,2004-01,61
ucd,O00-O99,2004-02,42
ucd,O00-O99,2004-03,76
ucd,O00-O99,2004-04,46
ucd,O00-O99,2004-05,52
ucd,O00-O99,2004-06,64
ucd,O00-O99,2004-07,54
ucd,O00-O99,2004-08,67
ucd,O00-O99,2004-09,49
ucd,O00-O99,2004-10,58
ucd,O00-O99,2004-11,55
ucd,O00-O99,2004-12,73
ucd,O00-O99,2005-01,74
ucd,O00-O99,2005-02,61
ucd,O00-O99,2005-03,54
ucd,O00-O99,2005-04,55
ucd,O00-O99,2005-05,53
ucd,O00-O99,2005-06,61
ucd,O00-O99,2005-07,61
ucd,O00-O99,2005-08,62
ucd,O00-O99,2005-09,67
ucd,O00-O99,2005-10,61
ucd,O00-O99,2005-11,73
ucd,O00-O99,2005-12,78
ucd,O00-O99,2006-01,55
ucd,O00-O99,2006-02,65
ucd,O00-O99,2006-03,66
ucd,O00-O99,2006-04,67
ucd,O00-O99,2006-05,48
ucd,O00-O99,2006-06,60
ucd,O00-O99,2006-07,74
ucd,O00-O99,2006-08,74
