cause,region,year,dead,pop
ucod,Northeast,1999,64,53343775
ucod,Northeast,2000,62,53594378
ucod,Northeast,2001,76,53915522
ucod,Northeast,2002,53,54143915
ucod,Northeast,2003,125,54334453
ucod,Northeast,2004,166,54423533
ucod,Northeast,2005,150,54451230
ucod,Northeast,2006,187,54522659
ucod,Northeast,2007,196,54653362
ucod,Northeast,2008,187,54875926
ucod,Northeast,2009,230,55133101
ucod,Northeast,2010,212,55317240
ucod,Northeast,2011,229,55521598
ucod,Northeast,2012,223,55761091
ucod,Northeast,2013,250,55943073
ucod,Northeast,2014,258,56152333
ucod,Northeast,2015,243,56283891
ucod,Northeast,2016,277,56209510
ucod,Northeast,2017,278,56470581
ucod,Northeast,2018,258,56111079
ucod,Northeast,2019,286,55982803
ucod,Northeast,2020,170,55849869
ucod,Midwest,1999,85,64100061
ucod,Midwest,2000,92,64392776
ucod,Midwest,2001,74,64776531
ucod,Midwest,2002,77,65018293
ucod,Midwest,2003,119,65276954
ucod,Midwest,2004,160,65532305
ucod,Midwest,2005,203,65751872
ucod,Midwest,2006,193,66028555
ucod,Midwest,2007,232,66293689
ucod,Midwest,2008,246,66523935
ucod,Midwest,2009,295,66748437
ucod,Midwest,2010,345,66927001
ucod,Midwest,2011,413,67158835
ucod,Midwest,2012,364,67316297
ucod,Midwest,2013,356,67547890
ucod,Midwest,2014,317,67745108
ucod,Midwest,2015,360,67907403
ucod,Midwest,2016,413,67941429
ucod,Midwest,2017,415,68179351
ucod,Midwest,2018,367,68308744
ucod,Midwest,2019,393,68329004
ucod,Midwest,2020,266,68316744
ucod,South,1999,205,99164460
ucod,South,2000,194,100236820
ucod,South,2001,208,101849575
ucod,South,2002,195,103150787
ucod,South,2003,300,104380188
ucod,South,2004,305,105883977
ucod,South,2005,437,107479771
ucod,South,2006,395,109076933
ucod,South,2007,423,110688742
ucod,South,2008,447,112184930
ucod,South,2009,563,113548615
ucod,South,2010,511,114555744
ucod,South,2011,534,116046736
ucod,South,2012,665,117257221
ucod,South,2013,801,118383453
ucod,South,2014,727,119771934
ucod,South,2015,813,121182847
ucod,South,2016,860,122319574
ucod,South,2017,888,123658624
ucod,South,2018,796,124753948
ucod,South,2019,833,125580448
ucod,South,2020,659,126662754
ucod,West,1999,86,62431872
ucod,West,2000,104,63197932
ucod,West,2001,103,64427327
ucod,West,2002,102,65312198
ucod,West,2003,166,66116338
ucod,West,2004,282,66965483
ucod,West,2005,251,67833726
ucod,West,2006,270,68751765
ucod,West,2007,245,69595414
ucod,West,2008,257,70509175
ucod,West,2009,263,71341376
ucod,West,2010,245,71945553
ucod,West,2011,245,72864748
ucod,West,2012,259,73579431
ucod,West,2013,279,74254423
ucod,West,2014,299,75187681
ucod,West,2015,262,76044679
ucod,West,2016,321,76657000
ucod,West,2017,300,77410622
ucod,West,2018,306,77993663
ucod,West,2019,308,78347268
ucod,West,2020,231,78654756
mcod,Northeast,1999,61,53343775
mcod,Northeast,2000,53,53594378
mcod,Northeast,2001,72,53915522
mcod,Northeast,2002,49,54143915
mcod,Northeast,2003,96,54334453
mcod,Northeast,2004,138,54423533
mcod,Northeast,2005,112,54451230
mcod,Northeast,2006,144,54522659
mcod,Northeast,2007,143,54653362
mcod,Northeast,2008,146,54875926
mcod,Northeast,2009,158,55133101
mcod,Northeast,2010,147,55317240
mcod,Northeast,2011,161,55521598
mcod,Northeast,2012,142,55761091
mcod,Northeast,2013,173,55943073
mcod,Northeast,2014,172,56152333
mcod,Northeast,2015,155,56283891
mcod,Northeast,2016,188,56209510
mcod,Northeast,2017,162,56470581
mcod,Northeast,2018,154,56111079
mcod,Northeast,2019,174,55982803
mcod,Northeast,2020,169,55849869
mcod,Midwest,1999,76,64100061
mcod,Midwest,2000,83,64392776
mcod,Midwest,2001,64,64776531
mcod,Midwest,2002,62,65018293
mcod,Midwest,2003,76,65276954
mcod,Midwest,2004,115,65532305
mcod,Midwest,2005,140,65751872
mcod,Midwest,2006,131,66028555
mcod,Midwest,2007,155,66293689
mcod,Midwest,2008,160,66523935
mcod,Midwest,2009,212,66748437
mcod,Midwest,2010,183,66927001
mcod,Midwest,2011,231,67158835
mcod,Midwest,2012,226,67316297
mcod,Midwest,2013,219,67547890
mcod,Midwest,2014,211,67745108
mcod,Midwest,2015,231,67907403
mcod,Midwest,2016,248,67941429
mcod,Midwest,2017,236,68179351
mcod,Midwest,2018,176,68308744
mcod,Midwest,2019,205,68329004
