age,type,year,month,dead
all,ucd,1999,01,92
all,ucd,1999,02,88
all,ucd,1999,03,87
all,ucd,1999,04,94
all,ucd,1999,05,75
all,ucd,1999,06,55
all,ucd,1999,07,85
all,ucd,1999,08,77
all,ucd,1999,09,59
all,ucd,1999,10,89
all,ucd,1999,11,58
all,ucd,1999,12,61
all,ucd,2000,01,95
all,ucd,2000,02,77
all,ucd,2000,03,78
all,ucd,2000,04,78
all,ucd,2000,05,75
all,ucd,2000,06,59
all,ucd,2000,07,91
all,ucd,2000,08,84
all,ucd,2000,09,73
all,ucd,2000,10,85
all,ucd,2000,11,76
all,ucd,2000,12,80
all,ucd,2001,01,78
all,ucd,2001,02,77
all,ucd,2001,03,82
all,ucd,2001,04,77
all,ucd,2001,05,76
all,ucd,2001,06,59
all,ucd,2001,07,76
all,ucd,2001,08,74
all,ucd,2001,09,72
all,ucd,2001,10,75
all,ucd,2001,11,67
all,ucd,2001,12,90
all,ucd,2002,01,85
all,ucd,2002,02,64
all,ucd,2002,03,83
all,ucd,2002,04,84
all,ucd,2002,05,83
all,ucd,2002,06,88
all,ucd,2002,07,73
all,ucd,2002,08,83
all,ucd,2002,09,63
all,ucd,2002,10,70
all,ucd,2002,11,75
all,ucd,2002,12,72
all,ucd,2003,01,84
all,ucd,2003,02,68
all,ucd,2003,03,73
all,ucd,2003,04,69
all,ucd,2003,05,74
all,ucd,2003,06,76
all,ucd,2003,07,75
all,ucd,2003,08,83
all,ucd,2003,09,76
all,ucd,2003,10,78
all,ucd,2003,11,70
all,ucd,2003,12,98
all,ucd,2004,01,77
all,ucd,2004,02,70
all,ucd,2004,03,77
all,ucd,2004,04,76
all,ucd,2004,05,75
all,ucd,2004,06,68
all,ucd,2004,07,76
all,ucd,2004,08,80
all,ucd,2004,09,60
all,ucd,2004,10,68
all,ucd,2004,11,67
all,ucd,2004,12,88
all,ucd,2005,01,84
all,ucd,2005,02,78
all,ucd,2005,03,77
all,ucd,2005,04,85
all,ucd,2005,05,56
all,ucd,2005,06,67
all,ucd,2005,07,72
all,ucd,2005,08,70
all,ucd,2005,09,63
all,ucd,2005,10,98
all,ucd,2005,11,62
all,ucd,2005,12,85
all,ucd,2006,01,63
all,ucd,2006,02,64
all,ucd,2006,03,85
all,ucd,2006,04,77
all,ucd,2006,05,59
all,ucd,2006,06,55
all,ucd,2006,07,66
all,ucd,2006,08,80
all,ucd,2006,09,50
all,ucd,2006,10,69
all,ucd,2006,11,85
all,ucd,2006,12,69
all,ucd,2007,01,65
all,ucd,2007,02,85
all,ucd,2007,03,64
all,ucd,2007,04,86
all,ucd,2007,05,59
all,ucd,2007,06,79
all,ucd,2007,07,76
all,ucd,2007,08,60
all,ucd,2007,09,62
all,ucd,2007,10,74
all,ucd,2007,11,67
all,ucd,2007,12,65
all,ucd,2008,01,79
all,ucd,2008,02,80
all,ucd,2008,03,67
all,ucd,2008,04,76
all,ucd,2008,05,70
all,ucd,2008,06,63
all,ucd,2008,07,70
all,ucd,2008,08,55
all,ucd,2008,09,55
all,ucd,2008,10,83
all,ucd,2008,11,62
all,ucd,2008,12,71
all,ucd,2009,01,76
all,ucd,2009,02,68
all,ucd,2009,03,69
all,ucd,2009,04,61
all,ucd,2009,05,73
all,ucd,2009,06,72
all,ucd,2009,07,52
all,ucd,2009,08,46
all,ucd,2009,09,66
all,ucd,2009,10,72
all,ucd,2009,11,64
all,ucd,2009,12,56
all,ucd,2010,01,71
all,ucd,2010,02,73
all,ucd,2010,03,57
all,ucd,2010,04,69
all,ucd,2010,05,56
all,ucd,2010,06,73
all,ucd,2010,07,67
all,ucd,2010,08,51
all,ucd,2010,09,59
all,ucd,2010,10,71
all,ucd,2010,11,61
all,ucd,2010,12,79
all,ucd,2011,01,77
all,ucd,2011,02,60
all,ucd,2011,03,65
all,ucd,2011,04,63
all,ucd,2011,05,57
all,ucd,2011,06,69
all,ucd,2011,07,71
all,ucd,2011,08,60
all,ucd,2011,09,66
all,ucd,2011,10,57
all,ucd,2011,11,56
all,ucd,2011,12,60
all,ucd,2012,01,64
all,ucd,2012,02,71
all,ucd,2012,03,83
all,ucd,2012,04,61
all,ucd,2012,05,74
all,ucd,2012,06,46
all,ucd,2012,07,54
all,ucd,2012,08,66
all,ucd,2012,09,61
all,ucd,2012,10,61
all,ucd,2012,11,63
all,ucd,2012,12,64
all,ucd,2013,01,80
all,ucd,2013,02,83
all,ucd,2013,03,71
all,ucd,2013,04,81
all,ucd,2013,05,52
all,ucd,2013,06,71
all,ucd,2013,07,57
all,ucd,2013,08,62
all,ucd,2013,09,65
all,ucd,2013,10,44
all,ucd,2013,11,53
all,ucd,2013,12,56
all,ucd,2014,01,67
all,ucd,2014,02,72
all,ucd,2014,03,78
all,ucd,2014,04,55
all,ucd,2014,05,64
all,ucd,2014,06,65
all,ucd,2014,07,57
all,ucd,2014,08,56
all,ucd,2014,09,63
all,ucd,2014,10,68
all,ucd,2014,11,63
all,ucd,2014,12,44
all,ucd,2015,01,86
all,ucd,2015,02,57
all,ucd,2015,03,67
all,ucd,2015,04,78
all,ucd,2015,05,62
all,ucd,2015,06,59
all,ucd,2015,07,61
all,ucd,2015,08,60
all,ucd,2015,09,53
all,ucd,2015,10,69
all,ucd,2015,11,64
all,ucd,2015,12,71
all,ucd,2016,01,66
all,ucd,2016,02,61
all,ucd,2016,03,84
all,ucd,2016,04,70
all,ucd,2016,05,58
all,ucd,2016,06,61
all,ucd,2016,07,74
all,ucd,2016,08,62
all,ucd,2016,09,61
all,ucd,2016,10,72
all,ucd,2016,11,65
all,ucd,2016,12,60
all,ucd,2017,01,75
all,ucd,2017,02,74
all,ucd,2017,03,70
all,ucd,2017,04,68
all,ucd,2017,05,58
all,ucd,2017,06,65
all,ucd,2017,07,53
all,ucd,2017,08,68
all,ucd,2017,09,59
all,ucd,2017,10,69
all,ucd,2017,11,62
all,ucd,2017,12,57
all,ucd,2018,01,69
all,ucd,2018,02,75
all,ucd,2018,03,62
all,ucd,2018,04,61
all,ucd,2018,05,63
all,ucd,2018,06,62
all,ucd,2018,07,63
all,ucd,2018,08,63
all,ucd,2018,09,55
all,ucd,2018,10,76
all,ucd,2018,11,62
all,ucd,2018,12,70
all,ucd,2019,01,77
all,ucd,2019,02,61
all,ucd,2019,03,67
all,ucd,2019,04,69
all,ucd,2019,05,60
all,ucd,2019,06,72
all,ucd,2019,07,54
all,ucd,2019,08,57
all,ucd,2019,09,55
all,ucd,2019,10,57
all,ucd,2019,11,70
all,ucd,2019,12,69
all,ucd,2020,01,70
all,ucd,2020,02,63
all,ucd,2020,03,60
all,ucd,2020,04,81
all,ucd,2020,05,59
all,ucd,2020,06,48
all,ucd,2020,07,74
all,ucd,2020,08,73
all,ucd,2020,09,61
all,ucd,2020,10,79
all,ucd,2020,11,58
all,ucd,2020,12,77
all,ucd,2021,01,70
all,ucd,2021,02,61
all,ucd,2021,03,78
all,ucd,2021,04,73
all,ucd,2021,05,74
all,ucd,2021,06,66
all,ucd,2021,07,70
all,ucd,2021,08,79
all,ucd,2021,09,65
all,ucd,2021,10,75
all,ucd,2021,11,79
all,ucd,2021,12,76
all,ucd,2022,01,73
all,ucd,2022,02,68
all,ucd,2022,03,70
all,ucd,2022,04,68
all,ucd,2022,05,55
all,ucd,2022,06,54
all,ucd,2022,07,72
all,ucd,2022,08,69
all,ucd,2022,09,65
all,ucd,2022,10,81
all,ucd,2022,11,82
all,ucd,2022,12,78
all,ucd,2023,01,67
all,ucd,2023,02,67
all,ucd,2023,03,62
all,ucd,2023,04,61
all,ucd,2023,05,63
all,ucd,2023,06,58
all,ucd,2023,07,58
all,ucd,2023,08,58
all,ucd,2023,09,66
all,ucd,2023,10,67
all,ucd,2023,11,62
all,ucd,2023,12,66
all,ucd,2024,01,70
all,ucd,2024,02,54
all,ucd,2024,03,80
all,ucd,2024,04,70
all,ucd,2024,05,56
all,ucd,2024,06,52
all,ucd,2024,07,42
all,ucd,2024,08,52
all,ucd,2024,09,66
all,ucd,2024,10,66
all,ucd,2024,11,64
all,ucd,2024,12,48
all,mcd,1999,01,515
all,mcd,1999,02,487
all,mcd,1999,03,545
all,mcd,1999,04,500
all,mcd,1999,05,475
all,mcd,1999,06,436
all,mcd,1999,07,481
all,mcd,1999,08,472
all,mcd,1999,09,431
all,mcd,1999,10,513
all,mcd,1999,11,438
all,mcd,1999,12,466
all,mcd,2000,01,540
all,mcd,2000,02,466
all,mcd,2000,03,508
all,mcd,2000,04,433
all,mcd,2000,05,456
all,mcd,2000,06,422
all,mcd,2000,07,450
all,mcd,2000,08,438
all,mcd,2000,09,388
all,mcd,2000,10,443
all,mcd,2000,11,441
all,mcd,2000,12,474
all,mcd,2001,01,487
all,mcd,2001,02,439
all,mcd,2001,03,496
all,mcd,2001,04,465
all,mcd,2001,05,464
all,mcd,2001,06,405
all,mcd,2001,07,440
all,mcd,2001,08,407
all,mcd,2001,09,415
all,mcd,2001,10,451
all,mcd,2001,11,447
all,mcd,2001,12,452
all,mcd,2002,01,515
all,mcd,2002,02,438
all,mcd,2002,03,471
all,mcd,2002,04,442
all,mcd,2002,05,439
all,mcd,2002,06,441
all,mcd,2002,07,431
all,mcd,2002,08,411
all,mcd,2002,09,444
all,mcd,2002,10,418
all,mcd,2002,11,418
all,mcd,2002,12,431
all,mcd,2003,01,476
all,mcd,2003,02,421
all,mcd,2003,03,450
all,mcd,2003,04,441
all,mcd,2003,05,412
all,mcd,2003,06,431
all,mcd,2003,07,480
all,mcd,2003,08,467
all,mcd,2003,09,442
all,mcd,2003,10,476
all,mcd,2003,11,445
all,mcd,2003,12,516
all,mcd,2004,01,521
all,mcd,2004,02,459
all,mcd,2004,03,508
all,mcd,2004,04,427
all,mcd,2004,05,448
all,mcd,2004,06,443
all,mcd,2004,07,441
all,mcd,2004,08,456
all,mcd,2004,09,445
all,mcd,2004,10,439
all,mcd,2004,11,467
all,mcd,2004,12,516
all,mcd,2005,01,519
all,mcd,2005,02,481
all,mcd,2005,03,517
all,mcd,2005,04,488
all,mcd,2005,05,444
all,mcd,2005,06,456
all,mcd,2005,07,478
all,mcd,2005,08,443
all,mcd,2005,09,462
all,mcd,2005,10,467
all,mcd,2005,11,444
all,mcd,2005,12,461
all,mcd,2006,01,478
all,mcd,2006,02,419
all,mcd,2006,03,520
all,mcd,2006,04,475
all,mcd,2006,05,494
all,mcd,2006,06,429
all,mcd,2006,07,430
all,mcd,2006,08,487
all,mcd,2006,09,453
all,mcd,2006,10,498
all,mcd,2006,11,485
all,mcd,2006,12,473
