year,month,mcd,mcdandcovid
1999,1,515,515
1999,2,487,487
1999,3,545,545
1999,4,500,500
1999,5,475,475
1999,6,436,436
1999,7,481,481
1999,8,472,472
1999,9,431,431
1999,10,513,513
1999,11,438,438
1999,12,466,466
2000,1,540,540
2000,2,466,466
2000,3,508,508
2000,4,433,433
2000,5,456,456
2000,6,422,422
2000,7,450,450
2000,8,438,438
2000,9,388,388
2000,10,443,443
2000,11,441,441
2000,12,474,474
2001,1,487,487
2001,2,439,439
2001,3,496,496
2001,4,465,465
2001,5,464,464
2001,6,405,405
2001,7,440,440
2001,8,407,407
2001,9,415,415
2001,10,451,451
2001,11,447,447
2001,12,452,452
2002,1,515,515
2002,2,438,438
2002,3,471,471
2002,4,442,442
2002,5,439,439
2002,6,441,441
2002,7,431,431
2002,8,411,411
2002,9,444,444
2002,10,418,418
2002,11,418,418
2002,12,431,431
2003,1,476,476
2003,2,421,421
2003,3,450,450
2003,4,441,441
2003,5,412,412
2003,6,431,431
2003,7,480,480
2003,8,467,467
2003,9,442,442
2003,10,476,476
2003,11,445,445
2003,12,516,516
2004,1,521,521
2004,2,459,459
2004,3,508,508
2004,4,427,427
2004,5,448,448
2004,6,443,443
2004,7,441,441
2004,8,456,456
2004,9,445,445
2004,10,439,439
2004,11,467,467
2004,12,516,516
2005,1,519,519
2005,2,481,481
2005,3,517,517
2005,4,488,488
2005,5,444,444
2005,6,456,456
2005,7,478,478
2005,8,443,443
2005,9,462,462
2005,10,467,467
2005,11,444,444
2005,12,461,461
2006,1,478,478
2006,2,419,419
2006,3,520,520
2006,4,475,475
2006,5,494,494
2006,6,429,429
2006,7,430,430
2006,8,487,487
2006,9,453,453
2006,10,498,498
2006,11,485,485
2006,12,473,473
2007,1,517,517
2007,2,489,489
2007,3,478,478
2007,4,480,480
2007,5,463,463
2007,6,471,471
2007,7,477,477
2007,8,477,477
2007,9,465,465
2007,10,481,481
2007,11,478,478
2007,12,509,509
2008,1,521,521
2008,2,536,536
2008,3,547,547
2008,4,490,490
2008,5,534,534
2008,6,472,472
2008,7,473,473
2008,8,459,459
2008,9,453,453
2008,10,514,514
2008,11,482,482
2008,12,520,520
2009,1,572,572
2009,2,491,491
2009,3,540,540
2009,4,452,452
2009,5,520,520
2009,6,493,493
2009,7,521,521
2009,8,495,495
2009,9,509,509
2009,10,513,513
2009,11,494,494
2009,12,524,524
2010,1,587,587
2010,2,508,508
2010,3,554,554
2010,4,492,492
2010,5,504,504
2010,6,487,487
2010,7,566,566
2010,8,497,497
2010,9,499,499
2010,10,563,563
2010,11,558,558
2010,12,562,562
2011,1,582,582
2011,2,515,515
2011,3,603,603
2011,4,578,578
2011,5,541,541
2011,6,562,562
2011,7,522,522
2011,8,540,540
2011,9,520,520
2011,10,502,502
2011,11,524,524
2011,12,585,585
2012,1,550,550
2012,2,570,570
2012,3,601,601
2012,4,536,536
2012,5,545,545
2012,6,510,510
2012,7,562,562
2012,8,574,574
2012,9,580,580
2012,10,599,599
2012,11,579,579
2012,12,599,599
2013,1,670,670
2013,2,618,618
2013,3,608,608
2013,4,585,585
2013,5,526,526
2013,6,574,574
2013,7,530,530
2013,8,546,546
2013,9,487,487
2013,10,562,562
2013,11,571,571
2013,12,605,605
2014,1,616,616
2014,2,551,551
2014,3,621,621
2014,4,529,529
2014,5,577,577
2014,6,533,533
