age,date,year,week,dead
0,2018-01-06,2018,1,358
0,2018-01-13,2018,2,386
0,2018-01-20,2018,3,417
0,2018-01-27,2018,4,473
0,2018-02-03,2018,5,462
0,2018-02-10,2018,6,405
0,2018-02-17,2018,7,442
0,2018-02-24,2018,8,408
0,2018-03-03,2018,9,394
0,2018-03-10,2018,10,440
0,2018-03-17,2018,11,403
0,2018-03-24,2018,12,440
0,2018-03-31,2018,13,401
0,2018-04-07,2018,14,413
0,2018-04-14,2018,15,399
0,2018-04-21,2018,16,436
0,2018-04-28,2018,17,396
0,2018-05-05,2018,18,403
0,2018-05-12,2018,19,444
0,2018-05-19,2018,20,385
0,2018-05-26,2018,21,379
0,2018-06-02,2018,22,410
0,2018-06-09,2018,23,385
0,2018-06-16,2018,24,399
0,2018-06-23,2018,25,410
0,2018-06-30,2018,26,389
0,2018-07-07,2018,27,435
0,2018-07-14,2018,28,433
0,2018-07-21,2018,29,402
0,2018-07-28,2018,30,410
0,2018-08-04,2018,31,389
0,2018-08-11,2018,32,386
0,2018-08-18,2018,33,400
0,2018-08-25,2018,34,436
0,2018-09-01,2018,35,410
0,2018-09-08,2018,36,415
0,2018-09-15,2018,37,407
0,2018-09-22,2018,38,442
0,2018-09-29,2018,39,443
0,2018-10-06,2018,40,420
0,2018-10-13,2018,41,411
0,2018-10-20,2018,42,431
0,2018-10-27,2018,43,424
0,2018-11-03,2018,44,421
0,2018-11-10,2018,45,406
0,2018-11-17,2018,46,416
0,2018-11-24,2018,47,382
0,2018-12-01,2018,48,372
0,2018-12-08,2018,49,393
0,2018-12-15,2018,50,389
0,2018-12-22,2018,51,393
0,2018-12-29,2018,52,411
0,2019-01-05,2019,1,395
0,2019-01-12,2019,2,388
0,2019-01-19,2019,3,383
0,2019-01-26,2019,4,379
0,2019-02-02,2019,5,401
0,2019-02-09,2019,6,422
0,2019-02-16,2019,7,387
0,2019-02-23,2019,8,394
0,2019-03-02,2019,9,455
0,2019-03-09,2019,10,425
0,2019-03-16,2019,11,397
0,2019-03-23,2019,12,417
0,2019-03-30,2019,13,394
0,2019-04-06,2019,14,372
0,2019-04-13,2019,15,419
0,2019-04-20,2019,16,407
0,2019-04-27,2019,17,388
0,2019-05-04,2019,18,432
0,2019-05-11,2019,19,388
