cause,date,dead
I45-51 (cardiac deaths),2018-01-06,364
I45-51 (cardiac deaths),2018-01-13,437
I45-51 (cardiac deaths),2018-01-20,385
I45-51 (cardiac deaths),2018-01-27,397
I45-51 (cardiac deaths),2018-02-03,364
I45-51 (cardiac deaths),2018-02-10,394
I45-51 (cardiac deaths),2018-02-17,406
I45-51 (cardiac deaths),2018-02-24,364
I45-51 (cardiac deaths),2018-03-03,400
I45-51 (cardiac deaths),2018-03-10,392
I45-51 (cardiac deaths),2018-03-17,407
I45-51 (cardiac deaths),2018-03-24,356
I45-51 (cardiac deaths),2018-03-31,345
I45-51 (cardiac deaths),2018-04-07,371
I45-51 (cardiac deaths),2018-04-14,362
I45-51 (cardiac deaths),2018-04-21,332
I45-51 (cardiac deaths),2018-04-28,344
I45-51 (cardiac deaths),2018-05-05,365
I45-51 (cardiac deaths),2018-05-12,402
I45-51 (cardiac deaths),2018-05-19,353
I45-51 (cardiac deaths),2018-05-26,342
I45-51 (cardiac deaths),2018-06-02,368
I45-51 (cardiac deaths),2018-06-09,373
I45-51 (cardiac deaths),2018-06-16,366
I45-51 (cardiac deaths),2018-06-23,340
I45-51 (cardiac deaths),2018-06-30,357
I45-51 (cardiac deaths),2018-07-07,340
I45-51 (cardiac deaths),2018-07-14,352
I45-51 (cardiac deaths),2018-07-21,368
I45-51 (cardiac deaths),2018-07-28,363
I45-51 (cardiac deaths),2018-08-04,340
I45-51 (cardiac deaths),2018-08-11,392
I45-51 (cardiac deaths),2018-08-18,362
I45-51 (cardiac deaths),2018-08-25,331
I45-51 (cardiac deaths),2018-09-01,335
I45-51 (cardiac deaths),2018-09-08,383
I45-51 (cardiac deaths),2018-09-15,377
I45-51 (cardiac deaths),2018-09-22,350
I45-51 (cardiac deaths),2018-09-29,340
I45-51 (cardiac deaths),2018-10-06,345
I45-51 (cardiac deaths),2018-10-13,365
I45-51 (cardiac deaths),2018-10-20,367
I45-51 (cardiac deaths),2018-10-27,390
I45-51 (cardiac deaths),2018-11-03,389
I45-51 (cardiac deaths),2018-11-10,368
I45-51 (cardiac deaths),2018-11-17,370
I45-51 (cardiac deaths),2018-11-24,377
