cause,date,dead
I45-I51 (cardiac deaths),2018-01-06,168
I45-I51 (cardiac deaths),2018-01-13,203
I45-I51 (cardiac deaths),2018-01-20,172
I45-I51 (cardiac deaths),2018-01-27,157
I45-I51 (cardiac deaths),2018-02-03,161
I45-I51 (cardiac deaths),2018-02-10,167
I45-I51 (cardiac deaths),2018-02-17,191
I45-I51 (cardiac deaths),2018-02-24,138
I45-I51 (cardiac deaths),2018-03-03,167
I45-I51 (cardiac deaths),2018-03-10,167
I45-I51 (cardiac deaths),2018-03-17,154
I45-I51 (cardiac deaths),2018-03-24,138
I45-I51 (cardiac deaths),2018-03-31,128
I45-I51 (cardiac deaths),2018-04-07,152
I45-I51 (cardiac deaths),2018-04-14,160
I45-I51 (cardiac deaths),2018-04-21,149
I45-I51 (cardiac deaths),2018-04-28,132
I45-I51 (cardiac deaths),2018-05-05,161
I45-I51 (cardiac deaths),2018-05-12,180
I45-I51 (cardiac deaths),2018-05-19,154
I45-I51 (cardiac deaths),2018-05-26,177
I45-I51 (cardiac deaths),2018-06-02,158
I45-I51 (cardiac deaths),2018-06-09,157
I45-I51 (cardiac deaths),2018-06-16,142
I45-I51 (cardiac deaths),2018-06-23,153
I45-I51 (cardiac deaths),2018-06-30,153
I45-I51 (cardiac deaths),2018-07-07,129
I45-I51 (cardiac deaths),2018-07-14,141
I45-I51 (cardiac deaths),2018-07-21,146
I45-I51 (cardiac deaths),2018-07-28,166
I45-I51 (cardiac deaths),2018-08-04,137
I45-I51 (cardiac deaths),2018-08-11,162
I45-I51 (cardiac deaths),2018-08-18,151
I45-I51 (cardiac deaths),2018-08-25,171
I45-I51 (cardiac deaths),2018-09-01,154
I45-I51 (cardiac deaths),2018-09-08,162
I45-I51 (cardiac deaths),2018-09-15,175
I45-I51 (cardiac deaths),2018-09-22,148
I45-I51 (cardiac deaths),2018-09-29,136
I45-I51 (cardiac deaths),2018-10-06,154
I45-I51 (cardiac deaths),2018-10-13,139
I45-I51 (cardiac deaths),2018-10-20,135
I45-I51 (cardiac deaths),2018-10-27,179
I45-I51 (cardiac deaths),2018-11-03,187
I45-I51 (cardiac deaths),2018-11-10,169
I45-I51 (cardiac deaths),2018-11-17,140
I45-I51 (cardiac deaths),2018-11-24,171
I45-I51 (cardiac deaths),2018-12-01,150
I45-I51 (cardiac deaths),2018-12-08,152
I45-I51 (cardiac deaths),2018-12-15,167
I45-I51 (cardiac deaths),2018-12-22,142
I45-I51 (cardiac deaths),2018-12-29,178
I45-I51 (cardiac deaths),2019-01-05,148
I45-I51 (cardiac deaths),2019-01-12,162
I45-I51 (cardiac deaths),2019-01-19,144
I45-I51 (cardiac deaths),2019-01-26,157
I45-I51 (cardiac deaths),2019-02-02,179
I45-I51 (cardiac deaths),2019-02-09,184
I45-I51 (cardiac deaths),2019-02-16,165
I45-I51 (cardiac deaths),2019-02-23,158
I45-I51 (cardiac deaths),2019-03-02,173
I45-I51 (cardiac deaths),2019-03-09,145
I45-I51 (cardiac deaths),2019-03-16,145
I45-I51 (cardiac deaths),2019-03-23,188
I45-I51 (cardiac deaths),2019-03-30,169
I45-I51 (cardiac deaths),2019-04-06,156
I45-I51 (cardiac deaths),2019-04-13,158
I45-I51 (cardiac deaths),2019-04-20,171
I45-I51 (cardiac deaths),2019-04-27,137
