date,cause,code,dead
2018-01,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,26
2018-01,"Cutaneous abscess, furuncle and carbuncle of buttock",L02.3,13
2018-01,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,28
2018-01,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,55
2018-01,Cellulitis of other parts of limb,L03.1,245
2018-01,Cellulitis of face,L03.2,10
2018-01,Cellulitis of trunk,L03.3,22
2018-01,Cellulitis of other sites,L03.8,10
2018-01,"Cellulitis, unspecified",L03.9,328
2018-01,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,197
2018-01,Bullous pemphigoid,L12.0,31
2018-01,"Dermatitis, unspecified",L30.9,15
2018-01,Arthropathic psoriasis,L40.5,18
2018-01,"Psoriasis, unspecified",L40.9,20
2018-01,Bullous erythema multiforme,L51.1,12
2018-01,"Erythematous condition, unspecified",L53.9,16
2018-01,Stage II decubitus ulcer,L89.1,17
2018-01,Stage III decubitus ulcer,L89.2,25
2018-01,Stage IV decubitus ulcer,L89.3,116
2018-01,"Decubitus ulcer and pressure area, unspecified",L89.9,756
2018-01,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,13
2018-01,Discoid lupus erythematosus,L93.0,105
2018-01,"Ulcer of lower limb, not elsewhere classified",L97,106
2018-01,"Chronic ulcer of skin, not elsewhere classified",L98.4,207
2018-01,Other specified disorders of skin and subcutaneous tissue,L98.8,27
2018-01,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,39
2018-02,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,22
2018-02,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,28
2018-02,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,41
2018-02,Cellulitis of other parts of limb,L03.1,225
2018-02,Cellulitis of trunk,L03.3,12
2018-02,"Cellulitis, unspecified",L03.9,282
2018-02,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,175
2018-02,Bullous pemphigoid,L12.0,29
2018-02,Arthropathic psoriasis,L40.5,12
2018-02,"Psoriasis, unspecified",L40.9,26
2018-02,Bullous erythema multiforme,L51.1,10
2018-02,Toxic epidermal necrolysis [Lyell],L51.2,14
2018-02,"Erythematous condition, unspecified",L53.9,15
2018-02,Stage II decubitus ulcer,L89.1,11
2018-02,Stage III decubitus ulcer,L89.2,21
2018-02,Stage IV decubitus ulcer,L89.3,107
2018-02,"Decubitus ulcer and pressure area, unspecified",L89.9,659
2018-02,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,11
2018-02,Discoid lupus erythematosus,L93.0,106
2018-02,"Ulcer of lower limb, not elsewhere classified",L97,99
2018-02,"Chronic ulcer of skin, not elsewhere classified",L98.4,177
2018-02,Other specified disorders of skin and subcutaneous tissue,L98.8,17
2018-02,"Disorder of skin and subcutaneous tissue, unspecified",L98.9,31
2018-03,"Cutaneous abscess, furuncle and carbuncle of trunk",L02.2,21
2018-03,"Cutaneous abscess, furuncle and carbuncle of limb",L02.4,31
2018-03,"Cutaneous abscess, furuncle and carbuncle, unspecified",L02.9,45
2018-03,Cellulitis of other parts of limb,L03.1,251
2018-03,Cellulitis of trunk,L03.3,21
2018-03,"Cellulitis, unspecified",L03.9,300
2018-03,"Local infection of skin and subcutaneous tissue, unspecified",L08.9,201
2018-03,Bullous pemphigoid,L12.0,39
2018-03,Arthropathic psoriasis,L40.5,13
2018-03,"Psoriasis, unspecified",L40.9,24
2018-03,Bullous erythema multiforme,L51.1,15
2018-03,"Erythematous condition, unspecified",L53.9,12
2018-03,Stage III decubitus ulcer,L89.2,18
2018-03,Stage IV decubitus ulcer,L89.3,121
2018-03,"Decubitus ulcer and pressure area, unspecified",L89.9,721
2018-03,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",L92.9,16
2018-03,Discoid lupus erythematosus,L93.0,104
