group,date,age,dead
top17,2018-01,1,13
top17,2018-01,5,15
top17,2018-01,10,20
top17,2018-01,15,21
top17,2018-01,20,26
top17,2018-01,25,50
top17,2018-01,30,93
top17,2018-01,35,152
top17,2018-01,40,242
top17,2018-01,45,437
top17,2018-01,50,878
top17,2018-01,55,1621
top17,2018-01,60,2351
top17,2018-01,65,2866
top17,2018-01,70,3269
top17,2018-01,75,3157
top17,2018-01,80,3042
top17,2018-01,85,2645
top17,2018-01,90,1679
top17,2018-01,95,537
top17,2018-01,100,82
top17,2018-02,1,15
top17,2018-02,5,12
top17,2018-02,15,21
top17,2018-02,20,31
top17,2018-02,25,54
top17,2018-02,30,91
top17,2018-02,35,140
top17,2018-02,40,194
top17,2018-02,45,409
top17,2018-02,50,730
top17,2018-02,55,1475
top17,2018-02,60,2048
top17,2018-02,65,2611
top17,2018-02,70,2850
top17,2018-02,75,2848
top17,2018-02,80,2657
top17,2018-02,85,2281
top17,2018-02,90,1351
top17,2018-02,95,465
top17,2018-02,100,61
top17,2018-03,1,13
top17,2018-03,5,17
top17,2018-03,10,19
top17,2018-03,15,20
top17,2018-03,20,23
top17,2018-03,25,44
top17,2018-03,30,80
top17,2018-03,35,144
top17,2018-03,40,241
top17,2018-03,45,409
top17,2018-03,50,831
top17,2018-03,55,1548
top17,2018-03,60,2310
top17,2018-03,65,2763
top17,2018-03,70,3127
top17,2018-03,75,3152
top17,2018-03,80,2886
top17,2018-03,85,2474
top17,2018-03,90,1515
top17,2018-03,95,514
top17,2018-03,100,62
top17,2018-04,5,14
top17,2018-04,10,19
top17,2018-04,15,19
top17,2018-04,20,40
top17,2018-04,25,37
top17,2018-04,30,84
top17,2018-04,35,137
top17,2018-04,40,223
top17,2018-04,45,387
top17,2018-04,50,785
top17,2018-04,55,1523
top17,2018-04,60,2212
top17,2018-04,65,2645
top17,2018-04,70,3021
top17,2018-04,75,2852
top17,2018-04,80,2685
top17,2018-04,85,2382
top17,2018-04,90,1431
top17,2018-04,95,488
top17,2018-04,100,61
top17,2018-05,5,24
top17,2018-05,10,12
top17,2018-05,15,26
top17,2018-05,20,16
top17,2018-05,25,56
top17,2018-05,30,75
top17,2018-05,35,142
top17,2018-05,40,202
top17,2018-05,45,447
top17,2018-05,50,800
top17,2018-05,55,1488
top17,2018-05,60,2287
top17,2018-05,65,2695
top17,2018-05,70,3022
top17,2018-05,75,3003
top17,2018-05,80,2800
top17,2018-05,85,2362
top17,2018-05,90,1427
top17,2018-05,95,476
top17,2018-05,100,57
top17,2018-06,1,10
top17,2018-06,10,12
top17,2018-06,15,26
top17,2018-06,20,26
top17,2018-06,25,50
top17,2018-06,30,68
top17,2018-06,35,138
top17,2018-06,40,208
top17,2018-06,45,407
top17,2018-06,50,786
top17,2018-06,55,1521
top17,2018-06,60,2239
