cause,year,state,dead
covid,2020,Alabama,6544
covid,2020,Alaska,230
covid,2020,Arizona,8447
covid,2020,Arkansas,3523
covid,2020,California,31338
covid,2020,Colorado,4316
covid,2020,Connecticut,5782
covid,2020,Delaware,1008
covid,2020,District of Columbia,831
covid,2020,Florida,19237
covid,2020,Georgia,9456
covid,2020,Hawaii,342
covid,2020,Idaho,1358
covid,2020,Illinois,15735
covid,2020,Indiana,8529
covid,2020,Iowa,4336
covid,2020,Kansas,3344
covid,2020,Kentucky,4133
covid,2020,Louisiana,6534
covid,2020,Maine,420
covid,2020,Maryland,6000
covid,2020,Massachusetts,9319
covid,2020,Michigan,11391
covid,2020,Minnesota,5218
covid,2020,Mississippi,4467
covid,2020,Missouri,7138
covid,2020,Montana,1119
covid,2020,Nebraska,2044
covid,2020,Nevada,3238
covid,2020,New Hampshire,779
covid,2020,New Jersey,16498
covid,2020,New Mexico,2841
covid,2020,New York,35736
covid,2020,North Carolina,7892
covid,2020,North Dakota,1210
covid,2020,Ohio,13607
covid,2020,Oklahoma,4848
covid,2020,Oregon,1436
covid,2020,Pennsylvania,16609
covid,2020,Rhode Island,1585
covid,2020,South Carolina,5277
covid,2020,South Dakota,1496
covid,2020,Tennessee,6838
covid,2020,Texas,30844
covid,2020,Utah,1365
covid,2020,Vermont,144
covid,2020,Virginia,5822
covid,2020,Washington,3284
covid,2020,West Virginia,1484
covid,2020,Wisconsin,5434
covid,2020,Wyoming,462
covid,2021,Alabama,9492
covid,2021,Alaska,763
covid,2021,Arizona,12707
covid,2021,Arkansas,4740
covid,2021,California,44540
covid,2021,Colorado,5300
covid,2021,Connecticut,2722
covid,2021,Delaware,1113
covid,2021,District of Columbia,464
covid,2021,Florida,34558
covid,2021,Georgia,15835
covid,2021,Hawaii,688
covid,2021,Idaho,2408
covid,2021,Illinois,11298
covid,2021,Indiana,8565
covid,2021,Iowa,3098
covid,2021,Kansas,3624
covid,2021,Kentucky,7459
covid,2021,Louisiana,6331
covid,2021,Maine,1331
covid,2021,Maryland,5256
covid,2021,Massachusetts,4866
covid,2021,Michigan,13638
covid,2021,Minnesota,4442
covid,2021,Mississippi,5083
covid,2021,Missouri,7763
covid,2021,Montana,1576
covid,2021,Nebraska,1594
covid,2021,Nevada,5149
covid,2021,New Hampshire,1112
covid,2021,New Jersey,8423
covid,2021,New Mexico,3502
covid,2021,New York,21675
covid,2021,North Carolina,13613
covid,2021,North Dakota,638
covid,2021,Ohio,18287
covid,2021,Oklahoma,7279
covid,2021,Oregon,3681
covid,2021,Pennsylvania,18169
covid,2021,Rhode Island,979
covid,2021,South Carolina,9088
covid,2021,South Dakota,776
covid,2021,Tennessee,11911
covid,2021,Texas,44518
covid,2021,Utah,2255
covid,2021,Vermont,261
covid,2021,Virginia,8991
covid,2021,Washington,5451
covid,2021,West Virginia,3619
covid,2021,Wisconsin,5262
covid,2021,Wyoming,1026
covid,2022,Alabama,3576
covid,2022,Alaska,264
covid,2022,Arizona,4608
covid,2022,Arkansas,2114
covid,2022,California,17504
covid,2022,Colorado,2259
covid,2022,Connecticut,2022
covid,2022,Delaware,619
covid,2022,District of Columbia,226
covid,2022,Florida,12166
covid,2022,Georgia,5635
covid,2022,Hawaii,445
covid,2022,Idaho,823
covid,2022,Illinois,7283
covid,2022,Indiana,4577
covid,2022,Iowa,1714
covid,2022,Kansas,2043
covid,2022,Kentucky,4083
covid,2022,Louisiana,2360
covid,2022,Maine,798
covid,2022,Maryland,3088
covid,2022,Massachusetts,3177
covid,2022,Michigan,5970
covid,2022,Minnesota,2299
covid,2022,Mississippi,2300
covid,2022,Missouri,4318
covid,2022,Montana,516
covid,2022,Nebraska,873
covid,2022,Nevada,2198
covid,2022,New Hampshire,615
covid,2022,New Jersey,4947
covid,2022,New Mexico,1665
covid,2022,New York,11129
covid,2022,North Carolina,6275
