state,year,dead,pop
Alabama,2020,6544,4921532
Alabama,2021,9491,5039877
Alabama,2022,3576,5074296
Alabama,2023,926,5108468
Alabama,2024,565,5108468
Alabama,2025,64,5108468
Alaska,2020,230,731158
Alaska,2021,763,732673
Alaska,2022,264,733583
Alaska,2023,56,733406
Alaska,2024,57,733406
Arizona,2020,8447,7421401
Arizona,2021,12706,7276316
Arizona,2022,4607,7359197
Arizona,2023,958,7431344
Arizona,2024,650,7431344
Arizona,2025,99,7431344
Arkansas,2020,3523,3030522
Arkansas,2021,4739,3025891
Arkansas,2022,2114,3045637
Arkansas,2023,505,3067732
Arkansas,2024,359,3067732
Arkansas,2025,59,3067732
California,2020,31335,39368078
California,2021,44540,39237836
California,2022,17504,39029342
California,2023,4891,38965193
California,2024,2984,38965193
California,2025,294,38965193
Colorado,2020,4315,5807719
Colorado,2021,5299,5812069
Colorado,2022,2259,5839926
Colorado,2023,628,5877610
Colorado,2024,374,5877610
Colorado,2025,54,5877610
Connecticut,2020,5782,3557006
Connecticut,2021,2722,3605597
Connecticut,2022,2022,3626205
Connecticut,2023,554,3617176
Connecticut,2024,417,3617176
Connecticut,2025,63,3617176
Delaware,2020,1008,986809
Delaware,2021,1113,1003384
Delaware,2022,619,1018396
Delaware,2023,163,1031890
Delaware,2024,141,1031890
Delaware,2025,23,1031890
District of Columbia,2020,831,712816
District of Columbia,2021,464,670050
District of Columbia,2022,226,671803
District of Columbia,2023,61,678972
District of Columbia,2024,39,678972
Florida,2020,19231,21733312
Florida,2021,34557,21781128
Florida,2022,12165,22244823
Florida,2023,3684,22610726
Florida,2024,2447,22610726
Florida,2025,170,22610726
Georgia,2020,9453,10710017
Georgia,2021,15834,10799566
Georgia,2022,5635,10912876
Georgia,2023,1340,11029227
Georgia,2024,889,11029227
Georgia,2025,88,11029227
Hawaii,2020,342,1407006
Hawaii,2021,688,1441553
Hawaii,2022,444,1440196
Hawaii,2023,168,1435138
Hawaii,2024,141,1435138
Idaho,2020,1358,1826913
Idaho,2021,2407,1900923
Idaho,2022,823,1939033
Idaho,2023,200,1964726
Idaho,2024,146,1964726
Illinois,2020,15735,12587530
Illinois,2021,11298,12671469
Illinois,2022,7281,12582032
Illinois,2023,1664,12549689
Illinois,2024,1027,12549689
Illinois,2025,202,12549689
Indiana,2020,8527,6754953
Indiana,2021,8564,6805985
Indiana,2022,4577,6833037
Indiana,2023,1142,6862199
Indiana,2024,703,6862199
Indiana,2025,167,6862199
Iowa,2020,4336,3163561
Iowa,2021,3098,3193079
Iowa,2022,1714,3200517
Iowa,2023,525,3207004
Iowa,2024,357,3207004
Iowa,2025,51,3207004
Kansas,2020,3344,2913805
Kansas,2021,3623,2934582
Kansas,2022,2043,2937150
Kansas,2023,496,2940546
Kansas,2024,316,2940546
Kansas,2025,60,2940546
Kentucky,2020,4132,4477251
Kentucky,2021,7459,4509394
Kentucky,2022,4083,4512310
Kentucky,2023,1051,4526154
Kentucky,2024,629,4526154
Kentucky,2025,122,4526154
Louisiana,2020,6533,4645318
Louisiana,2021,6329,4624047
Louisiana,2022,2360,4590241
Louisiana,2023,578,4573749
Louisiana,2024,374,4573749
Louisiana,2025,30,4573749
Maine,2020,420,1350141
Maine,2021,1331,1372247
Maine,2022,798,1385340
Maine,2023,316,1395722
Maine,2024,213,1395722
Maine,2025,43,1395722
Maryland,2020,6000,6055802
Maryland,2021,5256,6165129
Maryland,2022,3088,6164660
Maryland,2023,913,6180253
Maryland,2024,573,6180253
Maryland,2025,100,6180253
Massachusetts,2020,9319,6893574
Massachusetts,2021,4866,6984723
Massachusetts,2022,3177,6981974
Massachusetts,2023,1183,7001399
Massachusetts,2024,691,7001399
Massachusetts,2025,116,7001399
Michigan,2020,11391,9966555
Michigan,2021,13637,10050811
Michigan,2022,5969,10034113
Michigan,2023,1631,10037261
Michigan,2024,972,10037261
Michigan,2025,219,10037261
Minnesota,2020,5215,5657342
Minnesota,2021,4442,5707390
Minnesota,2022,2299,5717184
Minnesota,2023,889,5737915
Minnesota,2024,528,5737915
Minnesota,2025,98,5737915
Mississippi,2020,4466,2966786
Mississippi,2021,5082,2949965
Mississippi,2022,2300,2940057
Mississippi,2023,556,2939690
Mississippi,2024,404,2939690
Mississippi,2025,50,2939690
Missouri,2020,7137,6151548
Missouri,2021,7760,6168187
Missouri,2022,4318,6177957
Missouri,2023,1107,6196156
Missouri,2024,633,6196156
Missouri,2025,129,6196156
Montana,2020,1119,1080577
Montana,2021,1576,1104271
Montana,2022,516,1122867
Montana,2023,175,1132812
Montana,2024,127,1132812
Montana,2025,11,1132812
Nebraska,2020,2043,1937552
Nebraska,2021,1594,1963692
Nebraska,2022,873,1967923
Nebraska,2023,281,1978379
Nebraska,2024,190,1978379
Nebraska,2025,33,1978379
Nevada,2020,3238,3138259
Nevada,2021,5149,3143991
Nevada,2022,2198,3177772
Nevada,2023,413,3194176
Nevada,2024,237,3194176
Nevada,2025,24,3194176
New Hampshire,2020,779,1366275
New Hampshire,2021,1112,1388992
New Hampshire,2022,615,1395231
New Hampshire,2023,252,1402054
New Hampshire,2024,156,1402054
New Hampshire,2025,27,1402054
New Jersey,2020,16497,8882371
New Jersey,2021,8423,9267130
New Jersey,2022,4947,9261699
New Jersey,2023,1312,9290841
New Jersey,2024,878,9290841
New Jersey,2025,183,9290841
New Mexico,2020,2841,2106319
New Mexico,2021,3502,2115877
New Mexico,2022,1665,2113344
New Mexico,2023,432,2114371
New Mexico,2024,258,2114371
New Mexico,2025,40,2114371
New York,2020,35736,19336776
New York,2021,21675,19835913
New York,2022,11129,19677151
New York,2023,3038,19571216
New York,2024,1910,19571216
New York,2025,261,19571216
North Carolina,2020,7892,10600823
North Carolina,2021,13611,10551162
North Carolina,2022,6275,10698973
North Carolina,2023,1761,10835491
North Carolina,2024,1135,10835491
North Carolina,2025,127,10835491
North Dakota,2020,1210,765309
North Dakota,2021,638,774948
North Dakota,2022,330,779261
North Dakota,2023,108,783926
North Dakota,2024,68,783926
North Dakota,2025,12,783926
Ohio,2020,13605,11693217
Ohio,2021,18285,11780017
Ohio,2022,9333,11756058
Ohio,2023,2175,11785935
Ohio,2024,1258,11785935
Ohio,2025,276,11785935
Oklahoma,2020,4847,3980783
Oklahoma,2021,7279,3986639
Oklahoma,2022,3413,4019800
Oklahoma,2023,717,4053824
Oklahoma,2024,468,4053824
Oklahoma,2025,91,4053824
Oregon,2020,1434,4241507
Oregon,2021,3681,4246155
Oregon,2022,1902,4240137
Oregon,2023,641,4233358
Oregon,2024,385,4233358
Oregon,2025,31,4233358
Pennsylvania,2020,16609,12783254
Pennsylvania,2021,18169,12964056
Pennsylvania,2022,8745,12972008
Pennsylvania,2023,2438,12961683
Pennsylvania,2024,1557,12961683
Pennsylvania,2025,299,12961683
Rhode Island,2020,1585,1057125
Rhode Island,2021,979,1095610
Rhode Island,2022,535,1093734
Rhode Island,2023,139,1095962
Rhode Island,2024,101,1095962
Rhode Island,2025,22,1095962
South Carolina,2020,5277,5218040
South Carolina,2021,9088,5190705
South Carolina,2022,3502,5282634
South Carolina,2023,947,5373555
South Carolina,2024,582,5373555
South Carolina,2025,85,5373555
South Dakota,2020,1496,892717
South Dakota,2021,776,895376
South Dakota,2022,453,909824
South Dakota,2023,154,919318
South Dakota,2024,105,919318
South Dakota,2025,28,919318
Tennessee,2020,6838,6886834
Tennessee,2021,11911,6975218
Tennessee,2022,5400,7051339
Tennessee,2023,1406,7126489
Tennessee,2024,779,7126489
Tennessee,2025,118,7126489
Texas,2020,30840,29360759
Texas,2021,44516,29527941
Texas,2022,14573,30029572
Texas,2023,3239,30503301
Texas,2024,1893,30503301
Texas,2025,180,30503301
Utah,2020,1365,3249879
Utah,2021,2252,3337975
Utah,2022,970,3380800
Utah,2023,253,3417734
Utah,2024,161,3417734
Utah,2025,14,3417734
Vermont,2020,144,623347
Vermont,2021,261,645570
Vermont,2022,238,647064
Vermont,2023,121,647464
Vermont,2024,79,647464
Vermont,2025,16,647464
Virginia,2020,5821,8590563
Virginia,2021,8990,8642274
Virginia,2022,4731,8683619
Virginia,2023,1372,8715698
Virginia,2024,888,8715698
Virginia,2025,140,8715698
Washington,2020,3284,7693612
Washington,2021,5451,7738692
Washington,2022,2918,7785786
Washington,2023,969,7812880
Washington,2024,626,7812880
Washington,2025,38,7812880
West Virginia,2020,1483,1784787
West Virginia,2021,3619,1782959
West Virginia,2022,1857,1775156
West Virginia,2023,492,1770071
West Virginia,2024,299,1770071
West Virginia,2025,30,1770071
Wisconsin,2020,5432,5832655
Wisconsin,2021,5262,5895908
Wisconsin,2022,2878,5892539
Wisconsin,2023,819,5910955
Wisconsin,2024,489,5910955
Wisconsin,2025,121,5910955
Wyoming,2020,462,582328
Wyoming,2021,1026,578803
Wyoming,2022,291,581381
Wyoming,2023,93,584057
Wyoming,2024,71,584057
