age,cause,state,date,dead
all,C00-C97,Alabama,2018-01,1018
all,C00-C97,Alabama,2018-02,882
all,C00-C97,Alabama,2018-03,918
all,C00-C97,Alabama,2018-04,922
all,C00-C97,Alabama,2018-05,976
all,C00-C97,Alabama,2018-06,913
all,C00-C97,Alabama,2018-07,948
all,C00-C97,Alabama,2018-08,925
all,C00-C97,Alabama,2018-09,917
all,C00-C97,Alabama,2018-10,974
all,C00-C97,Alabama,2018-11,961
all,C00-C97,Alabama,2018-12,975
all,C00-C97,Alabama,2019-01,981
all,C00-C97,Alabama,2019-02,850
all,C00-C97,Alabama,2019-03,935
all,C00-C97,Alabama,2019-04,864
all,C00-C97,Alabama,2019-05,972
all,C00-C97,Alabama,2019-06,894
all,C00-C97,Alabama,2019-07,916
all,C00-C97,Alabama,2019-08,929
all,C00-C97,Alabama,2019-09,869
all,C00-C97,Alabama,2019-10,927
all,C00-C97,Alabama,2019-11,888
all,C00-C97,Alabama,2019-12,929
all,C00-C97,Alabama,2020-01,890
all,C00-C97,Alabama,2020-02,920
all,C00-C97,Alabama,2020-03,921
all,C00-C97,Alabama,2020-04,887
all,C00-C97,Alabama,2020-05,923
all,C00-C97,Alabama,2020-06,941
all,C00-C97,Alabama,2020-07,1050
all,C00-C97,Alabama,2020-08,914
all,C00-C97,Alabama,2020-09,984
all,C00-C97,Alabama,2020-10,946
all,C00-C97,Alabama,2020-11,977
all,C00-C97,Alabama,2020-12,1025
all,C00-C97,Alabama,2021-01,1090
all,C00-C97,Alabama,2021-02,873
all,C00-C97,Alabama,2021-03,885
all,C00-C97,Alabama,2021-04,1010
all,C00-C97,Alabama,2021-05,946
all,C00-C97,Alabama,2021-06,889
all,C00-C97,Alabama,2021-07,952
all,C00-C97,Alabama,2021-08,1010
all,C00-C97,Alabama,2021-09,952
all,C00-C97,Alabama,2021-10,992
all,C00-C97,Alabama,2021-11,958
all,C00-C97,Alabama,2021-12,923
all,C00-C97,Alabama,2022-01,1085
all,C00-C97,Alabama,2022-02,976
all,C00-C97,Alabama,2022-03,938
all,C00-C97,Alabama,2022-04,831
all,C00-C97,Alabama,2022-05,912
all,C00-C97,Alabama,2022-06,946
all,C00-C97,Alabama,2022-07,935
all,C00-C97,Alabama,2022-08,921
all,C00-C97,Alabama,2022-09,938
all,C00-C97,Alabama,2022-10,988
all,C00-C97,Alabama,2022-11,940
all,C00-C97,Alabama,2022-12,975
all,C00-C97,Alabama,2023-01,1028
all,C00-C97,Alabama,2023-02,922
all,C00-C97,Alabama,2023-03,966
all,C00-C97,Alabama,2023-04,915
all,C00-C97,Alabama,2023-05,999
all,C00-C97,Alabama,2023-06,867
all,C00-C97,Alabama,2023-07,1014
all,C00-C97,Alabama,2023-08,971
all,C00-C97,Alabama,2023-09,911
all,C00-C97,Alabama,2023-10,941
all,C00-C97,Alabama,2023-11,893
all,C00-C97,Alabama,2023-12,1040
all,C00-C97,Alabama,2024-01,1071
all,C00-C97,Alabama,2024-02,949
all,C00-C97,Alabama,2024-03,941
all,C00-C97,Alabama,2024-04,921
all,C00-C97,Alabama,2024-05,993
all,C00-C97,Alabama,2024-06,947
all,C00-C97,Alabama,2024-07,950
all,C00-C97,Alabama,2024-08,969
all,C00-C97,Alabama,2024-09,914
all,C00-C97,Alabama,2024-10,915
all,C00-C97,Alabama,2024-11,470
all,C00-C97,Alaska,2018-01,99
all,C00-C97,Alaska,2018-02,74
all,C00-C97,Alaska,2018-03,86
all,C00-C97,Alaska,2018-04,84
all,C00-C97,Alaska,2018-05,84
all,C00-C97,Alaska,2018-06,82
all,C00-C97,Alaska,2018-07,84
all,C00-C97,Alaska,2018-08,100
all,C00-C97,Alaska,2018-09,89
all,C00-C97,Alaska,2018-10,73
all,C00-C97,Alaska,2018-11,103
all,C00-C97,Alaska,2018-12,92
all,C00-C97,Alaska,2019-01,100
all,C00-C97,Alaska,2019-02,89
all,C00-C97,Alaska,2019-03,111
all,C00-C97,Alaska,2019-04,74
all,C00-C97,Alaska,2019-05,102
all,C00-C97,Alaska,2019-06,83
all,C00-C97,Alaska,2019-07,74
all,C00-C97,Alaska,2019-08,90
all,C00-C97,Alaska,2019-09,84
all,C00-C97,Alaska,2019-10,83
all,C00-C97,Alaska,2019-11,116
all,C00-C97,Alaska,2019-12,101
all,C00-C97,Alaska,2020-01,103
all,C00-C97,Alaska,2020-02,82
all,C00-C97,Alaska,2020-03,81
all,C00-C97,Alaska,2020-04,78
all,C00-C97,Alaska,2020-05,100
all,C00-C97,Alaska,2020-06,86
all,C00-C97,Alaska,2020-07,100
all,C00-C97,Alaska,2020-08,101
all,C00-C97,Alaska,2020-09,94
all,C00-C97,Alaska,2020-10,116
all,C00-C97,Alaska,2020-11,102
all,C00-C97,Alaska,2020-12,104
all,C00-C97,Alaska,2021-01,105
all,C00-C97,Alaska,2021-02,76
