year,month,state,fips,dead
1999,01,Alabama,01,4136
1999,01,Alaska,02,225
1999,01,Arizona,04,3878
1999,01,Arkansas,05,2720
1999,01,California,06,21599
1999,01,Colorado,08,2380
1999,01,Connecticut,09,2982
1999,01,Delaware,10,632
1999,01,District of Columbia,11,574
1999,01,Florida,12,15205
1999,01,Georgia,13,5922
1999,01,Hawaii,15,776
1999,01,Idaho,16,787
1999,01,Illinois,17,10528
1999,01,Indiana,18,5357
1999,01,Iowa,19,2669
1999,01,Kansas,20,2237
1999,01,Kentucky,21,3641
1999,01,Louisiana,22,3818
1999,01,Maine,23,1149
1999,01,Maryland,24,3901
1999,01,Massachusetts,25,5433
1999,01,Michigan,26,8149
1999,01,Minnesota,27,3659
1999,01,Mississippi,28,2500
1999,01,Missouri,29,5011
1999,01,Montana,30,707
1999,01,Nebraska,31,1448
1999,01,Nevada,32,1457
1999,01,New Hampshire,33,918
1999,01,New Jersey,34,7886
1999,01,New Mexico,35,1282
1999,01,New York,36,16767
1999,01,North Carolina,37,6320
1999,01,North Dakota,38,569
1999,01,Ohio,39,10289
1999,01,Oklahoma,40,3270
1999,01,Oregon,41,2633
1999,01,Pennsylvania,42,12987
1999,01,Rhode Island,44,966
1999,01,South Carolina,45,3433
1999,01,South Dakota,46,653
1999,01,Tennessee,47,4938
1999,01,Texas,48,13772
1999,01,Utah,49,1110
1999,01,Vermont,50,467
1999,01,Virginia,51,5151
1999,01,Washington,53,3935
1999,01,West Virginia,54,1938
1999,01,Wisconsin,55,4465
1999,01,Wyoming,56,375
1999,02,Alabama,01,3631
1999,02,Alaska,02,220
1999,02,Arizona,04,3786
1999,02,Arkansas,05,2263
1999,02,California,06,19794
1999,02,Colorado,08,2436
1999,02,Connecticut,09,2686
1999,02,Delaware,10,586
1999,02,District of Columbia,11,545
1999,02,Florida,12,13615
1999,02,Georgia,13,5152
1999,02,Hawaii,15,714
1999,02,Idaho,16,835
1999,02,Illinois,17,9561
1999,02,Indiana,18,4865
1999,02,Iowa,19,2450
1999,02,Kansas,20,2088
1999,02,Kentucky,21,3336
1999,02,Louisiana,22,3395
1999,02,Maine,23,1162
1999,02,Maryland,24,4009
1999,02,Massachusetts,25,5265
1999,02,Michigan,26,7406
1999,02,Minnesota,27,3355
1999,02,Mississippi,28,2387
1999,02,Missouri,29,4778
1999,02,Montana,30,730
1999,02,Nebraska,31,1407
1999,02,Nevada,32,1221
1999,02,New Hampshire,33,846
1999,02,New Jersey,34,6501
1999,02,New Mexico,35,1239
1999,02,New York,36,14232
1999,02,North Carolina,37,6032
1999,02,North Dakota,38,549
1999,02,Ohio,39,9465
1999,02,Oklahoma,40,2997
1999,02,Oregon,41,2662
1999,02,Pennsylvania,42,11713
1999,02,Rhode Island,44,899
1999,02,South Carolina,45,3050
1999,02,South Dakota,46,560
1999,02,Tennessee,47,4376
1999,02,Texas,48,12858
1999,02,Utah,49,1047
1999,02,Vermont,50,447
1999,02,Virginia,51,4905
1999,02,Washington,53,3901
1999,02,West Virginia,54,1863
1999,02,Wisconsin,55,4042
1999,02,Wyoming,56,312
1999,03,Alabama,01,4409
1999,03,Alaska,02,227
1999,03,Arizona,04,3749
1999,03,Arkansas,05,2763
1999,03,California,06,20625
1999,03,Colorado,08,2504
1999,03,Connecticut,09,2727
1999,03,Delaware,10,636
1999,03,District of Columbia,11,548
1999,03,Florida,12,15333
1999,03,Georgia,13,5950
1999,03,Hawaii,15,710
1999,03,Idaho,16,866
1999,03,Illinois,17,10475
1999,03,Indiana,18,5616
1999,03,Iowa,19,2819
1999,03,Kansas,20,2356
1999,03,Kentucky,21,4091
1999,03,Louisiana,22,3841
1999,03,Maine,23,1159
1999,03,Maryland,24,4186
1999,03,Massachusetts,25,5243
1999,03,Michigan,26,8611
1999,03,Minnesota,27,3706
1999,03,Mississippi,28,2764
1999,03,Missouri,29,5443
1999,03,Montana,30,749
1999,03,Nebraska,31,1428
1999,03,Nevada,32,1329
1999,03,New Hampshire,33,941
1999,03,New Jersey,34,6673
1999,03,New Mexico,35,1234
1999,03,New York,36,14291
1999,03,North Carolina,37,6933
1999,03,North Dakota,38,523
1999,03,Ohio,39,10813
1999,03,Oklahoma,40,3333
1999,03,Oregon,41,2756
1999,03,Pennsylvania,42,12572
1999,03,Rhode Island,44,880
1999,03,South Carolina,45,3415
1999,03,South Dakota,46,658
1999,03,Tennessee,47,5338
1999,03,Texas,48,13626
1999,03,Utah,49,1061
1999,03,Vermont,50,474
1999,03,Virginia,51,5390
1999,03,Washington,53,3957
1999,03,West Virginia,54,2125
1999,03,Wisconsin,55,4570
1999,03,Wyoming,56,339
1999,04,Alabama,01,3805
1999,04,Alaska,02,224
1999,04,Arizona,04,3222
1999,04,Arkansas,05,2349
1999,04,California,06,19149
