date,state,dead
2018-01,Alabama,5701
2018-01,Alaska,397
2018-01,Arizona,6221
2018-01,Arkansas,3350
2018-01,California,28410
2018-01,Colorado,3704
2018-01,Connecticut,3092
2018-01,Delaware,895
2018-01,District of Columbia,504
2018-01,Florida,20038
2018-01,Georgia,8735
2018-01,Hawaii,1042
2018-01,Idaho,1322
2018-01,Illinois,11378
2018-01,Indiana,6767
2018-01,Iowa,2906
2018-01,Kansas,2760
2018-01,Kentucky,4912
2018-01,Louisiana,4886
2018-01,Maine,1350
2018-01,Maryland,4925
2018-01,Massachusetts,5851
2018-01,Michigan,9632
2018-01,Minnesota,4384
2018-01,Mississippi,3384
2018-01,Missouri,6677
2018-01,Montana,874
2018-01,Nebraska,1662
2018-01,Nevada,2474
2018-01,New Hampshire,1188
2018-01,New Jersey,7503
2018-01,New Mexico,1800
2018-01,New York,15889
2018-01,North Carolina,9370
2018-01,North Dakota,626
2018-01,Ohio,12788
2018-01,Oklahoma,4266
2018-01,Oregon,3484
2018-01,Pennsylvania,13369
2018-01,Rhode Island,978
2018-01,South Carolina,5045
2018-01,South Dakota,733
2018-01,Tennessee,7252
2018-01,Texas,21462
2018-01,Utah,1711
2018-01,Vermont,589
2018-01,Virginia,6788
2018-01,Washington,5414
2018-01,West Virginia,2480
2018-01,Wisconsin,5302
2018-01,Wyoming,474
2018-02,Alabama,4522
2018-02,Alaska,337
2018-02,Arizona,4830
2018-02,Arkansas,2678
2018-02,California,22527
2018-02,Colorado,3150
2018-02,Connecticut,2572
2018-02,Delaware,801
2018-02,District of Columbia,390
2018-02,Florida,17210
2018-02,Georgia,7108
2018-02,Hawaii,927
2018-02,Idaho,1165
2018-02,Illinois,9134
2018-02,Indiana,5433
2018-02,Iowa,2608
2018-02,Kansas,2396
2018-02,Kentucky,3973
2018-02,Louisiana,3751
2018-02,Maine,1230
2018-02,Maryland,4248
2018-02,Massachusetts,4965
2018-02,Michigan,8420
2018-02,Minnesota,3710
2018-02,Mississippi,2648
2018-02,Missouri,5418
2018-02,Montana,837
2018-02,Nebraska,1385
2018-02,Nevada,1931
2018-02,New Hampshire,1105
2018-02,New Jersey,6452
2018-02,New Mexico,1621
2018-02,New York,13326
2018-02,North Carolina,7828
2018-02,North Dakota,516
2018-02,Ohio,10167
2018-02,Oklahoma,3608
2018-02,Oregon,2819
2018-02,Pennsylvania,11436
2018-02,Rhode Island,813
2018-02,South Carolina,4244
2018-02,South Dakota,639
2018-02,Tennessee,5924
2018-02,Texas,17045
2018-02,Utah,1496
2018-02,Vermont,513
2018-02,Virginia,5764
2018-02,Washington,4606
2018-02,West Virginia,1898
2018-02,Wisconsin,4467
2018-02,Wyoming,407
2018-03,Alabama,4660
2018-03,Alaska,361
2018-03,Arizona,5363
2018-03,Arkansas,2725
2018-03,California,24839
2018-03,Colorado,3443
2018-03,Connecticut,2739
2018-03,Delaware,849
2018-03,District of Columbia,433
2018-03,Florida,18018
2018-03,Georgia,7302
2018-03,Hawaii,1060
2018-03,Idaho,1282
2018-03,Illinois,9562
2018-03,Indiana,5743
2018-03,Iowa,2674
2018-03,Kansas,2493
2018-03,Kentucky,4279
2018-03,Louisiana,3754
2018-03,Maine,1273
2018-03,Maryland,4420
2018-03,Massachusetts,5224
2018-03,Michigan,8830
2018-03,Minnesota,3777
2018-03,Mississippi,2742
2018-03,Missouri,5527
2018-03,Montana,845
2018-03,Nebraska,1538
2018-03,Nevada,2213
2018-03,New Hampshire,1060
2018-03,New Jersey,6680
2018-03,New Mexico,1692
2018-03,New York,13810
2018-03,North Carolina,8041
2018-03,North Dakota,558
2018-03,Ohio,10599
2018-03,Oklahoma,3536
2018-03,Oregon,3297
2018-03,Pennsylvania,11933
2018-03,Rhode Island,821
2018-03,South Carolina,4446
2018-03,South Dakota,715
2018-03,Tennessee,5954
2018-03,Texas,17234
2018-03,Utah,1554
2018-03,Vermont,516
2018-03,Virginia,6011
2018-03,Washington,5125
2018-03,West Virginia,2082
2018-03,Wisconsin,4706
2018-03,Wyoming,467
2018-04,Alabama,4406
2018-04,Alaska,392
2018-04,Arizona,4920
2018-04,Arkansas,2537
2018-04,California,21804
2018-04,Colorado,3235
2018-04,Connecticut,2669
2018-04,Delaware,792
2018-04,District of Columbia,429
2018-04,Florida,16785
2018-04,Georgia,6971
2018-04,Hawaii,931
2018-04,Idaho,1185
2018-04,Illinois,9241
2018-04,Indiana,5429
2018-04,Iowa,2566
2018-04,Kansas,2251
2018-04,Kentucky,4007
2018-04,Louisiana,3721
2018-04,Maine,1260
2018-04,Maryland,4036
2018-04,Massachusetts,4845
2018-04,Michigan,8407
2018-04,Minnesota,3607
2018-04,Mississippi,2631
2018-04,Missouri,5194
2018-04,Montana,849
2018-04,Nebraska,1376
2018-04,Nevada,2032
2018-04,New Hampshire,1055
2018-04,New Jersey,6181
2018-04,New Mexico,1593
2018-04,New York,12965
2018-04,North Carolina,7519
2018-04,North Dakota,528
2018-04,Ohio,10392
2018-04,Oklahoma,3335
2018-04,Oregon,3063
2018-04,Pennsylvania,11333
2018-04,Rhode Island,901
2018-04,South Carolina,4060
2018-04,South Dakota,648
2018-04,Tennessee,5667
2018-04,Texas,16105
2018-04,Utah,1538
2018-04,Vermont,514
2018-04,Virginia,5674
2018-04,Washington,4752
2018-04,West Virginia,1934
2018-04,Wisconsin,4488
2018-04,Wyoming,411
2018-05,Alabama,4458
2018-05,Alaska,357
2018-05,Arizona,4769
2018-05,Arkansas,2708
2018-05,California,21483
2018-05,Colorado,3187
2018-05,Connecticut,2498
2018-05,Delaware,751
2018-05,District of Columbia,399
2018-05,Florida,16735
2018-05,Georgia,7019
2018-05,Hawaii,917
2018-05,Idaho,1183
2018-05,Illinois,8818
2018-05,Indiana,5335
2018-05,Iowa,2414
2018-05,Kansas,2158
2018-05,Kentucky,3904
2018-05,Louisiana,3852
2018-05,Maine,1152
2018-05,Maryland,3996
2018-05,Massachusetts,4918
2018-05,Michigan,8012
2018-05,Minnesota,3597
2018-05,Mississippi,2547
2018-05,Missouri,5052
2018-05,Montana,748
2018-05,Nebraska,1349
2018-05,Nevada,2001
2018-05,New Hampshire,1057
2018-05,New Jersey,5950
2018-05,New Mexico,1497
2018-05,New York,12413
2018-05,North Carolina,7561
2018-05,North Dakota,534
2018-05,Ohio,10142
2018-05,Oklahoma,3378
2018-05,Oregon,2901
2018-05,Pennsylvania,10763
2018-05,Rhode Island,865
2018-05,South Carolina,4086
2018-05,South Dakota,625
2018-05,Tennessee,5757
2018-05,Texas,16172
2018-05,Utah,1535
2018-05,Vermont,469
2018-05,Virginia,5462
2018-05,Washington,4590
2018-05,West Virginia,1934
2018-05,Wisconsin,4369
2018-05,Wyoming,395
2018-06,Alabama,4238
2018-06,Alaska,321
2018-06,Arizona,4672
2018-06,Arkansas,2504
2018-06,California,20797
2018-06,Colorado,2890
2018-06,Connecticut,2372
2018-06,Delaware,753
2018-06,District of Columbia,403
2018-06,Florida,16280
2018-06,Georgia,6483
2018-06,Hawaii,958
2018-06,Idaho,1137
2018-06,Illinois,8333
2018-06,Indiana,4974
2018-06,Iowa,2385
2018-06,Kansas,2173
2018-06,Kentucky,3710
2018-06,Louisiana,3567
2018-06,Maine,1111
2018-06,Maryland,3965
2018-06,Massachusetts,4562
2018-06,Michigan,7635
2018-06,Minnesota,3325
2018-06,Mississippi,2547
2018-06,Missouri,4838
2018-06,Montana,789
2018-06,Nebraska,1373
2018-06,Nevada,2078
2018-06,New Hampshire,975
2018-06,New Jersey,5871
2018-06,New Mexico,1556
2018-06,New York,12090
2018-06,North Carolina,7420
2018-06,North Dakota,481
2018-06,Ohio,9590
2018-06,Oklahoma,3135
2018-06,Oregon,2905
2018-06,Pennsylvania,10467
2018-06,Rhode Island,777
2018-06,South Carolina,3852
2018-06,South Dakota,635
2018-06,Tennessee,5529
2018-06,Texas,15682
2018-06,Utah,1469
2018-06,Vermont,458
2018-06,Virginia,5320
2018-06,Washington,4497
2018-06,West Virginia,1813
2018-06,Wisconsin,4044
2018-06,Wyoming,364
2018-07,Alabama,4359
2018-07,Alaska,371
2018-07,Arizona,4763
2018-07,Arkansas,2552
2018-07,California,21208
2018-07,Colorado,3016
2018-07,Connecticut,2517
2018-07,Delaware,758
2018-07,District of Columbia,413
2018-07,Florida,16626
2018-07,Georgia,6609
2018-07,Hawaii,941
2018-07,Idaho,1164
2018-07,Illinois,8673
2018-07,Indiana,5155
2018-07,Iowa,2326
2018-07,Kansas,2117
2018-07,Kentucky,3870
2018-07,Louisiana,3666
2018-07,Maine,1155
2018-07,Maryland,4071
2018-07,Massachusetts,4643
2018-07,Michigan,7784
2018-07,Minnesota,3565
2018-07,Mississippi,2545
2018-07,Missouri,4828
2018-07,Montana,846
2018-07,Nebraska,1319
2018-07,Nevada,2065
2018-07,New Hampshire,1018
2018-07,New Jersey,6108
2018-07,New Mexico,1503
2018-07,New York,12439
2018-07,North Carolina,7412
2018-07,North Dakota,511
2018-07,Ohio,9781
2018-07,Oklahoma,3134
2018-07,Oregon,2853
2018-07,Pennsylvania,10506
2018-07,Rhode Island,789
2018-07,South Carolina,4002
2018-07,South Dakota,675
2018-07,Tennessee,5803
2018-07,Texas,15933
2018-07,Utah,1518
2018-07,Vermont,464
2018-07,Virginia,5505
2018-07,Washington,4660
