state,age,year,dead,pop
Alabama,0,1999,606,58787
Alabama,0,2000,596,59101
Alabama,0,2001,567,61537
Alabama,0,2002,539,58963
Alabama,0,2003,519,58021
Alabama,0,2004,516,58927
Alabama,0,2005,568,59424
Alabama,0,2006,571,60823
Alabama,0,2007,641,62907
Alabama,0,2008,612,63816
Alabama,0,2009,517,61793
Alabama,0,2010,523,60056
Alabama,0,2011,487,59427
Alabama,0,2012,523,60523
Alabama,0,2013,501,58439
Alabama,0,2014,516,57854
Alabama,0,2015,495,58017
Alabama,0,2016,537,58269
Alabama,0,2017,434,57902
Alabama,1-4,1999,121,236153
Alabama,1-4,2000,97,236891
Alabama,1-4,2001,98,235087
Alabama,1-4,2002,102,237083
Alabama,1-4,2003,96,237183
Alabama,1-4,2004,106,237043
Alabama,1-4,2005,87,237017
Alabama,1-4,2006,103,236399
Alabama,1-4,2007,76,237393
Alabama,1-4,2008,93,241026
Alabama,1-4,2009,104,243619
Alabama,1-4,2010,80,244901
Alabama,1-4,2011,99,244478
Alabama,1-4,2012,93,244744
Alabama,1-4,2013,83,238665
Alabama,1-4,2014,73,236851
Alabama,1-4,2015,78,234956
Alabama,1-4,2016,74,234296
Alabama,1-4,2017,93,235652
Alabama,5-14,1999,184,633128
Alabama,5-14,2000,138,635597
Alabama,5-14,2001,161,631141
Alabama,5-14,2002,150,627640
Alabama,5-14,2003,133,625790
Alabama,5-14,2004,128,623782
Alabama,5-14,2005,127,621478
Alabama,5-14,2006,125,625448
Alabama,5-14,2007,121,626420
Alabama,5-14,2008,125,626185
Alabama,5-14,2009,115,626936
Alabama,5-14,2010,138,627884
Alabama,5-14,2011,125,626883
Alabama,5-14,2012,113,627468
Alabama,5-14,2013,117,623912
Alabama,5-14,2014,129,621504
Alabama,5-14,2015,112,616001
Alabama,5-14,2016,96,609998
Alabama,5-14,2017,116,609744
Alabama,15-24,1999,752,633971
Alabama,15-24,2000,708,631445
Alabama,15-24,2001,706,640607
Alabama,15-24,2002,722,643561
Alabama,15-24,2003,698,648638
Alabama,15-24,2004,785,651844
Alabama,15-24,2005,727,657480
Alabama,15-24,2006,840,663242
Alabama,15-24,2007,833,668572
Alabama,15-24,2008,707,674331
Alabama,15-24,2009,631,678728
Alabama,15-24,2010,631,678793
Alabama,15-24,2011,647,681235
Alabama,15-24,2012,591,676612
Alabama,15-24,2013,616,676183
Alabama,15-24,2014,595,671198
Alabama,15-24,2015,642,663182
Alabama,15-24,2016,741,653876
Alabama,15-24,2017,653,648404
Alabama,25-34,1999,893,608323
Alabama,25-34,2000,854,603015
Alabama,25-34,2001,851,588949
Alabama,25-34,2002,912,583671
Alabama,25-34,2003,878,583109
Alabama,25-34,2004,884,583760
Alabama,25-34,2005,947,585831
Alabama,25-34,2006,1057,591061
Alabama,25-34,2007,956,593652
Alabama,25-34,2008,982,598776
Alabama,25-34,2009,942,605551
Alabama,25-34,2010,1005,608922
Alabama,25-34,2011,1037,614507
Alabama,25-34,2012,1026,617757
Alabama,25-34,2013,1041,620984
Alabama,25-34,2014,1006,626387
Alabama,25-34,2015,1069,632726
Alabama,25-34,2016,1173,637487
Alabama,25-34,2017,1178,640302
Alabama,35-44,1999,1887,686932
Alabama,35-44,2000,1836,685512
Alabama,35-44,2001,1845,678003
Alabama,35-44,2002,1806,666137
Alabama,35-44,2003,1889,655351
Alabama,35-44,2004,1870,647811
Alabama,35-44,2005,1788,642755
Alabama,35-44,2006,1871,642706
Alabama,35-44,2007,1776,638956
Alabama,35-44,2008,1680,632634
Alabama,35-44,2009,1746,626649
Alabama,35-44,2010,1625,619501
Alabama,35-44,2011,1579,608252
Alabama,35-44,2012,1691,606667
Alabama,35-44,2013,1621,607139
Alabama,35-44,2014,1733,605590
Alabama,35-44,2015,1680,602496
Alabama,35-44,2016,1830,595713
Alabama,35-44,2017,1766,591795
Alabama,45-54,1999,3157,585651
Alabama,45-54,2000,3265,600209
Alabama,45-54,2001,3495,623455
Alabama,45-54,2002,3574,629906
Alabama,45-54,2003,3738,639357
Alabama,45-54,2004,3743,648373
Alabama,45-54,2005,3924,659231
Alabama,45-54,2006,4020,671910
Alabama,45-54,2007,3957,680795
Alabama,45-54,2008,4158,688154
Alabama,45-54,2009,4079,692734
Alabama,45-54,2010,4040,693854
Alabama,45-54,2011,4043,685148
Alabama,45-54,2012,3963,673464
Alabama,45-54,2013,4018,664435
Alabama,45-54,2014,3780,656585
Alabama,45-54,2015,3975,649442
Alabama,45-54,2016,3870,644018
Alabama,45-54,2017,3624,636632
Alabama,55-64,1999,5041,410542
Alabama,55-64,2000,5110,415532
Alabama,55-64,2001,5127,425024
Alabama,55-64,2002,5297,447523
Alabama,55-64,2003,5611,465670
Alabama,55-64,2004,5769,485363
Alabama,55-64,2005,6076,504487
Alabama,55-64,2006,6086,524312
Alabama,55-64,2007,6228,542075
Alabama,55-64,2008,6508,556340
Alabama,55-64,2009,6654,572887
Alabama,55-64,2010,6753,588033
Alabama,55-64,2011,7111,610224
Alabama,55-64,2012,7199,615408
Alabama,55-64,2013,7406,622799
Alabama,55-64,2014,7572,629476
Alabama,55-64,2015,7763,637997
Alabama,55-64,2016,7779,645092
Alabama,55-64,2017,8095,650545
Alabama,65-74,1999,8844,315928
Alabama,65-74,2000,8992,316748
Alabama,65-74,2001,8863,318262
Alabama,65-74,2002,8582,318459
Alabama,65-74,2003,8542,320967
Alabama,65-74,2004,8431,323711
Alabama,65-74,2005,8474,329027
Alabama,65-74,2006,8410,336048
Alabama,65-74,2007,8483,342611
Alabama,65-74,2008,8595,354234
Alabama,65-74,2009,8775,364755
Alabama,65-74,2010,8903,370501
Alabama,65-74,2011,8987,380180
Alabama,65-74,2012,9373,402571
Alabama,65-74,2013,9839,418704
Alabama,65-74,2014,10044,435428
Alabama,65-74,2015,10347,450273
Alabama,65-74,2016,11012,464669
Alabama,65-74,2017,11208,477332
Alabama,75-84,1999,12472,194773
Alabama,75-84,2000,12521,195749
Alabama,75-84,2001,12400,198633
Alabama,75-84,2002,12854,200722
Alabama,75-84,2003,12992,203838
Alabama,75-84,2004,12796,204612
Alabama,75-84,2005,12864,205685
Alabama,75-84,2006,12500,207754
Alabama,75-84,2007,12177,208541
Alabama,75-84,2008,12302,210116
Alabama,75-84,2009,12107,209962
Alabama,75-84,2010,12295,211607
Alabama,75-84,2011,12272,214663
Alabama,75-84,2012,12197,216705
Alabama,75-84,2013,12361,220486
Alabama,75-84,2014,12290,224937
Alabama,75-84,2015,12705,228450
Alabama,75-84,2016,12538,233129
Alabama,75-84,2017,13038,238260
Alabama,85+,1999,10849,65953
Alabama,85+,2000,10944,67301
Alabama,85+,2001,11202,66936
Alabama,85+,2002,11528,66424
Alabama,85+,2003,11619,65567
Alabama,85+,2004,11093,65503
Alabama,85+,2005,11505,67390
Alabama,85+,2006,11393,69278
Alabama,85+,2007,11446,70918
Alabama,85+,2008,11944,72594
Alabama,85+,2009,11799,74324
Alabama,85+,2010,12045,75684
Alabama,85+,2011,12293,77743
Alabama,85+,2012,12529,80104
Alabama,85+,2013,12585,81976
Alabama,85+,2014,12477,83567
Alabama,85+,2015,13042,85439
Alabama,85+,2016,12816,86753
Alabama,85+,2017,13033,88179
Alaska,0,1999,57,9265
Alaska,0,2000,68,9361
Alaska,0,2001,81,9826
Alaska,0,2002,55,9695
Alaska,0,2003,71,9830
Alaska,0,2004,69,9959
Alaska,0,2005,62,10197
Alaska,0,2006,76,10215
Alaska,0,2007,72,10650
Alaska,0,2008,67,10815
Alaska,0,2009,77,11076
Alaska,0,2010,43,10828
Alaska,0,2011,43,11177
Alaska,0,2012,58,11303
Alaska,0,2013,64,11558
Alaska,0,2014,75,11157
Alaska,0,2015,78,11383
Alaska,0,2016,60,10938
Alaska,0,2017,59,11099
Alaska,1-4,1999,17,38671
Alaska,1-4,2000,21,38230
Alaska,1-4,2001,22,37350
Alaska,1-4,2002,12,37742
Alaska,1-4,2003,18,37780
Alaska,1-4,2004,22,38298
Alaska,1-4,2007,14,39569
Alaska,1-4,2008,20,40304
Alaska,1-4,2009,11,42046
Alaska,1-4,2010,19,43168
Alaska,1-4,2011,14,43366
Alaska,1-4,2012,13,43488
Alaska,1-4,2013,18,43834
Alaska,1-4,2014,18,43551
Alaska,1-4,2015,23,44066
Alaska,1-4,2016,20,43177
Alaska,1-4,2017,23,42984
Alaska,5-14,1999,18,111058
Alaska,5-14,2000,27,110432
Alaska,5-14,2001,28,108389
Alaska,5-14,2002,30,107395
Alaska,5-14,2003,38,105677
Alaska,5-14,2004,29,104448
Alaska,5-14,2005,26,102085
Alaska,5-14,2006,36,101307
Alaska,5-14,2007,28,99705
Alaska,5-14,2008,22,99015
Alaska,5-14,2009,17,100917
Alaska,5-14,2010,22,101703
Alaska,5-14,2011,23,102724
Alaska,5-14,2012,13,101874
Alaska,5-14,2013,22,102486
Alaska,5-14,2014,10,101715
Alaska,5-14,2015,22,100913
Alaska,5-14,2016,20,103122
Alaska,5-14,2017,32,101535
Alaska,15-24,1999,96,89183
Alaska,15-24,2000,130,89986
Alaska,15-24,2001,101,94980
Alaska,15-24,2002,106,98937
Alaska,15-24,2003,122,101809
Alaska,15-24,2004,137,105512
Alaska,15-24,2005,115,107881
Alaska,15-24,2006,120,109201
Alaska,15-24,2007,129,108803
Alaska,15-24,2008,109,108196
Alaska,15-24,2009,119,105561
Alaska,15-24,2010,127,106560
Alaska,15-24,2011,124,107910
Alaska,15-24,2012,106,110102
Alaska,15-24,2013,105,112581
Alaska,15-24,2014,107,111887
Alaska,15-24,2015,122,110527
Alaska,15-24,2016,138,105364
Alaska,15-24,2017,125,101519
Alaska,25-34,1999,138,90016
Alaska,25-34,2000,117,89473
Alaska,25-34,2001,117,87154
Alaska,25-34,2002,120,86652
Alaska,25-34,2003,106,86372
