year,month,dead
2005,1,2101
2005,2,1948
2005,3,2152
2005,4,2144
2005,5,2156
2005,6,2198
2005,7,2280
2005,8,2252
2005,9,2142
2005,10,2209
2005,11,2097
2005,12,2215
2006,1,2149
2006,2,1893
2006,3,2099
2006,4,2166
2006,5,2327
2006,6,2273
2006,7,2247
2006,8,2275
2006,9,2298
2006,10,2204
2006,11,2083
2006,12,1958
2007,1,2282
2007,2,2002
2007,3,2336
2007,4,2186
2007,5,2284
2007,6,2358
2007,7,2240
2007,8,2496
2007,9,2128
2007,10,2069
2007,11,2130
2007,12,2082
2008,1,2229
2008,2,2060
2008,3,2238
2008,4,2248
2008,5,2327
2008,6,2270
2008,7,2370
2008,8,2384
2008,9,2137
2008,10,2148
2008,11,1872
2008,12,2052
2009,1,2153
2009,2,1870
2009,3,2166
2009,4,2141
2009,5,2194
2009,6,1999
2009,7,2193
2009,8,2141
2009,9,2118
2009,10,2112
2009,11,1831
2009,12,1954
2010,1,2010
2010,2,1849
2010,3,1990
2010,4,1959
2010,5,2012
2010,6,2110
2010,7,2192
2010,8,2140
2010,9,1999
2010,10,2080
2010,11,1897
2010,12,2020
2011,1,2021
2011,2,1756
2011,3,2069
2011,4,1988
2011,5,2052
2011,6,2112
2011,7,2109
2011,8,2202
2011,9,2064
2011,10,2014
2011,11,1948
2011,12,1954
2012,1,1976
2012,2,1855
2012,3,1988
2012,4,1990
2012,5,2064
2012,6,2082
2012,7,2139
2012,8,2189
2012,9,1966
2012,10,1985
2012,11,1898
2012,12,1941
2013,1,2041
2013,2,1789
2013,3,1895
2013,4,1946
2013,5,2060
2013,6,1982
2013,7,2086
2013,8,2002
2013,9,1976
2013,10,1984
2013,11,1844
2013,12,1990
2014,1,1999
2014,2,1846
2014,3,2028
2014,4,2022
2014,5,2108
2014,6,1941
2014,7,2160
2014,8,2052
2014,9,2021
2014,10,1992
2014,11,1812
2014,12,1999
2015,1,2098
2015,2,1853
2015,3,1928
2015,4,1944
2015,5,2072
2015,6,1992
2015,7,2111
2015,8,2056
2015,9,1960
2015,10,1973
2015,11,1787
2015,12,2002
2016,1,2031
2016,2,1820
2016,3,2015
2016,4,2011
2016,5,1999
2016,6,2085
2016,7,2131
2016,8,2109
2016,9,1976
2016,10,1960
2016,11,1885
2016,12,1858
2017,1,1941
2017,2,1668
2017,3,1995
2017,4,1862
2017,5,1965
2017,6,1913
2017,7,2023
2017,8,2002
2017,9,1929
2017,10,1915
2017,11,1841
2017,12,1773
2018,1,1923
2018,2,1786
2018,3,1985
2018,4,1766
2018,5,1937
2018,6,1924
2018,7,1885
2018,8,2062
2018,9,1847
2018,10,1916
2018,11,1732
2018,12,1696
2019,1,1836
2019,2,1609
2019,3,1844
2019,4,1798
2019,5,1982
2019,6,1845
2019,7,1826
2019,8,1866
2019,9,1771
2019,10,1814
2019,11,1653
2019,12,1634
2020,1,1742
2020,2,1675
2020,3,1736
2020,4,1881
2020,5,1909
2020,6,1739
2020,7,1886
2020,8,1773
2020,9,1630
2020,10,1639
2020,11,1568
2020,12,1676
2021,1,1746
2021,2,1555
2021,3,1675
2021,4,1757
2021,5,1726
2021,6,1790
2021,7,1747
2021,8,1925
2021,9,2005
2021,10,1735
2021,11,1674
2021,12,1770
2022,1,1829
2022,2,1521
2022,3,1711
2022,4,1659
2022,5,1702
2022,6,1692
2022,7,1762
2022,8,1672
2022,9,1666
2022,10,1645
2022,11,1655
2022,12,1688
2023,1,1715
2023,2,1558
2023,3,1727
2023,4,1596
2023,5,1697
2023,6,1797
2023,7,1684
2023,8,1673
2023,9,1672
2023,10,1682
2023,11,1596
2023,12,1608
