type,cause,year,month,dead
mcd,"D68.9: Coagulation defect, unspecified",1999,1,377
mcd,"D68.9: Coagulation defect, unspecified",1999,2,367
mcd,"D68.9: Coagulation defect, unspecified",1999,3,408
mcd,"D68.9: Coagulation defect, unspecified",1999,4,320
mcd,"D68.9: Coagulation defect, unspecified",1999,5,384
mcd,"D68.9: Coagulation defect, unspecified",1999,6,354
mcd,"D68.9: Coagulation defect, unspecified",1999,7,359
mcd,"D68.9: Coagulation defect, unspecified",1999,8,381
mcd,"D68.9: Coagulation defect, unspecified",1999,9,363
mcd,"D68.9: Coagulation defect, unspecified",1999,10,393
mcd,"D68.9: Coagulation defect, unspecified",1999,11,379
mcd,"D68.9: Coagulation defect, unspecified",1999,12,368
mcd,"D68.9: Coagulation defect, unspecified",2000,1,455
mcd,"D68.9: Coagulation defect, unspecified",2000,2,369
mcd,"D68.9: Coagulation defect, unspecified",2000,3,395
mcd,"D68.9: Coagulation defect, unspecified",2000,4,395
mcd,"D68.9: Coagulation defect, unspecified",2000,5,358
mcd,"D68.9: Coagulation defect, unspecified",2000,6,392
mcd,"D68.9: Coagulation defect, unspecified",2000,7,375
mcd,"D68.9: Coagulation defect, unspecified",2000,8,342
mcd,"D68.9: Coagulation defect, unspecified",2000,9,368
mcd,"D68.9: Coagulation defect, unspecified",2000,10,410
mcd,"D68.9: Coagulation defect, unspecified",2000,11,394
mcd,"D68.9: Coagulation defect, unspecified",2000,12,458
mcd,"D68.9: Coagulation defect, unspecified",2001,1,432
mcd,"D68.9: Coagulation defect, unspecified",2001,2,394
mcd,"D68.9: Coagulation defect, unspecified",2001,3,419
mcd,"D68.9: Coagulation defect, unspecified",2001,4,451
mcd,"D68.9: Coagulation defect, unspecified",2001,5,411
mcd,"D68.9: Coagulation defect, unspecified",2001,6,351
mcd,"D68.9: Coagulation defect, unspecified",2001,7,383
mcd,"D68.9: Coagulation defect, unspecified",2001,8,401
mcd,"D68.9: Coagulation defect, unspecified",2001,9,408
mcd,"D68.9: Coagulation defect, unspecified",2001,10,418
mcd,"D68.9: Coagulation defect, unspecified",2001,11,418
mcd,"D68.9: Coagulation defect, unspecified",2001,12,425
mcd,"D68.9: Coagulation defect, unspecified",2002,1,463
mcd,"D68.9: Coagulation defect, unspecified",2002,2,387
mcd,"D68.9: Coagulation defect, unspecified",2002,3,465
mcd,"D68.9: Coagulation defect, unspecified",2002,4,421
mcd,"D68.9: Coagulation defect, unspecified",2002,5,402
mcd,"D68.9: Coagulation defect, unspecified",2002,6,416
mcd,"D68.9: Coagulation defect, unspecified",2002,7,427
mcd,"D68.9: Coagulation defect, unspecified",2002,8,419
mcd,"D68.9: Coagulation defect, unspecified",2002,9,400
mcd,"D68.9: Coagulation defect, unspecified",2002,10,435
mcd,"D68.9: Coagulation defect, unspecified",2002,11,430
mcd,"D68.9: Coagulation defect, unspecified",2002,12,491
mcd,"D68.9: Coagulation defect, unspecified",2003,1,505
mcd,"D68.9: Coagulation defect, unspecified",2003,2,426
mcd,"D68.9: Coagulation defect, unspecified",2003,3,423
mcd,"D68.9: Coagulation defect, unspecified",2003,4,401
mcd,"D68.9: Coagulation defect, unspecified",2003,5,415
mcd,"D68.9: Coagulation defect, unspecified",2003,6,405
mcd,"D68.9: Coagulation defect, unspecified",2003,7,395
mcd,"D68.9: Coagulation defect, unspecified",2003,8,415
mcd,"D68.9: Coagulation defect, unspecified",2003,9,450
mcd,"D68.9: Coagulation defect, unspecified",2003,10,413
mcd,"D68.9: Coagulation defect, unspecified",2003,11,393
mcd,"D68.9: Coagulation defect, unspecified",2003,12,489
mcd,"D68.9: Coagulation defect, unspecified",2004,1,503
mcd,"D68.9: Coagulation defect, unspecified",2004,2,414
mcd,"D68.9: Coagulation defect, unspecified",2004,3,450
mcd,"D68.9: Coagulation defect, unspecified",2004,4,438
mcd,"D68.9: Coagulation defect, unspecified",2004,5,421
mcd,"D68.9: Coagulation defect, unspecified",2004,6,424
mcd,"D68.9: Coagulation defect, unspecified",2004,7,421
mcd,"D68.9: Coagulation defect, unspecified",2004,8,424
mcd,"D68.9: Coagulation defect, unspecified",2004,9,395
mcd,"D68.9: Coagulation defect, unspecified",2004,10,459
mcd,"D68.9: Coagulation defect, unspecified",2004,11,442
mcd,"D68.9: Coagulation defect, unspecified",2004,12,488
mcd,"D68.9: Coagulation defect, unspecified",2005,1,471
mcd,"D68.9: Coagulation defect, unspecified",2005,2,452
mcd,"D68.9: Coagulation defect, unspecified",2005,3,500
mcd,"D68.9: Coagulation defect, unspecified",2005,4,438
mcd,"D68.9: Coagulation defect, unspecified",2005,5,455
mcd,"D68.9: Coagulation defect, unspecified",2005,6,453
mcd,"D68.9: Coagulation defect, unspecified",2005,7,418
mcd,"D68.9: Coagulation defect, unspecified",2005,8,431
mcd,"D68.9: Coagulation defect, unspecified",2005,9,396
mcd,"D68.9: Coagulation defect, unspecified",2005,10,450
mcd,"D68.9: Coagulation defect, unspecified",2005,11,416
mcd,"D68.9: Coagulation defect, unspecified",2005,12,449
mcd,"D68.9: Coagulation defect, unspecified",2006,1,467
mcd,"D68.9: Coagulation defect, unspecified",2006,2,397
mcd,"D68.9: Coagulation defect, unspecified",2006,3,522
mcd,"D68.9: Coagulation defect, unspecified",2006,4,461
mcd,"D68.9: Coagulation defect, unspecified",2006,5,464
mcd,"D68.9: Coagulation defect, unspecified",2006,6,410
mcd,"D68.9: Coagulation defect, unspecified",2006,7,458
mcd,"D68.9: Coagulation defect, unspecified",2006,8,435
mcd,"D68.9: Coagulation defect, unspecified",2006,9,413
mcd,"D68.9: Coagulation defect, unspecified",2006,10,438
mcd,"D68.9: Coagulation defect, unspecified",2006,11,440
mcd,"D68.9: Coagulation defect, unspecified",2006,12,471
mcd,"D68.9: Coagulation defect, unspecified",2007,1,479
mcd,"D68.9: Coagulation defect, unspecified",2007,2,457
mcd,"D68.9: Coagulation defect, unspecified",2007,3,470
mcd,"D68.9: Coagulation defect, unspecified",2007,4,449
mcd,"D68.9: Coagulation defect, unspecified",2007,5,408
mcd,"D68.9: Coagulation defect, unspecified",2007,6,417
mcd,"D68.9: Coagulation defect, unspecified",2007,7,437
mcd,"D68.9: Coagulation defect, unspecified",2007,8,457
mcd,"D68.9: Coagulation defect, unspecified",2007,9,416
mcd,"D68.9: Coagulation defect, unspecified",2007,10,454
mcd,"D68.9: Coagulation defect, unspecified",2007,11,463
mcd,"D68.9: Coagulation defect, unspecified",2007,12,456
mcd,"D68.9: Coagulation defect, unspecified",2008,1,492
mcd,"D68.9: Coagulation defect, unspecified",2008,2,441
mcd,"D68.9: Coagulation defect, unspecified",2008,3,510
mcd,"D68.9: Coagulation defect, unspecified",2008,4,473
mcd,"D68.9: Coagulation defect, unspecified",2008,5,435
mcd,"D68.9: Coagulation defect, unspecified",2008,6,449
mcd,"D68.9: Coagulation defect, unspecified",2008,7,432
mcd,"D68.9: Coagulation defect, unspecified",2008,8,443
mcd,"D68.9: Coagulation defect, unspecified",2008,9,448
mcd,"D68.9: Coagulation defect, unspecified",2008,10,508
mcd,"D68.9: Coagulation defect, unspecified",2008,11,465
mcd,"D68.9: Coagulation defect, unspecified",2008,12,500
mcd,"D68.9: Coagulation defect, unspecified",2009,1,505
mcd,"D68.9: Coagulation defect, unspecified",2009,2,459
mcd,"D68.9: Coagulation defect, unspecified",2009,3,530
mcd,"D68.9: Coagulation defect, unspecified",2009,4,443
mcd,"D68.9: Coagulation defect, unspecified",2009,5,458
mcd,"D68.9: Coagulation defect, unspecified",2009,6,451
mcd,"D68.9: Coagulation defect, unspecified",2009,7,435
mcd,"D68.9: Coagulation defect, unspecified",2009,8,431
mcd,"D68.9: Coagulation defect, unspecified",2009,9,421
