year,state,dead
2018,Alabama,17
2018,Arizona,26
2018,Arkansas,15
2018,California,178
2018,Colorado,11
2018,Connecticut,22
2018,Florida,100
2018,Georgia,22
2018,Idaho,12
2018,Illinois,30
2018,Indiana,30
2018,Iowa,14
2018,Kansas,13
2018,Kentucky,29
2018,Louisiana,12
2018,Maryland,24
2018,Massachusetts,21
2018,Michigan,35
2018,Minnesota,25
2018,Missouri,23
2018,Nevada,19
2018,New Jersey,27
2018,New York,54
2018,North Carolina,37
2018,Ohio,34
2018,Oklahoma,13
2018,Oregon,15
2018,Pennsylvania,54
2018,South Carolina,34
2018,Tennessee,45
2018,Texas,103
2018,Utah,12
2018,Virginia,21
2018,Washington,30
2018,Wisconsin,12
2019,Alabama,19
2019,Arizona,25
2019,Arkansas,12
2019,California,135
2019,Colorado,13
2019,Connecticut,15
2019,Florida,87
2019,Georgia,21
2019,Illinois,29
2019,Indiana,33
2019,Iowa,10
2019,Kansas,19
2019,Kentucky,22
2019,Louisiana,15
2019,Maine,10
2019,Maryland,33
2019,Massachusetts,18
2019,Michigan,33
2019,Minnesota,25
2019,Missouri,18
2019,Nebraska,10
2019,Nevada,12
2019,New Jersey,30
2019,New York,49
2019,North Carolina,46
2019,Ohio,40
2019,Oregon,17
2019,Pennsylvania,59
2019,South Carolina,24
2019,Tennessee,39
2019,Texas,138
2019,Virginia,25
2019,Washington,48
2019,West Virginia,16
2019,Wisconsin,26
2020,Alabama,21
2020,Arizona,26
2020,Arkansas,10
2020,California,160
2020,Colorado,16
2020,Connecticut,15
2020,Florida,100
2020,Georgia,36
2020,Illinois,25
2020,Indiana,38
2020,Iowa,10
2020,Kansas,12
2020,Kentucky,23
2020,Louisiana,14
2020,Maryland,16
2020,Massachusetts,19
2020,Michigan,43
2020,Minnesota,31
2020,Missouri,28
2020,Montana,15
2020,Nevada,16
2020,New Hampshire,10
2020,New Jersey,33
2020,New York,55
2020,North Carolina,53
2020,Ohio,32
2020,Oklahoma,15
2020,Oregon,17
2020,Pennsylvania,61
2020,South Carolina,24
2020,Tennessee,52
2020,Texas,126
2020,Utah,11
2020,Virginia,42
2020,Washington,37
2020,West Virginia,11
2020,Wisconsin,18
2021,Alabama,28
2021,Arizona,29
2021,Arkansas,13
2021,California,164
2021,Colorado,21
2021,Connecticut,19
2021,Florida,127
2021,Georgia,46
2021,Illinois,31
2021,Indiana,33
2021,Iowa,15
2021,Kansas,14
2021,Kentucky,18
2021,Louisiana,14
2021,Maryland,40
2021,Massachusetts,29
2021,Michigan,35
2021,Minnesota,36
2021,Mississippi,10
2021,Missouri,13
2021,Montana,13
2021,Nebraska,13
2021,Nevada,14
2021,New Jersey,40
2021,New York,62
2021,North Carolina,56
2021,Ohio,43
2021,Oklahoma,11
2021,Oregon,29
2021,Pennsylvania,71
2021,South Carolina,31
2021,Tennessee,36
2021,Texas,145
2021,Utah,16
2021,Virginia,46
2021,Washington,46
2021,West Virginia,17
2021,Wisconsin,28
2022,Alabama,35
2022,Arizona,38
2022,Arkansas,21
2022,California,260
2022,Colorado,46
2022,Connecticut,25
2022,Florida,168
2022,Georgia,64
2022,Idaho,10
2022,Illinois,59
2022,Indiana,48
2022,Iowa,15
2022,Kansas,12
2022,Kentucky,42
2022,Louisiana,21
2022,Maryland,44
2022,Massachusetts,45
2022,Michigan,71
2022,Minnesota,41
2022,Mississippi,12
2022,Missouri,38
2022,Montana,13
2022,Nevada,13
2022,New Jersey,49
2022,New York,113
2022,North Carolina,84
2022,Ohio,67
2022,Oklahoma,18
2022,Oregon,46
2022,Pennsylvania,102
2022,South Carolina,44
2022,Tennessee,58
2022,Texas,170
2022,Utah,17
2022,Virginia,52
2022,Washington,66
2022,West Virginia,23
2022,Wisconsin,42
2023,Alabama,25
2023,Arizona,50
2023,Arkansas,13
2023,California,258
2023,Colorado,35
2023,Connecticut,26
2023,Florida,173
2023,Georgia,57
2023,Hawaii,18
2023,Idaho,10
2023,Illinois,55
2023,Indiana,33
2023,Iowa,23
2023,Kansas,15
2023,Kentucky,32
2023,Louisiana,24
2023,Maryland,58
2023,Massachusetts,31
2023,Michigan,72
2023,Minnesota,45
2023,Missouri,43
2023,Nebraska,20
2023,Nevada,19
2023,New Jersey,61
2023,New York,105
2023,North Carolina,72
2023,Ohio,65
2023,Oklahoma,19
2023,Oregon,31
2023,Pennsylvania,109
2023,South Carolina,42
2023,South Dakota,14
2023,Tennessee,68
2023,Texas,162
2023,Utah,14
2023,Virginia,62
2023,Washington,70
2023,West Virginia,19
2023,Wisconsin,41
2024,Arizona,33
2024,Arkansas,12
2024,California,225
2024,Colorado,34
2024,Connecticut,28
2024,Florida,130
2024,Georgia,47
2024,Illinois,43
2024,Indiana,44
2024,Iowa,25
2024,Kentucky,17
2024,Louisiana,17
2024,Maryland,46
2024,Massachusetts,29
2024,Michigan,49
2024,Minnesota,43
2024,Mississippi,10
2024,Missouri,47
2024,Nevada,12
2024,New Jersey,39
2024,New York,81
2024,North Carolina,52
2024,Ohio,35
2024,Oklahoma,14
2024,Oregon,29
2024,Pennsylvania,78
2024,South Carolina,31
2024,Tennessee,70
2024,Texas,156
2024,Utah,15
2024,Virginia,52
2024,Washington,53
2024,West Virginia,10
2024,Wisconsin,39
