year,code,cause,dead
2018,A04.7,Enterocolitis due to Clostridium difficile,293
2018,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,19
2018,A09.9,Gastroenteritis and colitis of unspecified origin,145
2018,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",11
2018,A31.0,Pulmonary mycobacterial infection,10
2018,A41.0,Septicaemia due to Staphylococcus aureus,28
2018,A41.5,Septicaemia due to other Gram-negative organisms,65
2018,A41.9,"Septicaemia, unspecified",1858
2018,A48.1,Legionnaires disease,16
2018,A49.0,"Staphylococcal infection, unspecified",32
2018,A49.1,"Streptococcal infection, unspecified",13
2018,A49.8,Other bacterial infections of unspecified site,25
2018,A49.9,"Bacterial infection, unspecified",56
2018,B00.4,Herpesviral encephalitis,17
2018,B16.9,Acute hepatitis B without delta-agent and without hepatic coma,31
2018,B18.2,Chronic viral hepatitis C,335
2018,B21.2,HIV disease with other types of non-Hodgkin lymphoma,23
2018,B21.7,HIV disease resulting in multiple malignant neoplasms,16
2018,B21.8,HIV disease resulting in other malignant neoplasms,46
2018,B21.9,HIV disease resulting in unspecified malignant neoplasm,17
2018,B22.7,HIV disease resulting in multiple diseases classified elsewhere,195
2018,B23.8,HIV disease resulting in other specified conditions,51
2018,B34.8,Other viral infections of unspecified site,40
2018,B34.9,"Viral infection, unspecified",10
2018,B37.7,Candidal septicaemia,16
2018,B44.1,Other pulmonary aspergillosis,14
2018,B49,Unspecified mycosis,46
2018,B59,Pneumocystosis,35
2018,B94.8,Sequelae of other specified infectious and parasitic diseases,27
2018,B99,Other and unspecified infectious diseases,28
2018,C00.9,"Lip, unspecified - Malignant neoplasms",64
2018,C01,Malignant neoplasm of base of tongue,216
2018,C02.4,Lingual tonsil - Malignant neoplasms,10
2018,C02.9,"Tongue, unspecified - Malignant neoplasms",2407
2018,C03.0,Upper gum - Malignant neoplasms,18
2018,C03.1,Lower gum - Malignant neoplasms,11
2018,C03.9,"Gum, unspecified - Malignant neoplasms",33
2018,C04.9,"Floor of mouth, unspecified - Malignant neoplasms",89
2018,C05.0,Hard palate - Malignant neoplasms,53
2018,C05.1,Soft palate - Malignant neoplasms,64
2018,C05.2,Uvula - Malignant neoplasms,10
2018,C05.9,"Palate, unspecified - Malignant neoplasms",62
