year,code,cause,dead
2018,A04.7,Enterocolitis due to Clostridium difficile,549
2018,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,39
2018,A09.9,Gastroenteritis and colitis of unspecified origin,186
2018,A40.9,"Streptococcal septicaemia, unspecified",15
2018,A41.0,Septicaemia due to Staphylococcus aureus,43
2018,A41.2,Septicaemia due to unspecified staphylococcus,15
2018,A41.4,Septicaemia due to anaerobes,12
2018,A41.5,Septicaemia due to other Gram-negative organisms,70
2018,A41.9,"Septicaemia, unspecified",2607
2018,A48.1,Legionnaires disease,27
2018,A49.0,"Staphylococcal infection, unspecified",63
2018,A49.1,"Streptococcal infection, unspecified",17
2018,A49.8,Other bacterial infections of unspecified site,19
2018,A49.9,"Bacterial infection, unspecified",57
2018,B15.9,Hepatitis A without hepatic coma,11
2018,B16.9,Acute hepatitis B without delta-agent and without hepatic coma,26
2018,B17.9,"Acute viral hepatitis, unspecified",24
2018,B18.1,Chronic viral hepatitis B without delta-agent,10
2018,B18.2,Chronic viral hepatitis C,191
2018,B20.1,HIV disease resulting in other bacterial infections,14
2018,B20.7,HIV disease resulting in multiple infections,35
2018,B22.7,HIV disease resulting in multiple diseases classified elsewhere,19
2018,B23.8,HIV disease resulting in other specified conditions,64
2018,B34.8,Other viral infections of unspecified site,37
2018,B34.9,"Viral infection, unspecified",16
2018,B37.7,Candidal septicaemia,11
2018,B49,Unspecified mycosis,29
2018,B59,Pneumocystosis,13
2018,B94.8,Sequelae of other specified infectious and parasitic diseases,45
2018,B99,Other and unspecified infectious diseases,31
2018,C14.0,"Pharynx, unspecified - Malignant neoplasms",21
2018,C15.9,"Oesophagus, unspecified - Malignant neoplasms",146
2018,C16.0,Cardia - Malignant neoplasms,10
2018,C16.9,"Stomach, unspecified - Malignant neoplasms",144
2018,C17.0,Duodenum - Malignant neoplasms,17
2018,C18.1,Appendix - Malignant neoplasms,12
2018,C18.7,Sigmoid colon - Malignant neoplasms,11
2018,C18.9,"Colon, unspecified - Malignant neoplasms",602
2018,C19,Malignant neoplasm of rectosigmoid junction,55
2018,C20,Malignant neoplasm of rectum,113
2018,C22.0,Liver cell carcinoma - Malignant neoplasms,314
2018,C22.1,Intrahepatic bile duct carcinoma - Malignant neoplasms,174
2018,C22.9,"Liver, unspecified - Malignant neoplasms",108
2018,C23,Malignant neoplasm of gallbladder,32
2018,C24.0,Extrahepatic bile duct - Malignant neoplasms,13
2018,C24.9,"Biliary tract, unspecified - Malignant neoplasms",17
2018,C25.9,"Pancreas, unspecified - Malignant neoplasms",525
2018,C26.9,Ill-defined sites within the digestive system - Malignant neoplasms,39
2018,C32.9,"Larynx, unspecified - Malignant neoplasms",28
2018,C34.1,"Upper lobe, bronchus or lung - Malignant neoplasms",11
2018,C34.9,"Bronchus or lung, unspecified - Malignant neoplasms",976
2018,C41.9,"Bone and articular cartilage, unspecified - Malignant neoplasms",10
2018,C43.9,"Malignant melanoma of skin, unspecified - Malignant neoplasms",106
2018,C44.9,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",18
2018,C48.2,"Peritoneum, unspecified - Malignant neoplasms",12
2018,C49.9,"Connective and soft tissue, unspecified - Malignant neoplasms",61
2018,C50.9,"Breast, unspecified - Malignant neoplasms",507
2018,C51.9,"Vulva, unspecified - Malignant neoplasms",10
2018,C53.9,"Cervix uteri, unspecified - Malignant neoplasms",84
2018,C54.1,Endometrium - Malignant neoplasms,140
2018,C55,"Malignant neoplasm of uterus, part unspecified",104
2018,C56,Malignant neoplasm of ovary,215
2018,C60.9,"Penis, unspecified - Malignant neoplasms",11
2018,C61,Malignant neoplasm of prostate,636
2018,C64,"Malignant neoplasm of kidney, except renal pelvis",325
2018,C67.9,"Bladder, unspecified - Malignant neoplasms",465
2018,C71.9,"Brain, unspecified - Malignant neoplasms",46
2018,C73,Malignant neoplasm of thyroid gland,14
2018,C76.2,Abdomen - Malignant neoplasms,21
2018,C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,25
2018,C78.7,Secondary malignant neoplasm of liver - Malignant neoplasms,83
2018,C79.5,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,11
2018,C79.8,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,24
2018,C80,Malignant neoplasm without specification of site,646
2018,C81.9,"Hodgkin disease, unspecified",29
2018,C82.9,"Follicular non-Hodgkin lymphoma, unspecified",17
2018,C83.1,Non-Hodgkin lymphoma small cleaved cell (diffuse),55
2018,C83.3,Non-Hodgkin lymphoma large cell (diffuse),122
2018,C84.4,Peripheral T-cell lymphoma - Malignant neoplasms,10
2018,C84.5,Other and unspecified T-cell lymphomas - Malignant neoplasms,46
2018,C85.1,"B-cell lymphoma, unspecified - Malignant neoplasms",96
2018,C85.9,"Non-Hodgkin lymphoma, unspecified type",200
2018,C88.0,Waldenstr÷m macroglobulinemia,15
2018,C90.0,Multiple myeloma - Malignant neoplasms,515
2018,C91.0,Acute lymphoblastic leukaemia - Malignant neoplasms,40
