cause,year,age,dead
UCD J18,1999,0,177
UCD J18,1999,1,76
UCD J18,1999,5,59
UCD J18,1999,15,145
UCD J18,1999,25,289
UCD J18,1999,35,849
UCD J18,1999,45,1462
UCD J18,1999,55,2226
UCD J18,1999,65,6044
UCD J18,1999,75,17452
UCD J18,1999,85,28996
UCD J18,2000,0,194
UCD J18,2000,1,63
UCD J18,2000,5,61
UCD J18,2000,15,153
UCD J18,2000,25,299
UCD J18,2000,35,867
UCD J18,2000,45,1459
UCD J18,2000,55,2380
UCD J18,2000,65,6254
UCD J18,2000,75,17877
UCD J18,2000,85,29052
UCD J18,2001,0,184
UCD J18,2001,1,79
UCD J18,2001,5,73
UCD J18,2001,15,160
UCD J18,2001,25,279
UCD J18,2001,35,837
UCD J18,2001,45,1525
UCD J18,2001,55,2290
UCD J18,2001,65,5970
UCD J18,2001,75,17171
UCD J18,2001,85,28497
UCD J18,2002,0,156
UCD J18,2002,1,75
UCD J18,2002,5,65
UCD J18,2002,15,140
UCD J18,2002,25,282
UCD J18,2002,35,811
UCD J18,2002,45,1625
UCD J18,2002,55,2585
UCD J18,2002,65,6097
UCD J18,2002,75,18295
UCD J18,2002,85,29869
UCD J18,2003,0,186
UCD J18,2003,1,67
UCD J18,2003,5,65
UCD J18,2003,15,166
UCD J18,2003,25,314
UCD J18,2003,35,812
UCD J18,2003,45,1758
UCD J18,2003,55,2637
UCD J18,2003,65,5933
UCD J18,2003,75,17492
UCD J18,2003,85,28850
UCD J18,2004,0,168
UCD J18,2004,1,64
UCD J18,2004,5,50
UCD J18,2004,15,159
UCD J18,2004,25,250
UCD J18,2004,35,741
UCD J18,2004,45,1586
UCD J18,2004,55,2677
UCD J18,2004,65,5641
UCD J18,2004,75,16360
UCD J18,2004,85,26233
UCD J18,2005,0,152
UCD J18,2005,1,67
UCD J18,2005,5,62
UCD J18,2005,15,130
UCD J18,2005,25,280
UCD J18,2005,35,775
UCD J18,2005,45,1824
UCD J18,2005,55,2859
UCD J18,2005,65,5738
UCD J18,2005,75,16637
UCD J18,2005,85,27614
UCD J18,2006,0,143
UCD J18,2006,1,58
UCD J18,2006,5,30
UCD J18,2006,15,134
UCD J18,2006,25,284
UCD J18,2006,35,700
UCD J18,2006,45,1649
UCD J18,2006,55,2665
UCD J18,2006,65,5292
UCD J18,2006,75,14979
UCD J18,2006,85,24724
UCD J18,2007,0,140
UCD J18,2007,1,65
UCD J18,2007,5,49
UCD J18,2007,15,126
UCD J18,2007,25,278
UCD J18,2007,35,679
UCD J18,2007,45,1701
UCD J18,2007,55,2787
UCD J18,2007,65,5093
UCD J18,2007,75,13953
UCD J18,2007,85,24350
UCD J18,2008,0,141
UCD J18,2008,1,86
UCD J18,2008,5,45
UCD J18,2008,15,156
UCD J18,2008,25,293
UCD J18,2008,35,714
UCD J18,2008,45,1918
UCD J18,2008,55,3274
UCD J18,2008,65,5633
UCD J18,2008,75,14280
UCD J18,2008,85,24637
UCD J18,2009,0,149
UCD J18,2009,1,58
UCD J18,2009,5,51
UCD J18,2009,15,176
UCD J18,2009,25,430
UCD J18,2009,35,814
UCD J18,2009,45,1965
UCD J18,2009,55,3300
UCD J18,2009,65,5511
UCD J18,2009,75,12903
UCD J18,2009,85,22003
UCD J18,2010,0,129
UCD J18,2010,1,55
UCD J18,2010,5,45
UCD J18,2010,15,133
UCD J18,2010,25,297
UCD J18,2010,35,646
UCD J18,2010,45,1631
UCD J18,2010,55,3216
UCD J18,2010,65,5544
UCD J18,2010,75,12586
UCD J18,2010,85,22328
UCD J18,2011,0,131
UCD J18,2011,1,59
UCD J18,2011,5,59
UCD J18,2011,15,148
UCD J18,2011,25,361
UCD J18,2011,35,693
UCD J18,2011,45,1854
UCD J18,2011,55,3624
UCD J18,2011,65,5871
UCD J18,2011,75,12658
UCD J18,2011,85,23559
UCD J18,2012,0,104
UCD J18,2012,1,56
UCD J18,2012,5,44
UCD J18,2012,15,117
UCD J18,2012,25,296
UCD J18,2012,35,592
UCD J18,2012,45,1572
UCD J18,2012,55,3490
UCD J18,2012,65,5675
UCD J18,2012,75,12064
UCD J18,2012,85,22461
UCD J18,2013,0,99
UCD J18,2013,1,43
UCD J18,2013,5,50
UCD J18,2013,15,123
UCD J18,2013,25,329
UCD J18,2013,35,630
UCD J18,2013,45,1758
UCD J18,2013,55,3990
UCD J18,2013,65,6457
UCD J18,2013,75,12415
UCD J18,2013,85,23753
UCD J18,2014,0,109
UCD J18,2014,1,45
UCD J18,2014,5,27
UCD J18,2014,15,119
UCD J18,2014,25,334
UCD J18,2014,35,682
UCD J18,2014,45,1884
UCD J18,2014,55,4038
UCD J18,2014,65,6650
UCD J18,2014,75,11657
UCD J18,2014,85,21436
UCD J18,2015,0,96
UCD J18,2015,1,39
UCD J18,2015,5,32
UCD J18,2015,15,125
UCD J18,2015,25,316
UCD J18,2015,35,568
UCD J18,2015,45,1627
UCD J18,2015,55,3775
UCD J18,2015,65,6838
UCD J18,2015,75,12004
UCD J18,2015,85,22397
UCD J18,2016,0,100
UCD J18,2016,1,51
UCD J18,2016,5,34
UCD J18,2016,15,126
UCD J18,2016,25,313
UCD J18,2016,35,620
UCD J18,2016,45,1552
UCD J18,2016,55,3886
UCD J18,2016,65,6913
UCD J18,2016,75,11109
UCD J18,2016,85,19688
UCD J18,2017,0,97
UCD J18,2017,1,44
UCD J18,2017,5,33
UCD J18,2017,15,116
UCD J18,2017,25,294
UCD J18,2017,35,583
UCD J18,2017,45,1529
UCD J18,2017,55,3866
UCD J18,2017,65,7004
UCD J18,2017,75,11283
UCD J18,2017,85,19802
UCD J18,2018,0,99
UCD J18,2018,1,30
UCD J18,2018,5,35
UCD J18,2018,15,113
UCD J18,2018,25,283
UCD J18,2018,35,568
UCD J18,2018,45,1480
UCD J18,2019,0,74
UCD J18,2019,1,34
UCD J18,2019,5,36
UCD J18,2019,15,94
UCD J18,2019,25,284
UCD J18,2019,35,582
UCD J18,2019,45,1383
UCD J18,2020,0,69
UCD J18,2020,1,22
UCD J18,2020,5,34
UCD J18,2020,15,95
UCD J18,2020,25,323
UCD J18,2020,35,721
UCD J18,2020,45,1627
UCD J18,2021,0,57
UCD J18,2021,1,26
UCD J18,2021,5,28
UCD J18,2021,15,87
UCD J18,2021,25,293
UCD J18,2021,35,641
UCD J18,2021,45,1385
UCD J18,2022,0,71
UCD J18,2022,1,30
UCD J18,2022,5,31
UCD J18,2022,15,74
UCD J18,2022,25,298
UCD J18,2022,35,611
UCD J18,2022,45,1262
UCD J18,2023,0,57
UCD J18,2023,1,51
UCD J18,2023,5,47
UCD J18,2023,15,94
UCD J18,2023,25,302
UCD J18,2023,35,651
UCD J18,2023,45,1184
UCD J18,2024,0,17
UCD J18,2024,1,25
UCD J18,2024,5,18
UCD J18,2024,15,55
UCD J18,2024,25,178
UCD J18,2024,35,448
UCD J18,2024,45,939
