year,month,age,dead
1999,1,0,34
1999,1,5,54
1999,1,10,38
1999,1,15,66
1999,1,20,75
1999,1,25,114
1999,1,30,28
1999,1,31,32
1999,1,32,39
1999,1,33,53
1999,1,34,51
1999,1,35,72
1999,1,36,81
1999,1,37,86
1999,1,38,128
1999,1,39,132
1999,1,40,151
1999,1,41,184
1999,1,42,164
1999,1,43,223
1999,1,44,227
1999,1,45,271
1999,1,46,301
1999,1,47,308
1999,1,48,344
1999,1,49,380
1999,1,50,430
1999,1,51,456
1999,1,52,487
1999,1,53,463
1999,1,54,554
1999,1,55,597
1999,1,56,635
1999,1,57,619
1999,1,58,684
1999,1,59,742
1999,1,60,739
1999,1,61,868
1999,1,62,898
1999,1,63,919
1999,1,64,1027
1999,1,65,1040
1999,1,66,1132
1999,1,67,1118
1999,1,68,1239
1999,1,69,1300
1999,1,70,1387
1999,1,71,1494
1999,1,72,1512
1999,1,73,1561
1999,1,74,1624
1999,1,75,1597
1999,1,76,1601
1999,1,77,1645
1999,1,78,1507
1999,1,79,1436
1999,1,80,1424
1999,1,81,1324
1999,1,82,1283
1999,1,83,1232
1999,1,84,1141
1999,1,85,1029
1999,1,86,972
1999,1,87,825
1999,1,88,741
1999,1,89,668
1999,1,90,593
1999,1,91,476
1999,1,92,365
1999,1,93,293
1999,1,94,232
1999,1,95,181
1999,1,96,123
1999,1,97,87
1999,1,98,74
1999,1,99,34
1999,1,100,58
1999,2,0,48
1999,2,5,46
1999,2,10,41
1999,2,15,57
1999,2,20,73
1999,2,25,95
1999,2,30,28
1999,2,31,44
1999,2,32,38
1999,2,33,43
1999,2,34,66
1999,2,35,70
1999,2,36,75
1999,2,37,109
1999,2,38,101
1999,2,39,103
1999,2,40,121
1999,2,41,161
1999,2,42,163
1999,2,43,183
1999,2,44,206
1999,2,45,243
1999,2,46,252
1999,2,47,282
1999,2,48,296
1999,2,49,347
1999,2,50,425
1999,2,51,429
1999,2,52,466
1999,2,53,430
1999,2,54,440
1999,2,55,583
1999,2,56,612
1999,2,57,567
1999,2,58,610
1999,2,59,630
1999,2,60,706
1999,2,61,773
1999,2,62,796
1999,2,63,801
1999,2,64,920
1999,2,65,929
1999,2,66,955
1999,2,67,1085
1999,2,68,1212
1999,2,69,1211
1999,2,70,1285
1999,2,71,1333
1999,2,72,1420
1999,2,73,1429
1999,2,74,1422
1999,2,75,1477
1999,2,76,1452
1999,2,77,1431
1999,2,78,1451
1999,2,79,1320
1999,2,80,1235
1999,2,81,1287
1999,2,82,1176
1999,2,83,1136
1999,2,84,1117
1999,2,85,950
1999,2,86,887
1999,2,87,705
1999,2,88,667
1999,2,89,568
1999,2,90,473
1999,2,91,389
1999,2,92,340
1999,2,93,271
1999,2,94,188
1999,2,95,153
1999,2,96,142
1999,2,97,66
1999,2,98,61
1999,2,99,32
1999,2,100,82
1999,3,0,40
1999,3,5,40
1999,3,10,52
1999,3,15,70
1999,3,20,89
1999,3,25,140
1999,3,30,31
1999,3,31,29
1999,3,32,49
1999,3,33,54
1999,3,34,66
1999,3,35,66
1999,3,36,73
1999,3,37,100
1999,3,38,102
1999,3,39,123
1999,3,40,165
1999,3,41,141
1999,3,42,207
1999,3,43,225
1999,3,44,230
1999,3,45,278
1999,3,46,288
1999,3,47,320
1999,3,48,333
1999,3,49,376
1999,3,50,408
1999,3,51,524
1999,3,52,537
1999,3,53,468
1999,3,54,497
1999,3,55,589
1999,3,56,622
1999,3,57,632
1999,3,58,678
1999,3,59,760
1999,3,60,823
1999,3,61,799
1999,3,62,828
1999,3,63,920
1999,3,64,1012
1999,3,65,965
1999,3,66,1086
1999,3,67,1109
1999,3,68,1290
1999,3,69,1328
1999,3,70,1314
1999,3,71,1447
1999,3,72,1529
1999,3,73,1505
1999,3,74,1591
1999,3,75,1591
1999,3,76,1596
1999,3,77,1636
1999,3,78,1536
1999,3,79,1519
1999,3,80,1394
1999,3,81,1319
1999,3,82,1253
1999,3,83,1197
1999,3,84,1122
1999,3,85,1046
1999,3,86,994
1999,3,87,862
1999,3,88,770
1999,3,89,653
1999,3,90,492
1999,3,91,443
1999,3,92,374
1999,3,93,289
1999,3,94,200
1999,3,95,182
1999,3,96,125
1999,3,97,109
1999,3,98,60
1999,3,99,37
1999,3,100,73
1999,4,0,32
1999,4,5,38
1999,4,10,43
1999,4,15,45
1999,4,20,64
1999,4,25,115
1999,4,30,35
1999,4,31,32
1999,4,32,44
1999,4,33,40
1999,4,34,61
1999,4,35,74
1999,4,36,82
1999,4,37,76
1999,4,38,104
1999,4,39,119
1999,4,40,137
1999,4,41,147
1999,4,42,169
1999,4,43,230
1999,4,44,239
1999,4,45,241
1999,4,46,285
1999,4,47,299
1999,4,48,341
1999,4,49,385
1999,4,50,384
1999,4,51,431
1999,4,52,510
1999,4,53,430
1999,4,54,469
1999,4,55,556
1999,4,56,641
1999,4,57,631
1999,4,58,608
1999,4,59,680
1999,4,60,735
1999,4,61,774
1999,4,62,755
1999,4,63,854
1999,4,64,915
1999,4,65,928
1999,4,66,978
1999,4,67,1047
1999,4,68,1104
1999,4,69,1266
1999,4,70,1192
1999,4,71,1383
1999,4,72,1453
1999,4,73,1406
1999,4,74,1422
1999,4,75,1474
1999,4,76,1465
1999,4,77,1444
1999,4,78,1421
1999,4,79,1395
1999,4,80,1280
1999,4,81,1250
1999,4,82,1154
1999,4,83,1133
1999,4,84,1055
1999,4,85,941
1999,4,86,894
1999,4,87,718
1999,4,88,704
1999,4,89,599
1999,4,90,482
1999,4,91,408
1999,4,92,306
1999,4,93,242
1999,4,94,202
1999,4,95,134
1999,4,96,113
1999,4,97,75
1999,4,98,59
1999,4,99,41
1999,4,100,63
